date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,0.89,0.9,0.8277,0.85,0.85,111696,111696,-0.04,-4.49438,0.85923,"July 11, 23",-0.0449438,AFIB
2023-07-10,0.874,0.9,0.87,0.885,0.885,27616,27600,0.011,1.26,0.8871,"July 10, 23",0.0126,AFIB
2023-07-07,0.9,0.9312,0.86,0.88,0.88,40105,40100,-0.02,-2.22,0.894,"July 07, 23",-0.0222,AFIB
2023-07-06,0.89,0.91,0.87,0.882,0.882,26439,26400,-0.008,-0.89888,0.8894,"July 06, 23",-0.0089888,AFIB
2023-07-05,0.87,0.91,0.860101,0.88,0.88,21603,21600,0.01,1.15,0.8801,"July 05, 23",0.0115,AFIB
2023-07-03,0.87,0.92,0.87,0.89,0.89,20309,20300,0.02,2.3,0.8962,"July 03, 23",0.023,AFIB
2023-06-30,0.87,0.9219,0.86,0.888,0.888,51671,51600,0.018,2.07,0.8925,"June 30, 23",0.0207,AFIB
2023-06-29,0.88,0.9,0.85,0.8892,0.889,53158,53200,0.0092,1.05,0.8684,"June 29, 23",0.0105,AFIB
2023-06-28,0.89,0.9193,0.86,0.87,0.87,42548,42500,-0.02,-2.25,0.8884,"June 28, 23",-0.0225,AFIB
2023-06-27,0.9001,0.91,0.8687,0.89,0.89,39430,39400,-0.0101,-1.12,0.8985,"June 27, 23",-0.0112,AFIB
2023-06-26,0.88,0.9199,0.8291,0.89,0.89,65556,65600,0.01,1.14,0.9027,"June 26, 23",0.0114,AFIB
2023-06-23,0.92,0.92,0.852,0.89,0.89,62799,62800,-0.03,-3.26,0.8984,"June 23, 23",-0.0326,AFIB
2023-06-22,0.8816,0.905,0.829601,0.9,0.9,80955,80900,0.0184,2.09,0.8953,"June 22, 23",0.0209,AFIB
2023-06-21,0.87,0.92,0.79,0.89,0.89,91854,91900,0.02,2.3,0.8808,"June 21, 23",0.023,AFIB
2023-06-20,0.8,0.91,0.78,0.86,0.86,71890,71900,0.06,7.5,0.8232,"June 20, 23",0.075,AFIB
2023-06-16,0.8035,0.865,0.8035,0.8101,0.81,57340,56500,0.0066,0.82141,0.8252,"June 16, 23",0.0082141,AFIB
2023-06-15,0.87,0.87,0.8101,0.8349,0.835,109251,109300,-0.0351,-4.03,0.8291,"June 15, 23",-0.0403,AFIB
2023-06-14,0.9,0.91,0.87,0.87,0.87,64125,64100,-0.03,-3.33,0.887,"June 14, 23",-0.0333,AFIB
2023-06-13,0.85,0.96,0.85,0.87,0.87,44212,44200,0.02,2.35,0.8871,"June 13, 23",0.0235,AFIB
2023-06-12,0.9,0.95,0.86,0.874,0.874,49922,49900,-0.026,-2.89,0.9023,"June 12, 23",-0.0289,AFIB
2023-06-09,0.870101,0.9173,0.8621,0.8815,0.882,25424,25400,0.011399,1.31,0.8886,"June 09, 23",0.0131,AFIB
2023-06-08,0.8208,0.9363,0.82,0.9,0.9,98222,98200,0.0792,9.65,0.8713,"June 08, 23",0.0965,AFIB
2023-06-07,0.89,0.89,0.8,0.8208,0.821,50610,50600,-0.0692,-7.78,0.832,"June 07, 23",-0.0778,AFIB
2023-06-06,0.79,0.8479,0.7801,0.8,0.8,46701,46700,0.01,1.27,0.8085,"June 06, 23",0.0127,AFIB
2023-06-05,0.8306,0.848,0.7664,0.7775,0.778,36279,36300,-0.0531,-6.39,0.8141,"June 05, 23",-0.0639,AFIB
