date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,9.49,9.51,9.41,9.47,9.47,131856,131856,-0.02,-0.21075,9.44,"July 11, 23",-0.0021075,AGD
2023-07-10,9.47,9.5,9.42,9.45,9.45,43685,43700,-0.02,-0.21119,9.47,"July 10, 23",-0.0021119,AGD
2023-07-07,9.45,9.49,9.43,9.45,9.45,34630,34600,0.0,0.0,9.46,"July 07, 23",0.0,AGD
2023-07-06,9.5,9.505,9.39,9.39,9.39,73181,73200,-0.11,-1.16,9.47,"July 06, 23",-0.0116,AGD
2023-07-05,9.52,9.5511,9.5,9.5,9.5,31939,31900,-0.02,-0.21008,9.53,"July 05, 23",-0.0021008,AGD
2023-07-03,9.57,9.6,9.51,9.56,9.56,53054,53100,-0.01,-0.10449,9.54,"July 03, 23",-0.0010449,AGD
2023-06-30,9.64,9.66,9.52,9.54,9.54,55758,55800,-0.1,-1.04,9.6,"June 30, 23",-0.0104,AGD
2023-06-29,9.5,9.5398,9.5,9.51,9.51,46254,46300,0.01,0.10526,9.51,"June 29, 23",0.0010526,AGD
2023-06-28,9.43,9.51,9.41,9.49,9.49,75349,75300,0.06,0.63627,9.46,"June 28, 23",0.0063627,AGD
2023-06-27,9.47,9.48,9.39,9.43,9.43,50869,50900,-0.04,-0.42239,9.43,"June 27, 23",-0.0042239,AGD
2023-06-26,9.39,9.46,9.37,9.41,9.41,49126,49100,0.02,0.21299,9.39,"June 26, 23",0.0021299,AGD
2023-06-23,9.44,9.46,9.38,9.39,9.39,31307,31300,-0.05,-0.52966,9.43,"June 23, 23",-0.0052966,AGD
2023-06-22,9.43,9.4701,9.38,9.45,9.45,36966,37000,0.02,0.21209,9.44,"June 22, 23",0.0021209,AGD
2023-06-21,9.47,9.6,9.47,9.49,9.425,102326,102300,0.02,0.21119,9.53,"June 21, 23",0.0021119,AGD
2023-06-20,9.64,9.64,9.45,9.47,9.405137,39844,39800,-0.17,-1.76,9.51,"June 20, 23",-0.0176,AGD
2023-06-16,9.63,9.66,9.5201,9.61,9.544178,34400,34400,-0.02,-0.20768,9.61,"June 16, 23",-0.0020768,AGD
2023-06-15,9.52,9.58,9.51,9.58,9.58,45647,45600,0.06,0.63025,9.54,"June 15, 23",0.0063025,AGD
2023-06-14,9.58,9.59,9.45,9.5,9.5,64653,64700,-0.08,-0.83507,9.54,"June 14, 23",-0.0083507,AGD
2023-06-13,9.39,9.51,9.39,9.49,9.49,60474,60500,0.1,1.06,9.45,"June 13, 23",0.0106,AGD
2023-06-12,9.36,9.37,9.31,9.37,9.37,75332,75300,0.01,0.10684,9.35,"June 12, 23",0.0010684,AGD
2023-06-09,9.33,9.38,9.3,9.32,9.32,87817,87800,-0.01,-0.10718,9.34,"June 09, 23",-0.0010718,AGD
2023-06-08,9.31,9.3199,9.26,9.3,9.3,107337,107300,-0.01,-0.10741,9.29,"June 08, 23",-0.0010741,AGD
2023-06-07,9.41,9.41,9.25,9.28,9.28,71164,71200,-0.13,-1.38,9.32,"June 07, 23",-0.0138,AGD
2023-06-06,9.32,9.4,9.2655,9.36,9.36,70932,70900,0.04,0.42918,9.35,"June 06, 23",0.0042918,AGD
2023-06-05,9.31,9.35,9.2907,9.31,9.31,40295,33500,0.0,0.0,9.31,"June 05, 23",0.0,AGD
2023-06-02,9.29,9.335,9.29,9.32,9.32,34076,34100,0.03,0.32293,9.32,"June 02, 23",0.0032293,AGD
2023-06-01,9.15,9.29,9.15,9.22,9.22,81198,81200,0.07,0.76503,9.23,"June 01, 23",0.0076503,AGD
2023-05-31,9.17,9.1726,9.07,9.12,9.12,72117,72100,-0.05,-0.54526,9.11,"May 31, 23",-0.0054526,AGD
2023-05-30,9.29,9.29,9.14,9.15,9.15,39627,39600,-0.14,-1.51,9.2,"May 30, 23",-0.0151,AGD
2023-05-26,9.15,9.27,9.15,9.25,9.25,26261,26300,0.1,1.09,9.21,"May 26, 23",0.0109,AGD
