date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,5.8,5.96,5.72,5.82,5.82,406302,405378,0.02,0.34483,5.82,"July 11, 23",0.0034483,AGS
2023-07-10,5.41,5.81,5.41,5.8,5.8,789993,789900,0.39,7.21,5.76,"July 10, 23",0.0721,AGS
2023-07-07,5.26,5.5,5.26,5.46,5.46,444877,444900,0.2,3.8,5.45,"July 07, 23",0.038,AGS
2023-07-06,5.25,5.3,5.0964,5.23,5.23,293017,283900,-0.02,-0.38095,5.22,"July 06, 23",-0.0038095,AGS
2023-07-05,5.65,5.65,5.32,5.35,5.35,266774,266800,-0.3,-5.31,5.39,"July 05, 23",-0.0531,AGS
2023-07-03,5.62,5.695,5.59,5.66,5.66,149194,149200,0.04,0.71174,5.65,"July 03, 23",0.0071174,AGS
2023-06-30,5.7,5.77,5.62,5.65,5.65,239323,239000,-0.05,-0.87719,5.67,"June 30, 23",-0.0087719,AGS
2023-06-29,5.55,5.625,5.44,5.6,5.6,214611,214600,0.05,0.9009,5.56,"June 29, 23",0.009009,AGS
2023-06-28,5.6,5.67,5.5,5.53,5.53,223583,223600,-0.07,-1.25,5.57,"June 28, 23",-0.0125,AGS
2023-06-27,5.72,5.77,5.61,5.66,5.66,420543,420500,-0.06,-1.05,5.68,"June 27, 23",-0.0105,AGS
2023-06-26,5.41,5.75,5.4,5.7,5.7,417121,417100,0.29,5.36,5.64,"June 26, 23",0.0536,AGS
2023-06-23,5.43,5.52,5.32,5.38,5.38,5823583,5740700,-0.05,-0.92081,5.38,"June 23, 23",-0.0092081,AGS
2023-06-22,5.57,5.66,5.45,5.54,5.54,378323,378300,-0.03,-0.5386,5.57,"June 22, 23",-0.005386,AGS
2023-06-21,5.49,5.65,5.49,5.55,5.55,374497,374500,0.06,1.09,5.55,"June 21, 23",0.0109,AGS
2023-06-20,5.25,5.64,5.23,5.58,5.58,470140,470100,0.33,6.29,5.49,"June 20, 23",0.0629,AGS
2023-06-16,5.78,5.78,5.29,5.29,5.29,613044,613000,-0.49,-8.48,5.43,"June 16, 23",-0.0848,AGS
2023-06-15,5.87,5.96,5.615,5.75,5.75,295117,295000,-0.12,-2.04,5.75,"June 15, 23",-0.0204,AGS
2023-06-14,6.16,6.22,5.95,5.96,5.96,226248,226200,-0.2,-3.25,6.07,"June 14, 23",-0.0325,AGS
2023-06-13,6.29,6.35,6.125,6.16,6.16,249353,249400,-0.13,-2.07,6.19,"June 13, 23",-0.0207,AGS
2023-06-12,6.11,6.32,6.11,6.21,6.21,322399,322400,0.1,1.64,6.23,"June 12, 23",0.0164,AGS
2023-06-09,6.06,6.1,5.95,6.09,6.09,244839,244800,0.03,0.49505,6.03,"June 09, 23",0.0049505,AGS
2023-06-08,5.98,6.07,5.928,6.05,6.05,212583,212600,0.07,1.17,6.01,"June 08, 23",0.0117,AGS
2023-06-07,5.82,6.06,5.8,5.98,5.98,224529,224400,0.16,2.75,5.96,"June 07, 23",0.0275,AGS
2023-06-06,5.48,5.85,5.48,5.82,5.82,184700,184700,0.34,6.2,5.78,"June 06, 23",0.062,AGS
2023-06-05,5.71,5.71,5.48,5.54,5.54,195062,185900,-0.17,-2.98,5.59,"June 05, 23",-0.0298,AGS
2023-06-02,5.64,5.85,5.58,5.71,5.71,266225,266200,0.07,1.24,5.74,"June 02, 23",0.0124,AGS
2023-06-01,5.37,5.64,5.24,5.49,5.49,298225,298200,0.12,2.23,5.5,"June 01, 23",0.0223,AGS
2023-05-31,5.57,5.61,5.3,5.34,5.34,312431,312200,-0.23,-4.13,5.39,"May 31, 23",-0.0413,AGS
2023-05-30,5.95,6.0199,5.6225,5.64,5.64,247597,247600,-0.31,-5.21,5.77,"May 30, 23",-0.0521,AGS
2023-05-26,6.01,6.09,5.82,5.99,5.99,285285,285300,-0.02,-0.33278,6.01,"May 26, 23",-0.0033278,AGS
2023-05-25,6.06,6.195,5.82,5.9,5.9,348928,348900,-0.16,-2.64,5.96,"May 25, 23",-0.0264,AGS
2023-05-24,6.17,6.19,5.99,6.11,6.11,142733,142700,-0.06,-0.97245,6.09,"May 24, 23",-0.0097245,AGS
2023-05-23,6.22,6.37,6.1651,6.24,6.24,296374,296400,0.02,0.32154,6.25,"May 23, 23",0.0032154,AGS
2023-05-22,6.03,6.31,6.01,6.25,6.25,424052,424100,0.22,3.65,6.22,"May 22, 23",0.0365,AGS
2023-05-19,5.92,6.14,5.92,6.08,6.08,382801,382800,0.16,2.7,6.04,"May 19, 23",0.027,AGS
2023-05-18,5.73,5.85,5.55,5.79,5.79,479909,479900,0.06,1.05,5.76,"May 18, 23",0.0105,AGS
2023-05-17,6.16,6.16,5.63,5.71,5.71,819716,819700,-0.45,-7.31,5.82,"May 17, 23",-0.0731,AGS
2023-05-16,5.99,6.34,5.94,6.18,6.18,728970,728900,0.19,3.17,6.17,"May 16, 23",0.0317,AGS
2023-05-15,5.85,6.32,5.7,6.14,6.14,1142774,1142800,0.29,4.96,6.06,"May 15, 23",0.0496,AGS
2023-05-12,5.25,5.5,5.1,5.3,5.3,387234,387200,0.05,0.95238,5.28,"May 12, 23",0.0095238,AGS
2023-05-11,5.05,5.45,4.92,5.29,5.29,424450,424500,0.24,4.75,5.3,"May 11, 23",0.0475,AGS
2023-05-10,5.6,5.605,4.525,5.1,5.1,1680210,1680200,-0.5,-8.93,4.96,"May 10, 23",-0.0893,AGS
2023-05-09,5.33,5.56,5.2,5.52,5.52,505735,505400,0.19,3.56,5.45,"May 09, 23",0.0356,AGS
2023-05-08,5.36,5.46,5.26,5.37,5.37,376929,376900,0.01,0.18657,5.34,"May 08, 23",0.0018657,AGS
2023-05-05,5.09,5.36,5.0,5.32,5.32,496652,452200,0.23,4.52,5.26,"May 05, 23",0.0452,AGS
2023-05-04,5.18,5.21,4.97,5.02,5.02,344004,344000,-0.16,-3.09,5.05,"May 04, 23",-0.0309,AGS
2023-05-03,5.25,5.4,5.12,5.23,5.23,410164,410200,-0.02,-0.38095,5.24,"May 03, 23",-0.0038095,AGS
2023-05-02,5.38,5.43,5.17,5.25,5.25,316097,316100,-0.13,-2.42,5.24,"May 02, 23",-0.0242,AGS
2023-05-01,5.27,5.455,5.27,5.4,5.4,282381,282400,0.13,2.47,5.38,"May 01, 23",0.0247,AGS
2023-04-28,4.97,5.29,4.97,5.28,5.28,359837,359800,0.31,6.24,5.22,"April 28, 23",0.0624,AGS
2023-04-27,4.86,5.095,4.685,5.01,5.01,696705,696700,0.15,3.09,4.92,"April 27, 23",0.0309,AGS
2023-04-26,5.01,5.0794,4.82,4.86,4.86,452094,452000,-0.15,-2.99,4.94,"April 26, 23",-0.0299,AGS
2023-04-25,5.53,5.53,5.04,5.05,5.05,1093603,1093500,-0.48,-8.68,5.15,"April 25, 23",-0.0868,AGS
2023-04-24,5.78,5.93,5.575,5.6,5.6,454502,451200,-0.18,-3.11,5.68,"April 24, 23",-0.0311,AGS
2023-04-21,5.73,5.89,5.6175,5.85,5.85,383907,383900,0.12,2.09,5.78,"April 21, 23",0.0209,AGS
2023-04-20,6.09,6.12,5.625,5.7,5.7,490231,490200,-0.39,-6.4,5.81,"April 20, 23",-0.064,AGS
2023-04-19,6.14,6.38,6.14,6.21,6.21,301019,300900,0.07,1.14,6.27,"April 19, 23",0.0114,AGS
2023-04-18,6.46,6.51,6.14,6.18,6.18,800118,800100,-0.28,-4.33,6.23,"April 18, 23",-0.0433,AGS
2023-04-17,6.4,6.53,6.38,6.5,6.5,438433,438400,0.1,1.56,6.46,"April 17, 23",0.0156,AGS
2023-04-14,6.59,6.68,6.3345,6.43,6.43,374714,374700,-0.16,-2.43,6.46,"April 14, 23",-0.0243,AGS
2023-04-13,6.7,6.8,6.58,6.63,6.63,333694,333700,-0.07,-1.04,6.68,"April 13, 23",-0.0104,AGS
2023-04-12,7.05,7.12,6.65,6.65,6.65,503491,503500,-0.4,-5.67,6.77,"April 12, 23",-0.0567,AGS
2023-04-11,6.93,7.15,6.8831,7.0,7.0,459257,459300,0.07,1.01,7.04,"April 11, 23",0.0101,AGS
2023-04-10,6.55,6.91,6.531,6.91,6.91,866712,866700,0.36,5.5,6.86,"April 10, 23",0.055,AGS
2023-04-06,6.61,6.765,6.4354,6.61,6.61,861918,861900,0.0,0.0,6.62,"April 06, 23",0.0,AGS
2023-04-05,7.36,7.36,6.58,6.61,6.61,1351705,1351700,-0.75,-10.19,6.87,"April 05, 23",-0.1019,AGS
2023-04-04,7.39,7.42,7.17,7.27,7.27,4456705,4456700,-0.12,-1.62,7.27,"April 04, 23",-0.0162,AGS
2023-04-03,7.17,7.32,7.135,7.3,7.3,1813542,1813500,0.13,1.81,7.24,"April 03, 23",0.0181,AGS
2023-03-31,6.95,7.28,6.92,7.15,7.15,1042935,1042900,0.2,2.88,7.14,"March 31, 23",0.0288,AGS
2023-03-30,7.01,7.03,6.885,6.94,6.94,410946,410900,-0.07,-0.99857,6.95,"March 30, 23",-0.0099857,AGS
2023-03-29,6.96,7.0273,6.92,6.95,6.95,652501,652500,-0.01,-0.14368,6.96,"March 29, 23",-0.0014368,AGS
2023-03-28,7.03,7.11,6.88,6.9,6.9,977400,977400,-0.13,-1.85,6.95,"March 28, 23",-0.0185,AGS
2023-03-27,6.98,7.03,6.845,6.99,6.99,4710020,4710000,0.01,0.14327,6.93,"March 27, 23",0.0014327,AGS
2023-03-24,6.72,6.89,6.58,6.85,6.85,554172,554200,0.13,1.93,6.83,"March 24, 23",0.0193,AGS
2023-03-23,6.86,6.99,6.72,6.77,6.77,1730945,1730900,-0.09,-1.31,6.83,"March 23, 23",-0.0131,AGS
2023-03-22,6.75,6.96,6.7056,6.85,6.85,1040904,1040900,0.1,1.48,6.88,"March 22, 23",0.0148,AGS
2023-03-21,6.43,6.775,6.39,6.74,6.74,555955,556000,0.31,4.82,6.69,"March 21, 23",0.0482,AGS
2023-03-20,6.63,6.71,6.33,6.35,6.35,3033747,3033600,-0.28,-4.22,6.38,"March 20, 23",-0.0422,AGS
2023-03-17,6.74,6.86,6.57,6.6,6.6,545687,545700,-0.14,-2.08,6.69,"March 17, 23",-0.0208,AGS
2023-03-16,6.5,6.76,6.4842,6.76,6.76,1307491,1306700,0.26,4.0,6.59,"March 16, 23",0.04,AGS
2023-03-15,6.77,6.8,6.45,6.62,6.62,1016767,1016800,-0.15,-2.22,6.67,"March 15, 23",-0.0222,AGS
2023-03-14,6.81,7.0704,6.69,6.92,6.92,1757864,1757800,0.11,1.62,6.9,"March 14, 23",0.0162,AGS
2023-03-13,6.63,6.82,6.35,6.51,6.51,662082,662100,-0.12,-1.81,6.49,"March 13, 23",-0.0181,AGS
2023-03-10,7.28,8.03,6.54,6.55,6.55,1823139,1823100,-0.73,-10.03,7.06,"March 10, 23",-0.1003,AGS
2023-03-09,6.62,6.6799,6.27,6.35,6.35,242846,242600,-0.27,-4.08,6.4,"March 09, 23",-0.0408,AGS
2023-03-08,6.62,6.695,6.54,6.66,6.66,394009,394000,0.04,0.60423,6.65,"March 08, 23",0.0060423,AGS
2023-03-07,6.71,6.78,6.51,6.61,6.61,751033,751000,-0.1,-1.49,6.62,"March 07, 23",-0.0149,AGS
2023-03-06,6.75,6.78,6.56,6.69,6.69,196494,196500,-0.06,-0.88889,6.67,"March 06, 23",-0.0088889,AGS
2023-03-03,6.54,6.73,6.475,6.71,6.71,187379,187400,0.17,2.6,6.66,"March 03, 23",0.026,AGS
2023-03-02,6.48,6.6,6.42,6.53,6.53,251560,251600,0.05,0.7716,6.52,"March 02, 23",0.007716,AGS
2023-03-01,6.41,6.56,6.32,6.48,6.48,225538,225500,0.07,1.09,6.46,"March 01, 23",0.0109,AGS
2023-02-28,6.23,6.44,6.23,6.42,6.42,260216,260200,0.19,3.05,6.39,"February 28, 23",0.0305,AGS
2023-02-27,6.26,6.305,6.16,6.17,6.17,73497,73500,-0.09,-1.44,6.22,"February 27, 23",-0.0144,AGS
2023-02-24,6.16,6.26,6.05,6.24,6.24,153592,153600,0.08,1.3,6.18,"February 24, 23",0.013,AGS
2023-02-23,6.27,6.31,6.03,6.18,6.18,230039,230000,-0.09,-1.44,6.13,"February 23, 23",-0.0144,AGS
2023-02-22,6.16,6.33,6.12,6.27,6.27,98675,98700,0.11,1.79,6.24,"February 22, 23",0.0179,AGS
2023-02-21,6.42,6.52,6.11,6.16,6.16,167450,167500,-0.26,-4.05,6.2,"February 21, 23",-0.0405,AGS
2023-02-17,6.46,6.56,6.33,6.49,6.49,439893,439900,0.03,0.4644,6.46,"February 17, 23",0.004644,AGS
2023-02-16,6.51,6.65,6.42,6.46,6.46,206622,206600,-0.05,-0.76805,6.53,"February 16, 23",-0.0076805,AGS
2023-02-15,6.65,6.77,6.54,6.56,6.56,401443,401400,-0.09,-1.35,6.62,"February 15, 23",-0.0135,AGS
2023-02-14,6.44,6.78,6.375,6.69,6.69,434641,434600,0.25,3.88,6.62,"February 14, 23",0.0388,AGS
2023-02-13,6.42,6.525,6.32,6.46,6.46,413695,413700,0.04,0.62305,6.48,"February 13, 23",0.0062305,AGS
2023-02-10,6.46,6.59,6.43,6.44,6.44,195668,195700,-0.02,-0.3096,6.5,"February 10, 23",-0.003096,AGS
2023-02-09,6.56,6.64,6.43,6.49,6.49,258900,258900,-0.07,-1.07,6.53,"February 09, 23",-0.0107,AGS
2023-02-08,6.57,6.63,6.47,6.54,6.54,217961,218000,-0.03,-0.45662,6.56,"February 08, 23",-0.0045662,AGS
2023-02-07,6.75,6.82,6.34,6.62,6.62,245885,245900,-0.13,-1.93,6.58,"February 07, 23",-0.0193,AGS
2023-02-06,6.7,6.955,6.65,6.81,6.81,380156,380200,0.11,1.64,6.81,"February 06, 23",0.0164,AGS
2023-02-03,6.53,6.77,6.53,6.75,6.75,205377,205400,0.22,3.37,6.74,"February 03, 23",0.0337,AGS
2023-02-02,6.7,6.805,6.55,6.63,6.63,218213,218200,-0.07,-1.04,6.7,"February 02, 23",-0.0104,AGS
2023-02-01,6.62,6.74,6.52,6.66,6.66,204288,204300,0.04,0.60423,6.63,"February 01, 23",0.0060423,AGS
2023-01-31,6.25,6.67,6.216,6.61,6.61,602349,602300,0.36,5.76,6.52,"January 31, 23",0.0576,AGS
2023-01-30,6.12,6.36,6.11,6.25,6.25,255172,255200,0.13,2.12,6.25,"January 30, 23",0.0212,AGS
2023-01-27,6.25,6.32,6.1,6.22,6.22,202912,202900,-0.03,-0.48,6.23,"January 27, 23",-0.0048,AGS
2023-01-26,6.12,6.26,6.045,6.24,6.24,290192,290200,0.12,1.96,6.16,"January 26, 23",0.0196,AGS
2023-01-25,5.74,6.175,5.695,6.08,6.08,281282,281300,0.34,5.92,6.04,"January 25, 23",0.0592,AGS
2023-01-24,5.57,5.91,5.57,5.79,5.79,469362,469400,0.22,3.95,5.78,"January 24, 23",0.0395,AGS
2023-01-23,5.35,5.7,5.28,5.67,5.67,470430,470400,0.32,5.98,5.5,"January 23, 23",0.0598,AGS
2023-01-20,5.28,5.465,5.2,5.36,5.36,363914,363900,0.08,1.52,5.38,"January 20, 23",0.0152,AGS
2023-01-19,5.15,5.35,5.01,5.22,5.22,543374,543400,0.07,1.36,5.24,"January 19, 23",0.0136,AGS
2023-01-18,5.09,5.3,5.08,5.15,5.15,752839,752800,0.06,1.18,5.17,"January 18, 23",0.0118,AGS
2023-01-17,5.15,5.2,5.06,5.06,5.06,117607,117600,-0.09,-1.75,5.13,"January 17, 23",-0.0175,AGS
2023-01-13,5.15,5.2,5.06,5.15,5.15,149429,149400,0.0,0.0,5.12,"January 13, 23",0.0,AGS
2023-01-12,5.05,5.215,5.0,5.19,5.19,250664,250700,0.14,2.77,5.16,"January 12, 23",0.0277,AGS
2023-01-11,4.99,5.0284,4.88,5.0,5.0,192564,192600,0.01,0.2004,4.96,"January 11, 23",0.002004,AGS
2023-01-10,5.08,5.13,4.98,5.05,5.05,129304,129300,-0.03,-0.59055,5.05,"January 10, 23",-0.0059055,AGS
2023-01-09,5.19,5.2,5.06,5.06,5.06,160633,160600,-0.13,-2.5,5.11,"January 09, 23",-0.025,AGS
2023-01-06,5.06,5.21,4.95,5.11,5.11,67032,67000,0.05,0.98814,5.12,"January 06, 23",0.0098814,AGS
2023-01-05,5.13,5.21,5.01,5.03,5.03,127919,127900,-0.1,-1.95,5.08,"January 05, 23",-0.0195,AGS
2023-01-04,4.91,5.2,4.91,5.13,5.13,145247,145200,0.22,4.48,5.09,"January 04, 23",0.0448,AGS
2023-01-03,5.12,5.2048,4.89,4.89,4.89,145774,145800,-0.23,-4.49,4.98,"January 03, 23",-0.0449,AGS
2022-12-30,4.82,5.14,4.82,5.1,5.1,155237,155200,0.28,5.81,5.06,"December 30, 22",0.0581,AGS
2022-12-29,4.74,4.9199,4.7122,4.87,4.87,111296,111300,0.13,2.74,4.84,"December 29, 22",0.0274,AGS
2022-12-28,4.81,4.95,4.725,4.75,4.75,180020,180000,-0.06,-1.25,4.78,"December 28, 22",-0.0125,AGS
2022-12-27,4.76,4.95,4.66,4.82,4.82,153918,153900,0.06,1.26,4.85,"December 27, 22",0.0126,AGS
2022-12-23,4.59,4.85,4.55,4.73,4.73,223715,223700,0.14,3.05,4.72,"December 23, 22",0.0305,AGS
2022-12-22,4.54,4.63,4.3801,4.63,4.63,274622,274600,0.09,1.98,4.47,"December 22, 22",0.0198,AGS
2022-12-21,4.7,4.79,4.55,4.55,4.55,194766,194800,-0.15,-3.19,4.65,"December 21, 22",-0.0319,AGS
