date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,17.72,17.865,17.52,17.84,17.84,27739,27177,0.12,0.6772,17.76,"July 11, 23",0.006772,CCNE
2023-07-10,17.79,18.13,17.53,17.65,17.65,22241,22200,-0.14,-0.78696,17.73,"July 10, 23",-0.0078696,CCNE
2023-07-07,17.46,18.03,17.4553,17.9,17.9,81239,81200,0.44,2.52,17.9,"July 07, 23",0.0252,CCNE
2023-07-06,17.61,17.61,17.21,17.44,17.440001,38877,38900,-0.17,-0.96536,17.41,"July 06, 23",-0.0096536,CCNE
2023-07-05,17.63,18.08,17.5988,17.77,17.77,46543,46500,0.14,0.7941,17.88,"July 05, 23",0.007941,CCNE
2023-07-03,17.62,17.99,17.62,17.79,17.790001,26933,26900,0.17,0.96481,17.76,"July 03, 23",0.0096481,CCNE
2023-06-30,18.18,18.18,17.61,17.65,17.65,44731,44700,-0.53,-2.92,17.69,"June 30, 23",-0.0292,CCNE
2023-06-29,18.05,18.4194,17.99,18.04,18.040001,31023,31000,-0.01,-0.05540166,18.11,"June 29, 23",-0.0005540166,CCNE
2023-06-28,17.82,18.11,17.82,17.9,17.9,52651,52700,0.08,0.44893,17.91,"June 28, 23",0.0044893,CCNE
2023-06-27,17.69,18.12,17.53,17.85,17.85,35057,35100,0.16,0.90447,17.91,"June 27, 23",0.0090447,CCNE
2023-06-26,17.77,18.0,17.59,17.59,17.59,50210,50200,-0.18,-1.01,17.73,"June 26, 23",-0.0101,CCNE
2023-06-23,17.34,17.97,17.34,17.77,17.77,313920,313900,0.43,2.48,17.75,"June 23, 23",0.0248,CCNE
2023-06-22,17.74,17.74,17.175,17.58,17.58,38398,38400,-0.16,-0.90192,17.52,"June 22, 23",-0.0090192,CCNE
2023-06-21,18.12,18.15,17.74,17.75,17.75,71415,71400,-0.37,-2.04,17.91,"June 21, 23",-0.0204,CCNE
2023-06-20,18.64,18.69,18.06,18.11,18.110001,63726,63700,-0.53,-2.84,18.22,"June 20, 23",-0.0284,CCNE
2023-06-16,19.45,19.45,18.487,18.64,18.639999,69146,69100,-0.81,-4.16,18.96,"June 16, 23",-0.0416,CCNE
2023-06-15,18.6,19.41,17.97,19.26,19.26,72863,72900,0.66,3.55,19.17,"June 15, 23",0.0355,CCNE
2023-06-14,18.96,19.0,18.52,18.59,18.59,53225,53200,-0.37,-1.95,18.72,"June 14, 23",-0.0195,CCNE
2023-06-13,18.32,18.915,18.32,18.84,18.84,60173,60200,0.52,2.84,18.78,"June 13, 23",0.0284,CCNE
2023-06-12,17.94,18.34,17.8,18.15,18.15,63547,63500,0.21,1.17,18.05,"June 12, 23",0.0117,CCNE
2023-06-09,18.31,18.535,17.68,17.91,17.91,89806,89800,-0.4,-2.18,18.01,"June 09, 23",-0.0218,CCNE
2023-06-08,18.44,18.6,18.285,18.38,18.379999,47767,47800,-0.06,-0.32538,18.39,"June 08, 23",-0.0032538,CCNE
2023-06-07,18.35,18.95,18.32,18.73,18.73,132438,132400,0.38,2.07,18.68,"June 07, 23",0.0207,CCNE
2023-06-06,17.26,18.53,17.26,18.06,18.059999,85236,85200,0.8,4.63,18.17,"June 06, 23",0.0463,CCNE
2023-06-05,17.88,17.88,17.32,17.32,17.32,34406,34400,-0.56,-3.13,17.46,"June 05, 23",-0.0313,CCNE
2023-06-02,17.32,17.9675,17.29,17.9,17.9,106710,106700,0.58,3.35,17.86,"June 02, 23",0.0335,CCNE
2023-06-01,16.92,17.29,16.64,17.07,17.07,48837,48800,0.15,0.88652,17.08,"June 01, 23",0.0088652,CCNE
2023-05-31,16.99,16.99,16.43,16.61,16.610001,53545,53500,-0.38,-2.24,16.61,"May 31, 23",-0.0224,CCNE
2023-05-30,17.86,17.9999,17.21,17.25,17.074999,59697,59700,-0.61,-3.42,17.36,"May 30, 23",-0.0342,CCNE
2023-05-26,17.11,18.0,16.95,17.77,17.589725,96859,96900,0.66,3.86,17.68,"May 26, 23",0.0386,CCNE
2023-05-25,17.22,17.35,16.99,17.17,16.995811,44549,44500,-0.05,-0.29036,17.18,"May 25, 23",-0.0029036,CCNE
2023-05-24,18.03,18.03,17.33,17.34,17.164087,51988,52000,-0.69,-3.83,17.51,"May 24, 23",-0.0383,CCNE
2023-05-23,17.83,18.62,17.78,18.2,18.015362,66832,66800,0.37,2.08,18.23,"May 23, 23",0.0208,CCNE
2023-05-22,17.67,17.98,17.46,17.95,17.767899,40736,40700,0.28,1.58,17.83,"May 22, 23",0.0158,CCNE
2023-05-19,18.19,18.22,17.4,17.49,17.312565,43162,43200,-0.7,-3.85,17.66,"May 19, 23",-0.0385,CCNE
2023-05-18,17.88,18.085,17.72,17.95,17.767899,61954,62000,0.07,0.3915,17.94,"May 18, 23",0.003915,CCNE
2023-05-17,17.17,17.89,17.03,17.84,17.659014,46899,46900,0.67,3.9,17.62,"May 17, 23",0.039,CCNE
2023-05-16,17.21,17.9599,16.96,16.97,16.79784,33326,33300,-0.24,-1.39,17.12,"May 16, 23",-0.0139,CCNE
2023-05-15,16.72,17.2493,16.72,17.09,16.916622,40580,40600,0.37,2.21,17.04,"May 15, 23",0.0221,CCNE
2023-05-12,16.84,17.6557,16.5,16.73,16.560274,42707,42700,-0.11,-0.65321,16.64,"May 12, 23",-0.0065321,CCNE
2023-05-11,16.86,17.2395,16.7,16.8,16.629564,40192,40200,-0.06,-0.35587,16.89,"May 11, 23",-0.0035587,CCNE
2023-05-10,17.39,17.39,16.82,16.98,16.807739,44442,44400,-0.41,-2.36,16.98,"May 10, 23",-0.0236,CCNE
2023-05-09,17.37,17.61,17.01,17.15,16.976013,44739,44700,-0.22,-1.27,17.18,"May 09, 23",-0.0127,CCNE
2023-05-08,18.12,18.14,17.39,17.45,17.272972,53301,53300,-0.67,-3.7,17.54,"May 08, 23",-0.037,CCNE
2023-05-05,17.67,18.02,17.33,17.97,17.787695,52265,52300,0.3,1.7,17.88,"May 05, 23",0.017,CCNE
2023-05-04,17.45,17.5759,16.48,17.33,17.154188,98118,98100,-0.12,-0.68768,17.2,"May 04, 23",-0.0068768,CCNE
2023-05-03,17.67,18.3,17.67,17.73,17.550129,93244,93200,0.06,0.33956,17.96,"May 03, 23",0.0033956,CCNE
2023-05-02,18.67,18.67,17.43,17.71,17.530333,87199,87200,-0.96,-5.14,17.75,"May 02, 23",-0.0514,CCNE
2023-05-01,18.72,18.96,18.46,18.76,18.569681,80718,80700,0.04,0.21368,18.74,"May 01, 23",0.0021368,CCNE
2023-04-28,18.4,18.8902,18.4,18.76,18.569681,67178,67200,0.36,1.96,18.77,"April 28, 23",0.0196,CCNE
2023-04-27,18.43,18.585,18.06,18.44,18.252928,69138,69100,0.01,0.05425936,18.41,"April 27, 23",0.0005425936,CCNE
2023-04-26,18.03,18.57,18.03,18.38,18.193535,92881,92900,0.35,1.94,18.36,"April 26, 23",0.0194,CCNE
2023-04-25,18.39,18.494,18.05,18.07,17.886681,64369,64400,-0.32,-1.74,18.2,"April 25, 23",-0.0174,CCNE
2023-04-24,18.18,18.68,18.06,18.48,18.292521,89328,89300,0.3,1.65,18.44,"April 24, 23",0.0165,CCNE
2023-04-21,17.91,18.16,17.68,18.1,17.916376,117686,117700,0.19,1.06,17.98,"April 21, 23",0.0106,CCNE
2023-04-20,17.95,18.13,17.8501,17.95,17.767899,49708,49700,0.0,0.0,17.98,"April 20, 23",0.0,CCNE
2023-04-19,17.73,18.57,17.67,18.17,17.985666,84975,85000,0.44,2.48,18.2,"April 19, 23",0.0248,CCNE
2023-04-18,18.32,18.47,17.61,17.86,17.678812,67331,67300,-0.46,-2.51,17.82,"April 18, 23",-0.0251,CCNE
2023-04-17,18.05,18.64,17.9007,18.56,18.37171,60214,60200,0.51,2.83,18.31,"April 17, 23",0.0283,CCNE
2023-04-14,18.68,18.8,18.18,18.18,17.995565,96802,96800,-0.5,-2.68,18.35,"April 14, 23",-0.0268,CCNE
2023-04-13,18.13,18.63,18.0801,18.52,18.332115,51226,51200,0.39,2.15,18.47,"April 13, 23",0.0215,CCNE
2023-04-12,18.19,18.34,18.05,18.16,17.975767,51091,51100,-0.03,-0.16493,18.19,"April 12, 23",-0.0016493,CCNE
2023-04-11,18.0,18.335,17.82,18.17,17.985666,116438,116400,0.17,0.94444,18.15,"April 11, 23",0.0094444,CCNE
2023-04-10,17.77,18.63,17.76,17.95,17.767899,47073,47100,0.18,1.01,17.94,"April 10, 23",0.0101,CCNE
2023-04-06,17.75,18.09,17.71,17.86,17.678812,41547,41500,0.11,0.61972,17.9,"April 06, 23",0.0061972,CCNE
2023-04-05,18.08,18.13,17.83,17.86,17.678812,38152,38200,-0.22,-1.22,17.94,"April 05, 23",-0.0122,CCNE
2023-04-04,19.22,19.22,18.11,18.19,18.005465,91291,91300,-1.03,-5.36,18.24,"April 04, 23",-0.0536,CCNE
2023-04-03,19.23,19.4106,18.95,19.14,18.945826,78950,79000,-0.09,-0.46802,19.13,"April 03, 23",-0.0046802,CCNE
2023-03-31,19.05,19.39,18.9,19.2,19.005219,175005,175000,0.15,0.7874,19.19,"March 31, 23",0.007874,CCNE
2023-03-30,19.69,19.69,18.82,18.98,18.787449,46481,46500,-0.71,-3.61,19.1,"March 30, 23",-0.0361,CCNE
2023-03-29,19.76,19.78,19.305,19.61,19.411058,66513,66500,-0.15,-0.75911,19.51,"March 29, 23",-0.0075911,CCNE
2023-03-28,19.88,20.0,19.56,19.72,19.519941,42361,42400,-0.16,-0.80483,19.7,"March 28, 23",-0.0080483,CCNE
2023-03-27,20.09,20.14,19.85,19.92,19.717913,51526,51500,-0.17,-0.84619,19.95,"March 27, 23",-0.0084619,CCNE
2023-03-24,19.4,20.2085,19.01,19.8,19.599129,65701,65700,0.4,2.06,19.68,"March 24, 23",0.0206,CCNE
2023-03-23,19.99,19.99,19.41,19.52,19.321972,55008,55000,-0.47,-2.35,19.6,"March 23, 23",-0.0235,CCNE
2023-03-22,20.87,20.87,19.83,19.83,19.628826,69657,69700,-1.04,-4.98,20.25,"March 22, 23",-0.0498,CCNE
2023-03-21,20.27,20.866,20.11,20.83,20.618681,78334,78300,0.56,2.76,20.69,"March 21, 23",0.0276,CCNE
2023-03-20,19.92,20.235,19.72,19.83,19.628826,87734,87700,-0.09,-0.45181,19.96,"March 20, 23",-0.0045181,CCNE
2023-03-17,20.76,20.99,19.46,19.65,19.450651,195823,195800,-1.11,-5.35,19.9,"March 17, 23",-0.0535,CCNE
2023-03-16,20.41,21.23,19.98,20.92,20.707767,91820,91800,0.51,2.5,20.88,"March 16, 23",0.025,CCNE
2023-03-15,19.57,20.57,18.995,20.41,20.202942,146014,146000,0.84,4.29,20.14,"March 15, 23",0.0429,CCNE
2023-03-14,20.94,21.475,19.745,20.05,19.846594,123819,123800,-0.89,-4.25,20.28,"March 14, 23",-0.0425,CCNE
2023-03-13,21.36,21.94,19.24,19.43,19.232883,175796,175800,-1.93,-9.04,19.85,"March 13, 23",-0.0904,CCNE
2023-03-10,22.35,22.44,21.3,21.76,21.539246,79874,79900,-0.59,-2.64,21.78,"March 10, 23",-0.0264,CCNE
2023-03-09,23.41,23.41,22.38,22.56,22.331129,97997,98000,-0.85,-3.63,22.65,"March 09, 23",-0.0363,CCNE
2023-03-08,23.45,23.56,23.345,23.51,23.271492,50575,50600,0.06,0.25586,23.46,"March 08, 23",0.0025586,CCNE
2023-03-07,23.75,23.75,23.27,23.37,23.132914,46810,46800,-0.38,-1.6,23.4,"March 07, 23",-0.016,CCNE
2023-03-06,23.94,24.02,23.6,23.73,23.48926,86818,86800,-0.21,-0.87719,23.74,"March 06, 23",-0.0087719,CCNE
2023-03-03,23.89,24.12,23.66,23.99,23.746622,41538,41500,0.1,0.41859,23.97,"March 03, 23",0.0041859,CCNE
2023-03-02,23.71,23.93,23.56,23.8,23.55855,49051,49100,0.09,0.37959,23.76,"March 02, 23",0.0037959,CCNE
2023-03-01,23.69,23.89,23.6,23.81,23.568449,45343,45300,0.12,0.50654,23.77,"March 01, 23",0.0050654,CCNE
2023-02-28,23.82,24.025,23.7291,23.84,23.598145,58847,58800,0.02,0.08396306,23.88,"February 28, 23",0.0008396306,CCNE
2023-02-27,24.04,24.18,23.8,23.87,23.454615,37879,37900,-0.17,-0.70715,23.91,"February 27, 23",-0.0070715,CCNE
2023-02-24,23.91,23.97,23.745,23.88,23.464439,35233,35200,-0.03,-0.12547,23.83,"February 24, 23",-0.0012547,CCNE
2023-02-23,24.06,24.25,23.97,24.08,23.660959,47387,47400,0.02,0.08312552,24.13,"February 23, 23",0.0008312552,CCNE
2023-02-22,24.19,24.25,23.84,23.91,23.493919,77429,77400,-0.28,-1.16,23.95,"February 22, 23",-0.0116,CCNE
2023-02-21,24.32,24.5775,23.98,24.19,23.769047,79268,79300,-0.13,-0.53454,24.15,"February 21, 23",-0.0053454,CCNE
