date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,3.02,3.0583,2.92,2.94,2.94,25621,25621,-0.08,-2.65,2.98,"July 11, 23",-0.0265,EPIX
2023-07-10,3.02,3.05,2.8853,3.0,3.0,24252,24300,-0.02,-0.66225,3.0,"July 10, 23",-0.0066225,EPIX
2023-07-07,3.02,3.02,2.945,3.0,3.0,27647,27600,-0.02,-0.66225,2.99,"July 07, 23",-0.0066225,EPIX
2023-07-06,2.96,3.02,2.7414,2.99,2.99,38672,38700,0.03,1.01,2.92,"July 06, 23",0.0101,EPIX
2023-07-05,2.67,3.03,2.67,3.0,3.0,133842,133800,0.33,12.36,2.88,"July 05, 23",0.1236,EPIX
2023-07-03,2.78,2.81,2.6309,2.7,2.7,50654,50700,-0.08,-2.88,2.69,"July 03, 23",-0.0288,EPIX
2023-06-30,2.81,2.81,2.68,2.7,2.7,76477,76500,-0.11,-3.91,2.76,"June 30, 23",-0.0391,EPIX
2023-06-29,2.81,2.83,2.73,2.8,2.8,12043,12000,-0.01,-0.35587,2.77,"June 29, 23",-0.0035587,EPIX
2023-06-28,2.86,2.86,2.76,2.76,2.76,144826,144800,-0.1,-3.5,2.81,"June 28, 23",-0.035,EPIX
2023-06-27,2.9333,2.9333,2.8105,2.87,2.87,20015,20000,-0.0633,-2.16,2.88,"June 27, 23",-0.0216,EPIX
2023-06-26,2.83,3.02,2.83,2.9,2.9,94712,94700,0.07,2.47,2.94,"June 26, 23",0.0247,EPIX
2023-06-23,2.89,3.0,2.8,2.8,2.8,42160,42200,-0.09,-3.11,2.92,"June 23, 23",-0.0311,EPIX
2023-06-22,3.075,3.075,2.9,2.9,2.9,13344,13300,-0.175,-5.69,3.0,"June 22, 23",-0.0569,EPIX
2023-06-21,3.09,3.18,2.97,3.05,3.05,37221,37200,-0.04,-1.29,3.09,"June 21, 23",-0.0129,EPIX
2023-06-20,3.14,3.26,3.09,3.13,3.13,40175,40200,-0.01,-0.31847,3.15,"June 20, 23",-0.0031847,EPIX
2023-06-16,3.28,3.28,3.12,3.19,3.19,44705,44700,-0.09,-2.74,3.18,"June 16, 23",-0.0274,EPIX
2023-06-15,3.15,3.28,3.01,3.25,3.25,51110,51100,0.1,3.17,3.19,"June 15, 23",0.0317,EPIX
2023-06-14,3.22,3.31,3.13,3.2,3.2,18388,18400,-0.02,-0.62112,3.22,"June 14, 23",-0.0062112,EPIX
2023-06-13,3.26,3.2645,3.2,3.21,3.21,11196,11200,-0.05,-1.53,3.23,"June 13, 23",-0.0153,EPIX
2023-06-12,3.17,3.27,3.15,3.21,3.21,17608,17600,0.04,1.26,3.21,"June 12, 23",0.0126,EPIX
2023-06-09,3.21,3.25,3.16,3.23,3.23,19726,19700,0.02,0.62305,3.23,"June 09, 23",0.0062305,EPIX
2023-06-08,3.39,3.4452,3.14,3.17,3.17,41566,41600,-0.22,-6.49,3.28,"June 08, 23",-0.0649,EPIX
2023-06-07,3.03,3.48,3.03,3.34,3.34,76001,76000,0.31,10.23,3.17,"June 07, 23",0.1023,EPIX
2023-06-06,3.02,3.05,2.9214,3.025,3.025,17303,17200,0.005,0.16556,3.0,"June 06, 23",0.0016556,EPIX
2023-06-05,3.09,3.09,3.0171,3.02,3.02,27653,27700,-0.07,-2.27,3.04,"June 05, 23",-0.0227,EPIX
2023-06-02,2.99,3.05,2.9401,3.05,3.05,20583,20600,0.06,2.01,2.99,"June 02, 23",0.0201,EPIX
2023-06-01,2.875,3.07,2.7845,2.99,2.99,34359,34400,0.115,4.0,2.98,"June 01, 23",0.04,EPIX
2023-05-31,2.8,3.01,2.8,3.0,3.0,39693,39700,0.2,7.14,2.97,"May 31, 23",0.0714,EPIX
2023-05-30,3.05,3.05,2.7911,2.93,2.93,89176,89200,-0.12,-3.93,2.9,"May 30, 23",-0.0393,EPIX
2023-05-26,3.15,3.15,2.925,3.03,3.03,33846,33800,-0.12,-3.81,3.03,"May 26, 23",-0.0381,EPIX
2023-05-25,2.94,3.15,2.8,3.15,3.15,105417,105400,0.21,7.14,3.06,"May 25, 23",0.0714,EPIX
2023-05-24,3.09,3.12,2.88,2.95,2.95,16428,16300,-0.14,-4.53,3.01,"May 24, 23",-0.0453,EPIX
2023-05-23,2.95,3.1399,2.92,3.06,3.06,30386,30400,0.11,3.73,3.02,"May 23, 23",0.0373,EPIX
2023-05-22,2.79,3.03,2.72,2.97,2.97,43909,43900,0.18,6.45,2.9,"May 22, 23",0.0645,EPIX
2023-05-19,3.0,3.0,2.76,2.79,2.79,17040,17000,-0.21,-7.0,2.86,"May 19, 23",-0.07,EPIX
2023-05-18,2.99,3.1499,2.9,3.02,3.02,36657,36700,0.03,1.0,3.0,"May 18, 23",0.01,EPIX
2023-05-17,2.9,2.99,2.9,2.97,2.97,10790,10800,0.07,2.41,2.97,"May 17, 23",0.0241,EPIX
2023-05-16,2.99,2.99,2.91,2.95,2.95,16926,16900,-0.04,-1.34,2.96,"May 16, 23",-0.0134,EPIX
2023-05-15,3.01,3.01,2.855,2.92,2.92,19742,19700,-0.09,-2.99,2.92,"May 15, 23",-0.0299,EPIX
2023-05-12,2.95,3.02,2.82,3.0,3.0,66171,66200,0.05,1.69,2.98,"May 12, 23",0.0169,EPIX
2023-05-11,2.82,3.0,2.77,2.98,2.98,60798,60800,0.16,5.67,2.96,"May 11, 23",0.0567,EPIX
2023-05-10,2.9,3.0,2.73,2.8,2.8,38907,38900,-0.1,-3.45,2.86,"May 10, 23",-0.0345,EPIX
2023-05-09,2.945,3.0,2.87,2.98,2.98,57229,57200,0.035,1.19,2.96,"May 09, 23",0.0119,EPIX
2023-05-08,2.98,3.02,2.88,2.92,2.92,35160,35200,-0.06,-2.01,2.96,"May 08, 23",-0.0201,EPIX
2023-05-05,2.94,3.005,2.91,2.97,2.97,11569,11600,0.03,1.02,2.97,"May 05, 23",0.0102,EPIX
2023-05-04,2.85,3.0,2.71,2.94,2.94,53743,53700,0.09,3.16,2.94,"May 04, 23",0.0316,EPIX
2023-05-03,2.63,2.87,2.56,2.85,2.85,104983,105000,0.22,8.37,2.82,"May 03, 23",0.0837,EPIX
2023-05-02,2.69,2.7199,2.6,2.6,2.6,15065,15100,-0.09,-3.35,2.64,"May 02, 23",-0.0335,EPIX
2023-05-01,2.76,2.82,2.66,2.7,2.7,30140,30100,-0.06,-2.17,2.75,"May 01, 23",-0.0217,EPIX
2023-04-28,2.73,2.7904,2.58,2.75,2.75,54206,54200,0.02,0.7326,2.73,"April 28, 23",0.007326,EPIX
2023-04-27,2.68,2.72,2.605,2.72,2.72,29326,29300,0.04,1.49,2.68,"April 27, 23",0.0149,EPIX
2023-04-26,2.6276,2.7024,2.6276,2.69,2.69,9178,9200,0.0624,2.37,2.67,"April 26, 23",0.0237,EPIX
2023-04-25,2.7,2.71,2.58,2.68,2.68,57025,57000,-0.02,-0.74074,2.65,"April 25, 23",-0.0074074,EPIX
2023-04-24,2.77,2.77,2.6457,2.71,2.71,24741,24700,-0.06,-2.17,2.7,"April 24, 23",-0.0217,EPIX
2023-04-21,2.73,2.8,2.7,2.78,2.78,25605,25600,0.05,1.83,2.73,"April 21, 23",0.0183,EPIX
2023-04-20,2.81,2.83,2.68,2.77,2.77,10189,10200,-0.04,-1.42,2.77,"April 20, 23",-0.0142,EPIX
2023-04-19,2.8,2.86,2.8,2.84,2.84,3434,3400,0.04,1.43,2.82,"April 19, 23",0.0143,EPIX
2023-04-18,2.82,2.925,2.7801,2.84,2.84,39573,39500,0.02,0.70922,2.87,"April 18, 23",0.0070922,EPIX
2023-04-17,2.78,2.86,2.78,2.82,2.82,13704,13700,0.04,1.44,2.83,"April 17, 23",0.0144,EPIX
2023-04-14,2.85,2.85,2.7,2.77,2.77,94899,94900,-0.08,-2.81,2.75,"April 14, 23",-0.0281,EPIX
2023-04-13,2.73,2.99,2.65,2.82,2.82,206608,206600,0.09,3.3,2.85,"April 13, 23",0.033,EPIX
2023-04-12,3.0,3.0308,2.65,2.75,2.75,396181,396100,-0.25,-8.33,2.79,"April 12, 23",-0.0833,EPIX
2023-04-11,2.94,3.02,2.84,2.92,2.92,43655,43700,-0.02,-0.68027,2.92,"April 11, 23",-0.0068027,EPIX
2023-04-10,3.06,3.06,2.82,2.94,2.94,23479,23500,-0.12,-3.92,2.94,"April 10, 23",-0.0392,EPIX
2023-04-06,2.87,3.07,2.75,3.04,3.04,185914,185900,0.17,5.92,2.99,"April 06, 23",0.0592,EPIX
2023-04-05,2.8,2.95,2.62,2.91,2.91,190192,190200,0.11,3.93,2.86,"April 05, 23",0.0393,EPIX
2023-04-04,3.05,3.1,2.76,2.8,2.8,49610,49600,-0.25,-8.2,2.86,"April 04, 23",-0.082,EPIX
2023-04-03,3.0,3.0,2.85,2.96,2.96,51022,51000,-0.04,-1.33,2.9,"April 03, 23",-0.0133,EPIX
2023-03-31,2.87,3.0199,2.87,2.97,2.97,58776,58800,0.1,3.48,2.97,"March 31, 23",0.0348,EPIX
2023-03-30,3.07,3.07,2.92,2.95,2.95,14075,14100,-0.12,-3.91,2.98,"March 30, 23",-0.0391,EPIX
2023-03-29,2.98,3.18,2.91,3.07,3.07,156763,156800,0.09,3.02,3.07,"March 29, 23",0.0302,EPIX
2023-03-28,3.1,3.1,2.96,2.98,2.98,120054,120100,-0.12,-3.87,3.04,"March 28, 23",-0.0387,EPIX
2023-03-27,2.9,3.06,2.9,3.06,3.06,133468,133500,0.16,5.52,3.02,"March 27, 23",0.0552,EPIX
2023-03-24,2.94,3.0,2.86,2.9,2.9,26917,26900,-0.04,-1.36,2.91,"March 24, 23",-0.0136,EPIX
2023-03-23,3.07,3.14,2.945,3.0,3.0,77670,77700,-0.07,-2.28,3.01,"March 23, 23",-0.0228,EPIX
2023-03-22,3.07,3.1711,2.73,2.97,2.97,106723,106700,-0.1,-3.26,2.96,"March 22, 23",-0.0326,EPIX
2023-03-21,3.02,3.19,2.96,3.05,3.05,198092,198100,0.03,0.99338,3.07,"March 21, 23",0.0099338,EPIX
2023-03-20,2.95,3.19,2.94,3.0,3.0,182313,182300,0.05,1.69,3.05,"March 20, 23",0.0169,EPIX
2023-03-17,3.02,3.05,2.87,2.97,2.97,73299,73300,-0.05,-1.66,2.97,"March 17, 23",-0.0166,EPIX
2023-03-16,2.85,3.14,2.835,3.07,3.07,138747,136500,0.22,7.72,3.05,"March 16, 23",0.0772,EPIX
2023-03-15,2.82,2.93,2.82,2.88,2.88,44677,44700,0.06,2.13,2.86,"March 15, 23",0.0213,EPIX
2023-03-14,2.81,2.93,2.81,2.85,2.85,57962,58000,0.04,1.42,2.85,"March 14, 23",0.0142,EPIX
2023-03-13,2.75,2.99,2.63,2.77,2.77,72101,72100,0.02,0.72727,2.81,"March 13, 23",0.0072727,EPIX
2023-03-10,2.7563,2.83,2.57,2.75,2.75,154919,154900,-0.0063,-0.22857,2.68,"March 10, 23",-0.0022857,EPIX
2023-03-09,2.83,2.88,2.7101,2.83,2.83,130405,130400,0.0,0.0,2.81,"March 09, 23",0.0,EPIX
