date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,78.61,78.63,77.22,78.32,78.32,4274945,4259426,-0.29,-0.36891,77.9,"July 11, 23",-0.0036891,FTNT
2023-07-10,74.79,78.66,74.79,77.86,77.860001,8176651,8176700,3.07,4.1,77.73,"July 10, 23",0.041,FTNT
2023-07-07,74.41,75.46,73.99,74.68,74.68,4011783,4011700,0.27,0.36285,74.85,"July 07, 23",0.0036285,FTNT
2023-07-06,73.84,74.765,72.45,74.65,74.650002,4330011,4329100,0.81,1.1,73.97,"July 06, 23",0.011,FTNT
2023-07-05,74.415,74.71,74.01,74.31,74.309998,3763947,3763800,-0.105,-0.1411,74.42,"July 05, 23",-0.001411,FTNT
2023-07-03,75.3,75.36,73.65,74.66,74.660004,2253856,2253900,-0.64,-0.84993,74.43,"July 03, 23",-0.0084993,FTNT
2023-06-30,75.55,76.27,75.26,75.59,75.589996,4578622,4578400,0.04,0.05294507,75.7,"June 30, 23",0.0005294507,FTNT
2023-06-29,74.54,75.3,73.9,75.09,75.089996,6114359,6114400,0.55,0.73786,74.72,"June 29, 23",0.0073786,FTNT
2023-06-28,73.49,74.93,72.95,74.33,74.330002,5834392,5834400,0.84,1.14,74.22,"June 28, 23",0.0114,FTNT
2023-06-27,71.64,73.89,71.55,73.66,73.660004,4602492,4602500,2.02,2.82,73.23,"June 27, 23",0.0282,FTNT
2023-06-26,71.69,72.72,70.895,71.06,71.059998,3416560,3416400,-0.63,-0.87878,71.59,"June 26, 23",-0.0087878,FTNT
2023-06-23,71.11,71.76,70.15,71.59,71.589996,14856242,14856000,0.48,0.67501,71.46,"June 23, 23",0.0067501,FTNT
2023-06-22,71.11,72.24,70.81,71.86,71.860001,3234243,3234000,0.75,1.05,71.68,"June 22, 23",0.0105,FTNT
2023-06-21,71.66,71.84,70.58,71.11,71.110001,7128115,7128100,-0.55,-0.76751,71.16,"June 21, 23",-0.0076751,FTNT
2023-06-20,72.45,72.77,70.92,71.66,71.660004,4286343,4286100,-0.79,-1.09,71.75,"June 20, 23",-0.0109,FTNT
2023-06-16,74.455,74.7699,72.37,72.78,72.779999,10916028,10915700,-1.675,-2.25,73.02,"June 16, 23",-0.0225,FTNT
2023-06-15,71.29,73.85,71.15,73.59,73.589996,5438003,5438000,2.3,3.23,73.0,"June 15, 23",0.0323,FTNT
2023-06-14,70.07,71.59,69.6963,71.48,71.480003,4875365,4875400,1.41,2.01,70.86,"June 14, 23",0.0201,FTNT
2023-06-13,70.5,70.748,69.36,70.49,70.489998,4761604,4761600,-0.01,-0.0141844,70.19,"June 13, 23",-0.000141844,FTNT
2023-06-12,68.2,69.9789,68.13,69.84,69.839996,5488105,5487200,1.64,2.4,69.43,"June 12, 23",0.024,FTNT
2023-06-09,68.95,69.8,67.01,68.01,68.010002,4213274,4212700,-0.94,-1.36,68.06,"June 09, 23",-0.0136,FTNT
2023-06-08,67.07,69.35,67.02,69.0,69.0,4743162,4742700,1.93,2.88,68.79,"June 08, 23",0.0288,FTNT
2023-06-07,69.54,69.93,66.84,67.06,67.059998,5446399,5446400,-2.48,-3.57,67.55,"June 07, 23",-0.0357,FTNT
2023-06-06,71.35,71.38,68.84,69.54,69.540001,5112953,5113000,-1.81,-2.54,69.62,"June 06, 23",-0.0254,FTNT
