date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,15.7,15.925,15.59,15.89,15.89,1048614,1048614,0.19,1.21,15.83,"July 11, 23",0.0121,JBGS
2023-07-10,15.55,15.72,15.49,15.57,15.57,2202852,2202900,0.02,0.12862,15.58,"July 10, 23",0.0012862,JBGS
2023-07-07,15.23,15.835,15.23,15.69,15.69,1595327,1595300,0.46,3.02,15.66,"July 07, 23",0.0302,JBGS
2023-07-06,15.42,15.54,15.03,15.34,15.34,1749169,1749200,-0.08,-0.51881,15.34,"July 06, 23",-0.0051881,JBGS
2023-07-05,15.66,15.935,15.45,15.63,15.63,1384829,1384800,-0.03,-0.19157,15.72,"July 05, 23",-0.0019157,JBGS
2023-07-03,15.04,15.78,15.0375,15.78,15.78,1089042,1089000,0.74,4.92,15.59,"July 03, 23",0.0492,JBGS
2023-06-30,14.85,15.095,14.61,15.04,15.04,2064596,2064600,0.19,1.28,14.98,"June 30, 23",0.0128,JBGS
2023-06-29,14.46,14.725,14.425,14.71,14.71,1013655,1013700,0.25,1.73,14.62,"June 29, 23",0.0173,JBGS
2023-06-28,14.86,14.86,14.265,14.47,14.47,1616821,1616800,-0.39,-2.62,14.48,"June 28, 23",-0.0262,JBGS
2023-06-27,14.32,15.005,14.22,14.82,14.82,1643926,1643900,0.5,3.49,14.81,"June 27, 23",0.0349,JBGS
2023-06-26,13.59,14.48,13.5716,14.32,14.32,2515353,2515400,0.73,5.37,14.3,"June 26, 23",0.0537,JBGS
2023-06-23,14.0,14.18,13.51,13.58,13.58,16180439,16180400,-0.42,-3.0,13.61,"June 23, 23",-0.03,JBGS
2023-06-22,14.73,14.78,14.08,14.1,14.1,1965432,1965400,-0.63,-4.28,14.24,"June 22, 23",-0.0428,JBGS
2023-06-21,15.01,15.095,14.82,14.93,14.705001,1413094,1413100,-0.08,-0.53298,14.98,"June 21, 23",-0.0053298,JBGS
2023-06-20,15.34,15.385,14.935,15.15,14.921684,1421146,1421100,-0.19,-1.24,15.18,"June 20, 23",-0.0124,JBGS
2023-06-16,15.57,15.6,15.265,15.35,15.118671,2997175,2997200,-0.22,-1.41,15.36,"June 16, 23",-0.0141,JBGS
2023-06-15,15.22,15.45,15.09,15.45,15.217163,1023969,1024000,0.23,1.51,15.35,"June 15, 23",0.0151,JBGS
2023-06-14,15.57,15.72,15.13,15.28,15.049726,1119948,1119900,-0.29,-1.86,15.36,"June 14, 23",-0.0186,JBGS
2023-06-13,15.44,15.725,15.34,15.42,15.187615,1479921,1479900,-0.02,-0.12953,15.49,"June 13, 23",-0.0012953,JBGS
2023-06-12,15.37,15.63,15.24,15.41,15.177766,1469281,1469300,0.04,0.26025,15.41,"June 12, 23",0.0026025,JBGS
2023-06-09,15.35,15.39,15.15,15.32,15.089123,1645419,1645400,-0.03,-0.19544,15.3,"June 09, 23",-0.0019544,JBGS
2023-06-08,15.71,15.71,15.28,15.43,15.197465,1775426,1775400,-0.28,-1.78,15.44,"June 08, 23",-0.0178,JBGS
2023-06-07,15.21,15.8,15.15,15.73,15.492944,2947364,2947400,0.52,3.42,15.62,"June 07, 23",0.0342,JBGS
2023-06-06,14.62,15.23,14.49,15.08,14.852739,1998084,1998100,0.46,3.15,14.98,"June 06, 23",0.0315,JBGS
2023-06-05,14.45,14.59,14.16,14.53,14.311028,2693340,2596800,0.08,0.55363,14.48,"June 05, 23",0.0055363,JBGS
2023-06-02,14.32,14.94,14.32,14.61,14.389822,2587437,2587400,0.29,2.03,14.72,"June 02, 23",0.0203,JBGS
2023-06-01,14.16,14.31,13.935,14.09,13.87766,2333650,2333700,-0.07,-0.49435,14.14,"June 01, 23",-0.0049435,JBGS
2023-05-31,14.2,14.32,14.1,14.16,13.946604,2135056,2135100,-0.04,-0.28169,14.18,"May 31, 23",-0.0028169,JBGS
2023-05-30,14.08,14.2,14.07,14.2,13.966303,40663,1594000,0.12,0.85227,14.15,"May 30, 23",0.0085227,JBGS
2023-05-26,13.89,14.186,13.88,14.1,13.887509,1598622,1598600,0.21,1.51,14.07,"May 26, 23",0.0151,JBGS
2023-05-25,14.18,14.18,13.9,13.9,13.690522,2324352,2324400,-0.28,-1.97,13.99,"May 25, 23",-0.0197,JBGS
2023-05-24,15.01,15.09,14.22,14.28,14.064795,2865040,2865000,-0.73,-4.86,14.4,"May 24, 23",-0.0486,JBGS
2023-05-23,15.38,15.83,15.1,15.16,14.931534,2113311,2113100,-0.22,-1.43,15.41,"May 23, 23",-0.0143,JBGS
2023-05-22,15.22,15.51,15.045,15.34,15.108822,1441517,1441500,0.12,0.78844,15.38,"May 22, 23",0.0078844,JBGS
2023-05-19,15.23,15.41,15.115,15.18,14.951233,1989637,1989600,-0.05,-0.3283,15.22,"May 19, 23",-0.003283,JBGS
2023-05-18,14.93,15.145,14.88,15.11,14.882287,1758973,1759000,0.18,1.21,15.03,"May 18, 23",0.0121,JBGS
2023-05-17,14.6,15.02,14.52,15.01,14.783794,2367649,2367600,0.41,2.81,14.86,"May 17, 23",0.0281,JBGS
2023-05-16,14.56,14.74,14.53,14.53,14.311028,1749022,1749000,-0.03,-0.20604,14.64,"May 16, 23",-0.0020604,JBGS
2023-05-15,14.82,15.02,14.56,14.69,14.468616,1904706,1904700,-0.13,-0.87719,14.73,"May 15, 23",-0.0087719,JBGS
2023-05-12,15.03,15.03,14.6722,14.8,14.57696,2090144,2090100,-0.23,-1.53,14.77,"May 12, 23",-0.0153,JBGS
2023-05-11,14.91,15.065,14.73,14.94,14.714849,2719081,2719100,0.03,0.20121,14.94,"May 11, 23",0.0020121,JBGS
2023-05-10,14.58,15.21,14.57,15.12,14.892137,2021001,2021000,0.54,3.7,15.01,"May 10, 23",0.037,JBGS
2023-05-09,14.22,14.5186,13.98,14.37,14.15344,1413490,1413500,0.15,1.05,14.32,"May 09, 23",0.0105,JBGS
2023-05-08,14.57,14.65,14.295,14.38,14.163289,982877,982900,-0.19,-1.3,14.44,"May 08, 23",-0.013,JBGS
2023-05-05,14.42,14.62,14.21,14.61,14.389822,1751054,1751000,0.19,1.32,14.46,"May 05, 23",0.0132,JBGS
2023-05-04,14.03,14.28,13.805,14.21,13.995851,1753900,1753900,0.18,1.28,14.12,"May 04, 23",0.0128,JBGS
2023-05-03,14.08,14.405,13.83,14.08,13.86781,3353929,3353900,0.0,0.0,14.11,"May 03, 23",0.0,JBGS
2023-05-02,14.22,14.28,13.72,13.93,13.720071,1830125,1830100,-0.29,-2.04,13.92,"May 02, 23",-0.0204,JBGS
2023-05-01,14.27,14.425,14.12,14.27,14.054947,2205345,2205300,0.0,0.0,14.29,"May 01, 23",0.0,JBGS
