date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,16.14,16.42,16.14,16.39,16.389999,125078,121101,0.25,1.55,16.31,"July 11, 23",0.0155,LAND
2023-07-10,16.24,16.31,16.08,16.13,16.129999,123444,123400,-0.11,-0.67734,16.17,"July 10, 23",-0.0067734,LAND
2023-07-07,16.21,16.412,16.07,16.25,16.25,110331,110300,0.04,0.24676,16.28,"July 07, 23",0.0024676,LAND
2023-07-06,16.21,16.27,15.86,16.22,16.219999,124204,124200,0.01,0.06169031,16.11,"July 06, 23",0.0006169031,LAND
2023-07-05,16.36,16.6,16.13,16.36,16.360001,137558,137500,0.0,0.0,16.45,"July 05, 23",0.0,LAND
2023-07-03,16.21,16.52,16.17,16.46,16.459999,72695,72700,0.25,1.54,16.41,"July 03, 23",0.0154,LAND
2023-06-30,16.71,16.71,16.05,16.27,16.27,251447,251400,-0.44,-2.63,16.25,"June 30, 23",-0.0263,LAND
2023-06-29,16.12,16.5,16.0701,16.5,16.5,96260,96200,0.38,2.36,16.41,"June 29, 23",0.0236,LAND
2023-06-28,16.44,16.44,16.12,16.14,16.139999,120481,120500,-0.3,-1.82,16.22,"June 28, 23",-0.0182,LAND
2023-06-27,16.4,16.58,16.34,16.44,16.440001,129110,129000,0.04,0.2439,16.48,"June 27, 23",0.002439,LAND
2023-06-26,15.95,16.48,15.945,16.36,16.360001,142207,142200,0.41,2.57,16.35,"June 26, 23",0.0257,LAND
2023-06-23,15.93,16.1799,15.8523,15.94,15.94,860171,860200,0.01,0.06277464,15.94,"June 23, 23",0.0006277464,LAND
2023-06-22,16.31,16.31,16.0,16.11,16.110001,124071,124000,-0.2,-1.23,16.1,"June 22, 23",-0.0123,LAND
2023-06-21,16.55,16.595,16.27,16.3,16.299999,172437,172400,-0.25,-1.51,16.38,"June 21, 23",-0.0151,LAND
2023-06-20,17.21,17.21,16.57,16.57,16.57,182025,181900,-0.64,-3.72,16.73,"June 20, 23",-0.0372,LAND
2023-06-16,17.35,17.35,17.15,17.24,17.194,238389,238400,-0.11,-0.63401,17.26,"June 16, 23",-0.0063401,LAND
2023-06-15,17.19,17.365,17.1,17.26,17.213947,187570,187500,0.07,0.40721,17.25,"June 15, 23",0.0040721,LAND
2023-06-14,17.1,17.39,17.08,17.2,17.154108,145707,145700,0.1,0.5848,17.19,"June 14, 23",0.005848,LAND
2023-06-13,17.23,17.43,17.05,17.08,17.08,166694,166700,-0.15,-0.87057,17.2,"June 13, 23",-0.0087057,LAND
2023-06-12,17.2,17.38,17.02,17.19,17.190001,152300,152300,-0.01,-0.05813953,17.18,"June 12, 23",-0.0005813953,LAND
2023-06-09,17.34,17.34,17.005,17.16,17.16,112785,112700,-0.18,-1.04,17.17,"June 09, 23",-0.0104,LAND
2023-06-08,17.34,17.45,16.87,17.34,17.34,180379,180300,0.0,0.0,17.17,"June 08, 23",0.0,LAND
2023-06-07,17.16,17.48,17.16,17.37,17.370001,263484,263500,0.21,1.22,17.35,"June 07, 23",0.0122,LAND
2023-06-06,16.49,17.1,16.4101,17.04,17.040001,221689,221700,0.55,3.34,16.96,"June 06, 23",0.0334,LAND
2023-06-05,16.45,16.77,16.38,16.43,16.43,173148,173000,-0.02,-0.12158,16.55,"June 05, 23",-0.0012158,LAND
2023-06-02,16.07,16.51,16.07,16.49,16.49,208924,208900,0.42,2.61,16.36,"June 02, 23",0.0261,LAND
2023-06-01,15.85,15.9997,15.62,15.89,15.89,146797,146700,0.04,0.25237,15.88,"June 01, 23",0.0025237,LAND
2023-05-31,15.66,15.87,15.66,15.81,15.81,205217,205200,0.15,0.95785,15.78,"May 31, 23",0.0095785,LAND
2023-05-30,15.37,15.899,15.37,15.77,15.77,201460,201300,0.4,2.6,15.72,"May 30, 23",0.026,LAND
2023-05-26,15.15,15.42,15.101,15.39,15.39,126916,126800,0.24,1.58,15.31,"May 26, 23",0.0158,LAND
2023-05-25,15.15,15.27,15.0,15.16,15.16,153215,153200,0.01,0.0660066,15.15,"May 25, 23",0.000660066,LAND
2023-05-24,15.63,15.73,15.2101,15.24,15.24,201061,201000,-0.39,-2.5,15.38,"May 24, 23",-0.025,LAND
2023-05-23,15.4,15.82,15.39,15.7,15.7,211050,211000,0.3,1.95,15.66,"May 23, 23",0.0195,LAND
2023-05-22,15.23,15.44,15.1,15.39,15.39,148566,148500,0.16,1.05,15.34,"May 22, 23",0.0105,LAND
2023-05-19,15.45,15.5,15.1701,15.22,15.174001,149852,149700,-0.23,-1.49,15.29,"May 19, 23",-0.0149,LAND
2023-05-18,15.2,15.41,15.05,15.31,15.263729,185309,185300,0.11,0.72368,15.3,"May 18, 23",0.0072368,LAND
2023-05-17,15.14,15.3038,14.99,15.23,15.183969,165868,165800,0.09,0.59445,15.17,"May 17, 23",0.0059445,LAND
2023-05-16,15.38,15.4,15.02,15.04,14.994544,168213,168200,-0.34,-2.21,15.15,"May 16, 23",-0.0221,LAND
2023-05-15,15.6,15.659,15.1301,15.37,15.323547,162014,162000,-0.23,-1.47,15.34,"May 15, 23",-0.0147,LAND
2023-05-12,15.58,15.72,15.34,15.57,15.522943,217555,217500,-0.01,-0.06418485,15.53,"May 12, 23",-0.0006418485,LAND
2023-05-11,15.09,15.58,15.09,15.55,15.503003,214833,214800,0.46,3.05,15.42,"May 11, 23",0.0305,LAND
2023-05-10,15.53,15.53,15.12,15.2,15.15406,256075,256100,-0.33,-2.12,15.28,"May 10, 23",-0.0212,LAND
