date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,2.3,2.32,2.3,2.32,2.32,3533,3533,0.02,0.86957,2.31,"July 11, 23",0.0086957,MLGO
2023-07-10,2.3,2.34,2.27,2.32,2.32,11041,11000,0.02,0.86957,2.31,"July 10, 23",0.0086957,MLGO
2023-07-07,2.3,2.3603,2.29,2.33,2.33,15449,15400,0.03,1.3,2.32,"July 07, 23",0.013,MLGO
2023-07-06,2.3,2.37,2.2513,2.32,2.32,10311,10300,0.02,0.86957,2.3,"July 06, 23",0.0086957,MLGO
2023-07-05,2.3,2.3694,2.25,2.28,2.28,12570,12600,-0.02,-0.86957,2.3,"July 05, 23",-0.0086957,MLGO
2023-07-03,2.3,2.36,2.3,2.33,2.33,4722,4700,0.03,1.3,2.33,"July 03, 23",0.013,MLGO
2023-06-30,2.3,2.31,2.1,2.31,2.31,32896,32900,0.01,0.43478,2.28,"June 30, 23",0.0043478,MLGO
2023-06-29,2.35,2.35,2.26,2.26,2.26,8900,8900,-0.09,-3.83,2.31,"June 29, 23",-0.0383,MLGO
2023-06-28,2.28,2.45,2.28,2.31,2.31,31476,31500,0.03,1.32,2.33,"June 28, 23",0.0132,MLGO
2023-06-27,2.375,2.38,2.28,2.29,2.29,4155,4200,-0.085,-3.58,2.32,"June 27, 23",-0.0358,MLGO
2023-06-26,2.28,2.41,2.28,2.3186,2.319,8632,8600,0.0386,1.69,2.33,"June 26, 23",0.0169,MLGO
2023-06-23,2.319,2.38,2.3,2.3119,2.312,12290,12300,-0.0071,-0.30617,2.31,"June 23, 23",-0.0030617,MLGO
2023-06-22,2.37,2.3727,2.31,2.35,2.35,7222,7200,-0.02,-0.84388,2.35,"June 22, 23",-0.0084388,MLGO
2023-06-21,2.43,2.48,2.265,2.341,2.341,28953,28900,-0.089,-3.66,2.38,"June 21, 23",-0.0366,MLGO
2023-06-20,2.32,2.37,2.17,2.17,2.17,28670,28500,-0.15,-6.47,2.29,"June 20, 23",-0.0647,MLGO
2023-06-16,2.49,2.69,2.42,2.45,2.45,23557,23600,-0.04,-1.61,2.59,"June 16, 23",-0.0161,MLGO
2023-06-15,2.57,2.63,2.51,2.512,2.512,12707,12700,-0.058,-2.26,2.54,"June 15, 23",-0.0226,MLGO
2023-06-14,2.64,2.76,2.4899,2.57,2.57,52564,52600,-0.07,-2.65,2.57,"June 14, 23",-0.0265,MLGO
2023-06-13,2.48,2.61,2.47,2.51,2.51,75861,75900,0.03,1.21,2.51,"June 13, 23",0.0121,MLGO
2023-06-12,2.63,2.78,2.5201,2.59,2.59,35528,35500,-0.04,-1.52,2.65,"June 12, 23",-0.0152,MLGO
2023-06-09,2.5,2.79,2.5,2.6501,2.65,105386,105300,0.1501,6.0,2.71,"June 09, 23",0.06,MLGO
2023-06-08,2.34,2.55,2.3101,2.4846,2.485,75270,75300,0.1446,6.18,2.43,"June 08, 23",0.0618,MLGO
2023-06-07,2.27,2.41,2.27,2.3609,2.361,19535,19500,0.0909,4.0,2.35,"June 07, 23",0.04,MLGO
2023-06-06,2.27,2.365,2.26,2.301,2.301,29713,29700,0.031,1.37,2.31,"June 06, 23",0.0137,MLGO
2023-06-05,2.3,2.38,2.24,2.271,2.271,47823,47800,-0.029,-1.26,2.3,"June 05, 23",-0.0126,MLGO
2023-06-02,2.32,2.37,2.23,2.26,2.26,41777,38300,-0.06,-2.59,2.28,"June 02, 23",-0.0259,MLGO
2023-06-01,2.46,2.58,2.32,2.4301,2.43,47218,47200,-0.0299,-1.22,2.43,"June 01, 23",-0.0122,MLGO
2023-05-31,2.29,2.45,2.28,2.3179,2.318,53701,53700,0.0279,1.22,2.35,"May 31, 23",0.0122,MLGO
2023-05-30,2.15,2.35,2.1489,2.291,2.291,72661,72600,0.141,6.56,2.24,"May 30, 23",0.0656,MLGO
2023-05-26,2.14,2.24,2.14,2.17,2.17,34240,34200,0.03,1.4,2.17,"May 26, 23",0.014,MLGO
2023-05-25,2.14,2.34,2.13,2.19,2.19,77385,77400,0.05,2.34,2.19,"May 25, 23",0.0234,MLGO
2023-05-24,2.1603,2.25,2.14,2.16,2.16,45075,45100,-0.0003,-0.01388696,2.17,"May 24, 23",-0.0001388696,MLGO
2023-05-23,2.16,2.36,2.15,2.18,2.18,62323,62300,0.02,0.92593,2.2,"May 23, 23",0.0092593,MLGO
2023-05-22,2.19,2.25,2.12,2.18,2.18,40652,40700,-0.01,-0.45662,2.16,"May 22, 23",-0.0045662,MLGO
2023-05-19,2.11,2.46,2.11,2.19,2.19,99876,98100,0.08,3.79,2.22,"May 19, 23",0.0379,MLGO
2023-05-18,2.07,2.17,2.07,2.14,2.14,34587,34600,0.07,3.38,2.12,"May 18, 23",0.0338,MLGO
2023-05-17,2.12,2.24,2.1101,2.14,2.14,47103,47100,0.02,0.9434,2.16,"May 17, 23",0.009434,MLGO
2023-05-16,2.15,2.15,2.05,2.14,2.14,51765,51200,-0.01,-0.46512,2.07,"May 16, 23",-0.0046512,MLGO
2023-05-15,2.07,2.22,2.0512,2.14,2.14,60597,60600,0.07,3.38,2.12,"May 15, 23",0.0338,MLGO
2023-05-12,2.01,2.1,2.01,2.09,2.09,49833,49800,0.08,3.98,2.05,"May 12, 23",0.0398,MLGO
2023-05-11,2.05,2.1,2.0,2.06,2.06,59847,59800,0.01,0.4878,2.05,"May 11, 23",0.004878,MLGO
2023-05-10,1.97,2.1,1.921,2.08,2.08,64132,64000,0.11,5.58,2.02,"May 10, 23",0.0558,MLGO
2023-05-09,1.93,2.0099,1.81,1.96,1.96,166262,166100,0.03,1.55,1.94,"May 09, 23",0.0155,MLGO
2023-05-08,1.9,1.9229,1.82,1.85,1.85,35355,35400,-0.05,-2.63,1.86,"May 08, 23",-0.0263,MLGO
2023-05-05,1.9601,1.97,1.87,1.89,1.89,41746,41700,-0.0701,-3.58,1.96,"May 05, 23",-0.0358,MLGO
2023-05-04,1.9443,2.01,1.85,1.91,1.91,62587,62600,-0.0343,-1.76,1.94,"May 04, 23",-0.0176,MLGO
2023-05-03,1.97,2.065,1.85,1.92,1.92,69962,70000,-0.05,-2.54,1.94,"May 03, 23",-0.0254,MLGO
2023-05-02,2.65,2.65,1.82,2.0,2.0,292577,292600,-0.65,-24.53,2.15,"May 02, 23",-0.2453,MLGO
2023-05-01,1.7,2.78,1.7,2.66,2.66,1164042,1164000,0.96,56.47,2.36,"May 01, 23",0.5647,MLGO
2023-04-28,1.8999,2.05,1.83,1.96,1.96,35282,35300,0.0601,3.16,1.95,"April 28, 23",0.0316,MLGO
2023-04-27,1.83,1.9,1.83,1.9,1.9,19192,19200,0.07,3.83,1.88,"April 27, 23",0.0383,MLGO
2023-04-26,2.05,2.085,1.86,1.87,1.87,68857,68900,-0.18,-8.78,1.98,"April 26, 23",-0.0878,MLGO
2023-04-25,2.05,2.09,2.01,2.06,2.06,74014,74000,0.01,0.4878,2.05,"April 25, 23",0.004878,MLGO
2023-04-24,2.1285,2.13,2.0,2.06,2.06,63312,63300,-0.0685,-3.22,2.08,"April 24, 23",-0.0322,MLGO
2023-04-21,2.1,2.12,2.05,2.11,2.11,71915,71900,0.01,0.47619,2.07,"April 21, 23",0.0047619,MLGO
2023-04-20,2.05,2.14,2.04,2.14,2.14,347518,347400,0.09,4.39,2.06,"April 20, 23",0.0439,MLGO
2023-04-19,2.05,2.1,2.05,2.065,2.065,11341,11300,0.015,0.73171,2.06,"April 19, 23",0.0073171,MLGO
2023-04-18,2.05,2.08,2.03,2.08,2.08,37626,37600,0.03,1.46,2.05,"April 18, 23",0.0146,MLGO
2023-04-17,2.08,2.11,2.05,2.05,2.05,16400,16400,-0.03,-1.44,2.04,"April 17, 23",-0.0144,MLGO
2023-04-14,2.07,2.1499,2.04,2.05,2.05,35167,35200,-0.02,-0.96618,2.06,"April 14, 23",-0.0096618,MLGO
2023-04-13,2.05,2.095,2.05,2.07,2.07,33782,33800,0.02,0.97561,2.06,"April 13, 23",0.0097561,MLGO
2023-04-12,2.05,2.09,2.04,2.08,2.08,53406,53400,0.03,1.46,2.05,"April 12, 23",0.0146,MLGO
2023-04-11,2.05,2.07,2.03,2.05,2.05,132996,133000,0.0,0.0,2.05,"April 11, 23",0.0,MLGO
2023-04-10,2.0,2.1,2.0,2.06,2.06,53325,53300,0.06,3.0,2.05,"April 10, 23",0.03,MLGO
2023-04-06,2.05,2.08,1.99,2.04,2.04,50725,50700,-0.01,-0.4878,2.05,"April 06, 23",-0.004878,MLGO
2023-04-05,2.06,2.07,2.04,2.05,2.05,55845,55800,-0.01,-0.48544,2.05,"April 05, 23",-0.0048544,MLGO
2023-04-04,2.05,2.07,2.0277,2.05,2.05,56817,56800,0.0,0.0,2.05,"April 04, 23",0.0,MLGO
2023-04-03,2.05,2.07,2.03,2.07,2.07,50358,50400,0.02,0.97561,2.05,"April 03, 23",0.0097561,MLGO
2023-03-31,2.02,2.1,2.02,2.07,2.07,40462,40400,0.05,2.48,2.06,"March 31, 23",0.0248,MLGO
2023-03-30,2.0601,2.1,2.0399,2.05,2.05,49025,48900,-0.0101,-0.49027,2.05,"March 30, 23",-0.0049027,MLGO
2023-03-29,2.13,2.13,2.04,2.05,2.05,53341,53300,-0.08,-3.76,2.07,"March 29, 23",-0.0376,MLGO
2023-03-28,2.1,2.12,2.04,2.08,2.08,34465,34500,-0.02,-0.95238,2.06,"March 28, 23",-0.0095238,MLGO
2023-03-27,2.1,2.15,2.0499,2.09,2.09,29551,29500,-0.01,-0.47619,2.07,"March 27, 23",-0.0047619,MLGO
