date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,118.51,120.2835,117.95,120.01,120.010002,2650566,2251063,1.5,1.27,119.64,"July 11, 23",0.0127,MPC
2023-07-10,117.58,118.94,117.15,117.84,117.839996,2582577,2582600,0.26,0.22113,118.12,"July 10, 23",0.0022113,MPC
2023-07-07,113.36,119.1,113.2,118.02,118.019997,4147642,4146500,4.66,4.11,117.6,"July 07, 23",0.0411,MPC
2023-07-06,115.42,115.9,112.82,113.34,113.339996,3084863,3083300,-2.08,-1.8,113.53,"July 06, 23",-0.018,MPC
2023-07-05,117.7,117.9,115.66,116.21,116.209999,2777208,2777100,-1.49,-1.27,116.38,"July 05, 23",-0.0127,MPC
2023-07-03,117.16,118.61,116.835,117.54,117.540001,1537197,1537200,0.38,0.32434,118.0,"July 03, 23",0.0032434,MPC
2023-06-30,116.79,117.47,115.5,116.6,116.599998,2654569,2654500,-0.19,-0.16269,116.71,"June 30, 23",-0.0016269,MPC
2023-06-29,115.25,117.0,115.1,116.34,116.339996,2324891,2324800,1.09,0.94577,116.28,"June 29, 23",0.0094577,MPC
2023-06-28,113.89,115.35,112.885,115.1,115.099998,2514752,2514800,1.21,1.06,114.79,"June 28, 23",0.0106,MPC
2023-06-27,113.14,114.68,112.42,113.98,113.980003,2341864,2341800,0.84,0.74244,114.01,"June 27, 23",0.0074244,MPC
2023-06-26,111.51,113.69,111.27,113.04,113.040001,2352059,2351900,1.53,1.37,112.82,"June 26, 23",0.0137,MPC
2023-06-23,109.71,112.03,109.71,111.64,111.639999,3536104,3535800,1.93,1.76,111.54,"June 23, 23",0.0176,MPC
2023-06-22,110.3,111.89,108.88,111.42,111.419998,2911860,2911800,1.12,1.02,111.0,"June 22, 23",0.0102,MPC
2023-06-21,110.45,113.14,109.94,112.0,112.0,2943570,2943500,1.55,1.4,112.05,"June 21, 23",0.014,MPC
2023-06-20,112.91,113.1297,110.69,110.94,110.940002,3816636,3816300,-1.97,-1.74,111.19,"June 20, 23",-0.0174,MPC
2023-06-16,114.06,114.5,112.59,113.29,113.290001,10770601,10770500,-0.77,-0.67508,113.36,"June 16, 23",-0.0067508,MPC
2023-06-15,111.81,114.49,111.81,113.83,113.830002,3240412,3240400,2.02,1.81,113.72,"June 15, 23",0.0181,MPC
2023-06-14,113.46,114.1,110.64,111.64,111.639999,3152402,3152400,-1.82,-1.6,111.71,"June 14, 23",-0.016,MPC
2023-06-13,113.75,115.6,112.32,112.5,112.5,3174993,3174900,-1.25,-1.1,113.77,"June 13, 23",-0.011,MPC
2023-06-12,111.09,113.83,111.045,112.37,112.370003,3063778,3063500,1.28,1.15,112.64,"June 12, 23",0.0115,MPC
2023-06-09,112.74,113.54,111.22,113.01,113.010002,2699216,2699000,0.27,0.23949,112.85,"June 09, 23",0.0023949,MPC
2023-06-08,114.0,114.59,110.49,112.43,112.43,3811942,3811300,-1.57,-1.38,112.72,"June 08, 23",-0.0138,MPC
2023-06-07,109.13,114.16,108.94,114.12,114.120003,4090925,4090900,4.99,4.57,112.8,"June 07, 23",0.0457,MPC
2023-06-06,107.05,109.41,106.95,109.03,109.029999,2949632,2949600,1.98,1.85,108.87,"June 06, 23",0.0185,MPC
2023-06-05,109.85,110.525,107.6,108.69,108.690002,3001460,2744700,-1.16,-1.06,108.74,"June 05, 23",-0.0106,MPC
2023-06-02,107.94,109.88,106.76,108.91,108.910004,3627588,3627300,0.97,0.89865,108.75,"June 02, 23",0.0089865,MPC
2023-06-01,105.45,107.27,104.815,105.87,105.870003,4180028,4180000,0.42,0.39829,106.31,"June 01, 23",0.0039829,MPC
2023-05-31,105.61,106.55,104.32,104.91,104.910004,12831936,12831900,-0.7,-0.66282,105.08,"May 31, 23",-0.0066282,MPC
2023-05-30,106.54,108.22,106.16,107.79,107.790001,4101954,4101900,1.25,1.17,107.34,"May 30, 23",0.0117,MPC
2023-05-26,110.18,110.3045,107.69,108.81,108.809998,3479350,3479200,-1.37,-1.24,108.84,"May 26, 23",-0.0124,MPC
