date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,4.57,4.97,4.57,4.82,4.82,55251,55251,0.25,5.47,4.79,"July 11, 23",0.0547,OWLT
2023-07-10,4.43,4.84,4.06,4.69,4.69,174186,174200,0.26,5.87,4.39,"July 10, 23",0.0587,OWLT
2023-07-07,4.3764,4.7306,4.0754,4.522,4.522,62673,877424,0.1456,3.33,4.31,"July 07, 23",0.0333,OWLT
2023-07-06,4.48,4.6004,4.06,4.2966,4.298,71420,999888,-0.1834,-4.09,4.3,"July 06, 23",-0.0409,OWLT
2023-07-05,4.76,4.8286,4.48,4.5346,4.536,24580,344125,-0.2254,-4.74,4.65,"July 05, 23",-0.0474,OWLT
2023-07-03,4.97,5.18,4.6662,4.837,4.844,16892,236492,-0.133,-2.68,4.9,"July 03, 23",-0.0268,OWLT
2023-06-30,4.48,5.012,4.48,4.7614,4.76,44140,617961,0.2814,6.28,4.78,"June 30, 23",0.0628,OWLT
2023-06-29,4.9,4.9,4.508,4.697,4.704,26989,377855,-0.203,-4.14,4.64,"June 29, 23",-0.0414,OWLT
2023-06-28,4.774,5.18,4.69,4.7096,4.704,42005,588077,-0.0644,-1.35,4.82,"June 28, 23",-0.0135,OWLT
2023-06-27,5.0834,5.0834,4.6256,4.9126,4.914,71103,995450,-0.1708,-3.36,4.81,"June 27, 23",-0.0336,OWLT
2023-06-26,4.76,5.46,4.62,5.0638,5.068,103104,1443460,0.3038,6.38,5.03,"June 26, 23",0.0638,OWLT
2023-06-23,4.9364,4.9364,4.34,4.8216,4.816,338606,4740495,-0.1148,-2.33,4.75,"June 23, 23",-0.0233,OWLT
2023-06-22,4.83,4.83,4.5122,4.6872,4.69,105619,1478670,-0.1428,-2.96,4.57,"June 22, 23",-0.0296,OWLT
2023-06-21,4.984,5.88,4.69,4.8692,4.872,528001,7392017,-0.1148,-2.3,5.07,"June 21, 23",-0.023,OWLT
2023-06-20,4.0558,5.7232,3.6918,4.83,4.83,2480568,34727953,0.7742,19.09,4.77,"June 20, 23",0.1909,OWLT
2023-06-16,3.3292,3.5,2.9414,3.5,3.5,50724,710140,0.1708,5.13,3.18,"June 16, 23",0.0513,OWLT
2023-06-15,3.241,3.451,2.9232,3.08,3.08,54128,757800,-0.161,-4.97,3.17,"June 15, 23",-0.0497,OWLT
