date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,0.5,0.5195,0.48,0.498,0.498,106254,106254,-0.002,-0.4,0.4958,"July 11, 23",-0.004,SBFM
2023-07-10,0.5029,0.52,0.4705,0.4963,0.496,145744,145700,-0.0066,-1.31,0.5001,"July 10, 23",-0.0131,SBFM
2023-07-07,0.498,0.53105,0.4705,0.5083,0.508,48250,48300,0.0103,2.07,0.5032,"July 07, 23",0.0207,SBFM
2023-07-06,0.49,0.51,0.48,0.4899,0.49,64002,64000,-0.0001,-0.02040816,0.4921,"July 06, 23",-0.0002040816,SBFM
2023-07-05,0.4927,0.513,0.4815,0.508,0.508,77970,78000,0.0153,3.11,0.4946,"July 05, 23",0.0311,SBFM
2023-07-03,0.498,0.51,0.4902,0.508,0.508,43322,43300,0.01,2.01,0.4982,"July 03, 23",0.0201,SBFM
2023-06-30,0.485,0.4945,0.4752,0.4945,0.495,50970,51000,0.0095,1.96,0.4822,"June 30, 23",0.0196,SBFM
2023-06-29,0.496,0.496,0.4702,0.4856,0.486,82833,82800,-0.0104,-2.1,0.4831,"June 29, 23",-0.021,SBFM
2023-06-28,0.4999,0.4999,0.460101,0.492,0.492,75419,75400,-0.0079,-1.58,0.4812,"June 28, 23",-0.0158,SBFM
2023-06-27,0.498,0.5,0.46,0.4798,0.48,216117,216100,-0.0182,-3.65,0.4704,"June 27, 23",-0.0365,SBFM
2023-06-26,0.49,0.5159,0.47,0.4957,0.496,97912,97900,0.0057,1.16,0.4789,"June 26, 23",0.0116,SBFM
2023-06-23,0.519857,0.519857,0.48,0.5,0.5,100683,100700,-0.019857,-3.82,0.497,"June 23, 23",-0.0382,SBFM
2023-06-22,0.5045,0.5183,0.49,0.51,0.51,92734,92600,0.0055,1.09,0.5046,"June 22, 23",0.0109,SBFM
2023-06-21,0.5129,0.53,0.5,0.511,0.511,87377,87200,-0.0019,-0.37044,0.5121,"June 21, 23",-0.0037044,SBFM
2023-06-20,0.53,0.545,0.517,0.5309,0.531,87258,85800,0.0009,0.16981,0.5283,"June 20, 23",0.0016981,SBFM
2023-06-16,0.5577,0.5577,0.52,0.536,0.536,176453,176000,-0.0217,-3.89,0.5341,"June 16, 23",-0.0389,SBFM
2023-06-15,0.525,0.5709,0.52,0.5548,0.555,210824,210800,0.0298,5.68,0.5403,"June 15, 23",0.0568,SBFM
2023-06-14,0.5741,0.576,0.52,0.54,0.54,274480,274500,-0.0341,-5.94,0.5545,"June 14, 23",-0.0594,SBFM
2023-06-13,0.5544,0.579,0.5401,0.5735,0.574,128590,128600,0.0191,3.45,0.5617,"June 13, 23",0.0345,SBFM
2023-06-12,0.57,0.575,0.55,0.5623,0.562,101425,100800,-0.0077,-1.35,0.5621,"June 12, 23",-0.0135,SBFM
2023-06-09,0.58,0.5879,0.5575,0.56,0.56,152572,152500,-0.02,-3.45,0.567,"June 09, 23",-0.0345,SBFM
2023-06-08,0.5888,0.5889,0.56,0.571951,0.572,118082,118100,-0.016849,-2.86,0.5764,"June 08, 23",-0.0286,SBFM
2023-06-07,0.637,0.66,0.5575,0.5888,0.589,2232190,2232200,-0.0482,-7.57,0.6143,"June 07, 23",-0.0757,SBFM
2023-06-06,0.66,0.6701,0.6,0.6236,0.624,150785,150800,-0.0364,-5.52,0.6445,"June 06, 23",-0.0552,SBFM
2023-06-05,0.6552,0.6651,0.637201,0.6651,0.665,43096,43100,0.0099,1.51,0.6522,"June 05, 23",0.0151,SBFM
2023-06-02,0.64,0.6651,0.62,0.6651,0.665,114439,113900,0.0251,3.92,0.6392,"June 02, 23",0.0392,SBFM
2023-06-01,0.6,0.63,0.5902,0.63,0.63,89121,89100,0.03,5.0,0.6186,"June 01, 23",0.05,SBFM
2023-05-31,0.5988,0.61,0.59,0.61,0.61,90025,90000,0.0112,1.87,0.6015,"May 31, 23",0.0187,SBFM
2023-05-30,0.6,0.61,0.58,0.6,0.6,178511,178500,0.0,0.0,0.5917,"May 30, 23",0.0,SBFM
2023-05-26,0.598,0.5999,0.580101,0.5889,0.589,142876,141600,-0.0091,-1.52,0.5882,"May 26, 23",-0.0152,SBFM
2023-05-25,0.62,0.6296,0.56,0.5875,0.588,319095,319100,-0.0325,-5.24,0.5806,"May 25, 23",-0.0524,SBFM
2023-05-24,0.632,0.64,0.6,0.6,0.6,165460,165500,-0.032,-5.06,0.6127,"May 24, 23",-0.0506,SBFM
2023-05-23,0.6489,0.65,0.6252,0.6499,0.65,159107,158900,0.001,0.15411,0.6385,"May 23, 23",0.0015411,SBFM
2023-05-22,0.63,0.6468,0.61,0.6345,0.635,185897,185700,0.0045,0.71429,0.6297,"May 22, 23",0.0071429,SBFM
2023-05-19,0.629,0.659999,0.5852,0.6489,0.649,296525,291100,0.0199,3.16,0.6228,"May 19, 23",0.0316,SBFM
2023-05-18,0.559,0.633,0.5575,0.633,0.633,645463,645500,0.074,13.24,0.5932,"May 18, 23",0.1324,SBFM
2023-05-17,0.575,0.59,0.5402,0.57,0.57,421897,421900,-0.005,-0.86957,0.5567,"May 17, 23",-0.0086957,SBFM
2023-05-16,0.58,0.618,0.55,0.57,0.57,865533,862400,-0.01,-1.72,0.5779,"May 16, 23",-0.0172,SBFM
2023-05-15,0.72,0.72,0.6,0.63,0.63,1407405,1407400,-0.09,-12.5,0.6365,"May 15, 23",-0.125,SBFM
2023-05-12,0.7,0.77,0.651,0.7311,0.731,4031740,3966500,0.0311,4.44,0.728,"May 12, 23",0.0444,SBFM
2023-05-11,1.02,1.4,0.7702,0.9,0.9,69628938,69628900,-0.12,-11.76,1.04,"May 11, 23",-0.1176,SBFM
2023-05-10,0.5265,0.5569,0.4902,0.53,0.53,209069,209000,0.0035,0.66477,0.5225,"May 10, 23",0.0066477,SBFM
2023-05-09,0.54,0.5744,0.5049,0.5265,0.527,49800,49800,-0.0135,-2.5,0.5284,"May 09, 23",-0.025,SBFM
2023-05-08,0.5279,0.54,0.5,0.5029,0.503,148038,148000,-0.025,-4.74,0.5115,"May 08, 23",-0.0474,SBFM
2023-05-05,0.54,0.549899,0.5026,0.5279,0.528,71162,70100,-0.0121,-2.24,0.533,"May 05, 23",-0.0224,SBFM
2023-05-04,0.547,0.5896,0.5202,0.54,0.54,103184,103200,-0.007,-1.28,0.5699,"May 04, 23",-0.0128,SBFM
2023-05-03,0.59,0.6,0.4453,0.5971,0.597,967596,967600,0.0071,1.2,0.5003,"May 03, 23",0.012,SBFM
2023-05-02,0.561,0.59,0.561,0.59,0.59,90210,90200,0.029,5.17,0.5816,"May 02, 23",0.0517,SBFM
2023-05-01,0.63,0.645273,0.57,0.5875,0.588,182419,182400,-0.0425,-6.75,0.5938,"May 01, 23",-0.0675,SBFM
2023-04-28,0.65,0.6668,0.6202,0.6257,0.626,78985,79000,-0.0243,-3.74,0.6352,"April 28, 23",-0.0374,SBFM
2023-04-27,0.6383,0.668,0.6365,0.6565,0.657,27456,27400,0.0182,2.85,0.6561,"April 27, 23",0.0285,SBFM
2023-04-26,0.654,0.6701,0.63,0.6312,0.631,43617,43600,-0.0228,-3.49,0.6383,"April 26, 23",-0.0349,SBFM
2023-04-25,0.679,0.689,0.64,0.6501,0.65,47724,47700,-0.0289,-4.26,0.6568,"April 25, 23",-0.0426,SBFM
2023-04-24,0.7,0.7,0.6416,0.6701,0.67,55267,55300,-0.0299,-4.27,0.6684,"April 24, 23",-0.0427,SBFM
2023-04-21,0.69,0.6988,0.65,0.67,0.67,34749,34700,-0.02,-2.9,0.6654,"April 21, 23",-0.029,SBFM
2023-04-20,0.7,0.7,0.674001,0.6756,0.676,20722,20700,-0.0244,-3.49,0.6802,"April 20, 23",-0.0349,SBFM
2023-04-19,0.69,0.72,0.675,0.7,0.7,38810,38700,0.01,1.45,0.6923,"April 19, 23",0.0145,SBFM
2023-04-18,0.66,0.6925,0.66,0.6801,0.68,31763,31800,0.0201,3.05,0.671,"April 18, 23",0.0305,SBFM
2023-04-17,0.68,0.698499,0.6626,0.6899,0.69,29634,29600,0.0099,1.46,0.6832,"April 17, 23",0.0146,SBFM
2023-04-14,0.7,0.7,0.65,0.68,0.68,100333,100300,-0.02,-2.86,0.6679,"April 14, 23",-0.0286,SBFM
2023-04-13,0.64,0.6874,0.64,0.6766,0.677,96917,96900,0.0366,5.72,0.6687,"April 13, 23",0.0572,SBFM
2023-04-12,0.63,0.67,0.62,0.63,0.63,65237,65200,0.0,0.0,0.6384,"April 12, 23",0.0,SBFM
2023-04-11,0.6702,0.6765,0.6412,0.65,0.65,61681,61700,-0.0202,-3.01,0.6615,"April 11, 23",-0.0301,SBFM
2023-04-10,0.69,0.69,0.61,0.665049,0.665,86140,86100,-0.024951,-3.62,0.6433,"April 10, 23",-0.0362,SBFM
2023-04-06,0.6801,0.698,0.665099,0.667,0.667,56002,55800,-0.0131,-1.93,0.6752,"April 06, 23",-0.0193,SBFM
2023-04-05,0.7039,0.7039,0.6602,0.6779,0.678,126357,126200,-0.026,-3.69,0.6652,"April 05, 23",-0.0369,SBFM
2023-04-04,0.72,0.72,0.6101,0.6224,0.622,289304,289300,-0.0976,-13.56,0.6396,"April 04, 23",-0.1356,SBFM
2023-04-03,0.7,0.7,0.66,0.6803,0.68,239967,240000,-0.0197,-2.81,0.6889,"April 03, 23",-0.0281,SBFM
2023-03-31,0.728,0.74,0.69,0.7308,0.731,173495,168600,0.0028,0.38462,0.7155,"March 31, 23",0.0038462,SBFM
2023-03-30,0.74,0.74,0.71,0.728,0.728,62203,62000,-0.012,-1.62,0.7236,"March 30, 23",-0.0162,SBFM
2023-03-29,0.72,0.768,0.72,0.738,0.738,42189,42100,0.018,2.5,0.7367,"March 29, 23",0.025,SBFM
2023-03-28,0.77,0.7779,0.7027,0.7202,0.72,127991,128000,-0.0498,-6.47,0.7256,"March 28, 23",-0.0647,SBFM
2023-03-27,0.78,0.8,0.7401,0.7779,0.778,172669,172600,-0.0021,-0.26923,0.7614,"March 27, 23",-0.0026923,SBFM
2023-03-24,0.77,0.8074,0.77,0.78,0.78,35857,35900,0.01,1.3,0.7847,"March 24, 23",0.013,SBFM
2023-03-23,0.8225,0.8225,0.77,0.7899,0.79,32639,32600,-0.0326,-3.96,0.7995,"March 23, 23",-0.0396,SBFM
2023-03-22,0.81,0.824,0.7695,0.7925,0.793,58735,58600,-0.0175,-2.16,0.7927,"March 22, 23",-0.0216,SBFM
2023-03-21,0.78,0.800101,0.78,0.8,0.8,43413,43400,0.02,2.56,0.7894,"March 21, 23",0.0256,SBFM
2023-03-20,0.87,0.87,0.77,0.78,0.78,152568,152600,-0.09,-10.34,0.8032,"March 20, 23",-0.1034,SBFM
2023-03-17,0.8245,0.858,0.7931,0.835,0.835,82275,82000,0.0105,1.27,0.8213,"March 17, 23",0.0127,SBFM
2023-03-16,0.81,0.88,0.77265,0.85,0.85,262205,262200,0.04,4.94,0.8185,"March 16, 23",0.0494,SBFM
2023-03-15,0.83,0.8499,0.786,0.7954,0.795,142195,142200,-0.0346,-4.17,0.8125,"March 15, 23",-0.0417,SBFM
2023-03-14,0.844201,0.854899,0.82,0.84,0.84,25067,25100,-0.004201,-0.49763,0.8355,"March 14, 23",-0.0049763,SBFM
2023-03-13,0.8404,0.869799,0.8,0.83,0.83,97308,97300,-0.0104,-1.24,0.8355,"March 13, 23",-0.0124,SBFM
