date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,72.11,73.47,71.74,73.43,73.43,1002709,933925,1.32,1.83,72.83,"July 11, 23",0.0183,SIG
2023-07-10,68.76,72.15,68.76,71.96,71.959999,1201644,1201600,3.2,4.65,71.39,"July 10, 23",0.0465,SIG
2023-07-07,65.65,68.68,65.65,68.52,68.519997,803900,801800,2.87,4.37,68.01,"July 07, 23",0.0437,SIG
2023-07-06,65.76,66.825,65.12,65.74,65.739998,693682,693600,-0.02,-0.03041363,65.64,"July 06, 23",-0.0003041363,SIG
2023-07-05,66.42,66.89,65.52,66.5,66.5,841440,841400,0.08,0.12045,66.42,"July 05, 23",0.0012045,SIG
2023-07-03,65.5,67.26,65.3,66.96,66.959999,550897,550900,1.46,2.23,66.63,"July 03, 23",0.0223,SIG
2023-06-30,65.19,65.91,64.21,65.26,65.260002,798769,798700,0.07,0.10738,65.16,"June 30, 23",0.0010738,SIG
2023-06-29,64.19,65.75,64.01,64.98,64.980003,855800,855800,0.79,1.23,65.11,"June 29, 23",0.0123,SIG
2023-06-28,64.08,64.13,62.68,63.81,63.810001,839840,839800,-0.27,-0.42135,63.52,"June 28, 23",-0.0042135,SIG
2023-06-27,63.82,65.71,62.79,64.62,64.620003,746162,746000,0.8,1.25,64.8,"June 27, 23",0.0125,SIG
2023-06-26,62.16,64.27,61.82,63.94,63.939999,928461,928500,1.78,2.86,63.8,"June 26, 23",0.0286,SIG
2023-06-23,61.4,63.035,61.37,62.32,62.32,1074237,1074100,0.92,1.5,62.38,"June 23, 23",0.015,SIG
2023-06-22,63.55,63.55,61.86,62.16,62.16,812675,812700,-1.39,-2.19,62.54,"June 22, 23",-0.0219,SIG
2023-06-21,62.44,64.26,62.06,63.62,63.619999,1165808,1165700,1.18,1.89,63.49,"June 21, 23",0.0189,SIG
2023-06-20,59.92,63.07,59.8,62.64,62.639999,1628539,1628500,2.72,4.54,62.1,"June 20, 23",0.0454,SIG
2023-06-16,60.96,60.96,59.35,60.36,60.360001,2027119,2027100,-0.6,-0.98425,60.13,"June 16, 23",-0.0098425,SIG
2023-06-15,57.15,59.88,57.1,59.84,59.84,1204644,1204600,2.69,4.71,59.07,"June 15, 23",0.0471,SIG
2023-06-14,58.79,59.15,57.35,57.55,57.549999,988839,988800,-1.24,-2.11,57.96,"June 14, 23",-0.0211,SIG
2023-06-13,59.83,60.01,58.155,58.61,58.610001,1138008,1137800,-1.22,-2.04,58.8,"June 13, 23",-0.0204,SIG
2023-06-12,59.26,59.86,57.77,59.38,59.380001,1091345,1091100,0.12,0.2025,58.97,"June 12, 23",0.002025,SIG
2023-06-09,61.27,62.44,58.63,59.89,59.889999,1926100,1925800,-1.38,-2.25,60.06,"June 09, 23",-0.0225,SIG
2023-06-08,61.11,64.13,61.0,62.11,62.110001,3613789,3611700,1.0,1.64,62.42,"June 08, 23",0.0164,SIG
2023-06-07,68.52,70.23,67.68,69.52,69.519997,1494198,1494200,1.0,1.46,69.45,"June 07, 23",0.0146,SIG
2023-06-06,64.01,68.1,63.66,67.74,67.739998,927564,927600,3.73,5.83,66.97,"June 06, 23",0.0583,SIG
2023-06-05,64.51,64.9,62.02,64.21,64.209999,1379669,1283300,-0.3,-0.46504,63.78,"June 05, 23",-0.0046504,SIG
