date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,86.19,86.77,85.615,86.32,86.32,102925,102749,0.13,0.15083,86.18,"July 11, 23",0.0015083,WFG
2023-07-10,84.44,86.15,83.37,85.49,85.489998,174297,174300,1.05,1.24,85.16,"July 10, 23",0.0124,WFG
2023-07-07,81.91,84.72,81.81,84.4,84.400002,111634,111600,2.49,3.04,84.12,"July 07, 23",0.0304,WFG
2023-07-06,83.92,83.92,81.17,82.07,82.07,90086,90100,-1.85,-2.2,82.12,"July 06, 23",-0.022,WFG
2023-07-05,86.01,86.65,84.39,84.6,84.599998,122365,122400,-1.41,-1.64,85.43,"July 05, 23",-0.0164,WFG
2023-07-03,86.2,86.77,85.66,86.07,86.07,35108,35100,-0.13,-0.15081,86.1,"July 03, 23",-0.0015081,WFG
2023-06-30,85.25,86.259,84.25,85.98,85.980003,109080,109100,0.73,0.8563,85.48,"June 30, 23",0.008563,WFG
2023-06-29,85.02,85.6,82.83,84.51,84.510002,111038,111000,-0.51,-0.59986,84.14,"June 29, 23",-0.0059986,WFG
2023-06-28,82.69,85.305,82.03,84.83,84.830002,142407,142400,2.14,2.59,84.65,"June 28, 23",0.0259,WFG
2023-06-27,81.23,83.08,80.89,82.67,82.669998,145795,145800,1.44,1.77,82.21,"June 27, 23",0.0177,WFG
2023-06-26,81.46,82.45,81.29,81.55,81.550003,108686,108700,0.09,0.11048,81.85,"June 26, 23",0.0011048,WFG
2023-06-23,82.0,82.56,80.965,81.13,81.129997,129983,130000,-0.87,-1.06,81.59,"June 23, 23",-0.0106,WFG
2023-06-22,82.8,82.8,80.85,82.55,82.550003,103692,103700,-0.25,-0.30193,82.05,"June 22, 23",-0.0030193,WFG
2023-06-21,80.75,84.074,80.75,82.69,82.690002,238158,238200,1.94,2.4,82.59,"June 21, 23",0.024,WFG
2023-06-20,79.09,82.31,79.09,81.43,81.43,205893,205900,2.34,2.96,81.04,"June 20, 23",0.0296,WFG
2023-06-16,79.53,80.08,79.28,79.55,79.250008,208297,208300,0.02,0.02514774,79.61,"June 16, 23",0.0002514774,WFG
