date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Symbol
2023-07-11,3.33,4.37,3.2999,4.17,4.17,104357,99784,0.84,25.23,4.05,"July 11, 23",0.2523,XBIO
2023-07-10,3.47,3.47,3.27,3.38,3.38,5938,5900,-0.09,-2.59,3.37,"July 10, 23",-0.0259,XBIO
2023-07-07,3.16,3.5,3.1001,3.47,3.47,8437,8400,0.31,9.81,3.35,"July 07, 23",0.0981,XBIO
2023-07-06,3.26,3.29,2.9301,3.29,3.29,2528,2500,0.03,0.92025,3.22,"July 06, 23",0.0092025,XBIO
2023-07-05,3.18,3.32,3.18,3.236,3.236,7330,7300,0.056,1.76,3.24,"July 05, 23",0.0176,XBIO
2023-07-03,3.28,3.28,3.1159,3.1374,3.137,1501,1500,-0.1426,-4.35,3.23,"July 03, 23",-0.0435,XBIO
2023-06-30,3.16,3.2785,3.05,3.2785,3.279,10195,10200,0.1185,3.75,3.17,"June 30, 23",0.0375,XBIO
2023-06-29,3.17,3.17,3.05,3.07,3.07,4150,4200,-0.1,-3.15,3.1,"June 29, 23",-0.0315,XBIO
2023-06-28,3.35,3.35,3.0201,3.0201,3.02,2744,2700,-0.3299,-9.85,3.18,"June 28, 23",-0.0985,XBIO
2023-06-27,3.22,3.25,3.1,3.12,3.12,5363,5400,-0.1,-3.11,3.17,"June 27, 23",-0.0311,XBIO
2023-06-26,3.25,3.25,3.1001,3.1001,3.1,686,700,-0.1499,-4.61,3.15,"June 26, 23",-0.0461,XBIO
2023-06-23,3.25,3.31,2.93,3.18,3.18,17359,17400,-0.07,-2.15,3.1,"June 23, 23",-0.0215,XBIO
2023-06-22,3.23,3.25,3.0894,3.25,3.25,1125,1100,0.02,0.6192,3.21,"June 22, 23",0.006192,XBIO
2023-06-21,3.23,3.43,3.21,3.23,3.23,2982,3000,0.0,0.0,3.29,"June 21, 23",0.0,XBIO
2023-06-20,3.29,3.47,3.29,3.47,3.47,5529,5500,0.18,5.47,3.36,"June 20, 23",0.0547,XBIO
2023-06-16,3.2,3.39,3.0103,3.39,3.39,9986,10000,0.19,5.94,3.22,"June 16, 23",0.0594,XBIO
2023-06-15,3.29,3.29,3.02,3.19,3.19,6171,6200,-0.1,-3.04,3.18,"June 15, 23",-0.0304,XBIO
2023-06-14,3.46,3.46,3.19,3.19,3.19,8023,8000,-0.27,-7.8,3.39,"June 14, 23",-0.078,XBIO
2023-06-13,3.3,3.48,3.235,3.48,3.48,6052,6100,0.18,5.45,3.31,"June 13, 23",0.0545,XBIO
2023-06-12,3.31,3.31,3.1714,3.1714,3.171,1465,1500,-0.1386,-4.19,3.23,"June 12, 23",-0.0419,XBIO
2023-06-09,3.15,3.33,3.15,3.2897,3.29,12112,12100,0.1397,4.43,3.27,"June 09, 23",0.0443,XBIO
2023-06-08,3.283,3.44,3.23,3.235,3.235,5932,5900,-0.048,-1.46,3.32,"June 08, 23",-0.0146,XBIO
2023-06-07,3.3,3.43,3.21,3.33,3.33,28306,28300,0.03,0.90909,3.31,"June 07, 23",0.0090909,XBIO
2023-06-06,3.09,3.373,2.96,3.31,3.31,23874,23900,0.22,7.12,3.22,"June 06, 23",0.0712,XBIO
2023-06-05,3.18,3.19,3.0708,3.155,3.155,10410,10400,-0.025,-0.78616,3.13,"June 05, 23",-0.0078616,XBIO
2023-06-02,3.01,3.19,2.99,3.19,3.19,6966,7000,0.18,5.98,3.12,"June 02, 23",0.0598,XBIO
2023-06-01,2.9,3.0,2.8207,2.91,2.91,16660,16700,0.01,0.34483,2.9,"June 01, 23",0.0034483,XBIO
2023-05-31,3.2,3.315,2.9133,2.985,2.985,21734,21700,-0.215,-6.72,3.09,"May 31, 23",-0.0672,XBIO
2023-05-30,3.11,3.24,3.11,3.19,3.19,10294,10300,0.08,2.57,3.15,"May 30, 23",0.0257,XBIO
2023-05-26,3.49,3.49,3.07,3.14,3.14,39780,39600,-0.35,-10.03,3.3,"May 26, 23",-0.1003,XBIO
2023-05-25,3.11,3.54,3.11,3.45,3.45,83746,83700,0.34,10.93,3.35,"May 25, 23",0.1093,XBIO
2023-05-24,2.98,3.21,2.94,3.13,3.13,33190,33200,0.15,5.03,3.08,"May 24, 23",0.0503,XBIO
2023-05-23,2.87,3.15,2.83,2.98,2.98,61417,61400,0.11,3.83,2.97,"May 23, 23",0.0383,XBIO
2023-05-22,2.72,2.904,2.72,2.83,2.83,26249,26100,0.11,4.04,2.79,"May 22, 23",0.0404,XBIO
2023-05-19,2.78,3.37,2.65,2.78,2.78,328714,327400,0.0,0.0,3.02,"May 19, 23",0.0,XBIO
2023-05-18,2.8,2.91,2.55,2.66,2.66,54155,54100,-0.14,-5.0,2.71,"May 18, 23",-0.05,XBIO
2023-05-17,2.9,3.23,2.791,2.88,2.88,78364,78300,-0.02,-0.68966,2.92,"May 17, 23",-0.0068966,XBIO
2023-05-16,3.2,3.41,2.75,2.93,2.93,118102,118100,-0.27,-8.44,3.07,"May 16, 23",-0.0844,XBIO
2023-05-15,2.86,4.91,2.79,3.31,3.31,368610,368600,0.45,15.73,3.8,"May 15, 23",0.1573,XBIO
2023-05-12,4.1,4.101,2.6,3.3,3.3,72078,720788,-0.8,-19.51,3.2,"May 12, 23",-0.1951,XBIO
2023-05-11,4.0,4.379,4.0,4.0,4.0,1379,13799,0.0,0.0,4.06,"May 11, 23",0.0,XBIO
2023-05-10,4.181,4.2095,4.0,4.02,4.02,2611,26117,-0.161,-3.85,4.13,"May 10, 23",-0.0385,XBIO
2023-05-09,4.102,4.399,4.101,4.102,4.1,905,9058,0.0,0.0,4.21,"May 09, 23",0.0,XBIO
2023-05-08,4.799,4.799,4.03,4.2505,4.25,2928,29287,-0.5485,-11.43,4.3,"May 08, 23",-0.1143,XBIO
2023-05-05,4.4,4.617,4.301,4.333,4.33,2586,25869,-0.067,-1.52,4.41,"May 05, 23",-0.0152,XBIO
2023-05-04,4.7,4.85,4.3,4.476,4.48,12187,121874,-0.224,-4.77,4.69,"May 04, 23",-0.0477,XBIO
2023-05-03,4.25,4.48,4.2,4.2,4.2,3101,31016,-0.05,-1.18,4.27,"May 03, 23",-0.0118,XBIO
2023-05-02,4.2,4.413,4.001,4.03,4.03,2281,22817,-0.17,-4.05,4.21,"May 02, 23",-0.0405,XBIO
2023-05-01,4.22,4.6,4.2,4.3,4.3,2278,22782,0.08,1.9,4.37,"May 01, 23",0.019,XBIO
2023-04-28,4.494,4.642,4.099,4.2,4.2,2743,27438,-0.294,-6.54,4.46,"April 28, 23",-0.0654,XBIO
2023-04-27,4.5,4.5,4.2,4.201,4.2,1969,19693,-0.299,-6.64,4.32,"April 27, 23",-0.0664,XBIO
2023-04-26,4.621,4.79,4.305,4.305,4.31,558,5584,-0.316,-6.84,4.45,"April 26, 23",-0.0684,XBIO
2023-04-25,4.305,4.79,4.305,4.4,4.4,1134,11347,0.095,2.21,4.52,"April 25, 23",0.0221,XBIO
2023-04-24,4.305,4.5,4.301,4.376,4.38,775,7754,0.071,1.65,4.4,"April 24, 23",0.0165,XBIO
2023-04-21,4.8,4.8,4.52,4.55,4.55,2789,27898,-0.25,-5.21,4.69,"April 21, 23",-0.0521,XBIO
2023-04-20,4.7,5.0,4.601,4.8,4.8,2394,23949,0.1,2.13,4.86,"April 20, 23",0.0213,XBIO
2023-04-19,4.5,5.5,4.062,5.18,5.18,5018,50186,0.68,15.11,4.53,"April 19, 23",0.1511,XBIO
2023-04-18,4.9,4.919,4.5,4.65,4.65,3962,39628,-0.25,-5.1,4.72,"April 18, 23",-0.051,XBIO
2023-04-17,4.7,4.8,4.6,4.771,4.77,1650,16505,0.071,1.51,4.76,"April 17, 23",0.0151,XBIO
2023-04-14,4.6,4.788,4.514,4.75,4.75,2292,22921,0.15,3.26,4.71,"April 14, 23",0.0326,XBIO
2023-04-13,4.75,5.07,4.478,5.05,5.05,3201,32012,0.3,6.32,4.75,"April 13, 23",0.0632,XBIO
2023-04-12,4.5,4.83,4.499,4.6,4.6,2768,27689,0.1,2.22,4.69,"April 12, 23",0.0222,XBIO
2023-04-11,4.3,4.858,4.3,4.63,4.63,4322,43228,0.33,7.67,4.58,"April 11, 23",0.0767,XBIO
2023-04-10,4.685,4.685,4.0,4.439,4.44,1694,16949,-0.246,-5.25,4.45,"April 10, 23",-0.0525,XBIO
2023-04-06,4.104,4.44,4.0,4.3,4.3,4488,44882,0.196,4.78,4.27,"April 06, 23",0.0478,XBIO
2023-04-05,4.5,4.761,4.1,4.309,4.31,3269,32690,-0.191,-4.24,4.49,"April 05, 23",-0.0424,XBIO
2023-04-04,4.3224,4.4071,4.102,4.4071,4.41,307,3077,0.0847,1.96,4.37,"April 04, 23",0.0196,XBIO
2023-04-03,4.145,4.47,4.07,4.1,4.1,1460,14609,-0.045,-1.09,4.23,"April 03, 23",-0.0109,XBIO
2023-03-31,3.911,4.16,3.911,4.06,4.06,1253,12536,0.149,3.81,4.03,"March 31, 23",0.0381,XBIO
2023-03-30,4.45,4.451,3.929,4.0,4.0,2856,28563,-0.45,-10.11,4.06,"March 30, 23",-0.1011,XBIO
2023-03-29,4.2,4.49,4.001,4.49,4.49,3061,30610,0.29,6.9,4.11,"March 29, 23",0.069,XBIO
2023-03-28,4.3,4.49,3.97,4.399,4.4,4768,47681,0.099,2.3,4.38,"March 28, 23",0.023,XBIO
2023-03-27,3.929,4.3,3.929,4.004,4.0,6814,68148,0.075,1.91,4.15,"March 27, 23",0.0191,XBIO
2023-03-24,4.2,4.298,3.8542,3.92,3.92,865,8650,-0.28,-6.67,4.09,"March 24, 23",-0.0667,XBIO
2023-03-23,4.045,4.2,4.045,4.2,4.2,1371,13710,0.155,3.83,4.12,"March 23, 23",0.0383,XBIO
