Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-04,2023-03-31,715000000.0,3102000000.0,811000000.0,1.87,2760000000.0,0.8897485493,51103000000.0,13988000000.0,36782000000.0,3571000000.0,37104000000.0,0.0,16597000000.0,8451573000.000001,10374573000.0,38.083310645249114,10.300196023522822,0.053343247950218185,0.19488132685158707,0.04433699398828621,38.083310645249114,0.05111524163568773,2.724556092843327,2.9550954545454546,0.6042016728624536,0.013986013986013986,0.0,0.0011832116932552082,0.060700937322662074,10.300196023522822,0.013991350801322818,8.877702731092437,0.8897485493230174,-0.18695652173913033,6.545807944384747,2.983632820910187,1.426782334130974,0.5843502929612943,-0.16830291919859297,-0.1483838720076614,6.875983183234363,2.033594242129567,0.9535043956412571,Insurance—Diversified,Financial Services,ACGLO
2022Q4,2022,Q4,2023-02-24,2022-12-31,859688000.0,2950310000.0,952307000.0,2.3,1742039000.0,0.5904596466,47990507000.0,12910073000.0,34649262000.0,3263903000.0,35069605000.0,0.0,15892065000.0,7413367698.1,9283659698.1,35.35160976396302,10.615898205308184,0.05679060652557807,0.2111072493548255,0.05672598505928865,35.35160976396302,0.06659048326062912,2.5127419485071063,2.1558308648311946,0.5742312764691571,0.011846158141093048,0.0,0.0013737346391991452,0.061476950014301784,10.352419480603437,0.01791370947591781,7.656689638109482,0.5904596466134068,87.12260536398466,5.395074104383801,2.4589009581962906,1.2413861413625427,-0.20627647204624816,87.16408573479643,13.636465633837453,3.2055943482674976,1.830748320011832,0.7928564947958139,Insurance—Diversified,Financial Services,ACGLO
2022Q3,2022,Q3,2022-11-03,2022-09-30,9751000.0,2495619000.0,65064000.0,0.0261,2194768000.0,0.8794483453,46337104000.0,11795110000.0,6333820000.0,3407681000.0,34533086000.0,0.0,15042561000.0,7953849678.06,9865419678.060001,32.29851030610112,1.8586892376369737,0.0588114656453282,0.2310409144128372,-0.008485795105398835,32.29851030610112,0.0008266985216755079,3.1871249890548197,203.92394826325506,0.6743345062538628,1.0444057019792843,0.0,0.0012803862798779911,0.053857897550092904,9.788651578595532,0.00021043611184678267,5.826159524390637,0.8794483452802692,-0.9621739130434782,1.4625961710609219,1.8052527001722525,1.1134107396773782,0.131348787627767,-0.9758843954652474,-0.8583909006620787,-0.9603286591433206,1.3457878558092895,0.687824466863489,Insurance—Diversified,Financial Services,ACGLO
2022Q2,2022,Q2,2022-08-03,2022-06-30,404344000.0,2244556000.0,459462000.0,0.69,1939957000.0,0.8642943192,45719194000.0,12417566000.0,32729851000.0,3395723000.0,33293169000.0,0.0,15035644000.0,13300261048.019999,15211609048.019999,21.29617452148929,9.638551495513621,0.05960070074726164,0.21943881755893224,0.028736138637573697,21.29617452148929,0.03256225898054418,5.925564364631579,8.223357492642403,1.0710843854600813,0.025186474882773084,0.0,0.0007656992568214354,0.049094391296574474,9.638551495513621,0.008844075422676961,14.938322838921989,0.864294319232846,1.2999999999999998,1.1836720365939934,0.6809527233076309,0.3954066390549739,0.016018355773521346,1.3384110020009947,0.9134124858928817,-0.13777470711413062,0.2887511397225163,0.15433296223829057,Insurance—Diversified,Financial Services,ACGLO
2022Q1,2022,Q1,2022-05-04,2022-03-31,172914000.0,1909372000.0,240127000.0,0.3,1909372000.0,1.0,45677941000.0,12919589000.0,32771669000.0,3324836000.0,32748589000.0,0.0,14641484000.0,14239034405.640001,16150759405.640001,22.157145940670926,9.85662721409417,0.05964896710208545,0.21089231244120846,0.014382781745307301,22.157145940670926,0.013383862288498496,7.457443811703534,20.586873251500748,1.1021275061954372,0.058896329967498294,0.0,0.0007152170371866069,0.04180074579105919,9.85662721409417,0.003785503378972358,26.378694065391738,1.0,-0.7,-0.3168883603882636,0.5254425238318936,0.5012576337660779,-0.15195972837796484,-0.7034238140485803,-0.6519489969112316,-0.6144856062497771,0.13686659871009527,0.27732130873047217,Insurance—Diversified,Financial Services,ACGLO
2021Q4,2021,Q4,2022-02-25,2021-12-31,583034000.0,2251511000.0,689919000.0,1.0,2251511000.0,1.0,45091712000.0,13545896000.0,32738369000.0,3415380000.0,31545816000.0,0.0,14455868000.0,14997050160.24,16862776160.24,23.2312649085935,9.585571444465916,0.06041895237865442,0.20112320366257055,0.0400407249532148,23.2312649085935,0.04304137577905515,6.66088247414292,6.430607031596785,1.1071286949375663,0.017467248908296942,0.0,0.0006790668758980148,0.04993181452059305,9.585571444465916,0.012929959279434767,18.911385456099932,1.0,0.38888888888888895,6.877453960790671,1.2292585412413288,0.6411871595322254,0.10567370139835243,0.38836791747431787,0.0,3.2714991135141465,0.6274245905798489,0.4349729078721464,Insurance—Diversified,Financial Services,ACGLO
2021Q3,2021,Q3,2021-11-04,2021-09-30,419942000.0,2036325000.0,0.0,0.72,2036325000.0,1.0,44783736000.0,13387526000.0,0.0,0.0,31385973000.0,0.0,13842787000.0,15014542831.5,16600970831.5,22.959659735810984,0.0,0.06082898041378236,0.20348412395240167,0.0,22.959659735810984,0.03136815569956689,7.373352893816065,8.9384622349634,1.1215323004041224,0.041174733653695034,0.0,0.0011516168153800908,0.04547019033874262,0.0,0.009377109582818191,14.952385763879553,1.0,-0.3793103448275862,0.6606899933563225,0.7283091923565926,0.8208568667150324,-0.16123229745304105,-0.37831131955362507,0.0,0.8466456764933511,0.455932191271521,0.43103305260376423,Insurance—Diversified,Financial Services,ACGLO
2021Q2,2021,Q2,2021-08-05,2021-06-30,675486000.0,2427758000.0,0.0,1.16,2427758000.0,1.0,46481886000.0,13986072000.0,0.0,0.0,31519407000.0,0.0,13454036000.0,15259440229.140001,17042796229.140001,23.98616847956474,0.0,0.06491593305831007,0.21574427759273654,0.0,23.98616847956474,0.04829704866384214,6.285404158544633,5.647578272954584,1.0910454507269804,0.015399282886691953,0.0,0.0006816763815579518,0.052230195650839126,0.0,0.014532241656459464,18.19563316107661,1.0,0.5466666666666665,2.200521191158703,1.0112702006582843,1.0862521968483525,0.09825921229593888,0.5416563963519843,0.0,1.7724075092552314,0.6673669664975553,0.5262380978103408,Insurance—Diversified,Financial Services,ACGLO
2021Q1,2021,Q1,2021-05-06,2021-03-31,438156000.0,2210551000.0,0.0,0.75,2210551000.0,1.0,44204267000.0,13096472000.0,0.0,0.0,30173261000.0,0.0,12790216000.0,15300256462.08,17375409462.08,22.460500981254935,0.0,0.06825368238772063,0.23037532550751072,0.0,22.460500981254935,0.033456033044624536,6.921467300270385,8.729913810423684,1.1682731396730355,0.023742685253653948,0.0,0.0006799232434948192,0.05000763840287183,0.0,0.009912074777758446,20.390690356004825,1.0,-0.19354838709677424,1.8305016860682954,1.09242324566593,1.0419886718617835,-0.006509560523767042,-0.19389046700911058,0.0,1.91282583115614,0.7882329624281547,0.4312502267667369,Insurance—Diversified,Financial Services,ACGLO
2020Q4,2020,Q4,2021-02-26,2020-12-31,543544000.0,2225035000.0,0.0,0.93,2225035000.0,1.0,43282297000.0,13105886000.0,0.0,0.0,29294856000.0,0.0,12362463000.0,15451859613.0,17562211613.0,22.476646028275045,0.0,0.06970055216801456,0.2301866504866592,0.0,22.476646028275045,0.04147327391677297,6.9445467657812125,7.106995759772898,1.1790015274816215,0.01913920492177266,0.0,0.000673252298464304,0.05140750732337519,0.0,0.012558113540046177,28.514227003137112,1.0,0.10714285714285725,8.278820054968504,1.4694980172185117,1.112189742236797,0.03980060443008841,0.2971203157701312,0.0,1.5323518449496831,0.6337738701621779,0.4250791759826076,Insurance—Diversified,Financial Services,ACGLO
