Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-08,2023-03-31,2439000.0,20030000.0,32325000.0,-0.28,11170000.0,0.5576635047,2321559000.0,433753000.0,99884000.0,18204000.0,1879774000.0,0.0,-734775000.0,82624014.36,1849914014.36,51.02728538013388,5.486925950340584,0.7988614547379584,4.275714519553755,0.013890628437086619,51.02728538013388,0.005623015863867224,4.125013198202696,8.469046162361623,0.190486323691133,1.990569905699057,0.0,0.05876015632508901,0.008627822941394124,5.550758075148319,0.0010505871270124947,9.072583107499726,0.5576635047428856,0.06666666666666654,26.050526788842763,6.2879268984403165,-0.03817714227034175,5.422011084718923,1.9148537134283572,0.23855320127207938,1.0153917559352288,0.6650472744424701,0.5726400893203122,REIT—Mortgage,Real Estate,ACR
2022Q4,2022,Q4,2023-03-07,2022-12-31,-2666000.0,21229000.0,26099000.0,-0.3,-2526000.0,-0.1189881766,2376652000.0,435468000.0,79749000.0,17312000.0,1935338000.0,0.0,-732359000.0,72785145.86,1917281145.86,49.41895269288398,4.60657347504621,0.8039578364859474,4.387757539015496,0.011154893065860035,49.41895269288398,-0.006122149044246649,3.4285715700221395,-6.825313752813203,0.16714235227387544,-1.8214553638409603,0.0,0.06671690964720146,0.008932313186785444,4.6822435304990755,-0.0011217460528508171,5.495707177589852,-0.11898817655094446,0.8492462311557789,-0.34732191071034163,1.7526166479033225,-0.24159649028977156,-1.2288458053995288,0.8472468916518651,-0.08182937554969218,-1.4968479759654298,1.7814568117682696,-0.06868849514970417,REIT—Mortgage,Real Estate,ACR
2022Q3,2022,Q3,2022-11-07,2022-09-30,-17453000.0,21137000.0,28425000.0,-1.99,11038000.0,0.5222122345,2426386000.0,442549000.0,72144000.0,14058000.0,1978907000.0,0.0,-724928000.0,71013036.4,1967943036.4,50.79031305863158,5.1318822023047375,0.806920663076691,4.424145122912943,-0.03700267356883075,50.79031305863158,-0.039437440825761665,3.359655409944647,-1.0172038675299375,0.1604636693337913,-0.2781756718042743,0.0,0.06836772860482838,0.008711309742143254,5.330416844501351,-0.007193002267569958,14.160126899302094,0.52221223447036,-0.7304347826086958,-2.104230586143036,5.460793354178141,-0.28500568788433184,0.19510610653962754,-0.7072287978088624,0.33507115682682825,-2.6720159571573663,0.8133832841986509,-0.04937463756285303,REIT—Mortgage,Real Estate,ACR
2022Q2,2022,Q2,2022-08-08,2022-06-30,-10223000.0,18398000.0,21291000.0,-1.15,9236000.0,0.5020110882,2356426000.0,442314000.0,46118000.0,16590000.0,1909100000.0,0.0,-725641000.0,72796495.58999999,1926511495.59,49.762720452955804,2.779867389993972,0.8014616202673032,4.269783457001135,-0.016578835491167,49.762720452955804,-0.023112539960299695,3.956761364822263,-1.780213625892595,0.16458103426525048,-0.4750073363983175,0.0,0.06670650778781534,0.007807586573904718,2.779867389993972,-0.004338349687195779,5.990495028801843,0.5020110881617567,-5.999999999999999,-2.393555633838163,0.24202996339696708,-0.27523038645741515,-0.0005410669840926307,-5.905470249520153,0.23276011811707487,-2.3556194905205268,0.8021813423909595,-0.06536099605645772,REIT—Mortgage,Real Estate,ACR
2022Q1,2022,Q1,2022-05-09,2022-03-31,2084000.0,9241000.0,17271000.0,0.23,9241000.0,1.0,2087125000.0,442702000.0,89114000.0,10780000.0,1644423000.0,0.0,-726331000.0,121990461.57000001,1672147461.57,48.66473774749568,8.26660482374768,0.7808435048212253,3.68129802892239,0.007334224249052957,48.66473774749568,0.004707455579599821,13.201002225949573,14.63417245321497,0.27555886707085125,2.329654510556622,0.0,0.03979819354330524,0.004427621728454213,8.26660482374768,0.0009985027250404264,78.95822755339806,1.0,1.8846153846153846,-0.7305148698062952,-0.34764152145781485,-0.29377496682366716,-0.32846450112637166,1.8474989833265556,-0.35486160397445,-0.7053742270111373,-0.14159490928235308,-0.08748742162479771,REIT—Mortgage,Real Estate,ACR
2021Q4,2021,Q4,2022-03-09,2021-12-31,-2459000.0,13761000.0,26771000.0,-0.26,13761000.0,1.0,2284275000.0,448195000.0,60204000.0,12962000.0,1836080000.0,0.0,-723560000.0,119131047.64,1901592047.64,46.91465206357687,4.644653602839068,0.7958590800144466,4.056183134573121,-0.002385971837087433,46.91465206357687,-0.0054864512098528545,8.657150471622701,-12.1117372549817,0.26580182206405695,-1.9731598210654737,0.0,0.0407282576298848,0.006024230882884066,4.644653602839068,-0.0010764903525188516,7.830871467823572,1.0,0.7475728155339806,0.2507335065526681,-0.4779931578917102,-0.32017108823658913,0.0,0.5010146103896104,0.0,-1.2692278251732916,0.36275881081799627,-0.11802107682394244,REIT—Mortgage,Real Estate,ACR
2021Q3,2021,Q3,2021-11-09,2021-09-30,-4928000.0,10396000.0,0.0,-1.03,0.0,0.0,2061750000.0,443269000.0,0.0,0.0,1618481000.0,0.0,-730862000.0,154478672.04000002,1650691672.04,46.39902476727686,0.0,0.7790284952103795,3.623447613074679,0.0,46.39902476727686,-0.01111740275092551,14.859433632166219,-7.836783281250001,0.3484987040375032,-0.8772321428571429,0.0,0.027984445638428466,0.005042318418818964,0.0,-0.0023902024978780163,86.68836814814816,0.0,-1.9903846153846156,0.8847795891126117,-0.5586968220278793,-0.34399394135398953,0.0,-1.3613168120829973,0.0,-1.6226633404454271,0.08746415980835695,-0.1380080603060043,REIT—Mortgage,Real Estate,ACR
2021Q2,2021,Q2,2021-08-06,2021-06-30,13639000.0,8460000.0,0.0,1.04,0.0,0.0,1815617000.0,452958000.0,0.0,0.0,1362659000.0,0.0,-721057000.0,155973756.39999998,1414186756.4,46.63929142890092,0.0,0.7430080242694357,2.9782408081985525,0.0,46.63929142890092,0.03011095951501022,18.436614231678483,2.8589661338807826,0.3443448540482782,0.18967666251191437,0.0,0.016586123587134433,0.0046595730266901,0.0,0.007512046868915636,11.067463024196408,0.0,0.009708737864077678,2.102127301895625,-0.6245227848166579,-0.391978958316799,0.0,0.044653799019607844,0.0,0.6721095633655205,-0.23446931845776456,-0.12699776122754675,REIT—Mortgage,Real Estate,ACR
2021Q1,2021,Q1,2021-05-07,2021-03-31,13056000.0,12231000.0,0.0,1.03,0.0,0.0,1656419000.0,335806000.0,0.0,0.0,1320613000.0,0.0,-731128000.0,148761449.16,1388526449.16,32.93467203811959,0.0,0.7913154823749305,3.9032953550561933,0.0,32.93467203811959,0.038879591192533786,12.162656296296296,2.8485265234375,0.442998186929358,0.19822303921568626,0.0,0.017396980297069327,0.0073840012702100135,0.0,0.007882063656598964,15.753621641427513,0.0,-0.5635593220338982,-0.0743357032724172,-0.5021037845976228,-0.5740646430700101,0.0,-0.4571084036758285,0.0,119.7199332109838,2.7101369690286354,-0.37920819925831345,REIT—Mortgage,Real Estate,ACR
2020Q4,2020,Q4,2021-03-12,2020-12-31,24049000.0,161000.0,0.0,2.36,0.0,0.0,1654084000.0,334382000.0,0.0,0.0,1319702000.0,0.0,-741596000.0,122047604.28,1442098604.28,32.795011123834904,0.0,0.8158025831819907,4.035522247010904,0.0,32.795011123834904,0.07192073736026461,758.0596539130435,1.2687388693916588,0.3649945400171062,0.3227577030229947,0.0,0.0635981348899936,9.733483910127902e-05,0.0,0.014539164879171795,10.598089986106286,0.0,3.6274419069766526,2.4074641580116496,-0.9945530525417972,-0.5848106031526115,0.0,1.9475425910037996,0.0,11.503543796097665,-0.98195862340701,-0.4967143133957234,REIT—Mortgage,Real Estate,ACR
