Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2023,2023-01-31,2023-03-14,823000000.0,5005000000.0,989000000.0,3.78,4525000000.0,0.9040959041,9438000000.0,1145000000.0,3341000000.0,4000000000.0,8293000000.0,0.0,-1995000000.0,47193560000.0,5.300925925925926,0.83525,0.28247510065691883,2.3283842794759826,0.2050545974521189,5.300925925925926,0.7187772925764192,9.285626373626373,56.46969623329283,40.58913537117904,0.0,0.0,0.0,0.5303030303030303,0.75825,0.08720067810976902,22.9504,0.9040959040959041,0.6874999999999998,2.47527897009728,1.4730621107833497,5.545129846643518,0.14040172383376598,0.6559356136820925,0.601360103626943,2.902553310886644,0.5547548472333924,9.37249048113534,Software—Application,Technology,207.33,44311811580,1453277,ADSK
2022,2022-01-31,2022-03-14,497000000.0,4386400000.0,617600000.0,2.24,3967900000.0,0.9045914645,8606800000.0,849100000.0,2763800000.0,4009400000.0,7757700000.0,0.0,-1950000000.0,56485400000.0,3.8595454545454544,0.6893300743253354,0.35553283450295114,3.603815804969968,0.12520050567679036,3.8595454545454544,0.5853256389117889,12.528223600218858,110.57102615694164,64.720056530444,0.0,0.0,0.0,0.5096435376678905,0.6185962986980595,0.057745038806525074,37.51624795193883,0.9045914645267189,-0.5882352941176471,1.8642837063297468,1.1862299807528756,0.17164772727272729,0.1490168824023398,-0.5886442641946698,-0.01828008265776506,7.120235148514851,0.6983687446493889,5.005948316737791,Software—Application,Technology,207.33,44311811580,1453277,ADSK
2021,2021-01-31,2021-03-19,1208200000.0,3790400000.0,629100000.0,5.44,3453300000.0,0.9110647953,7279800000.0,965500000.0,2699200000.0,3254700000.0,6314300000.0,0.0,-1487500000.0,63036480000.0,4.408675799086758,0.8293237471963621,0.28910134893815764,2.1798032107716208,0.3930185003370689,4.408675799086758,1.2513723459347488,16.54286618826509,51.89875848369475,64.94467115484204,0.0,0.0,0.0,0.5206736448803538,0.7682121240052847,0.16596609796972445,46.748736300603895,0.9110647952722668,4.666666666666667,4.772521224932474,0.5620599568306152,-0.3848106133652708,0.17084830813046722,4.632634032634033,0.8341107871720117,3.1361059225411623,0.8472497720891465,4.780095069920091,Software—Application,Technology,207.33,44311811580,1453277,ADSK
2020,2020-01-31,2020-03-19,214500000.0,3274300000.0,343000000.0,0.96,2949400000.0,0.9007726842,6179300000.0,-139100000.0,2659300000.0,3219200000.0,6318400000.0,0.0,-2295800000.0,44017845000.0,-0.6331360946745562,0.8260748011928429,0.411794216173353,-18.29331416247304,0.08710113967905213,-0.6331360946745562,-1.5420560747663552,13.208302537947041,201.62212121212121,-310.91261682242987,2.325874125874126,0.0,0.011535808233200445,0.5298820254721408,0.7753479125248509,0.034712669719871185,31.755595124458477,0.9007726842378524,3.5945945945945947,1.7105727637042287,0.3472597465832372,-1.0647914595802954,0.2913875388589693,3.6547029702970297,14.72,1.373525157331799,0.6341755363553584,-1.1922020287404902,Software—Application,Technology,207.33,44311811580,1453277,ADSK
2019,2019-01-31,2019-03-25,-80800000.0,2569800000.0,-25000000.0,-0.37,2283900000.0,0.8887462059304226,4729200000.0,-210900000.0,1620000000.0,2301200000.0,4940100000.0,0.0,-2147400000.0,33423779999.999996,-0.9634536317953404,0.7039805318964019,0.4414488708449632,-9.89900426742532,-0.025206090989496294,-0.9634536317953404,0.3831199620673305,12.538750097283835,-398.78811881188113,-152.78368895211,0.0,0.0,0.0,0.5433900025374271,0.620502346601773,-0.017085342129747102,103.90867462108996,0.8887462059304226,0.8565891472868217,-1.3613745779118096,0.15645894557604256,-1.0954294112412808,0.302703627652293,0.8574704533427412,0.9508937340404635,0.747592314481222,0.05952286673792852,-1.134440924170009,Software—Application,Technology,207.33,44311811580,1453277,ADSK
2018,2018-01-31,2018-03-22,-566900000.0,2056600000.0,-509100000.0,-2.58,1753200000.0,0.852474958669649,4113600000.0,-256000000.0,1877900000.0,2123200000.0,4369600000.0,0.0,-2084900000.0,25886590000.0,-1.1662870159453302,0.8844668425018839,0.3855503695060288,-6.1953125,-0.38937572263693504,-1.1662870159453302,2.214453125,12.340070990955947,-44.76731345916388,-99.13511718750001,0.0,0.0,0.0,0.4999513807856865,0.8295968349660889,-0.13781116297160637,-509.6102409638554,0.852474958669649,0.007692307692307699,-3.3634621936016114,-0.08258395252753582,-1.1292322731059234,0.037949203717956306,0.026112351829582547,-0.019015212169735788,-8.170274183936597,-0.1530101034060844,-1.1193510189803464,Software—Application,Technology,207.33,44311811580,1453277,ADSK
2017,2017-01-31,2017-03-21,-582100000.0,2031000000.0,-499600000.0,-2.6,1689100000.0,0.8316592811422945,4798100000.0,733600000.0,2460600000.0,2185400000.0,4064500000.0,0.0,-964200000.0,18392018000.0,3.2941176470588234,1.1259266038253866,0.31068547966903565,2.032033805888768,-0.2496095360459963,3.2941176470588234,-0.7934841875681571,8.918965041851305,-31.1190826318502,24.692500000000003,0.0,0.0,0.0,0.42329255330234883,1.0763247002837009,-0.12131885538025468,193.32356456776947,0.8316592811422945,-0.8055555555555557,-3.086116899140035,-0.0627371993326821,-0.6016407731503033,-0.2082591169025968,-0.7612708018154312,-385.3076923076923,-3.558994664966825,-0.10160699243536986,-0.6737199412154868,Software—Application,Technology,207.33,44311811580,1453277,ADSK
2016,2016-01-31,2016-03-23,-330500000.0,2504100000.0,1300000.0,-1.44,2133400000.0,0.8519627810390958,5515300000.0,1619600000.0,2993100000.0,1591000000.0,3895700000.0,0.0,-80800000.0,10903600000.0,7.166371681415929,1.881269641734758,0.2697405399524958,0.9185601383057546,0.006811387581032367,7.166371681415929,-0.2040627315386515,4.30050716824408,-32.58366111951588,6.649110891578167,0.0,0.0,0.0,0.45402788606240824,1.8255813953488371,-0.0599242108316864,31.524882903981265,0.8519627810390958,-5.114285714285715,-2.5699991651360827,0.29205253693663313,0.013525256130159364,-0.01691166305700198,-5.040342298288508,-0.9892294946147473,-2.3382577031213114,0.08491135515882288,-0.2059188779010541,Software—Application,Technology,207.33,44311811580,1453277,ADSK
2015,2015-01-31,2015-03-18,81800000.0,2512200000.0,120700000.0,0.35,2170100000.0,0.8638245362630363,4913800000.0,2219200000.0,2671300000.0,1400100000.0,2694600000.0,0.0,499400000.0,11601135500.0,9.77190664905328,1.907935147489465,0.1520615409662583,0.33669790915645276,0.04010077526936224,9.77190664905328,0.03686012977649603,4.88199008836876,149.9331968215159,5.526557092645999,0.0,0.0,0.0,0.5112540192926045,1.7750874937504464,0.01664699417965729,19.387504742333228,0.8638245362630363,-0.65,0.42028120682063214,0.47627901003560635,0.5166847985330744,0.08526705341068214,-0.6424825174825175,-0.5761938202247191,-0.7125267569283255,0.1368646201082132,0.18172135747486948,Software—Application,Technology,207.33,44311811580,1453277,ADSK
2014,2014-01-31,2014-03-10,228800000.0,2273900000.0,284800000.0,1.0,1999600000.0,0.8793702449536039,4595000000.0,2261500000.0,2835000000.0,1071500000.0,2333500000.0,0.0,624800000.0,10373400000.0,10.095982142857142,2.645823611759216,0.16243743199129487,0.33004642936104356,0.07739799544895001,10.095982142857142,0.10117178863586115,5.048594925018691,50.17482517482518,5.076276807428698,0.0,0.0,0.0,0.4948639825897715,2.511245916938871,0.04979325353645266,22.992189064690567,0.8793702449536039,-0.0654205607476636,0.25453236850295663,-0.01126165820293219,0.7369680119129363,-0.03573323045763611,-0.07518189167340339,-0.06897678980058843,0.09659029649595673,0.18375080511762043,0.4278540581086719,Software—Application,Technology,207.33,44311811580,1453277,ADSK
