Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-02-13,366122000.0,88513000.0,692649000.0,2.34,88513000.0,1.0,39405727000.0,4015490000.0,581401000.0,20798000.0,35390237000.0,0.0,2904882000.0,7439235580.0,26.92032823373245,27.954659101836715,0.11644830204503015,1.1427571728481456,0.06412029210537004,26.92032823373245,0.09117741545863643,38.91123993085761,9.407111782411327,0.8577161392507515,0.3677380763789119,0.0,0.03909149640025321,0.002246196346028586,167.32950283681123,0.009291086039346514,4.3938618494491966,1.0,0.07339449541284389,0.6153059878876734,-0.9166303342069607,0.2545883782110916,-0.9156246812558922,0.04310045185957595,0.36176399464455283,0.2057739500050874,-0.9211176502492407,0.10185936868221761,Banks—Regional,Financial Services,16.99,2563638226,1704621,ASB
2021,2021-12-31,2022-02-08,350994000.0,1049039000.0,508641000.0,2.18,1049039000.0,1.0,35104253000.0,4024853000.0,5438058000.0,284054000.0,31079400000.0,0.0,2672601000.0,4285548070.0,26.69478620177353,19.144451407126812,0.054269805997580974,0.47333430562557194,0.06900103644886633,26.69478620177353,0.08720666319987339,3.2467449446588734,9.703761517290893,0.8462326624102793,0.379413893114982,0.0,0.039099672064169526,0.029883530066855433,19.144451407126812,0.00999861754642664,7.136342259098623,1.0,0.17204301075268819,0.7292747020986283,-0.023638319769602907,0.2846832181454495,-0.165419748823755,0.14415639027157065,0.06665981621209008,0.16791782828715426,-0.057324649878451706,0.1815320047744858,Banks—Regional,Financial Services,16.99,2563638226,1704621,ASB
2020,2020-12-31,2021-02-09,306771000.0,1256966000.0,476854000.0,1.86,1256966000.0,1.0,33419783000.0,4090933000.0,3890617000.0,608811000.0,29328850000.0,0.0,2458920000.0,4135356250.0,26.73725041665305,6.390516925614024,0.06707206925909723,0.5479273310024877,0.0706383091093384,26.73725041665305,0.07498802840330067,2.0754222866807854,8.503852222015771,0.6376871119619901,0.4250108387037888,0.0,0.04997862469945925,0.03761143511913288,6.390516925614024,0.009179323516253831,5.268703371585295,1.0,-0.026178010471204098,0.590234895989058,0.22121562252558374,0.3595076305243528,0.04084840133947647,-0.061259524465252915,-0.35858959494031845,0.31945885956744163,0.15418946252149776,0.24605626450052165,Banks—Regional,Financial Services,16.99,2563638226,1704621,ASB
2019,2019-12-31,2020-02-11,326790000.0,1207636000.0,743446000.0,1.91,1207636000.0,1.0,32386478000.0,3922123000.0,3843590000.0,581359000.0,28464355000.0,0.0,2380867000.0,6719491360.0,24.431727858273014,6.611388143986762,0.11616965574336302,0.9592575245600405,0.07775156417419522,24.431727858273014,0.08331967151463633,2.9298309755588603,10.827042932770281,0.9021056606332846,0.38864714342544143,0.0,0.035895964007782825,0.03728827815114691,6.611388143986762,0.010090322263507628,6.9813780162233305,1.0,0.010582010582010592,0.6806462150507268,0.21818139650574483,0.37229439357983607,-0.022273462187091902,-0.02030207277807424,0.0,0.5121316484196187,0.055629922532947976,0.17577382087198504,Banks—Regional,Financial Services,16.99,2563638226,1704621,ASB
2018,2018-12-31,2019-02-19,333562000.0,1235147000.0,0.0,1.89,1235147000.0,1.0,33647859000.0,3780887000.0,25032437000.0,45423000.0,29866972000.0,0.0,2181414000.0,6998749550.0,22.593366996324956,551.096074675825,0.13122395098006087,1.1678225241854623,0.0,22.593366996324956,0.08822321323012298,2.6812659140976742,9.928461725256474,0.8759207958344166,0.3486698125086191,0.0,0.0351182108726528,0.036708041364533775,102.96376285141888,0.009913320190743785,7.689012288925572,1.0,0.33098591549295775,0.7491566687328782,0.27487564417712673,0.2939207345923347,0.1501508520346401,0.4549253262614279,0.0,0.5809437893761206,0.0971862368009343,0.1488037981500808,Banks—Regional,Financial Services,16.99,2563638226,1704621,ASB
2017,2017-12-31,2018-02-06,229264000.0,1073900000.0,0.0,1.42,1073900000.0,1.0,30483594000.0,3237443000.0,22559355000.0,351467000.0,27246151000.0,0.0,1819230000.0,6897824800.0,21.457498492149234,64.18626784306919,0.12298146340618497,1.157987028651933,0.0,21.457498492149234,0.07081638194093301,3.568559269950647,16.715558482797125,1.183735373873764,0.3740840254030288,0.0,0.022379391378877275,0.035228785687147,13.448813117589987,0.007520897962359688,9.324294706313154,1.0,0.12698412698412692,0.4625042750222256,0.30531893945766797,0.2587394978561043,0.012964129807311377,0.1447516901844473,0.0,0.2545483273623161,0.15261360430039667,0.20523628340323233,Banks—Regional,Financial Services,16.99,2563638226,1704621,ASB
2016,2016-12-31,2017-02-06,200274000.0,1060156000.0,0.0,1.26,1060156000.0,1.0,29139315000.0,3091312000.0,21754036000.0,583688000.0,26048003000.0,0.0,1695764000.0,6424344300.0,20.77927525223669,37.269972999273584,0.11480993976694373,1.082221076358517,0.0,20.77927525223669,0.0647860843551217,3.4660882926663623,18.34783496609645,1.188684383847376,0.3832649270499416,0.0,0.02088883662612768,0.036382324018255065,9.039005427557187,0.006872982429408515,6.998414089029656,1.0,0.05882352941176476,0.6706781010557693,0.37994792104725755,0.25706975116853314,0.05521022965361351,0.06358436758169102,0.0,0.18134571413164774,0.23089001603638712,0.19002781227976437,Banks—Regional,Financial Services,16.99,2563638226,1704621,ASB
2015,2015-12-31,2016-02-05,188301000.0,1004687000.0,0.0,1.19,1004687000.0,1.0,27715021000.0,2937246000.0,20232936000.0,402978000.0,24777775000.0,0.0,1593239000.0,5427955500.0,19.66686307331771,50.20853743876837,0.1112150699795609,1.0493938880161893,0.0,19.66686307331771,0.06410801138209057,2.7872486655047792,14.87146908407284,0.9533803093101497,0.36938200009559163,0.0,0.024838299296953466,0.03625063102062957,13.45507447056663,0.00679418572333032,11.332342538485197,1.0,0.025862068965517265,253.20488338876567,0.1762205724989709,0.06609046437203081,0.03438842936066205,-0.011590003621876132,0.0,0.21347747285669655,0.2336767867708925,0.15369726617341256,Banks—Regional,Financial Services,16.99,2563638226,1704621,ASB
2014,2014-12-31,2015-02-05,190509000.0,971286000.0,0.0,1.16,971286000.0,1.0,26821774000.0,2800251000.0,19713906000.0,574297000.0,24021523000.0,0.0,1497818000.0,6418615180.0,17.80356166473812,34.32702242916122,0.1679387053220268,1.6085750884474284,0.0,17.80356166473812,0.06803282991417554,3.01686442510239,15.381101050344078,1.0464198316508055,0.3344303943645707,0.0,0.021742942411596043,0.03621259354433454,11.166433047708765,0.007102774037243025,18.049896082936534,1.0,0.05454545454545439,2.174474409667443,-0.2668666513936499,-0.16880116200270853,0.013189490967431012,0.009629449049244272,0.0,0.5031630145025902,0.19581067415172052,0.07705002027907377,Banks—Regional,Financial Services,16.99,2563638226,1704621,ASB
2013,2013-12-31,2014-02-05,188692000.0,958642000.0,0.0,1.1,958642000.0,1.0,24226920000.0,2891290000.0,17482875000.0,265484000.0,21335630000.0,0.0,1392508000.0,5652412600.0,17.461167745675912,65.85283858914285,0.1383894857456086,1.1596038446506576,0.0,17.461167745675912,0.06526221859446821,3.005461475712518,15.269124287198185,0.9964969269772315,0.3187681512729739,0.0,0.020876649195935418,0.039569289038804766,21.96774570218921,0.0077885261519004476,6.86743004242742,1.0,0.10000000000000009,-0.13747332051859784,-0.24815289694250625,-0.22603371220491533,0.020611488349611726,0.05430428053393529,0.0,228.9508469259299,0.012281495440259832,-0.05347465119025399,Banks—Regional,Financial Services,16.99,2563638226,1704621,ASB
