Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-15,2023-03-31,-45216000.0,0.0,-51952000.0,-0.63,-16483000.0,0.0,400724000.0,118670000.0,227109000.0,35546000.0,83795000.0,1625000.0,-118419000.0,364973646.48,197683646.48000002,1.6517455597524489,6.389157711134867,0.04430231281380701,0.14959973034465324,-0.34844543597405225,1.6517455597524489,-0.38102300497177044,0.0,-2.0179452322186835,3.07553422499368,0.0,10.143384615384615,0.0,0.0,5.269200472627018,-0.11283576726125713,-6.870609485514204,0.0,-0.5365853658536587,-22.35598426204676,0.0,-0.7883481795617198,-0.2110058041290133,-0.802224082267129,0.1348831013121961,-22.35598426204676,0.0,-0.7883481795617198,Telecom Services,Communication Services,ASTS
2022Q4,2022,Q4,2023-03-31,2022-12-31,-25089000.0,2393000.0,-60052000.0,-0.41,-13611000.0,-5.687839532,438372000.0,133532000.0,268310000.0,27796000.0,78546000.0,27715000.0,-102101000.0,293052505.5,66990505.5,2.196276189148637,9.65282774499928,0.028573905267672204,0.09380523020699158,-0.38837674602417604,2.196276189148637,-0.18788754755414433,122.46239260342666,-2.9201293943560924,2.1946238017853403,0.0,0.5774490348186903,0.0,0.0054588340496199575,8.64372571593035,-0.05723221373627878,-6.305730203985024,-5.68783953196824,0.3166666666666667,-21.84984837570097,0.0,-0.7175062139340113,-9.284236153377966,0.2172407338075627,-1.4428263434080462,-21.84984837570097,0.0,-0.7175062139340113,Telecom Services,Communication Services,ASTS
2022Q3,2022,Q3,2022-11-14,2022-09-30,-32052000.0,4168000.0,-24583000.0,-0.6,1643000.0,0.394193858,386268000.0,91310000.0,225306000.0,21186000.0,89591000.0,23438000.0,-93872000.0,384346245.44,198295245.44,1.7152716016395073,10.634664401019542,0.033184214068988374,0.14037892892344758,-0.22307225561734356,1.7152716016395073,-0.35102398422954767,92.21359055662188,-2.9978335629601895,4.209245925309386,0.0,0.10773103507125181,0.0,0.010790435656072985,9.443547625790616,-0.08297865730529062,-8.509071386127653,0.39419385796545103,-2.7499999999999996,-2.12970842700141,0.0770449476988698,0.0,-0.6754247333069933,-2.9727317798710957,0.5395665936206476,-2.12970842700141,0.0770449476988698,0.0,Telecom Services,Communication Services,ASTS
2022Q2,2022,Q2,2022-08-15,2022-06-30,-8068000.0,7264000.0,-53391000.0,-0.16,5062000.0,0.6968612335,384864000.0,90786000.0,232926000.0,22175000.0,74590000.0,3520000.0,-84106000.0,325735172.24,136142172.24,1.7503055506082306,10.503990980834272,0.03320133865469361,0.1407485735686119,-0.4847745626136544,1.7503055506082306,-0.0888683277157271,44.84239705947137,-10.09342997768964,3.587944972132267,0.0,0.6255681818181819,0.0,0.018874199717302736,9.348545659526494,-0.02096324935561653,-6.142469776353008,0.6968612334801763,0.7808219178082191,-85.03744750814045,0.0,-0.7756669035820475,11.406862745098039,0.7871408595625676,-0.9884916201117319,-85.03744750814045,0.0,-0.7756669035820475,Telecom Services,Communication Services,ASTS
2022Q1,2022,Q1,2022-05-16,2022-03-31,-37903000.0,2394000.0,-26850000.0,-0.73,408000.0,0.1704260652,414586000.0,91039000.0,272929000.0,22912000.0,98708000.0,1827000.0,-81182000.0,516569989.6,275990989.6,1.7588501815669548,11.912054818435754,0.031723213036619666,0.144465558716594,-0.23952986103784873,1.7588501815669548,-0.4163380529223739,215.7769380116959,-3.4071840593092895,5.67416150880392,0.0,1.0870279146141215,0.0,0.00577443521971316,11.187325418994414,-0.09142373355588466,-7.478392900470503,0.17042606516290726,-0.4897959183673469,-25.848501360047315,0.0,-0.7746239784881651,1.013747557113013,-0.48679726538823204,-0.7846032408261923,-25.848501360047315,0.0,-0.7746239784881651,Telecom Services,Communication Services,ASTS
2021Q4,2021,Q4,2022-03-31,2021-12-31,-25493052.0,7182000.0,-15045361.0,-0.49,-29678000.0,-4.1322751323,443936000.0,351972000.0,335803000.0,21377000.0,91964000.0,1412000.0,-70461000.0,410734492.90000004,102106492.90000004,6.804049156593247,15.70861205969032,0.02964166005910762,0.037386496653142864,-0.04159977170318359,6.804049156593247,-0.07242920459582013,57.18943092453356,-4.027906239904112,1.166952180571182,0.0,26.10481586402266,0.0,0.016178007640741007,15.154605417037002,-0.05742506127009299,-28.003988061634967,-4.132275132275132,-13.332704021871201,-25.89998632314661,0.0,-0.12483611290699888,-86.52737752161383,-7.195152369380316,0.33910120799472876,-25.89998632314661,0.0,-0.12483611290699888,Telecom Services,Communication Services,ASTS
2021Q3,2021,Q3,2021-11-15,2021-09-30,4115000.0,2450000.0,-22765000.0,0.03973175705271274,347000.0,0.1416326530612245,461007000.0,101658000.0,370589000.0,15378000.0,97919000.0,2726000.0,-67351000.0,1120622476.9,767160476.9000001,0.9815433677921439,24.09864741838991,0.015027971375705792,0.06815007180940015,-0.19688821119159763,0.9815433677921439,0.04047886049302563,457.3969293469388,68.08155995747266,11.023455870664385,0.0,0.7714600146735143,0.0,0.005314452925877481,23.518793081024842,0.008926111751014626,-26.595369206854,0.1416326530612245,1.1018763001351608,1.2065246818415278,-0.674593983105286,0.0,-0.7910897049969897,1.2059765742316548,0.02863116572793992,1.2065246818415278,-0.674593983105286,0.0,Telecom Services,Communication Services,ASTS
2021Q2,2021,Q2,2021-08-16,2021-06-30,-19978000.0,2773000.0,-23436000.0,-0.39,1661000.0,0.5989902632527948,482650000.0,96476000.0,414592000.0,15604000.0,137453000.0,3655000.0,-71466000.0,669382369.76,273580369.76,1.8650019725610647,26.56959753909254,0.014109603232155807,0.07058750362784527,-0.21305184543486877,1.8650019725610647,-0.2070774078527302,241.3928488135593,-8.376493765141655,6.938330463120361,0.0,0.3042407660738714,0.0,0.005745364135501916,25.883427326326583,-0.041392313270485856,-11.930298660454525,0.5989902632527948,-19.77979486685607,-212.61839863588705,0.0,-0.7609664968583196,0.0,-34.46107206742461,-15.333574011245885,-212.61839863588705,0.0,-0.7609664968583196,Telecom Services,Communication Services,ASTS
2021Q1,2021,Q1,2021-05-18,2021-03-31,597052.0,0.0,-1434836.0,0.020767,0.0,0.0,282068838.0,156074575.0,50154842.0,1858263.0,125994263.0,0.0,-54245116.0,335512500.0,286059764.0,5.428680869565217,26.990174157264068,0.0021271403259370326,0.003844316090561195,-0.008900046139905287,5.428680869565217,0.003825427684169571,0.0,140.48713512390879,2.1496935038906884,0.0,0.0,0.0,0.0,26.935227144919747,0.0021166889764689285,-389.1186529921588,0.0,1.0699626048579995,-0.2953076534490328,0.0,-0.30437821864395004,-1.0,1.069961565502695,0.8301366165502545,-0.2953076534490328,0.0,-0.30437821864395004,Telecom Services,Communication Services,ASTS
2020Q4,2020,Q4,2020-12-31,2020-12-31,-8534000.0,2702000.0,-8447000.0,-0.29683,2311000.0,0.8552923760177646,99645000.0,77497000.0,50932000.0,13117000.0,19658000.0,2591000.0,-39908000.0,390425000.0,354693000.0,2.6955478260869565,3.8829000533658613,0.07070098850920768,0.09090674477721718,-0.09366416708985892,2.6955478260869565,-0.11012039175710027,144.49481865284974,-11.437338879775018,5.037936952398157,0.0,0.1509069857197993,0.0,0.02711626273270109,3.4198368529389342,-0.08564403632896783,-20.09082488550404,0.8552923760177646,-0.5429117957407879,-15.997978945888473,0.0,-0.6532879085628899,0.8385043754972156,-0.5429397938889894,-0.6247355260627043,-15.997978945888473,0.0,-0.6532879085628899,Telecom Services,Communication Services,ASTS
