Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-12,2023-03-31,-361000.0,4005000.0,837000.0,-0.0652,4712000.0,1.1765293383,551587000.0,75939000.0,29073000.0,490000.0,475648000.0,0.0,40324000.0,44505331.559999995,111826331.56,13.718571204820387,59.33265306122449,0.1667515731879105,1.2112089966947155,0.0035145362924837867,13.718571204820387,-0.004753815562490947,11.112442337078651,-30.820866731301937,0.5860668636668904,0.0,0.0,0.0,0.0072608672793231166,284.3204081632653,-0.0006544751779864283,-38.13653089974293,1.1765293383270912,-0.5269320843091333,-2.605531771725761,-0.3661187541761543,0.0,0.061739522307345654,-16.041666666666668,-0.4715909090909091,-2.0690488632524633,-0.02940286413117936,0.10005306206593173,Banks—Regional,Financial Services,BCOW
2022Q4,2022,Q4,2023-03-30,2022-12-31,24000.0,4438000.0,1584000.0,-0.0427,4438000.0,1.0,543016000.0,75362000.0,30210000.0,291000.0,467654000.0,0.0,41468000.0,63725080.0,109160080.0,11.826113046856905,103.81443298969072,0.1316056985429527,0.948276319630583,0.010356748804707614,11.826113046856905,0.00031846288580451686,14.358963497070752,663.8029166666666,0.8455863697884876,0.0,0.0,0.0,0.008172871517598008,487.20962199312714,4.4197592704450695e-05,79.0633746898263,1.0,-3.1350000000000002,1.003392475278398,-0.4059470928894754,-0.029366479437524223,0.009554140127388535,-0.8064516129032258,1.9171270718232045,-0.9640596604319871,-0.14475016409553007,-0.05160076694748468,Banks—Regional,Financial Services,BCOW
2022Q3,2022,Q3,2022-11-10,2022-09-30,124000.0,4396000.0,543000.0,0.02,4396000.0,1.0,529317000.0,75903000.0,132522000.0,142000.0,453414000.0,0.0,41443000.0,60425924.0,101674924.0,13.063783683307847,933.2535211267606,0.10759337032439918,0.7503128993583916,0.0034952550972470165,13.063783683307847,0.0016336640185499914,13.745660600545952,121.82645967741936,0.7960940147293256,0.0,0.0,0.0,0.008305042158101857,952.2676056338029,0.0002342641555060578,50.778087394957986,1.0,1.4854368932038835,-0.6307920511160168,-0.3385773838687909,0.0,0.28726207906295753,1.5145228215767634,136.75,-0.769710849343465,-0.1379130259987351,0.05123852806826463,Banks—Regional,Financial Services,BCOW
2022Q2,2022,Q2,2022-08-12,2022-06-30,-241000.0,3415000.0,-4000.0,-0.0412,3415000.0,1.0,535626000.0,80966000.0,146805000.0,128000.0,454660000.0,0.0,41319000.0,59891816.0,97105816.0,13.856676177593279,1146.9140625,0.10722967144985493,0.7093718350912729,-1.862371013902986e-05,13.856676177593279,-0.0029765580614084922,17.537867057101025,-62.128439834024896,0.7397156337227973,0.0,0.0,0.0,0.006375717384891697,1155.65625,-0.000449940816913294,64.124,1.0,-3.382978723404255,0.7086021984130095,-0.5197684635946007,0.17664099953776632,-0.13236788617886178,-3.381818181818182,-1.0176991150442478,-20.54374341674106,-0.25299137191923227,0.13257819196498322,Banks—Regional,Financial Services,BCOW
2022Q1,2022,Q1,2022-05-13,2022-03-31,-55000.0,3936000.0,226000.0,-0.0094,3936000.0,1.0,546285000.0,85202000.0,179848000.0,117000.0,461083000.0,0.0,41560000.0,63732509.4,71595509.4,14.505025907547271,1537.162393162393,0.10699360224058871,0.6860050233562592,0.0007524274562776391,14.505025907547271,-0.0006455247529400718,16.192202591463413,-289.69322454545454,0.7480165888124692,0.0,0.0,0.0,0.007205030341305363,1575.5641025641025,-0.00010068004796031376,-119.79795,1.0,0.7824074074074074,-1.2305149535239812,-0.4129363590615401,0.0,-0.08273129806571895,0.7955390334572491,6.512195121951219,0.906545384924731,-0.1906409470009444,0.20280338662891323,Banks—Regional,Financial Services,BCOW
2021Q4,2021,Q4,2022-03-29,2021-12-31,-269000.0,4291000.0,-41000.0,-0.0432,4291000.0,1.0,539639000.0,90893000.0,178688000.0,109000.0,448746000.0,0.0,41615000.0,66063003.405300006,56205003.405300006,15.12048997487543,1639.3394495412845,0.1027390533300966,0.609969964683749,-0.00019938667220588838,15.12048997487543,-0.0029595238357189224,15.395712748846424,-61.396843313475834,0.7268216848965268,0.0,0.0,0.0,0.007951612096234704,1639.3394495412845,-0.000498481392189964,56.22383268536171,1.0,-1.1600000000000001,0.9596908587628549,-0.3911053500114533,0.24102098117890097,0.17240437158469946,-1.3391304347826087,0.0,-4.5655451990836395,-0.15706902161960207,0.8616962198970534,Banks—Regional,Financial Services,BCOW
2021Q3,2021,Q3,2021-11-12,2021-09-30,-115000.0,3660000.0,0.0,-0.02,3660000.0,1.0,541189000.0,92208000.0,0.0,0.0,448981000.0,0.0,41885000.0,65642817.24,37143817.24,15.339246582281513,0.0,0.1033539114800929,0.6066068020128406,0.0,15.339246582281513,-0.0012471802880444213,17.935195967213115,-142.70177660869564,0.7118993714211348,0.0,0.0,0.0,0.006762886902727143,0.0,-0.00021249508027694575,76.24020585365854,1.0,-1.0,-1.3309577728080244,-0.4677350973995858,0.0,-0.13922859830667922,-1.2549019607843137,0.0,-1.2499068896713657,-0.5041674787735073,0.30049780720715424,Banks—Regional,Financial Services,BCOW
2021Q2,2021,Q2,2021-08-13,2021-06-30,-51000.0,4252000.0,0.0,-0.01,4252000.0,1.0,605577000.0,60300000.0,0.0,0.0,545277000.0,0.0,42000000.0,69119146.7914,-11948853.2086,13.109043326801276,0.0,0.10473152051679638,1.0517910447761194,0.0,13.109043326801276,-0.000845771144278607,16.255678925540924,-338.8193470166667,1.1462545073200665,0.0,0.0,0.0,0.007021402728307052,0.0,-8.421720111563022e-05,44.22210287357645,1.0,-1.0909090909090908,0.921668452312451,-0.24046021511913948,0.11315568361000651,-0.10878222594843848,-1.0978886756238004,0.0,0.921668452312451,-0.24046021511913948,0.11315568361000651,Banks—Regional,Financial Services,BCOW
2021Q1,2021,Q1,2021-06-25,2021-03-31,521000.0,4771000.0,0.0,0.11,4771000.0,1.0,517116000.0,59999000.0,0.0,0.0,457117000.0,0.0,42051000.0,65340163.9072,51267163.9072,13.075415020589764,0.0,0.131328367329574,1.1318855314255238,0.0,13.075415020589764,0.008683478057967632,13.695276442506811,31.353245636852208,1.0890208821347023,0.0,0.0,0.0,0.009226169756882402,0.0,0.0010075108873057496,-57.619192158024696,1.0,0.22222222222222227,1.7952257477853901,-0.08907575476369047,0.0,-0.10336402931779741,0.22877358490566038,0.0,1.7952257477853901,-0.08907575476369047,0.0,Banks—Regional,Financial Services,BCOW
2020Q4,2020,Q4,2021-03-31,2020-12-31,424000.0,5321000.0,0.0,0.09,5321000.0,1.0,516757000.0,60008000.0,0.0,0.0,456749000.0,0.0,41530000.0,45703332.480000004,26124332.480000004,13.077376365531935,0.0,0.13236008414012776,1.1398146913744833,0.0,13.077376365531935,0.007065724570057326,8.589237451606841,26.947719622641515,0.7616206585788562,0.0,0.0,0.0,0.010296909379069854,0.0,0.000820501705830787,11.98933171038825,1.0,0.0,1.0832325434578713,-0.010870974244017808,0.0733315173890003,-0.1146422628951747,0.02912621359223301,0.0,1.0832325434578713,-0.010870974244017808,0.0733315173890003,Banks—Regional,Financial Services,BCOW
