Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2021Q2,2021,Q2,2020-09-30,2020-09-30,-695000.0,28512500.0,-2132000.0,-0.0387,11421500.0,0.4005786936,205978000.0,641000.0,111039000.0,111576000.0,205337000.0,100327000.0,-111689000.0,16155908.872480001,174761908.87248,0.03566857715207835,0.9951871370187138,0.7817048422647079,251.19188767550702,-0.004430626318849076,0.03566857715207835,-1.0842433697347893,0.5666254755801842,-5.8114780116834535,25.204226010109206,0.0,0.17035294586701485,0.0,0.13842497742477353,0.07781243278124328,-0.0033741467535367857,-32.21517222827518,0.4005786935554581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luxury Goods,Consumer Cyclical,BGI
2020Q4,2020,Q4,2020-03-31,2020-03-31,-4493000.0,84077000.0,-11460000.0,-0.25,31853000.0,0.3788550971,210652000.0,3410000.0,110490000.0,116766000.0,207242000.0,101899000.0,-108862000.0,12481855.0934,164691855.0934,0.18975015302431694,0.9462514773136016,0.725248276778763,44.802052785923756,-0.02828172081967955,0.18975015302431694,-1.3175953079178886,0.14845742704187828,-0.6945167534720675,3.660368062580645,0.0,0.512507482899734,0.0,0.39912747089987277,0.05638627682715859,-0.02132901657710347,-25.68282941028804,0.37885509711336035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luxury Goods,Consumer Cyclical,BGI
2020Q2,2020,Q2,2019-09-30,2019-09-30,-2051000.0,85343000.0,-7002000.0,-0.11,32624000.0,0.3822691961,212693000.0,11671000.0,111402000.0,112728000.0,201022000.0,101655000.0,-100668000.0,21602366.813125,171105366.813125,0.649652101308099,0.9882371726634022,0.7103712863140771,12.945848684774226,-0.013456921537594757,0.649652101308099,-0.17573472710136234,0.2531240618811736,-2.6331505135452216,1.8509439476587268,0.0,0.5186070532684078,0.0,0.40124968851819287,0.06874068554396423,-0.009643006586958668,-2.0960961394454687,0.382269196067633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luxury Goods,Consumer Cyclical,BGI
2019Q4,2019,Q4,2019-03-31,2019-03-31,-5121000.0,82321000.0,-10704000.0,-0.29,32204000.0,0.3912003013,133795000.0,13783000.0,98399000.0,90935000.0,120012000.0,91541000.0,-98473000.0,26549916.074100003,89495916.0741,0.7673848894827682,1.0820806070269973,0.47927799992525877,4.652470434593339,-0.08856856029894739,0.7673848894827682,-0.3715446564608576,0.3225169285370683,-1.2961294705184534,1.9262799154102883,0.0,0.5474814563965873,0.0,0.615277103030756,0.051861219552427555,-0.0382749729063119,-10.912419265967936,0.39120030125970284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luxury Goods,Consumer Cyclical,BGI
2019Q2,2019,Q2,2018-09-30,2018-09-30,0.0,0.0,0.0,0.0,0.0,0.0,128084000.0,21723000.0,97210000.0,82743000.0,106361000.0,88618000.0,-90592000.0,0.0,60208000.0,0.0,1.1748425848712278,0.4796227475719059,2.82797035400267,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.06300230835236817,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,Luxury Goods,Consumer Cyclical,BGI
2018Q4,2018,Q4,2018-03-31,2018-03-31,-12094000.0,81537000.0,17090000.0,-0.67,29642000.0,0.3635404786,120471764.67,32526743.67,97130820.33,74275446.15,87945021.0,84965738.13,-80354113.02,24084149.1696,68287822.0596,1.8109650726574245,1.3077110319047205,0.3752720100335523,1.389923373168698,0.18153837070794315,1.8109650726574245,-0.37181711525443945,0.2953769352514809,-0.49785325718538115,0.7404414476267799,0.0,0.6107756036980362,0.0,0.6768141914692516,0.09729635747196382,-0.10038866810931392,-0.7637275779166005,0.36354047855574767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luxury Goods,Consumer Cyclical,BGI
2018Q2,2018,Q2,2017-09-30,2017-09-30,0.0,0.0,0.0,0.0,0.0,0.0,242926787.25,11357052.15,221015305.86,216151187.73,231569735.1,89310716.82,-97068991.44,0.0,72525105.39,0.0,1.0225033143749176,0.3111911145155113,6.6563626433642815,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.04006519705465419,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,Luxury Goods,Consumer Cyclical,BGI
2017Q2,2017,Q2,2016-09-30,2016-09-30,0.0,0.0,0.0,0.0,0.0,0.0,249143810.25,7810929.75,209134653.0,176422358.25,241332880.5,187764706.5,-106283075.25,0.0,156095008.5,0.0,1.1854203462332418,0.6471063171837318,20.640632890085843,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.10423513455103699,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,Luxury Goods,Consumer Cyclical,BGI
2016Q2,2016,Q2,2015-09-30,2015-09-30,0.0,0.0,0.0,0.0,0.0,0.0,246860242.5,4000650.0,202951095.0,172687117.5,242859592.5,182757210.0,-112041022.5,0.0,164778450.0,0.0,1.1752532437748289,0.68927730434357,42.531879194630875,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.10179505717906259,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,Luxury Goods,Consumer Cyclical,BGI
2015Q2,2015,Q2,2014-09-30,2014-09-30,0.0,0.0,0.0,0.0,0.0,0.0,221346307.26,10691888.22,181541096.1,148874972.22,210654419.04,167887982.34,-88913782.62,0.0,143680270.5,0.0,1.2194198487018195,0.6640612787244021,13.74757281553398,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.07136805644066907,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,Luxury Goods,Consumer Cyclical,BGI
