Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2022-12-31,-18872000.0,0.0,-29157000.0,-0.37,0.0,0.0,76384000.0,50841000.0,52001000.0,10679000.0,25543000.0,-41216000.0,-329992000.0,32179307.88,0.985345464550239,4.869463432905703,0.161342689568496,0.24240278515371452,-0.33761363957501156,0.985345464550239,-0.3711964752856946,0.0,-1.613093889359898,0.5987747660352865,0.0,0.0,0.0,0.0,4.850922371008521,-0.2470674486803519,-1.1463438725711703,0.0,0.43939393939393945,0.9065024453172243,0.0,-0.8882368073040481,0.0,0.34901690238013106,-0.17677684949751785,0.8318912263954804,0.0,-0.7118803221576192,Biotechnology,Healthcare,1.69,103986714,454455,BLRX
2021,2021-12-31,2021-12-31,-28990000.0,0.0,-24777000.0,-0.66,0.0,0.0,81391000.0,68087000.0,57404000.0,9719000.0,13304000.0,0.0,-305041000.0,81819983.2,1.5405839226456581,5.906368968000823,0.057143910260348194,0.0683096626375079,-0.3557462824734638,1.5405839226456581,-0.42577878302759703,0.0,-3.110002869955157,1.3241732371818409,0.0,0.0,0.0,0.0,5.89330178001852,-0.35618188743227136,-3.808998022813688,0.0,0.6842105263157894,0.8381434925629506,0.0,-0.8353733436505527,0.0,0.17875354107648725,-0.08069088847210712,0.743401151750836,0.0,-0.7300794885804127,Biotechnology,Healthcare,1.69,103986714,454455,BLRX
2020,2020-12-31,2020-12-31,-35300000.0,0.0,-22927000.0,-2.09,0.0,0.0,47290000.0,22030000.0,22880000.0,10641000.0,25260000.0,0.0,-277987000.0,33330858.36,1.3069302960028044,2.1501738558406163,0.1624867836751956,0.34879709487063093,-0.8540380685135012,1.3069302960028044,-1.6023604176123467,0.0,-1.2033387637393766,1.928182403994553,0.0,0.0,0.0,0.0,2.135889484071046,-0.7464580249524212,-1.8304687735930363,0.0,0.041284403669724905,0.4305828946046282,0.0,-0.9059236381073299,0.0,-0.6622716142399698,0.1844117960940557,0.4646713082623637,0.0,-0.8517609226739467,Biotechnology,Healthcare,1.69,103986714,454455,BLRX
2019,2019-12-31,2019-12-31,-21236000.0,0.0,-28111000.0,-2.18,0.0,0.0,53567000.0,33380000.0,28210000.0,11968000.0,20187000.0,0.0,-247966000.0,27119057.5,3.419917278573675,2.357118983957219,0.195176134560457,0.31321150389454766,-0.5122400055148726,3.419917278573675,-0.6361893349310964,0.0,-1.0341428470521756,0.6579106500898741,0.0,0.0,0.0,0.0,2.3480949197860963,-0.3964381055500588,-0.9657881832974186,0.0,0.14843749999999994,-0.04553590023011605,0.0,-0.7672108036432889,0.0,-0.14745771870103205,-0.09787150947080649,0.46313786643840654,0.0,-0.6345479540014773,Biotechnology,Healthcare,1.69,103986714,454455,BLRX
2018,2018-12-31,2018-12-31,-18507000.0,0.0,-25605000.0,-2.56,0.0,0.0,56233000.0,41321000.0,31978000.0,6751000.0,14912000.0,0.0,-222520000.0,52817897.4235,5.707546694185253,4.736779736335357,0.15530026852559886,0.21134532078120083,-0.41229902068974283,5.707546694185253,-0.4478836426998379,0.0,-2.5659965106986546,1.1492678643667869,0.0,0.0,0.0,0.0,4.664494149014961,-0.32911279853466824,-1.3801702343495699,0.0,0.3452685421994885,0.78295526668055,0.0,-0.26757234075121833,0.0,0.2112598022502557,-0.014461172741679873,0.3049235881743653,0.0,-0.5891554201752678,Biotechnology,Healthcare,1.69,103986714,454455,BLRX
2017,2017-12-31,2018-03-06,-23464000.0,0.0,-25240000.0,-3.91,0.0,0.0,60965000.0,52881000.0,50376000.0,6722000.0,8084000.0,0.0,-199558000.0,94107792.0,8.816368258473423,7.49419815531092,0.004100713524153202,0.004727595922921276,-0.45772936557697824,8.816368258473423,-0.4437132429416993,0.0,-4.217856801909308,1.8715189198388837,0.0,0.0,0.0,0.0,7.448527224040464,-0.384876568522923,-3.993051926568489,0.0,0.03456790123456782,0.7674733423535713,0.0,-0.33489891807449834,0.0,-0.5468389478541763,-0.5284927027190698,-0.8798754528236009,0.0,-0.39988160107462906,Biotechnology,Healthcare,1.69,103986714,454455,BLRX
2016,2016-12-31,2017-03-23,-15169000.0,0.0,-16513000.0,-4.05,0.0,0.0,38939000.0,35027000.0,36101000.0,3661000.0,3912000.0,0.0,-175206000.0,49527151.6,9.358046605620865,9.86096694892106,0.008808649426025321,0.009792445827504496,-0.44705944893394506,9.358046605620865,-0.433065920575556,0.0,-3.405178429692135,1.474666731378651,0.0,0.0,0.0,0.0,9.791313848675225,-0.389558026657079,-3.5456584019769357,0.0,-0.10054347826086947,0.7467420033681745,0.0,-0.6577707730072301,0.0,-0.20350682323072042,-0.019572734008397135,0.6559086225805375,0.0,0.20088236465568016,Biotechnology,Healthcare,1.69,103986714,454455,BLRX
2015,2015-12-31,2016-03-10,-12604000.0,0.0,-16196000.0,-3.68,0.0,0.0,51302000.0,47610000.0,48183000.0,3140000.0,3692000.0,0.0,-159365000.0,61721372.0,13.892228288906994,15.344904458598727,0.008518186425480488,0.009178743961352657,-0.29504441253124836,13.892228288906994,-0.2647342995169082,0.0,-5.30215582354808,1.4036625078764964,0.0,0.0,0.0,0.0,15.271974522292993,-0.24568242953491093,-3.9573856812933026,0.0,-0.7692307692307693,-7.171396640246284,-1.0,0.0,0.0,-1.8011582512417814,-0.021826184481291852,0.7813936563328966,0.0,0.04802065821465434,Biotechnology,Healthcare,1.69,103986714,454455,BLRX
2014,2014-12-31,2015-03-23,-4499567.275219999,0.0,-15850053.801686,-2.08,0.0,0.0,36165775.964129,31765850.952637,35114139.185861,2901952.526111,4399925.011492,0.0,-140063380.69765,46759790.254381,14.691048090278269,12.100176991151052,0.0,0.0,-0.22065545340684778,14.691048090278269,-0.14164793765257133,0.0,-11.677321503639702,1.6540685082965871,0.0,0.0,0.0,0.0,12.024159292036025,-0.12441506245249354,-3.584539578563421,0.0,0.8234295415959253,-4.491920691217177,-1.0,0.0,0.0,0.7451784262281199,0.10076385376451902,0.86995699680578,0.0,-0.4627397956503367,Biotechnology,Healthcare,1.69,103986714,454455,BLRX
2013,2013-12-31,2014-03-17,-17657717.157213997,0.0,-17626130.653266,-11.78,0.0,0.0,19948025.843503,11682986.360373,18773295.046662,2998994.974874,8265039.48313,0.0,-145233883.704235,54323180.641314,7.792642211299378,6.259862121793232,0.0,0.0,-1.5100513877837844,7.792642211299378,-1.5114044142948262,0.0,-3.5787565508819386,5.408948448689489,0.0,0.0,0.0,0.0,6.174071237074325,-0.8851861981603083,-3.105154032387487,0.0,0.2996432818073722,-20.763631980609613,-1.0,0.0,0.0,0.07064829837680299,0.19258718990691093,-20.763631980609613,-1.0,0.0,Biotechnology,Healthcare,1.69,103986714,454455,BLRX
