Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2022-12-31,5195000000.0,92769000000.0,17193000000.0,3.27,14258000000.0,0.153693583,441284000000.0,43753000000.0,53388000000.0,77747000000.0,299393000000.0,9108000000.0,18006000000.0,248016290000.0,28.475756589651805,0.6866888754550015,0.48511616102102045,4.8927844947775005,0.051984495233552086,28.475756589651805,0.11873471533380568,0.5210608069505978,9.304771896053898,1.1047994423239549,0.19807507218479306,8.620004391743523,0.02128747210544684,0.2102251611207295,0.5331395423617632,0.011772463991443152,31.90646204620462,0.15369358298569566,-0.5813060179257361,0.06847763528690247,1.1290138176309645,0.45000117289467584,0.21541215582644277,-0.5806425573135292,0.016555312481523088,-0.08249097633101923,0.2933314211901246,0.18163044438080447,Asset Management,Financial Services,32.46,50868715038,2161411,BN
2021,2021-12-31,2021-12-31,12388000000.0,75731000000.0,16913000000.0,7.81,11731000000.0,0.1549035402,391003000000.0,46355000000.0,56270000000.0,65075000000.0,256262000000.0,8557000000.0,17705000000.0,238237087933.0,30.169215750081353,0.8646945831732616,0.4499505118886556,3.795318735842951,0.06406724731747221,30.169215750081353,0.26724193722360046,0.9903353703635235,6.054172419518889,1.6179287656779204,0.11995479496286729,7.479256748860582,0.019813574284096754,0.19368393592888034,0.5494429504417979,0.03168262136096142,75.52778240986909,0.1549035401618888,15.617021276595745,2.4744987996304033,1.9044601517912356,0.6405858260496741,-0.23656123909931018,16.52192362093352,0.6613948919449901,0.5466006658489574,0.24706755177426445,0.45346508480351677,Asset Management,Financial Services,32.46,50868715038,2161411,BN
2020,2020-12-31,2020-12-31,707000000.0,62752000000.0,10180000000.0,0.47,15366000000.0,0.2448686894,343696000000.0,35838000000.0,45138000000.0,53041000000.0,221054000000.0,10360000000.0,15178000000.0,188892801926.4,23.7117903930131,0.8510020550140457,0.4937153763791257,4.7348624365198955,0.021807998277578823,23.7117903930131,0.019727663374072214,0.8035568894441611,71.3222092311174,1.40702053480663,1.2263083451202264,4.573938223938224,0.017193919794974553,0.18257995437828778,0.6474991044663562,0.0020570504166472696,11.648140893139294,0.24486868944416115,-0.8694444444444444,-0.8483575439493434,2.1558485139040813,0.4181702478679717,0.017750695456351835,-0.8679491968621591,-0.2679945351261954,-0.8521734488291097,0.46405139796955674,0.20741739637556433,Asset Management,Financial Services,32.46,50868715038,2161411,BN
2019,2019-12-31,2019-12-31,5354000000.0,67826000000.0,13907000000.0,3.6,15098000000.0,0.2225990033,323969000000.0,35013000000.0,39021000000.0,44767000000.0,207123000000.0,10272000000.0,16026000000.0,181855754685.7,24.098699153417304,0.871646525342328,0.491059329750686,4.543683774598007,0.06377941661150889,24.098699153417304,0.15291463170822267,0.6672773668755344,8.453260120601419,1.292627158075572,0.1441912588718715,5.133177570093458,0.01705747330789731,0.20935953748661137,0.6444925949918466,0.016526272575462467,13.819467079603053,0.22259900333205557,-0.2954990215264188,-0.018376939925961667,2.5273590131119104,0.4107987713190031,0.34180590117312476,-0.2849893162393162,0.35019417475728154,0.5880573309281111,1.7509631777031092,0.31047437841419845,Asset Management,Financial Services,32.46,50868715038,2161411,BN
2018,2018-12-31,2018-12-31,7488000000.0,56771000000.0,10300000000.0,5.11,11252000000.0,0.1981997851,256281000000.0,29815000000.0,30446000000.0,26308000000.0,159131000000.0,4578000000.0,14244000000.0,139515921701.2,20.7567529935951,1.1572905580051696,0.4612827326255165,3.965051148750629,0.07196245215295245,20.7567529935951,0.2511487506288781,0.5229416727061351,3.964733133173077,0.9957377729733354,0.09695512820512821,9.942988204456094,0.024454389475523804,0.22151856750988172,0.9002204652577163,0.02921792875788685,9.286181326618705,0.19819978510154831,0.6483870967741936,1.0152104511017397,1.8195202907141166,0.42335703568321925,0.3398428197189807,0.6453526697429136,0.2333852233265477,0.6899398737151293,2.0041329020590024,0.2414334409153177,Asset Management,Financial Services,32.46,50868715038,2161411,BN
2017,2017-12-31,2017-12-31,4551000000.0,40786000000.0,8351000000.0,3.1,8398000000.0,0.2059039867,192720000000.0,28244000000.0,21389000000.0,23431000000.0,112848000000.0,3585000000.0,11864000000.0,106618101030.8,19.63843693505771,0.912850497204558,0.40675072644250726,2.775421328423736,0.06901880853375175,19.63843693505771,0.1611315677666053,0.8181263431275437,7.332037141463415,1.1814226395269791,0.15051637002856516,9.034309623430962,0.020528588047840045,0.21163345786633458,0.691349067474713,0.023614570361145705,14.413866535982722,0.20590398666208992,0.3596491228070177,0.7706761057354032,1.3314716425823088,0.35658840964034355,0.2547437621395488,0.3633912522468544,0.31387665198237885,-0.15707359170166393,1.142796917378481,0.14968374526042957,Asset Management,Financial Services,32.46,50868715038,2161411,BN
2016,2016-12-31,2016-12-31,3338000000.0,24411000000.0,6356000000.0,2.28,6693000000.0,0.2741796731,159826000000.0,26453000000.0,17437000000.0,16369000000.0,90138000000.0,2987000000.0,11490000000.0,86183424229.0,18.389294403892944,1.065245280713544,0.40601028618622753,2.4530677049862017,0.0776038876722746,18.389294403892944,0.1261860658526443,1.0483562422268649,7.666693897243859,0.9674299409896798,0.1896345116836429,5.931704050887178,0.024734848452970797,0.15273484914844893,0.8563748549086688,0.020885212668777294,15.885427826815642,0.2741796730981934,-0.24000000000000007,-0.07297936121311276,0.5644347393304494,0.42876961840632405,0.22135036496350366,-0.285071749839366,0.151657909041493,-0.10297110310377226,0.21059752324377745,0.26101281732782255,Asset Management,Financial Services,32.46,50868715038,2161411,BN
2015,2015-12-31,2015-12-31,4669000000.0,19913000000.0,5519000000.0,3.0,5480000000.0,0.2751971074,139514000000.0,25307000000.0,13309000000.0,19503000000.0,82287000000.0,3198000000.0,11045000000.0,80823769782.31549,16.71998861114213,0.6824078346920986,0.4177573576845334,2.3030386849488282,0.06336465843475476,16.71998861114213,0.18449440866163513,1.2712685071217542,5.421882583490145,1.000307021073833,0.12508031698436495,4.51313320825516,0.02306953628343772,0.14273119543558352,0.44680305594011177,0.03346617543759049,15.122323645349756,0.2751971074172651,-0.1780821917808219,0.24888701567109314,0.21660951595679506,0.4964175789267021,0.04460541364849409,-0.10366673065847572,0.015081846606584513,0.7261191144525373,0.08160905145168657,0.1549871730729625,Asset Management,Financial Services,32.46,50868715038,2161411,BN
2014,2014-12-31,2014-12-31,5209000000.0,18364000000.0,5437000000.0,3.65,5246000000.0,0.2856676105,129480000000.0,23702000000.0,16328000000.0,12829000000.0,76233000000.0,2815000000.0,9702000000.0,74206477250.55,17.081599192836425,1.272741445163302,0.407537843682422,2.2263100160324023,0.05669913380133543,17.081599192836425,0.2197704835035018,1.3394945137524503,4.7223031772989055,1.0378228525251032,0.10405068151276636,4.660035523978686,0.02203388423110139,0.14182885387704663,0.834515550705433,0.04023015137472969,16.66563499359756,0.2856676105423655,0.454183266932271,1.3938224936718817,0.41027029315138525,1.9139664609536577,-0.23993045494059692,0.35509885535900104,-0.1735826113391093,0.49972222661124094,0.22009195713277047,0.3271672868183612,Asset Management,Financial Services,32.46,50868715038,2161411,BN
2013,2013-12-31,2013-12-31,3844000000.0,20830000000.0,6579000000.0,2.51,6902000000.0,0.3313490158,112745000000.0,21670000000.0,17562000000.0,15148000000.0,64428000000.0,6291000000.0,0.0,63603915788.74588,14.582955978878303,1.159360971745445,0.41564592664863187,2.162528841716659,0.07869907474468965,14.582955978878303,0.17738809413936318,0.9795926926906328,5.308250725480198,0.9416204794068241,0.140738813735692,2.2139564457161023,0.026513218951797046,0.184753204133221,0.5878003696857671,0.03409463834316378,28.658589590935225,0.3313490158425348,0.4425287356321838,0.8086803465806285,0.42428947413623236,2.2942035881969436,0.4415204678362573,0.3993447397160539,0.42711496746203903,0.04730697699280605,0.29626897450636813,0.30515589376451646,Asset Management,Financial Services,32.46,50868715038,2161411,BN
