Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2022-12-31,-654770313.0,-653341153.0,-654770313.0,0.0,-653341153.0,1.0,968539140.0,960703201.0,2989486.0,1128358.0,7835939.0,0.0,170954386.0,88084.0,0.0,2.6494126863991747,9.094521466628597e-05,9.168700583938202e-05,-0.6814906871267051,0.0,-0.6815531709673153,0.0,0.0,0.0,-0.14916494999980245,0.0,,-0.6745635008617205,2.6494126863991747,-0.6760390839754808,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-5.802172672429587,-5.815787433272798,-5.815787433272798,-1.0,-1.0,-1.0,Asset Management,Financial Services,34.265,1156327249,94296,BST
2021,2021-12-31,2021-12-31,135963292.0,136051158.0,135963292.0,5.41,136051158.0,1.0,1707239359.0,1681166438.0,10617408.0,12342748.0,12342748.0,0.0,885963523.0,1255541206.59,66.89386729117044,0.8602142731910268,0.0,0.0,0.08087437919695135,66.89386729117044,0.08087437919695135,9.230633631137486,9.236598909285016,0.7470042026796636,0.8841185972460861,0.0,0.09571906347014085,0.07969073421531866,0.8602142731910268,0.07963926750121275,-4.897802200064641,1.0,-0.7405275779376499,2.384717594963017,29.527585680619506,2.3277557726811784,-0.7390165768698865,-0.7391357260512245,-0.7391357260512245,22.284414612508638,25.223392370532814,1.5543097860841861,Asset Management,Financial Services,34.265,1156327249,94296,BST
2020,2020-12-31,2020-12-31,521203191.0,521301914.0,521203191.0,20.85,521301914.0,1.0,1321795897.0,1297344103.0,2839651.0,0.0,0.0,0.0,864323796.0,1331459165.6,51.905635977060676,0.0,0.0,0.0,0.4017462982987791,51.905635977060676,0.4017462982987791,2.555515709462751,2.5559997590268013,1.0268634416415887,0.09021693230577324,0.0,0.03529614272738562,0.3943891149784678,0.0,0.39431442644279896,-41.40267335054027,1.0,1.2086864406779663,13.177360267684644,97.56538509122392,1.634206929562415,1.3864017713966879,1.3814140770317858,1.3814140770317858,1.417508392253533,1.4225833765058762,0.9337520853361572,Asset Management,Financial Services,34.265,1156327249,94296,BST
2019,2019-12-31,2019-12-31,218862900.0,218446835.0,218862900.0,9.44,218446835.0,1.0,754298347.0,742671518.0,2491293.0,0.0,0.0,0.0,385336246.0,771435515.6700001,32.029483867358955,0.0,0.0,0.0,0.29469677333175986,32.029483867358955,0.29469677333175986,3.5314565929508666,3.524743187036268,1.0387304440426919,0.3384566228447124,0.0,0.0960230589534947,0.2896026961596934,0.0,0.29015428824743267,11.33612933722361,1.0,39.629411562166446,18.974090110220626,396.6687766375558,0.0,0.0,40.96080476405844,0.0,4.90541599327679,52.12678703146281,0.5933642970836452,Asset Management,Financial Services,34.265,1156327249,94296,BST
2018,2018-12-31,2018-12-31,5215889.0,4634313.0,0.0,0.232344,0.0,0.0,594910298.0,587907685.0,0.0,0.0,7002613.0,0.0,241656046.0,618586571.12,26.18862741536148,0.0,0.0,0.0,0.0,26.18862741536148,0.008871952405248794,133.11523587638555,118.2727753830651,1.0493104340352346,0.0,0.0,0.0,0.007789935752633416,0.0,0.008767521788637789,16.939921106186247,0.0,-0.9730640042913217,-0.5083300972873572,7.713879042484593,0.0,0.0,-0.9738337466227833,0.0,-0.8420349841482405,-0.02441586011429757,0.32907077458335043,Asset Management,Financial Services,34.265,1156327249,94296,BST
2017,2017-12-31,2017-12-31,199336486.0,198956581.0,0.0,8.625781,0.0,0.0,628206311.0,620300469.0,0.0,0.0,7905842.0,0.0,-1852285.0,616789485.65,26.841928895987497,0.0,0.0,0.0,0.0,26.841928895987497,0.3213547239797428,3.1001210543017925,3.094212695462084,0.994339866684834,0.1436498233444328,0.0,0.04642532284710324,0.31670579794605086,0.0,0.31731054354211985,19.682526591808394,0.0,4.396644685802948,17.253245451190203,362.40632852591244,0.0,1.0,4.540934003238338,-1.0,17.253245451190203,362.40632852591244,0.0,Asset Management,Financial Services,34.265,1156327249,94296,BST
2016,2016-12-31,2016-12-31,35975250.0,3991300.0,87700.0,1.59836,-590080.0,-0.14784155538295793,456738540.0,452442980.0,0.0,4166730.0,4295560.0,0.0,-18317290.0,403909334.6,20.101795883077664,0.0,0.00028206509571099476,0.00028474306309272387,0.00019378140233701255,20.101795883077664,0.07951333447587142,101.16657845814647,11.223998849208831,0.8924575746539377,0.7526913642017776,0.0,0.06706089107046141,0.00873869763650775,0.004639129485231825,0.07876552304957668,14.910158035366129,-0.14784155538295793,0.08668398080034806,2.382334137503737,6.48527812160084,0.0,-25.30313014827018,0.08668532016895084,-0.8704138776837035,2.382334137503737,6.48527812160084,0.0,Asset Management,Financial Services,34.265,1156327249,94296,BST
2015,2015-12-31,2015-12-31,33105490.0,4762700.0,676770.0,1.47086,24280.0,0.0050979486425766895,447000000.0,443500000.0,0.0,3400000.0,3500000.0,0.0,-26900000.0,389706382.9,19.70446413854171,0.0,0.00022371364653243848,0.00022547914317925591,0.0015256311992786294,19.70446413854171,0.07464597519729425,81.8036791945745,11.768633628440478,0.878481133934611,0.8107223303446045,0.0,0.06888839910738537,0.010654809843400448,0.0,0.07406149888143176,14.595169845884124,0.0050979486425766895,2.1125359742678183,2.1125239981873256,7.9319605416150925,0.0,1.102585769815785,2.112523998187326,4.928314371952635,2.1125239981873256,7.9319605416150925,0.0,Asset Management,Financial Services,34.265,1156327249,94296,BST
2014,2014-12-31,2014-12-31,10636220.0,533220.0,-172280.0,0.47256,-236680.0,-0.4438693222309741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395908508.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.48623101159,37.22267009332263,0.0,0.2116127722066674,0.0,0.00568505084874684,0.0,0.0,0.0,-0.928156984287477,-0.4438693222309741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,34.265,1156327249,94296,BST
TTM,,,,,,,,,,,,,,,,1156415333.0,0.0,2.6494126863991747,9.094521466628597e-05,9.168700583938202e-05,-0.6814906871267051,0.0,-0.4956870720145325,-1.769867463101624,0.0,0.0,-0.14916494999980245,0.0,0.08755289654166058,-0.6745635008617205,2.6494126863991747,-0.6760390839754808,16.596073883124397,1.0,,,,,,,,,,,Asset Management,Financial Services,34.265,1156327249,94296,BST
