Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-03-06,-83413000.0,41867000.0,-87535000.0,-1.55,34601000.0,0.8264504264,182237000.0,158779000.0,168910000.0,23458000.0,23458000.0,2383000.0,-566232000.0,514416277.36,2.9593374263077843,7.200528604314093,0.021049512448075857,0.024159366163031635,-0.5191925263647993,2.9593374263077843,-0.5253402528042121,13.763567424463181,-6.908267025044058,3.6291907453756482,0.0,3.049097775912715,0.0,0.22973929553274033,6.388097877056867,-0.45771714854831896,-7.3151876576999735,0.8264504263501087,0.10404624277456644,0.16542311609169852,25.72692787475166,0.06406704468504759,0.5025620983150947,0.04726388048109102,0.017377052860815194,0.3763806075739456,0.6743324166489952,-0.3237056118080165,Biotechnology,Healthcare,2.65,143055480,1372180,CARA
2021,2021-12-31,2022-03-01,-87551000.0,23028000.0,-89083000.0,-1.73,23028000.0,1.0,247056000.0,227522000.0,173290000.0,17616000.0,19534000.0,2584000.0,-480758000.0,607974557.6999999,4.485953078707654,9.837079927338783,0.014867074671329578,0.01614349381598263,-0.3754727737357213,4.485953078707654,-0.3848023487838539,26.826235786868157,-7.055939483272606,2.7151420860400313,0.0,0.0,0.0,0.09320963668156207,9.547400090826521,-0.35437714526261255,-10.27433319528989,1.0,-10.61111111111111,0.17791257548767023,143.01829754039088,1.4124662379830601,-0.8295257695325802,-11.410344827586206,-17.54280408542247,0.16287251224878943,0.20992755505381386,0.2049192087113297,Biotechnology,Healthcare,2.65,143055480,1372180,CARA
2020,2020-12-31,2021-02-25,8410000.0,135082000.0,5385000.0,0.18,135082000.0,1.0,271157000.0,249001000.0,195065000.0,18483000.0,22156000.0,0.0,-392317000.0,690954472.5,5.2517176105835395,10.553752096521128,0.019453674439531343,0.02118465387689206,0.022604658797574943,5.2517176105835395,0.03377496475917768,5.310570412786308,85.29874821640904,2.8809622150111847,0.0,0.0,0.0,0.49816895746744505,9.90039495752854,0.031015242092219637,-122.92023175119945,1.0,1.072289156626506,1.1768763594697218,17.444464111547152,0.2309055368371148,5.792819068691542,1.0790614159608172,1.048218554965571,1.0952198419540293,96.58285754436623,0.8883212126256707,Biotechnology,Healthcare,2.65,143055480,1372180,CARA
2019,2019-12-31,2020-02-27,-106373000.0,19886000.0,-111679000.0,-2.49,19886000.0,1.0,232959000.0,186713000.0,165656000.0,42894000.0,46246000.0,0.0,-400727000.0,673416954.63,4.375812483405822,3.861985359257705,0.018539743044913484,0.02313175836711959,-0.5673317202403301,4.375812483405822,-0.5697139460026887,34.567180661269234,-6.462193927312382,3.6816020021637486,0.0,0.0,0.0,0.08536266038229903,3.6553597239707187,-0.4566168295708687,-6.292421067070659,1.0,-0.20873786407766998,-1.9454644465868154,2.075591140366131,0.7758313673352764,0.0,-0.43722048829259724,-0.4432167687575922,-0.18724710002487766,146.82970250200154,1.3532345735106415,Biotechnology,Healthcare,2.65,143055480,1372180,CARA
2018,2018-12-31,2019-03-12,-74013000.0,13469000.0,-77382000.0,-2.06,0.0,0.0,190823000.0,133630000.0,168139000.0,40447000.0,57193000.0,0.0,-294354000.0,451525218.0,3.7230322550052257,4.157020298167973,0.0,0.0,-0.5760489374006736,3.7230322550052257,-0.5538651500411584,34.642974088648,-6.304381905881399,3.4917774302177658,0.0,0.0,0.0,0.0705837346651085,4.029297599327515,-0.3878620501721491,-20.854841244301422,0.0,-0.10752688172043008,-10.36521716355703,-0.31490191841305104,6.064553482818699,0.0,-0.273341935483871,-0.30086576447843993,-1.0562426317388398,1.4293856871571426,-0.12739005477487983,Biotechnology,Healthcare,2.65,143055480,1372180,CARA
2017,2017-12-31,2018-03-15,-58125000.0,911000.0,-59485000.0,-1.86,0.0,0.0,97004000.0,86780000.0,95058000.0,8506000.0,10224000.0,0.0,-220341000.0,372534786.08,2.7811569215393908,11.175405596049847,0.0,0.0,-0.6830716409601312,2.7811569215393908,-0.6697971882922332,419.23467187705813,-6.5707145992258065,4.401046163632173,0.0,0.0,0.0,0.009391365304523525,10.983188337644016,-0.599202094758979,-6.958600456955452,0.0,0.11428571428571428,-0.7674352180410788,-0.8540215476515371,5.7846146356663635,0.0,-0.014752094972067038,-0.01857876712328767,-1.200934130826989,-0.8073268289267866,0.12867398168469998,Biotechnology,Healthcare,2.65,143055480,1372180,CARA
2016,2016-12-31,2017-03-10,-57280000.0,86000.0,-58400000.0,-2.1,0.0,0.0,63828000.0,50725000.0,61445000.0,11533000.0,13103000.0,0.0,-162171000.0,241329984.31999996,1.859488438875783,5.327755137431717,0.0,0.0,-1.141975674258201,1.859488438875783,-1.1292262198127156,2946.767259534883,-4.4242664860335195,4.995997719467717,0.0,0.0,0.0,0.0013473710597230056,5.134396947888668,-0.8974117941969042,-5.2688674023867925,0.0,-1.1,-0.3236419390867276,0.0,0.8830720163633335,0.0,-1.319967598217902,-1.3185643957440052,-10.573143449456502,-0.9942443490793657,2.528429147896969,Biotechnology,Healthcare,2.65,143055480,1372180,CARA
2015,2015-12-31,2016-03-11,-24690000.0,3803000.0,-25188000.0,-1.0,0.0,0.0,110897000.0,105044000.0,108934000.0,5268000.0,5853000.0,0.0,-104891000.0,399998471.91999996,4.266548044034428,20.678435839028094,0.0,0.0,-0.2359906485105873,4.266548044034428,-0.23504436236243859,109.15053166447541,-16.812453297691373,3.9516723651041468,0.0,0.0,0.0,0.03429308277049875,20.3502277904328,-0.22263902540194955,-19.30874834496232,0.0,-0.17647058823529416,0.36784647734633885,0.0,3.3206599515339317,0.0,-0.39137785291631444,-0.3937583001328021,0.048516700420520815,-0.22768184351048595,9.408216839238026,Biotechnology,Healthcare,2.65,143055480,1372180,CARA
2014,2014-12-31,2015-03-27,-17745000.0,3177000.0,-18072000.0,-0.85,0.0,0.0,55934000.0,51662000.0,53150000.0,3398000.0,4272000.0,0.0,-80201000.0,156367371.95000002,2.464092347896719,15.641553855208947,0.0,0.0,-0.34589425044130884,2.464092347896719,-0.34348263714141924,65.79489202077433,-11.77967720202874,4.046114590027487,0.0,0.0,0.0,0.05679908463546322,15.557092407298411,-0.31724890048986304,-11.820310560393578,0.0,-5.043627883166008,0.4664712196838582,0.0,1.4953440145423238,0.0,-3.477668433005299,-75.25316455696202,0.4664712196838582,0.0,1.4953440145423238,Biotechnology,Healthcare,2.65,143055480,1372180,CARA
2013,2013-12-31,2013-12-31,-3963000.0,11964000.0,-237000.0,-0.140644,0.0,0.0,18083000.0,11511000.0,14558000.0,5433000.0,6572000.0,0.0,-62456000.0,269628784.21,0.5270017792433452,2.679550892692803,0.0,0.0,-0.020434313606277756,0.5270017792433452,-0.344279384936148,23.569523922601135,-71.15462634620238,24.497070993831986,0.0,0.0,0.0,0.6616158823204115,2.285661697036628,-0.21915611347674613,99.85332302053824,0.0,0.8660533333333333,0.8856281402829334,0.0,-0.466314346290419,0.0,0.3680433742624781,0.9619948685054522,0.8856281402829334,0.0,-0.466314346290419,Biotechnology,Healthcare,2.65,143055480,1372180,CARA
