Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2022-12-31,1508000000.0,17320000000.0,2086000000.0,3.29,6224000000.0,0.3593533487,29313000000.0,7447000000.0,6543000000.0,7313000000.0,21866000000.0,1380000000.0,7428000000.0,34197903759.2,16.295404814004378,0.8947080541501435,0.40620202640466685,1.598898885457231,0.08094159221055999,16.295404814004378,0.20249765006042703,1.3670845126558893,15.701527691777189,3.179522459943601,0.5059681697612732,8.040579710144927,0.03222413638299961,0.5908641217207382,0.22603582661014632,0.051444751475454575,10.166553782395878,0.35935334872979213,0.530232558139535,1.3237895633046661,0.6599619268360906,0.18103790345936,0.2237514746362564,0.5356415478615071,0.3759894459102902,0.4101266737598617,0.46904503812887993,0.23300837595244311,Beverages—Non-Alcoholic,Consumer Defensive,63.93,29622413010,1093398,CCEP
2021,2021-12-31,2021-12-31,982000000.0,13763000000.0,1516000000.0,2.15,5086000000.0,0.3695415244,29090000000.0,7033000000.0,5760000000.0,6093000000.0,21880000000.0,1157000000.0,6677000000.0,34289855151.19134,15.398116091181071,0.9453471196454948,0.45170161567548983,1.868334992179724,0.05206559353764386,15.398116091181071,0.13962747049623206,1.6389490046640516,22.97032092789342,3.20728780764842,0.6496945010183299,7.499567847882455,0.028284084626322745,0.47311790993468544,0.7109798129000492,0.03375730491577862,13.49901565002474,0.3695415243769527,0.9724770642201832,0.4827586221910664,0.2491970990309299,-0.09765588312287872,0.36171352074966534,0.9718875502008032,0.8646986469864698,0.14361702068851503,0.2649374236928063,0.1342402399824841,Beverages—Non-Alcoholic,Consumer Defensive,63.93,29622413010,1093398,CCEP
2020,2020-12-31,2020-12-31,498000000.0,10606000000.0,813000000.0,1.09,3735000000.0,0.3521591552,19237000000.0,6025000000.0,4076000000.0,4140000000.0,13212000000.0,681000000.0,6078000000.0,24335061816.0,13.212719298245615,0.9845410628019323,0.37360295264334353,1.192863070539419,0.04290730779889603,13.212719298245615,0.08265560165975104,1.760424459362625,37.492092,3.0989314217427384,0.7751004016064257,10.08957415565345,0.02067370371347712,0.5513333679887716,0.7659420289855072,0.025887612413578,17.25606452495379,0.35215915519517255,-0.5301724137931034,-0.5372243139059967,-0.16216382852163252,2.4868443705752092,-0.1868060091443501,-0.5431192660550459,-0.4748062015503876,-0.2309117869109548,0.018716216621942696,-0.04238510935388201,Beverages—Non-Alcoholic,Consumer Defensive,63.93,29622413010,1093398,CCEP
2019,2019-12-31,2019-12-31,1090000000.0,12017000000.0,1548000000.0,2.32,4593000000.0,0.3822085379,18685000000.0,6156000000.0,3103000000.0,4115000000.0,12529000000.0,723000000.0,6135000000.0,27262378298.88,13.215972520395018,0.7540704738760632,0.3436446347337436,1.0430474333983106,0.08951463093013474,13.215972520395018,0.1770630279402209,1.7606206456586504,19.410438806311927,3.4368710686939576,0.5266055045871559,10.268326417704012,0.02713001544385041,0.6431362055124431,0.5154313487241798,0.05833556328605834,16.249906527557606,0.3822085379046351,0.24731182795698908,0.060103969567309755,-0.06234895093580334,1.7739234283481529,0.03028263795423957,0.19911991199119913,0.19076923076923077,0.613834561218688,0.06951643322567222,-0.22553155321266039,Beverages—Non-Alcoholic,Consumer Defensive,63.93,29622413010,1093398,CCEP
2018,2018-12-31,2019-03-14,909000000.0,11518000000.0,1300000000.0,1.86,4458000000.0,0.38704636221566247,18216000000.0,6564000000.0,2991000000.0,3792000000.0,11652000000.0,693000000.0,6672000000.0,24674032343.389095,13.57570957932057,0.7887658227848101,0.30841018884497146,0.85588056063376,0.08000847682262689,13.57570957932057,0.13848263254113347,1.6812842805512325,21.303665944322436,2.9501877427466625,0.5643564356435643,10.187590187590187,0.026491047931305408,0.6323012736056214,0.0814873417721519,0.04990118577075099,16.05724074907885,0.38704636221566247,0.3191489361702129,0.04308640021947482,0.07352056211770318,1.2035147358790756,0.039160839160839164,0.32122093023255816,0.031746031746031744,-0.2033567461464332,-0.141889203067553,2.5826377186037095,Beverages—Non-Alcoholic,Consumer Defensive,63.93,29622413010,1093398,CCEP
2017,2017-12-31,2018-03-15,688000000.0,11062000000.0,1260000000.0,1.41,4290000000.0,0.38781413849213525,18194000000.0,6685000000.0,3314000000.0,3287000000.0,11509000000.0,650000000.0,6769000000.0,21454050909.2107,13.797529076987079,1.00821417706115,0.31592832802022647,0.8598354525056096,0.05974082537827311,13.797529076987079,0.10291697830964847,1.4523640308452992,23.351818181992293,2.403298565326956,0.7107558139534884,10.418461538461539,0.03043685114427562,0.6080026382323843,0.6668694858533617,0.037814664175002746,14.565775982965276,0.38781413849213525,-0.007042253521126767,-0.1844608891125668,0.10112312669455326,0.9920951678140819,0.2087912087912088,0.25318761384335153,0.4806110458284371,-0.35670556919116947,-0.17019083458767145,1.8959873441705184,Beverages—Non-Alcoholic,Consumer Defensive,63.93,29622413010,1093398,CCEP
2016,2016-12-31,2016-12-31,549000000.0,9133000000.0,851000000.0,1.42,3549000000.0,0.38859082448264537,18568000000.0,6461000000.0,3425000000.0,3752000000.0,12107000000.0,673000000.0,6474000000.0,17292944948.1696,17.064571933456673,0.9128464818763327,0.34667169323567426,0.9962854047361089,0.04998769029092962,17.064571933456673,0.08497136666150751,1.2309148087342165,20.47713105313224,1.739969810891441,0.37158469945355194,8.297176820208024,0.018146326186485644,0.49186772942697116,0.10287846481876332,0.029566996984058597,15.049457761940563,0.38859082448264537,-0.38878357601207975,-0.19958947344869463,0.2039144643185605,1.4337378171506534,0.5097783352722081,0.007085627006008174,0.07436532026514579,-0.19549187339947952,0.08704730036584758,1.769802602003081,Beverages—Non-Alcoholic,Consumer Defensive,63.93,29622413010,1093398,CCEP
2015,2015-12-31,2015-12-31,545137360.0,6412681260.0,792095560.0,2.323236,2350676200.0,0.3665668235629725,6961477260.0,875329620.0,1871394360.0,1972921620.0,6086147640.0,307325760.0,2130243140.0,13842997661.941639,3.7893057142857143,0.9485396383866481,0.5072920772566023,4.0344827586206895,0.14398737708503506,3.7893057142857143,0.6227795193312434,1.6322326305582884,19.200642571886174,11.957766951770282,0.4312080536912752,13.217261904761905,0.022458001188077708,0.9211667323610564,0.07881316643486323,0.07830771252135067,18.07833013087545,0.3665668235629725,0.07417629034860723,0.7050966079626807,0.8641718713321769,-0.45643075419337203,-0.03852958972631531,-0.00016015415883228177,-0.05476146799982682,0.35534673999540595,0.3388440650418516,-0.4528978659382369,Beverages—Non-Alcoholic,Consumer Defensive,63.93,29622413010,1093398,CCEP
2014,2014-12-31,2014-12-31,545224680.0,6795983040.0,837984840.0,2.162807,2444876280.0,0.35975314617618587,7025421480.0,1176797160.0,2023005600.0,2144714880.0,5848624320.0,319075680.0,1637318760.0,12128081579.11861,4.764360971659919,0.9432515337423313,0.46260095985016975,2.7617051013277427,0.14054385888634932,4.764360971659919,0.46331236897274636,1.3333613526967558,16.61975598595172,7.700138517600273,0.37104072398190047,13.63659793814433,0.02232528108689034,0.967341683249444,0.08550613496932516,0.07760739786960084,16.276068269846366,0.35975314617618587,0.22400012676860595,1.1113025103478695,-0.11123482102559815,2.87793729647579,0.17961620786103596,0.1287639894046735,0.2660283753818474,0.21849385342739103,0.37322547132203565,-0.3205100299907375,Beverages—Non-Alcoholic,Consumer Defensive,63.93,29622413010,1093398,CCEP
2013,2013-12-31,2013-12-31,483028060.0,5946966160.0,661900520.0,1.766999,2072603160.0,0.34851436921578177,6897814500.0,1651130400.0,1859694240.0,1589575100.0,5246684100.0,327329360.0,1142031860.0,11134074678.16464,6.160934328358209,1.1699316628701595,0.40283464566929134,1.6828947368421052,0.12380485298582403,6.160934328358209,0.29254385964912283,1.4467527688377901,17.812194509289252,5.210848130568391,0.3193403298350825,11.836283185840708,0.017928185640940706,0.8621522309711286,0.1562642369020501,0.0700262467191601,22.673155987969338,0.34851436921578177,0.038607782803302196,1.2769422409670719,-0.31296883499933265,135.18271468420164,-0.054816905827510504,-0.05641402131849084,-0.05671585858484517,0.3022446746657416,0.4901121288001137,-0.1162247971430556,Beverages—Non-Alcoholic,Consumer Defensive,63.93,29622413010,1093398,CCEP
