Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-04,2023-03-31,33038000.0,67928000.0,-33993000.0,0.93,26242000.0,0.3863208103,684596000.0,232320000.0,246387000.0,190843000.0,452276000.0,82000.0,-962962000.0,114550695.0,241409695.0,6.885391659998222,1.2910455190916093,0.388627745414814,1.1452005853994491,-0.06969362973913557,6.885391659998222,0.1422090220385675,1.686354596042869,0.8668101504328349,0.4930728951446281,0.0,508.3658536585366,0.0,0.09922348363122192,1.2473289562624776,0.04825911924697194,-8.903365070729054,0.38632081026969733,1.0835579514824798,1.6392523018650196,-0.19423263773537003,1.2227534149700852,-0.21452303271573528,1.0888450254261672,-0.35263220723409333,2.9339427730932583,0.1822553808834933,0.3299707433863778,Advertising Agencies,Communication Services,CDLX
2022Q4,2022,Q4,2023-03-01,2022-12-31,-371861000.0,82503000.0,-25131000.0,-11.13,33409000.0,0.4049428506,691236000.0,211605000.0,250042000.0,248944000.0,479631000.0,80000.0,-976570000.0,193161820.0,306519820.0,6.331877075914899,1.0044106305032456,0.3403511969862681,1.1118026511660877,-0.05416681923148311,6.331877075914899,-1.7573356017107347,2.3412702568391452,-0.12986157462062436,0.9128414735001537,0.0,613.675,0.0,0.11935576272069164,0.9720419050067485,-0.5379653258800178,-11.883955949304786,0.4049428505630098,-8.46979865771812,-52.55013533089044,0.22724413341271224,1.5922574014389699,0.2840725651472058,-8.499163087099442,0.31096975845145725,-86.59409858727268,-0.060800893531082464,0.1650835024678362,Advertising Agencies,Communication Services,CDLX
2022Q3,2022,Q3,2022-11-01,2022-09-30,49587000.0,72706000.0,-36473000.0,1.49,26018000.0,0.3578521718,1066312000.0,580509000.0,249128000.0,254911000.0,485803000.0,0.0,-598291000.0,309730000.0,408117000.0,17.617875569044006,0.9773136506466963,0.22216855854571646,0.40809186420882365,-0.34827107096340587,17.617875569044006,0.08541986429150969,4.260033559816247,1.561548389698913,0.5335490061308266,0.0,0.0,0.0,0.06818454636166525,0.9429055631181079,0.04650327483888393,-17.461382342992447,0.35785217176023987,1.3973333333333333,9.53252397314468,-0.014476456322149153,276.9819354409227,-0.03504802878018025,1.3926439147992715,0.08682807140532285,5.57691217296313,-0.07852582513112323,2.2602223221797333,Advertising Agencies,Communication Services,CDLX
2022Q2,2022,Q2,2022-08-02,2022-06-30,-126290000.0,75405000.0,-39941000.0,-3.75,26963000.0,0.3575757576,1089507000.0,564157000.0,263938000.0,293528000.0,525350000.0,0.0,-604558000.0,750396850.0,831145850.0,16.772915118180467,0.8991918999209615,0.21825192495321277,0.42149082613527794,-0.04848727245963731,16.772915118180467,-0.22385612515664965,9.95155294741728,-1.4854637144667036,1.3301206047252803,0.0,0.0,0.0,0.06921020241265086,0.866012782426208,-0.11591481284654435,-68.54817301543802,0.3575757575757576,-2.3786764705882355,-80.27693586009576,-0.041613237757722105,0.0,0.027475040012194193,-2.2501979884374754,-0.17497720118847998,-12.110374109698931,0.04575715060866201,7.1925551925600635,Advertising Agencies,Communication Services,CDLX
2022Q1,2022,Q1,2022-05-02,2022-03-31,101016000.0,67928000.0,-33993000.0,2.72,26242000.0,0.3863208103,1231179000.0,711670000.0,319440000.0,246785000.0,519509000.0,0.0,-478268000.0,1855080180.0,1883252180.0,21.092143090009188,1.2944060619567639,0.19206386723620206,0.332267764553796,-0.1083059061176763,21.092143090009188,0.14194219230823274,27.309506830761983,4.591055327868852,2.606657832984389,0.0,0.0,0.0,0.05517313079576568,1.2583382296330814,0.08204818308304479,-82.62795332056479,0.38632081026969733,4.2771084337349405,4.369569508567445,0.05053434213934342,0.0,-0.7085808837410743,4.665046077933386,-3.7101288624082027,11.670089449679454,0.2588488467931168,9.060760454341667,Advertising Agencies,Communication Services,CDLX
2021Q4,2021,Q4,2022-03-01,2021-12-31,-27562000.0,90049000.0,-7217000.0,-0.83,90049000.0,1.0,1263797000.0,690700000.0,358725000.0,327350000.0,573097000.0,0.0,-522618000.0,2206943370.0,2189560370.0,20.683975683526487,1.0958454253856729,0.1709799912485945,0.3128478355291733,-0.011136313596090752,20.683975683526487,-0.039904444766179235,24.508249619651522,-20.0179900769175,3.1952271174171134,0.0,0.0,0.0,0.07125274074871202,1.07117458377883,-0.021808882280935943,-575.3241319082377,1.0,0.38518518518518524,-0.6433841365757987,0.038571469411534116,2.3380410307968087,2.674869409076069,0.3810325855060747,0.8186364435956073,-0.5528553189462313,0.22710537393382757,7.6596115608184,Advertising Agencies,Communication Services,CDLX
2021Q3,2021,Q3,2021-11-02,2021-09-30,-44529000.0,64984000.0,-39793000.0,-1.35,24504000.0,0.3770774344454019,1224581000.0,688620000.0,335532000.0,274456000.0,535961000.0,0.0,-510783000.0,2778497940.0,2736343940.0,20.80360109966466,1.2225347596700382,0.1594161594863876,0.28349162092300545,-0.04434635019942652,20.80360109966466,-0.06466411083035636,42.75664686692109,-15.599373105167418,4.034878365426505,0.0,0.0,0.0,0.05306631411070399,1.19386349724546,-0.036362641589245626,-208.45509340535673,0.3770774344454019,0.05594405594405584,-6.627231524827482,-0.12316576782804942,327.2475957536515,0.058396682791983415,0.05870291294973153,0.06912604098437354,-2.3711539579049536,0.1904568270956717,7.516046519608174,Advertising Agencies,Communication Services,CDLX
2021Q2,2021,Q2,2021-08-03,2021-06-30,-47306000.0,58853000.0,-42748000.0,-1.43,23152000.0,0.3933869131565086,1232867000.0,714392000.0,338456000.0,262972000.0,518475000.0,0.0,-466254000.0,4185770610.0,4128565610.0,21.66334111653577,1.2870419664450967,0.15686850244186923,0.27071691732270237,-0.046360653959818886,21.66334111653577,-0.06621854668025398,71.12246801352522,-22.120717298017166,5.859207003997805,0.0,0.0,0.0,0.047736698281323126,1.255696423953881,-0.038370724498262995,-233.46369624630486,0.3933869131565086,-0.6823529411764706,-30.052378724865104,-0.2370614571833118,0.0,0.18600481532708366,-0.9002209278971681,-0.9282782263521133,-1.230954860109129,0.01852017067227972,10.961209396335638,Advertising Agencies,Communication Services,CDLX
2021Q1,2021,Q1,2021-05-04,2021-03-31,-24895000.0,53230000.0,-22169000.0,-0.85,19521000.0,0.36672928799549126,1023035000.0,744892000.0,702573000.0,92037000.0,278143000.0,0.0,-418948000.0,3215636100.0,2792970100.0,25.411660355473682,7.6335930115062425,0.18658403671428642,0.25625459798198935,-0.023332940398856562,25.411660355473682,-0.03342095229912524,60.41022167950404,-32.2919873468568,4.316915875053028,0.0,0.0,0.0,0.05203145542430122,7.549061790366918,-0.024334455810407267,-202.75133039092054,0.36672928799549126,-2.5416666666666665,0.044140491764605695,-0.05242067958509192,0.0,-0.21245007463589785,-2.673454330824849,-2.6241621709988556,0.4455423701220511,-0.27319987655771816,7.203433824010476,Advertising Agencies,Communication Services,CDLX
2020Q4,2020,Q4,2021-03-01,2020-12-31,-6777000.0,67082000.0,-6117000.0,-0.24,24787000.0,0.3695029963328464,422537000.0,157192000.0,385591000.0,81274000.0,265345000.0,0.0,-394053000.0,4031467875.0000005,3926351875.0000005,5.566781761841523,4.744333981347048,0.4452225485578778,1.1967721003613416,-0.017018754851471925,5.566781761841523,-0.043112881062649495,60.097610014608996,-148.71875000000003,25.646775122143623,0.0,0.0,0.0,0.15876006124907405,4.673007357826611,-0.016038832102277432,2291.9089681637297,0.3695029963328464,0.5714285714285715,0.5221462029808376,-0.08505984275498187,1.360113670640584,0.6965776865160849,0.5586741338890336,0.620980234215255,-0.1550070414201183,0.18095794595592293,1.5206935733460571,Advertising Agencies,Communication Services,CDLX
