Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2023,2023-03-31,2023-06-29,-9694000.0,68026000.0,-6445000.0,-1.09,31662000.0,0.4654396848,87988000.0,40337000.0,37577000.0,45331000.0,48915000.0,207000.0,-482395000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2022,2022-03-31,2022-07-01,1653000.0,56054000.0,1373000.0,0.01,35160000.0,0.6272522924,104058000.0,41366000.0,52370000.0,57231000.0,63995000.0,116000.0,-472869000.0,126625651.6728,0.24241163702906143,0.9150635145288393,0.6149935612831305,1.547043465648117,0.029646167997541713,0.24241163702906143,0.039960353913842284,2.4768197037285478,83.99010990490018,3.356274517062322,0.0,180.1206896551724,0.0,0.5386803513425206,0.808198354038895,0.015885371619673645,32.759710163473336,0.6272522924322974,1.0204081632653061,1.0051537473891539,-0.970749890136681,1.02807940900443,1.2956385479237398,1.0262777203719895,1.101907518741186,1.022628174174374,-0.7673235855827429,1.2605422080689124,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2021,2021-03-31,2021-07-30,-62905000.0,31419000.0,-13473000.0,-9.85,15316000.0,0.4874757312,75446000.0,17244000.0,43142000.0,57380000.0,59564000.0,166000.0,-474080000.0,208549922.92999998,0.1349429038684642,0.7518647612408504,0.7894918219653793,3.4541869635815354,-1.1520039034315406,0.1349429038684642,-3.6479355138019023,6.792225179986632,-3.3924953967093234,12.375604438065414,0.0,97.00602409638554,0.0,0.41644354902844416,0.702701289647961,-0.8337751504387244,-9.43601534002476,0.48747573124542476,-0.48484848484848475,0.9237231965964031,-0.9847746023787428,1.0121489899150544,-0.3083766087152856,-3.27227655528389,-1.4341463414634146,0.38367595969969204,-0.9160680688464504,1.1481224898889275,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2020,2020-03-31,2020-07-06,-14724000.0,39291000.0,-5535000.0,-6.69,22145000.0,0.5636150772,110440000.0,-18010000.0,61062000.0,128014000.0,129727000.0,582000.0,-410904000.0,51731344.222,-0.40927371980952976,0.4769947037042823,1.1746378123868164,-7.20305385896724,-0.1815828905135916,-0.40927371980952976,0.8175458078845086,0.408677412689929,-1.0905558422982886,-0.8915793571349251,0.0,29.460481099656356,0.0,0.3557678377399493,0.41080663052478633,-0.13332126041289388,2.464672942747506,0.5636150772441526,0.24999999999999997,0.9179366961227213,-0.9350042430076465,0.8342411212544085,-0.4081092639119046,0.0929587876547773,0.014773940904236383,0.8219810266412627,-0.9204932165637878,0.9525923577178823,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2019,2019-03-31,2019-07-16,-16233000.0,53534000.0,-5618000.0,-0.44,37414000.0,0.6988829528897523,98839000.0,-35281000.0,64879000.0,113713000.0,135407000.0,673000.0,-395814000.0,115488939.98,-0.9304121540450921,0.570550420796215,1.3699754145630774,-3.8379581077633853,-0.23163211302140427,-0.9304121540450921,0.4601060060655877,1.3245776512123137,-4.3682584845684715,-2.0098619647969165,0.0,23.952451708766716,0.0,0.5416283046165987,0.519404113865609,-0.16423678912170298,7.776918181618776,0.6988829528897523,0.45679012345679015,0.9055168548220661,-0.9227532782879012,-1.5193305547010638,-0.22313122923588039,0.12035331093529858,-8.770401106500692,0.9336671651989679,-0.9125764513805205,0.9162344402536641,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2018,2018-03-31,2018-06-26,-18454000.0,67683000.0,723000.0,-0.81,48160000.0,0.7115523839073327,121182000.0,-21049000.0,74168000.0,76333000.0,143486000.0,792000.0,-379225000.0,81993591.07000001,-0.9110223840394107,0.9716374307311386,1.1840537373537323,-6.816760891253741,0.01470809928845229,-0.9110223840394107,0.8767162335502874,0.4676741732783713,-1.7152699181749214,-1.5038049821844268,0.0,24.650252525252526,0.0,0.5585235431004605,0.8863270145284478,-0.15228334241058902,1.4745919626385915,0.7115523839073327,0.578125,0.8198407803620196,-0.841966066516887,0.7499757630473483,-0.2621757847808435,-0.21977658800978253,-0.8929998520053278,0.8041105084289762,-0.7867598604447591,0.6310292071506906,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2017,2017-03-31,2017-06-29,-15129000.0,90394000.0,6757000.0,-1.92,65273000.0,0.7220943867955838,151334000.0,-69489000.0,86450000.0,101861000.0,222037000.0,1137000.0,-360415000.0,140075198.0,-8.633074755626675,0.8487055889889162,1.4671983823859807,-3.1952827066154357,0.07377551848429298,-8.633074755626675,0.21771791218754047,0.13802020045578248,-0.8246545045938265,-0.1795420570162184,0.0,22.09410729991205,0.0,0.5973145492751133,0.748294244116983,-0.09997092523821481,0.39971159452792104,0.7220943867955838,0.7050691244239632,0.7042032693958904,-0.46811184427160957,-1.7283789467141137,-0.10717021393007606,0.6375592927986201,1.3195403385983164,0.585159903233057,-0.38552400939873355,-5.818745630227509,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2016,2016-03-31,2016-07-14,-41742000.0,104449000.0,-21146000.0,-6.51,73108000.0,0.6999396834818907,209398000.0,-71842000.0,101845000.0,100833000.0,282425000.0,2024000.0,-342448000.0,187511650.416,-11.107335244492173,1.010036396814535,1.3487473614838728,-3.9311962361849613,-0.16711627866646603,-11.107335244492173,0.5810250271428969,0.12830807777958622,-0.32105913506779743,-0.18654339266724201,0.0,15.484683794466402,0.0,0.4988061012999169,0.8850178017117412,-0.19934287815547427,0.5557391837445573,0.6999396834818907,-0.5878048780487806,0.32024207076061234,-0.3777355874295094,-20.140480819944962,-0.030076285240464344,-0.33326945189727863,-1.3915403754806606,-0.45570413533342696,-0.12881794255997742,-2.048336756302262,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2015,2015-03-31,2015-06-30,-31308000.0,105484000.0,-8842000.0,-4.1,75375000.0,0.7145633460998825,279705000.0,-18959000.0,106943000.0,137814000.0,298842000.0,3210000.0,-300350000.0,309375267.0,-2.4690907835934848,0.7759951819118522,1.0684185123612377,-15.762540218365947,-0.041944175632340944,-2.4690907835934848,1.6513529194577774,1.1792524648287892,-3.973178325028746,-6.561119626562583,0.0,9.379750778816199,0.0,0.3771259005023149,0.6503983630110148,-0.11193221429720598,18.36048221402214,0.7145633460998825,0.10869565217391305,0.6044787867664174,-0.4554051267465353,-1.625891117190909,-0.00043761935073201785,-0.21048561707392516,-2.3845912934544318,0.3583315828502225,-0.3493618911960883,0.21967369654807228,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2014,2014-03-31,2014-06-26,-25864000.0,104328000.0,6386000.0,-4.6,75408000.0,0.7227973314929836,345998000.0,10227000.0,124474000.0,129476000.0,335771000.0,3164000.0,-268686000.0,337882833.6,1.7915605881896444,0.9613673576570175,0.970442025676449,32.83181773736189,0.030589418724403038,1.7915605881896444,-2.5289918842280237,1.4007345448968638,-5.650163686978039,14.28921810892735,0.0,9.140328697850821,0.0,0.30152775449569075,0.9113658129691989,-0.0747518771784808,4.049766761812387,0.7227973314929836,-0.022222222222222143,0.6668504525231174,-0.3950869809370392,-0.8730871911296421,-0.0024209231257689406,-0.22776037216367606,-0.47500822097994083,0.5227691633252417,-0.295755704309615,2.0872689372563364,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2013,2013-03-31,2013-06-20,-21066000.0,88080000.0,12164000.0,-4.5,75591000.0,0.858208446866485,284058000.0,-17314000.0,62802000.0,80299000.0,301372000.0,0.0,-242466000.0,295868740.0,-3.643736283902489,0.7821018941705377,1.060952340719149,-17.406260829386625,0.04105954727962829,-3.643736283902489,1.2167032459281506,0.8092159400544959,-3.383449159783537,-4.116653575141504,0.0,0.0,0.0,0.31007751937984496,0.7290501749710457,-0.07416091079990707,3.6054297131873136,0.858208446866485,0.3076923076923077,0.6822632631827328,-0.4145720215917277,-1.1370374245465782,0.08740559591455081,0.08567708333333333,-0.19942082400947742,0.5699445772380151,-0.2651610688026897,-1.9236526208897224,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2012,2012-03-31,2012-03-31,-23040000.0,76557000.0,15194000.0,-6.5,69515000.0,0.9080162493305641,290137000.0,-11473000.0,63393000.0,60436000.0,301610000.0,0.0,-221044000.0,301963760.7,-3.1641773097625614,1.0489277913826196,1.0395433881235416,-26.28867776518783,,-3.1641773097625614,2.0081931491327465,0.8004200883002207,-2.659625030381944,-5.341040765274992,0.0,0.0,0.0,0.26386500170609056,0.9899728638559799,-0.07941076112319352,2.870287165675207,0.9080162493305641,0.3157894736842105,0.4200333847586475,0.06352809372593053,-1.0826883631497288,0.12551203795152438,0.21193049664796826,3.1856749311294768,0.532774448754326,-0.3011603612280339,-1.2241479483267752,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2011,2011-03-31,2011-06-14,-29236000.0,79915000.0,3630000.0,-9.5,61763000.0,0.7728586623287242,307488000.0,1787000.0,52805000.0,51669000.0,305701000.0,0.0,-197648000.0,314731557.0,0.5803059677016051,1.0219861038533744,0.9941883910916849,171.0693900391718,,0.5803059677016051,-16.360380526021263,0.6820441343927923,-1.8643301751265562,30.501151091214325,0.0,0.0,0.0,0.2598963211572484,0.8576322359635371,-0.09508013320845041,-3.935987651646447,0.7728586623287242,0.09523809523809523,0.2045392777858792,1.1765490760163952,-0.9916997290228117,0.165603532875368,0.00921783923003931,20.41176470588235,0.3195655955793096,-0.18038965364278006,-0.9781752495057993,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2010,2010-03-31,2010-06-14,-29508000.0,72205000.0,-187000.0,-10.5,52988000.0,0.7338549961913995,297147000.0,11292000.0,45318000.0,46748000.0,285855000.0,0.0,-168018000.0,281530847.5,3.944920635197901,0.9694104560622915,0.9619986067501943,25.314824654622743,,3.944920635197901,-2.6131774707757707,0.6541077141472197,-1.6005777246848312,4.1825936503719445,0.0,0.0,0.0,0.24299420825382723,0.7188542825361512,-0.09930438469848257,-9.226381617503419,0.7338549961913995,0.2279411764705882,-0.46838879949819157,1.2899184152145442,-0.654721419552404,-0.07594649739288144,0.2103403982016699,0.9621227466072514,0.059099113903014346,0.27061774090482865,-0.8969087386242015,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2009,2009-03-31,2009-06-15,-37368000.0,83014000.0,-4937000.0,-13.6,57343000.0,0.6907630038306791,322397000.0,38787000.0,49645000.0,46226000.0,283610000.0,0.0,-138110000.0,242400380.4,14.116467865901017,1.0739627049712284,0.8796918085466056,7.311985974682239,,14.116467865901017,-0.9634155773841752,0.20521093309562244,-0.45588151359451934,0.43920335163843555,0.0,0.0,0.0,0.2574899890507666,0.9499199584649332,-0.11590678573311787,1.6895150649608253,0.6907630038306791,0.0285714285714286,-0.3661642634889066,1.0251397035821264,-0.28875841752510384,0.053808692456124234,-0.047103987446409055,0.16731320627424523,-0.13948342082167883,1.5339548377535992,-0.7980883963819603,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
TTM,,,,,,,,,,,,,,,,51117470.0,0.21750746738652665,0.9113445129761365,0.05128826597818641,0.12507709703947367,-0.08506958748459935,0.21750746738652665,-0.27067270048969516,0.7610461772431909,-5.166300615071583,1.3539765026855468,0.0,0.0,0.0,0.7622108646398651,0.7674345281494472,-0.10746614679382475,-6.441197051252048,0.4977187888842804,,,,,,,,,,,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
2008,,,,,,,,,,,,,,,,318687857.0,26.589351747952634,1.287445993816164,0.8180054378659587,4.494669666357875,,26.589351747952634,-0.5247548046524623,0.9948490689518917,-2.2575967999551656,1.184684767744497,0.0,0.0,0.0,0.21672250826919578,1.181481253967279,-0.09550252090045921,-0.8288771296296297,0.6719228489578188,-0.2727272727272727,-0.24111039261725198,1.2675358812382702,0.7737130333455796,1.1856924807197944,-0.3726297165275588,0.6669101123595506,-0.9874584609658538,1.87434366451099,1.327228980132405,Entertainment,Communication Services,0.2945,55046470,681225,CIDM
