Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2022-12-31,-22398488.0,-21764385.0,-20799560.0,-0.42,-21764385.0,1.0,215461874.0,143914031.0,3630790.0,3557307.0,71547843.0,0.0,-49973822.0,195230612.36,2.6900337778478267,1.0206569182811605,0.28079213680282017,0.42038986455740374,-0.10175211504928446,2.6900337778478267,-0.15563797250596087,-6.194404269176456,-6.019040185212502,0.936791210858377,-0.6299586382795125,0.0,0.10466097897588164,-0.10101269703056606,1.0206569182811605,-0.10395569101937728,11.818579754860993,1.0,-2.4999999999999996,-2.162976115037216,-2.0847392188276865,-0.23424946963911739,-2.401031739528062,-2.4952550152669835,-2.3441180408754945,-1.7753174154485007,-1.7379572811264445,-0.22675206113126056,Asset Management,Financial Services,2.9794,156832935,173678,CIK
2021,2021-12-31,2021-12-31,14979711.0,15534541.0,15474504.0,0.28,15534541.0,1.0,247432956.0,179613781.0,3549645.0,4807412.0,67819175.0,0.0,-15346768.0,241944242.24,3.357331696566558,0.7383692098784127,0.23642768104019257,0.3256988393334919,0.06498785553281353,3.357331696566558,0.08339956386754088,11.812480345573134,12.250000032710911,1.0216446601054516,0.935074515122488,0.0,0.07633261327555745,0.06278282913938109,0.7383692098784127,0.06054048434841477,246.63279725063742,1.0,0.33333333333333354,-0.47169811840277165,-0.461746999053789,-0.02836326153743607,0.38278127857328004,0.3955435094702217,0.33838733816454036,3.7999999925232206,4.247555548706694,0.1218081129083242,Asset Management,Financial Services,2.9794,156832935,173678,CIK
2020,2020-12-31,2020-12-31,10733962.0,11234272.0,11562052.0,0.21,11234272.0,1.0,244012902.0,178641216.0,16942341.0,2003522.0,65371686.0,0.0,-17543013.0,206491043.75,3.4949495056208066,8.456278992693866,0.2327608029513128,0.3179369255972821,0.04910872128018665,3.4949495056208066,0.06008670473895565,14.331986153619923,15.000000069871684,0.9013005752826939,1.3156685294768138,0.0,0.08771123488988548,0.046039663919082444,8.456278992693866,0.043989321515466424,8.787789004445488,1.0,-0.6111111111111112,2.3999999844595234,2.5502236844239916,0.07737872606940081,-0.6105316838359308,-0.6201052723374219,-0.6182762135217631,-0.4166666718129553,-0.4139582978915825,-0.005120508317635244,Asset Management,Financial Services,2.9794,156832935,173678,CIK
2019,2019-12-31,2019-12-31,28255096.0,28845150.0,30289053.0,0.54,28845150.0,1.0,254922428.0,182029590.0,14216755.0,3091742.0,72892838.0,0.0,-14154639.0,217868886.44,3.4788761050994097,4.598299275942171,0.2363464073078733,0.3309901428663329,0.12501694013928288,3.4788761050994097,0.15522254376335187,5.840985102868246,5.962962979846185,0.9255862820984215,0.49981536074058996,0.0,0.08381996709184379,0.11315265677604483,4.598299275942171,0.11083801539815868,5.483822171594875,1.0,6.3999999999999995,8.000000036171588,6.84689025490029,-0.105969781232643,0.0,6.036513215298756,0.0,0.01886791434483213,0.02188779419693482,0.006812593385089357,Asset Management,Financial Services,2.9794,156832935,173678,CIK
2018,2018-12-31,2018-12-31,-5610051.0,-5016066.0,0.0,-0.1,0.0,0.0,251134733.0,167896825.0,0.0,0.0,83237908.0,0.0,-28527626.0,222009723.7,2.992786072711282,0.0,0.28244746615753863,0.42247594020911355,0.0,2.992786072711282,-0.033413681289089295,-30.98013716326699,-27.7,0.9255589717077735,-2.489356335619765,0.0,0.08986845976966662,-0.019973605164364104,0.0,-0.022338809661983313,-14.943034407409359,0.0,-1.2777777777777777,-1.3030303026762242,-1.262640387282064,-0.22685961106903108,0.0,-1.2920099465699528,0.0,0.3333333376281519,0.36935257510876035,-0.0774218508077748,Asset Management,Financial Services,2.9794,156832935,173678,CIK
2017,2017-12-31,2017-12-31,19211849.0,20014388.0,0.0,0.36,0.0,0.0,241124966.0,187472292.0,0.0,0.0,53652674.0,0.0,165433.0,220659844.57,3.512937531470032,0.0,0.19077244784349706,0.2453695930703189,0.0,3.512937531470032,0.10247833850561767,8.825764623429905,9.194444406157888,0.9422313862253309,0.7186077196421854,0.0,0.07815673116266873,0.08300421284455464,0.0,0.07967590133325307,-6.314286692658667,0.0,-0.3207547169811321,-0.3076922984726984,-0.2915378803417104,-0.07098818130565329,0.0,-0.31187582291157756,-1.0,5.000000066087059,4.338305923945462,-0.09721639549837711,Asset Management,Financial Services,2.9794,156832935,173678,CIK
2016,2016-12-31,2016-12-31,27919160.0,28417969.0,27919160.0,0.53,0.0,0.0,194563820.0,182019031.0,0.0,0.0,12544789.0,0.0,-1886.0,166411405.6,3.455336303852525,0.0,0.0,0.0,0.15338593907798576,3.455336303852525,0.15338593907798576,5.857610922159849,5.962264108232483,0.9145274792722087,0.4943461766041672,0.0,0.08291249223958252,0.14605988410383802,0.0,0.14349615462936532,5.962264108232483,0.0,4.533333333333334,1.818053143255964,1.7408376898748352,-0.03933846249606593,0.0,4.597231903459347,4.597231903459347,0.6060606156890664,0.5846437372999949,-0.10736685184195023,Asset Management,Financial Services,2.9794,156832935,173678,CIK
2015,2015-12-31,2015-12-31,-7761290.0,-7335884.0,-7761290.0,-0.15,0.0,0.0,185063327.0,167847609.0,0.0,0.0,17215718.0,0.0,-63139.0,143774684.73999998,3.243937736149131,0.0,0.0,0.0,-0.04624009865996959,3.243937736149131,-0.04624009865996959,-19.60807637361768,-18.533333213937375,0.8569831563105554,-1.777652941714586,0.0,0.09591652624999814,-0.03963985798223545,0.0,-0.04193856300875862,-18.53333321393737,0.0,-3.5,-1.3043504587568624,-1.2820601996954732,-0.12327310182012134,0.0,-3.6584021000626126,-3.6584021000626126,-1.2884615429601955,-1.2678247988696874,-0.1421263631949572,Asset Management,Financial Services,2.9794,156832935,173678,CIK
2014,2014-12-31,2014-12-31,2919532.0,3418489.0,2919532.0,0.06,0.0,0.0,212964880.0,189342783.0,0.0,0.0,23622097.0,0.0,-111953.0,160061731.43,3.8912287661773957,0.0,0.0,0.0,0.015419293800070531,3.8912287661773957,0.015419293800070531,46.82995101929537,54.83333370896432,0.8454912824958319,4.938887465525297,0.0,0.09007089541079412,0.01605189080941421,0.0,0.013708983377916584,54.83337127208832,0.0,-0.8181818181818182,-0.9557377052212478,-0.7865452253363007,0.09379221649162023,0.0,-0.829432126502662,-0.829432126502662,-0.6809751203286148,-0.6430651519041019,0.08184948745152859,Asset Management,Financial Services,2.9794,156832935,173678,CIK
2013,2013-12-31,2013-12-31,17116541.0,17657816.0,17116541.0,0.33,0.0,0.0,223894206.0,200779504.0,0.0,0.0,23114702.0,0.0,-109272.0,184650607.36,3.870947780712175,0.0,0.0,0.0,0.08525043970623615,3.870947780712175,0.08525043970623615,10.457191838447066,10.78787877527358,0.919671409089645,0.8967933415986326,0.0,0.08312971996442275,0.07886678407390318,0.0,0.0764492360289127,10.785699144859814,0.0,-0.36538461538461536,1.2960337707788119,-0.09277737142051729,0.5379087682479398,0.0,-0.34720959801914353,-0.34720959801914353,-0.3304289942660647,-0.32272206707027373,0.046186553761909714,Asset Management,Financial Services,2.9794,156832935,173678,CIK
2012,2012-12-31,2012-12-31,26220577.0,26693033.0,26220577.0,0.52,0.0,0.0,221919612.0,190672514.0,0.0,0.0,31247098.0,0.0,-592283.0,203205734.61,3.7813701190660742,0.0,0.0,0.0,0.1375162914147133,3.7813701190660742,0.1375162914147133,7.612828171680603,7.750000070936654,1.0657512682189738,0.6075381178682682,0.0,0.07839201449127753,0.12028244263512862,0.0,0.11815349154449675,7.750170618230359,0.0,1.7648838482929503,7.829387674285626,0.32794631741263136,-0.06965994902031336,0.0,1.7857124568433898,0.0,-0.6163934461341464,0.6083949394941186,0.06291185957991226,Asset Management,Financial Services,2.9794,156832935,173678,CIK
2011,2011-12-31,2011-12-31,9412521.0,9850596.0,0.0,0.188073,0.0,0.0,218923972.0,180011058.0,0.0,0.0,38912914.0,0.0,-52480776.0,182668763.0,3.5968300686113133,0.0,0.0,0.0,0.0,3.5968300686113133,0.05228857107211714,18.544264834330836,19.40734697962427,1.0147824418653213,1.5490005281263117,0.0,0.07981516122490127,0.0449955110443547,0.0,0.04299447389891135,19.412546333687565,0.0,-0.6183994010384435,-0.6206609570178723,-0.4822543505245248,-0.17021812101847184,0.0,-0.6179149099925227,-1.0,1.168715122104633,-0.47547982792772814,0.4290031314753301,Asset Management,Financial Services,2.9794,156832935,173678,CIK
2010,2010-12-31,2010-12-31,24634620.0,25124450.0,24634620.0,0.492853,0.0,0.0,231489330.0,184942509.0,0.0,0.0,46546821.0,0.0,-72425374.0,177542039.64000002,3.7000549919064647,0.0,0.0,0.0,0.13320150209490236,3.7000549919064647,0.13320150209490236,7.082425272593032,7.223250841295705,0.9621478620688552,0.7087586494128995,0.0,0.09812183807336289,0.10853394409150521,0.0,0.1064179502355465,7.224605750710516,0.0,-0.636421110094721,5.354873087728314,0.2810198376304996,-0.12703194280788369,-1.0,-0.6361745680106335,0.6069549902152642,7.368440784749555,0.2609257022251483,-0.08966611534760616,Asset Management,Financial Services,2.9794,156832935,173678,CIK
