Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-02-17,-513066000.0,432791000.0,-253285000.0,-2.19,432791000.0,1.0,13401991000.0,2666803000.0,11685604000.0,47312000.0,10735188000.0,0.0,-1883620000.0,11636112097.5,11.399578124606935,246.9902773080825,0.7919755355752739,3.980064894182285,-0.01906204234433667,11.399578124606935,-0.1923899140656434,2.972943285558156,-2.507792559826611,0.48247399507950156,-0.7046091535981726,0.0,0.2809678778402984,0.03229303765388292,246.9902773080825,-0.03828281932139784,3.9501878826115524,1.0,-1.8975409836065573,-1.7849403573519034,-0.44786171670226455,-0.4111058124744876,-0.5905605596040994,-1.7656398762001688,-1.2529948149472554,-1.9925400877380335,-0.29451579189685945,-0.4603206164907891,REIT—Mortgage,Real Estate,5.645,1310181920,2232080,CIM
2021,2021-12-31,2022-02-17,670114000.0,1057033000.0,1001147000.0,2.44,1057033000.0,1.0,15407403000.0,3736191000.0,455254000.0,31990000.0,11671212000.0,0.0,-1030650000.0,14215172747.92,15.982304933855762,14.231134729603001,0.7188528138064539,2.9644241956580912,0.06714955920124224,15.982304933855762,0.17935753284561737,3.335050795878653,5.2606851191289845,0.9435435040446273,0.5557382773677315,0.0,0.1056399052182286,0.06860552683667714,14.231134729603001,0.04349298840304235,6.790024977599377,1.0,33.857142857142854,-0.025020859572471355,0.3817128210690571,-0.039441467913352485,3.6191928682238292,6.541742633983839,0.6542607069149842,0.303243516496547,0.8690932349701999,-0.19244998725826462,REIT—Mortgage,Real Estate,5.645,1310181920,2232080,CIM
2020,2020-12-31,2021-02-18,88854000.0,228835000.0,605193000.0,0.07,228835000.0,1.0,17523019000.0,3779386000.0,350248000.0,46671000.0,13743633000.0,0.0,-1319417000.0,15427694213.25,17.74396836763708,7.504617428381651,0.7711901699130727,3.575601962858517,0.03493436332834303,17.74396836763708,0.023510168053752646,9.540517024275132,24.570691395435208,0.5776610839035758,4.460969680599636,0.0,0.18155653859330972,0.013059108136560258,7.504617428381651,0.005070701572600018,8.465214492464222,1.0,-0.9613259668508287,-0.6674621552736241,-0.33966218695591566,0.20190667980745242,-0.5337405687576535,-0.7851437912131757,-0.48386945464531395,-0.8506957855301864,-0.6793555331531972,-0.0833590751238146,REIT—Mortgage,Real Estate,5.645,1310181920,2232080,CIM
2019,2019-12-31,2020-02-24,413551000.0,490789000.0,1172558000.0,1.81,490789000.0,1.0,27118671000.0,3953293000.0,672526000.0,69763000.0,23165378000.0,0.0,-1033251000.0,25478779714.4,21.12287123232747,9.640153089746715,0.8016878850737191,5.4993925317450545,0.0456141861001415,21.12287123232747,0.10460924601338681,7.840329987835912,9.304650972673262,0.9733525226690761,1.0807856830233755,0.0,0.11615542444284312,0.018097826401596157,9.640153089746715,0.015249677980163556,59.16642650839535,1.0,-0.07653061224489792,-0.2295172034044625,-0.06288479223861257,0.20290155233804605,0.0,0.004649727794148728,0.0,-0.24844751756673691,-0.1986768909124287,0.2695136445181569,REIT—Mortgage,Real Estate,5.645,1310181920,2232080,CIM
2018,2018-12-31,2019-02-21,411637000.0,452740000.0,0.0,1.96,0.0,0.0,12910117000.0,3703829000.0,47486000.0,15389479000.0,24004810000.0,0.0,-997259000.0,11902789749.4,19.791102323921457,0.0030856145292507955,0.6673317522993788,2.326060679367217,0.0,19.791102323921457,0.11113823019367255,7.366136743826479,8.101664207542083,0.9004046216496496,1.01446905890384,0.0,0.12521736681698561,0.03506862098925982,0.01110680874901613,0.031884838843830775,11.206734062987257,0.0,-0.2490421455938697,0.2457847650757964,0.25242242303561924,0.22030730041027385,0.0,-0.21543337882241723,0.0,0.7533477096789083,0.4869012804357992,0.3405714883519969,REIT—Mortgage,Real Estate,5.645,1310181920,2232080,CIM
2017,2017-12-31,2018-02-20,524668000.0,629185000.0,0.0,2.61,0.0,0.0,21107288000.0,3634977000.0,63569000.0,7992656000.0,17587093000.0,0.0,-990682000.0,13001048960.4,19.357600000276918,0.00795342624529318,0.454555649214622,2.6394766734425006,0.0,19.357600000276918,0.14433873997001906,5.515358694819489,6.614051095931142,0.9546638012840247,0.7846924150129224,0.0,0.11864021061096017,0.029808898234581344,0.020563627409962346,0.02485719624425459,7.1213729791849225,0.0,-0.10616438356164386,0.7506453517247428,0.7783579022801307,0.12220760357999849,0.0,-0.049416334657745455,0.0,-0.025741184828982706,0.1973811638278479,0.10237319698446722,REIT—Mortgage,Real Estate,5.645,1310181920,2232080,CIM
2016,2016-12-31,2017-02-21,551943000.0,614344000.0,0.0,2.92,0.0,0.0,16605211000.0,3123533000.0,177714000.0,6286154000.0,13561375000.0,0.0,-1105287000.0,10292648350.68,16.638553924597353,0.028270704153923052,0.43812878981182474,2.32916412280581,0.0,16.638553924597353,0.17670471226012338,5.200899415767061,5.7888973149038945,1.0229254343334935,0.8230469450649796,0.0,0.14217680851688136,0.036997060741956245,0.04094888543933222,0.03323914402533036,5.778804302857442,0.0,1.3359999999999999,3.394741795891789,0.0,0.12069340972984989,0.0,1.2046942468314232,0.0,0.665226311737576,0.6941974066721535,0.02592308857473734,REIT—Mortgage,Real Estate,5.645,1310181920,2232080,CIM
2015,2015-12-31,2016-02-25,250349000.0,324688000.0,0.0,1.25,0.0,0.0,15278399000.0,2946188000.0,114062000.0,8148547000.0,12398458000.0,0.0,-1196048000.0,6857890993.440001,14.763183087125945,0.013997832987893425,0.2781646820455468,1.442511815267729,0.0,14.763183087125945,0.08497387132117842,8.383562045532942,10.87298928072411,0.9239199920168027,1.522630407950501,0.0,0.14003788366184228,0.021251441332301897,0.02212774866488467,0.016385813723021635,6.868605239034878,0.0,-0.5614035087719298,-0.612664352967576,0.0,-0.34051424124831964,0.0,-0.5751071358864911,0.0,-0.21398802211650556,-0.1364713481865334,-0.14414202622332475,REIT—Mortgage,Real Estate,5.645,1310181920,2232080,CIM
2014,2014-12-31,2015-03-02,589205000.0,574913000.0,0.0,2.85,0.0,0.0,19083906000.0,3607690000.0,164620000.0,10452000000.0,15547315000.0,0.0,-1055456000.0,8197314510.5,17.559933471921735,0.01575009567546881,0.2669934551134343,1.4123380889156218,0.0,17.559933471921735,0.16331918762421382,5.682001468917906,5.544176492901452,0.905470400865928,0.976359671082221,0.0,0.17610544547640464,0.030125541385500432,0.17295972062763107,0.030874444676053214,17.872360912478047,0.0,0.6285714285714287,0.18673267745607625,0.0,0.10703120653933679,0.0,0.6245595363482461,0.0,3.2867655461612166,0.0,0.18275312905556615,REIT—Mortgage,Real Estate,5.645,1310181920,2232080,CIM
2013,2013-12-31,2014-06-04,362686000.0,396787000.0,0.0,1.75,0.0,0.0,6917949000.0,3331510000.0,77629000.0,2001000000.0,3604571000.0,0.0,-1274806000.0,4710076562.5,16.21812990651419,0.03879510244877561,0.2318191417716436,0.4813772133356946,0.0,16.21812990651419,0.10886534934609231,8.024437702092055,8.778923262822387,0.9557205478896957,1.019449330826114,0.0,0.1161246431146461,0.057356161486590895,0.18199100449775113,0.05242681031617897,10.445484425234564,0.0,0.09374999999999994,1.18614216215266,0.0,-0.5057267085162096,0.0,0.10653604542251051,0.0,-0.45485441093833046,0.0,-0.27552035060394126,REIT—Mortgage,Real Estate,5.645,1310181920,2232080,CIM
