Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-03-01,-16538000.0,20551000.0,-16332000.0,-0.68,13531000.0,0.6584107829,55490000.0,36887000.0,51180000.0,6788000.0,18603000.0,9303000.0,-150367000.0,189191303.38000003,1.5253999962120357,7.539776075427224,0.21600288340241486,0.3249383251552037,-0.32245721632803254,1.5253999962120357,-0.44834223439152004,9.966439753783272,-12.384829083323257,5.55264194377423,0.0,0.7545952918413416,0.0,0.37035501892232836,5.915439010017678,-0.29803568210488374,-11.830433973314852,0.658410782930271,0.081081081081081,0.2616154954703573,-0.10882512900761182,1.0251492402967763,0.19838809671419716,-0.07069791531788165,-0.22117541498429788,-0.3871366423459535,-0.003298028175207783,3.3749997199235775,Medical Devices,Healthcare,6.61,162489003,176829,CLPT
2021,2021-12-31,2022-03-09,-15446000.0,16299000.0,-13374000.0,-0.74,11291000.0,0.692741886,65581000.0,48787000.0,61892000.0,4753000.0,16794000.0,4938000.0,-133932000.0,190813127.92000002,2.3529682984219917,13.021670523879655,0.187310349034019,0.2517883862504356,-0.22569575514691967,2.3529682984219917,-0.3166007338020374,14.27315344008835,-15.061383395053737,4.768445034947835,0.0,1.0141757796678816,0.0,0.24853234930848875,11.875867872922365,-0.23552553330995257,-18.08302587796347,0.6927418860052764,-0.608695652173913,0.7456974843894963,-0.6233509590406981,9.573244144909788,0.2380482456140351,-1.1032135076252723,-1.15016077170418,-0.32084521820774975,0.16826615948086013,16.01767353544409,Medical Devices,Healthcare,6.61,162489003,176829,CLPT
2020,2020-12-31,2021-03-22,-7344000.0,12829000.0,-6220000.0,-0.46,9120000.0,0.7108893912,29640000.0,2377000.0,25462000.0,3235000.0,27263000.0,3238000.0,-119522000.0,255994208.63,0.14997160508167143,7.870788253477589,0.817881241565452,10.198569625578461,-0.2276944348388643,0.14997160508167143,-3.089608750525873,19.631398287473694,-34.29346522739652,105.95339025241903,0.0,1.1454601605929586,0.0,0.4328272604588394,6.794435857805255,-0.24777327935222673,-30.38012166827503,0.7108893912230103,0.06122448979591831,0.8966356199184076,-0.6679221910990759,1.142682406380864,0.23509406013201692,-0.13230202984873962,-0.35403482786560136,0.49973317087121727,-0.1512256818305856,-0.8008949240517649,Medical Devices,Healthcare,6.61,162489003,176829,CLPT
2019,2019-12-31,2020-03-27,-6485902.0,11216937.0,-4593678.0,-0.49,7384053.0,0.6582949516,11926437.0,4586717.0,10383084.0,4030809.0,7339720.0,3240218.0,-112739620.0,59911832.4,0.3486628785975514,2.5759305390059413,0.20649687748319134,0.5369356775227249,-0.722908765522903,0.3486628785975514,-1.4140619532445537,5.629414019174753,-9.73569788751048,13.766879971011946,0.0,1.1829092980780922,0.0,0.9405103133484041,1.6834434477049147,-0.5438256203424375,-20.98039621172049,0.6582949516432159,0.1250000000000001,0.8386226779756503,-0.649654613764596,6.146786057245333,0.5007636889335935,-0.0523135591336632,0.12464156189831563,0.8316950799132629,-0.5914530330232846,2.270383449062414,Medical Devices,Healthcare,6.61,162489003,176829,CLPT
2018,2018-12-31,2019-04-01,-6163469.0,7353266.0,-5247768.0,-0.56,4920197.0,0.6691172330771116,7856833.0,1511002.0,6654689.0,2007690.0,6345831.0,2105976.0,-107199586.0,17536802.41,0.13826615568345896,3.3145998635247476,0.44300814335750804,2.30353169618571,-1.0513107608056105,0.13826615568345896,-4.079060782182949,2.333288964386709,-2.783707423530483,11.354911780394731,0.0,1.1553165848043851,0.0,0.9359071269556066,2.159212328596546,-0.7844724458315456,-3.655090475624414,0.6691172330771116,0.3978494623655914,0.8860636721186979,-0.7549362176547324,1.028963228987344,0.0980825167043578,0.140063423693517,0.17173247986019843,0.8741844144683815,-0.723943283987526,1.1315458869910977,Medical Devices,Healthcare,6.61,162489003,176829,CLPT
2017,2017-12-31,2018-03-21,-7167353.0,7379525.0,-6335837.0,-0.93,4480717.0,0.6071823050941626,13897365.0,5828740.0,12746157.0,4398013.0,8068625.0,2314184.0,-101036117.0,16908724.25,0.7532284366304259,2.89816264754106,0.3538880931744975,0.8437693223578338,-0.5895528290517075,0.7532284366304259,-1.2296573530471422,2.8837145005945506,-2.969079833238296,3.6509508487254534,0.0,1.252626411728713,0.0,0.5310017402579553,2.328152736247028,-0.5157346734434909,-3.5353901715209983,0.6071823050941626,0.68259385665529,0.8361921106628082,-0.809706634138528,1.1325184750523578,0.4422795830032662,0.11184061254824257,0.15395130661534695,0.6968349210331355,-0.6081690040343067,12.118779352604706,Medical Devices,Healthcare,6.61,162489003,176829,CLPT
2016,2016-12-31,2017-03-09,-8069895.0,5749454.0,-7488738.0,-2.93,3106691.0,0.5403453962758898,7400885.0,-756069.0,6085095.0,3017700.0,8156954.0,1768382.0,-93868764.0,10542310.2,-0.27445483397542403,2.0164678397455016,0.6069211992890039,-5.940931317115237,-2.0046492142672627,-0.27445483397542403,10.673490117965423,1.6290816832346167,-1.1606508139201315,-12.38819499278505,0.0,1.494452556065375,0.0,0.7768603349464287,1.385729860489777,-1.090395945890255,-1.5818711393005793,0.5403453962758898,0.3340909090909091,0.8593588270824137,-0.78188217820139,0.9949862155725231,0.19187579319224293,0.04489761571624261,0.16551737893979224,0.4082156305025856,-0.23987666847850816,0.9425087204904139,Medical Devices,Healthcare,6.61,162489003,176829,CLPT
2015,2015-12-31,2016-03-25,-8449246.0,4594192.0,-8974109.0,-4.4,2606556.0,0.5673589610534344,10102802.0,-1981139.0,8531710.0,7653202.0,12083941.0,1807895.0,-85726580.0,31354014.599999998,-1.0510868780930875,1.1147896004835622,0.8030294961734378,-4.095042296375974,-1.4635575497793518,-1.0510868780930875,4.264842598121586,6.236067103856347,-3.3907983741981234,-14.461221347921574,0.0,1.099420043752541,0.0,0.45474433726405805,0.8658553635458727,-0.8363269912644037,-3.2875443177824106,0.5673589610534344,-0.37500000000000006,0.9197065880187538,-0.8453764279088145,0.0,0.5539781940973348,-0.8673472815627533,-0.686665393632549,0.20719639279693167,-0.5136196471670214,0.8150781045182687,Medical Devices,Healthcare,6.61,162489003,176829,CLPT
2014,2014-12-31,2015-03-17,-4524732.0,3604482.0,-5320622.0,-3.2,1677344.0,0.46534952872562546,13385682.0,-100330.0,11707214.0,4919318.0,13486012.0,1965039.0,-77277334.0,47616561.681021,-0.06774380646864561,2.3798449297239985,0.5745444273963777,-76.65373268214891,-0.7009729077976623,-0.06774380646864561,45.09849496661019,13.641321743601715,-10.86691956142839,-490.081717143636,0.0,0.9807123420960093,0.0,0.2692789205660197,1.9744515398272688,-0.3380277523401497,-6.737049640391388,0.46534952872562546,0.33333333333333326,0.9452769952309004,-0.8456080905444721,0.0,-0.3315828673238951,0.36147938959176573,0.28818929703665835,0.8533213894500755,-0.7456470727446256,0.998762445401268,Medical Devices,Healthcare,6.61,162489003,176829,CLPT
2013,2013-12-31,2014-03-28,-7086274.0,3930575.0,-7474771.0,-4.8,2509427.0,0.6384376331707193,7873070.0,-6833969.0,5938627.0,10090621.0,14707039.0,1477161.0,0.0,83597780.0,-4.773851553080524,0.5885293878345049,1.0698735055067463,-1.2325471479311656,-4.703421175167692,-4.773851553080524,1.036919248536246,21.123992291204214,-11.716938407970112,-12.149518969137848,0.0,0.9620806398219287,0.0,0.49924298907541786,0.4248099299339456,-0.900064904795715,-10.440802273527488,0.6384376331707193,0.14285714285714282,0.911335016402527,-0.8258213632340317,0.0,-0.4426631504229176,-0.24165150436225805,-1.3886567444630997,0.911335016402527,-0.8258213632340317,0.0,Medical Devices,Healthcare,6.61,162489003,176829,CLPT
