Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-04,2023-03-31,-8457233.0,0.0,-8705301.0,-0.75,0.0,0.0,14838456.0,7334461.0,13846436.0,6955651.0,7503995.0,0.0,-188080310.0,16103540.309999999,4020299.3099999987,0.6513026966801191,1.9906743452194482,0.04039840802843638,0.081730613878784,-1.0054038739557036,0.6513026966801191,-1.1530817329317042,0.0,-0.47602863460188455,2.195599691647416,0.0,0.0,0.0,0.0,1.8233650595753008,-0.5699537067738045,-2.24168709169547,0.0,0.2647058823529412,0.9636835039914338,0.0,-0.9853099198303116,0.0,-0.17215871952845507,-0.17282031370410328,0.8218195465034537,0.0,-0.8834240818881806,Biotechnology,Healthcare,CLRB
2022Q4,2022,Q4,2023-03-09,2022-12-31,-7215092.0,0.0,-7422536.0,-1.02,0.0,0.0,21589790.0,15507519.0,20529601.0,5529290.0,6082271.0,0.0,-179499043.0,12065187.15,-7197342.85,2.1978819856101444,3.7128819432513036,0.0279682201633272,0.038937756581178457,-0.44039742224584105,2.1978819856101444,-0.4652641083335123,0.0,-0.41805382211342557,0.7780217551240789,0.0,0.0,0.0,0.0,3.5929310996529393,-0.3341900037008234,-1.6023635658059192,0.0,0.203125,0.9578595458011425,0.0,-0.9656492007173836,0.0,0.07583630304395018,0.050278383199714005,0.7159141838481673,0.0,-0.7721996593265174,Biotechnology,Healthcare,CLRB
2022Q3,2022,Q3,2022-11-03,2022-09-30,-7807158.0,0.0,-7815486.0,-1.28,0.0,0.0,19319513.0,12750509.0,18761258.0,6515235.0,6569004.0,0.0,-172283951.0,20529999.84,2946646.84,2.086785707446942,2.879598049801734,0.01045414550563464,0.01584007352177078,-0.5938158996943478,2.086785707446942,-0.6123016736037753,0.0,-0.6574095157290272,1.610131786895723,0.0,0.0,0.0,0.0,2.7298051413341193,-0.4041073913198537,-2.9244001724726623,0.0,-0.04918032786885251,0.9504067052721683,0.0,-0.9629762602606318,0.0,-0.05011673855164568,-0.05110090425368811,0.6927669731398156,0.0,-0.8398548050832021,Biotechnology,Healthcare,CLRB
2022Q2,2022,Q2,2022-08-05,2022-06-30,-7434562.0,0.0,-7435524.0,-1.22,0.0,0.0,25892396.0,20194072.0,25285233.0,5606110.0,5698324.0,0.0,-164472629.0,24672680.712,103172.71200000122,3.305018359692864,4.510299120067212,0.009116846505823563,0.011689420538859126,-0.3597685111748418,3.305018359692864,-0.3681556646920938,0.0,-0.8296615426705702,1.2217783868454068,0.0,0.0,0.0,0.0,4.424737473934689,-0.2871330254643101,-4.233068444213551,0.0,-0.21999999999999997,0.9475259615930605,0.0,-0.9590485830495437,0.0,-0.21096556045598838,-0.2109526243899452,0.7341957226842964,0.0,-0.8560326420274151,Biotechnology,Healthcare,CLRB
2022Q1,2022,Q1,2022-05-10,2022-03-31,-6139367.0,0.0,-6140227.0,-1.0,0.0,0.0,31990186.0,27209162.0,31394542.0,4651310.0,4781024.0,0.0,-157037586.0,42025446.628,11660632.627999999,4.453126171211527,6.749612904751564,0.008418456835480731,0.00989769548948255,-0.22127166254123112,4.453126171211527,-0.22563601922029058,0.0,-1.7113102469684578,1.5445329271074206,0.0,0.0,0.0,0.0,6.586127779055793,-0.1919140763983054,-8.28928306757612,0.0,-0.01010101010101011,0.958262454287204,0.0,-0.9611004365039965,0.0,-0.03762119575018198,-0.037301258145850315,0.8675643345305275,0.0,-0.7841265978941528,Biotechnology,Healthcare,CLRB
2021Q4,2021,Q4,2022-03-21,2021-12-31,-5916771.0,0.0,-5919425.0,-0.99,0.0,0.0,37201809.0,33045154.0,36571460.0,3990363.0,4156655.0,0.0,-150897789.0,39752597.68,4350363.68,5.5196348255347525,9.16494564529593,0.008110922777975663,0.009131172455725279,-0.17587927494149183,5.5196348255347525,-0.17905109475356054,0.0,-1.6796576071644482,1.2029781334957614,0.0,0.0,0.0,0.0,8.947550636370677,-0.15904524965439182,-8.565983755646446,0.0,0.010000000000000009,0.9540844842634306,0.0,-0.9510390717540609,0.0,-0.016790844713170366,-0.017143802707171252,0.8767462644745418,0.0,-0.8013117085579986,Biotechnology,Healthcare,CLRB
2021Q3,2021,Q3,2021-11-08,2021-09-30,-5819064.0,0.0,-5819654.0,-1.0,0.0,0.0,41953269.0,38585404.0,41392809.0,3165895.0,3367865.0,0.0,-144979691.0,55378242.25,15366891.25,6.445040010275877,13.074599441863992,0.007946365276088498,0.00863995100323428,-0.14826329539707322,6.445040010275877,-0.1508099798566318,0.0,-2.379173104557709,1.435212191895153,0.0,0.0,0.0,0.0,12.743545506089115,-0.13870347028261373,-8.608291681744868,0.0,0.09090909090909098,0.9771837215036634,0.0,-0.955163686954307,0.0,0.034665719978168655,0.03467337591970659,0.897324488979372,0.0,-0.8783993472325776,Biotechnology,Healthcare,CLRB
2021Q2,2021,Q2,2021-08-09,2021-06-30,-6028030.0,0.0,-6028689.0,-1.1,0.0,0.0,47737858.0,43983307.0,47124883.0,3518493.0,3754551.0,0.0,-139160627.0,62788922.0,16374601.0,8.335886914892408,13.393484938011813,0.0076152139042350835,0.008265272095161012,-0.1348387035447589,8.335886914892408,-0.1370526777352144,0.0,-2.6040398770410897,1.4275625523110393,0.0,0.0,0.0,0.0,13.294855212160433,-0.12627357515705878,-9.121337075290892,0.0,0.1538461538461538,0.9768161483529191,0.0,-0.963292773518574,0.0,0.051774610400539864,0.052023167742531996,0.9322684098203449,0.0,-0.6933462373352369,Biotechnology,Healthcare,CLRB
2021Q1,2021,Q1,2021-05-10,2021-03-31,-6357170.0,0.0,-6359532.0,-1.3,0.0,0.0,55064779.0,49775847.0,54401608.0,5019624.0,5288932.0,0.0,-133132597.0,77504079.80000001,24270308.800000012,10.33998647255728,10.837785459628051,0.007136158668683661,0.007894411118709843,-0.12577753194415803,10.33998647255728,-0.12771595830403448,0.0,-3.0479002370551678,1.5570619983623788,0.0,0.0,0.0,0.0,10.68341413619825,-0.1154489333372245,-16.30779410505328,0.0,0.8812017485954181,-1.0137429256150479,0.0,-0.9655653478218126,0.0,-0.7585162801556592,-0.6737711549581356,0.9361404126952757,0.0,-0.7667824330996714,Biotechnology,Healthcare,CLRB
2020Q4,2020,Q4,2021-04-30,2020-12-31,-3615076.0,0.0,-3799523.0,-10.94292200962363,0.0,0.0,58659370.0,54794529.0,57939809.0,3563101.0,3864841.0,0.0,-126775427.0,28690584.0,-28053149.0,39.72474743630175,16.26106276527104,0.00718800764481446,0.007695001813045971,-0.06829029614875076,39.72474743630175,-0.06597512682333669,0.0,-1.9840927272345035,0.5236030772342254,0.0,0.0,0.0,0.0,16.043715011165837,-0.06162827865352117,-7.3832172003585255,0.0,-6.295281339749086,-1.023650400290467,0.0,-0.7933825688576726,0.0,0.07532478693910291,0.028239329687409286,0.8919967883865098,0.0,-0.3791400836482054,Biotechnology,Healthcare,CLRB
