Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-06-30,2022-08-25,259500000.0,5304400000.0,690400000.0,0.08,3369200000.0,0.6351708016,12116100000.0,3296900000.0,1681900000.0,2565600000.0,8558100000.0,661500000.0,-5496100000.0,11054006000.0,4.017669997562759,0.6555581540380417,0.3890938503313773,1.429919014832115,0.05110284170592715,4.017669997562759,0.07871030361855076,1.2391610738255034,25.329502890173412,1.993692862992508,0.22042389210019267,2.9254724111866968,0.008702258905590532,0.4377976411551572,0.233044901777362,0.021417782949959146,11.896843438914027,0.6351708015986728,1.9019165727170237,1.4814636330962785,-0.4568720459984988,-0.7227438055510814,0.21710859041976735,4.827433628318584,2.4921598381385937,1.0630182240664519,-0.43853906668279935,-0.34202321782268097,Household & Personal Products,Consumer Defensive,13.1,11171640595,5129913,COTY
2021,2021-06-30,2021-08-26,-67800000.0,4629900000.0,197700000.0,-0.0887,2768200000.0,0.5978962829,13691400000.0,3897000000.0,1783100000.0,2415400000.0,9508800000.0,650800000.0,-5755600000.0,12584232000.0,5.095449790794979,0.7382214126024675,0.4159180215317645,1.4612522453169103,0.0056685898397942905,5.095449790794979,-0.017397998460354117,1.542848009676235,-105.35740412979351,1.8330079548370541,-0.37905604719764013,2.860633066994468,0.0035978111868689134,0.3381611814715807,0.24902707626066076,-0.0049520136728165125,49.33171270718232,0.5978962828570812,0.9384027777777778,-1.1952121850924424,-0.5190804968882611,3.887501118044601,0.015257096750531798,0.937792458023672,1.321515693608717,0.6062714720200678,-0.5170793218823376,-0.5683403156989507,Household & Personal Products,Consumer Defensive,13.1,11171640595,5129913,COTY
2020,2020-06-30,2020-08-27,-1089900000.0,4717800000.0,-614900000.0,-1.44,2726600000.0,0.5779388698,16728800000.0,3720400000.0,6495000000.0,3585700000.0,12705100000.0,678200000.0,-5548600000.0,11482677000.0,4.901067053089185,1.8113617982541763,0.501996556836115,2.25723040533276,-0.03672118591450857,4.901067053089185,-0.2929523707128266,0.7192286659035991,-3.113292045141756,0.9120462853456617,-0.1806587760344986,2.9360070775582425,0.05802821367703483,0.2820166419587777,0.208717963019773,-0.06515111663717661,-10.660311027332705,0.5779388698122006,0.7131474103585658,-3.181766863135887,-0.5004194405777309,0.7854681273008961,-0.48959191314114564,0.7108711799660441,-2.5618491236982472,-1.1859755509669163,-0.4777987143183471,-0.6617812810154134,Household & Personal Products,Consumer Defensive,13.1,11171640595,5129913,COTY
2019,2019-06-30,2019-08-28,-3769600000.0,8648500000.0,393700000.0,-5.02,5342000000.0,0.6176793664,17665400000.0,4586900000.0,3272700000.0,3477100000.0,12620200000.0,1153300000.0,-4541200000.0,16029708000.0,6.106096911608094,0.9412153806332864,0.4338254440884441,1.670779829514487,0.032064898906928464,6.106096911608094,-0.8218186574810874,1.006695727582818,-2.3096370967741935,1.898102858139484,-0.0918399830220713,2.866990375444377,0.03976381534152776,0.4895728372977685,0.43185413131632683,-0.2133888844860575,40.87515492957746,0.6176793663641094,-20.826086956521735,-18.665404893580263,-0.034520000152551966,1.7621440995032112,-0.07731104048638938,-21.33175355450237,1.4423076923076923,-12.050064108176864,-0.08539437388402181,4.85690306207828,Household & Personal Products,Consumer Defensive,13.1,11171640595,5129913,COTY
2018,2018-06-30,2018-08-21,-168800000.0,9398000000.0,161200000.0,-0.23,5789600000.0,0.6160459672270696,22630200000.0,8849700000.0,3651000000.0,4044000000.0,13113700000.0,1148900000.0,-626200000.0,17763470000.0,11.804321728691477,0.9028189910979229,0.33248932841954554,0.8502322112613987,0.008250328890063616,11.804321728691477,-0.019074092907104195,1.124789316875931,-62.62304502369668,1.1944777789077596,-2.226303317535545,3.1407433196971017,0.03555086337135327,0.4152857685747364,0.46181998021760634,-0.0074590591333704515,-323.2651376146789,0.6160459672270696,0.6515151515151516,-1.5115614499768162,0.029203375800141783,2.0158698820893823,0.2526721190878013,0.6001894836570346,1.3682046596619462,-1.3421413870207581,0.007657461722706337,3.3003370455214465,Household & Personal Products,Consumer Defensive,13.1,11171640595,5129913,COTY
2017,2017-06-30,2017-08-23,-422200000.0,7650300000.0,-437800000.0,-0.66,4621800000.0,0.6041331712481863,22548200000.0,9314700000.0,3581500000.0,3803600000.0,12679400000.0,1052600000.0,-459200000.0,18660928000.0,14.49082140634723,0.9416079503628142,0.31653967944226147,0.7662511943487176,-0.016115984786931145,14.49082140634723,-0.04532620481604346,1.5762686430597495,-28.562122216958787,1.2946126015867394,-0.8825201326385599,2.8771613148394453,0.03089826890085089,0.3392865062399659,0.5273162267325692,-0.018724332762703896,37.081574415744164,0.6041331712481863,-2.5,0.22488156036667564,-0.011934412478067319,5.471685364231266,0.7754984441627291,-3.6908859145952837,-2.7222659323367426,-1.5739823462290874,-0.001930764528572637,5.555044478315641,Household & Personal Products,Consumer Defensive,13.1,11171640595,5129913,COTY
2016,2016-06-30,2016-08-18,156900000.0,4349100000.0,254200000.0,0.44,2603100000.0,0.5985376284748569,7100200000.0,360200000.0,1938400000.0,1855200000.0,6659800000.0,565800000.0,-37000000.0,12769945000.0,1.0425470332850941,1.0448469167744718,0.5862933438494691,11.556912826207663,0.07256003736266957,1.0425470332850941,0.43559133814547474,2.064690395714056,57.23100701083492,24.92933092726263,0.567240280433397,3.0858960763520678,0.009911415333404979,0.6125320413509479,0.5688335489435101,0.022097969071293768,25.560902362653003,0.5985376284748569,-0.3125,1.8177099211674992,0.17936681705734142,-0.706939699774587,-0.013304525813054356,-0.3251612903225806,-0.3566185775752974,0.03178157949142026,0.03348603861239374,-0.7336410959806423,Household & Personal Products,Consumer Defensive,13.1,11171640595,5129913,COTY
2015,2015-06-30,2015-08-17,232500000.0,4395200000.0,395100000.0,0.64,2638200000.0,0.6002457226064798,6018900000.0,969800000.0,1856400000.0,1526200000.0,4947900000.0,557800000.0,-193900000.0,13588401000.0,2.7449759411265213,1.2163543441226576,0.4377377926199139,2.7167457207671686,0.12187573077587863,2.7449759411265213,0.2397401526087853,2.5698491536221333,48.580649462365585,11.646732315941431,0.3053763440860215,3.1498745069917535,0.006285966685616053,0.7302330990712589,0.6689162626130258,0.03862832078951303,34.711127842655195,0.6002457226064798,3.4615384615384617,3.0832005297585487,0.3674156706637159,0.0,-0.0177594102535463,3.3870636550308006,14.373540856031129,1.7766136642604886,0.03280464063380309,0.22592226659934156,Household & Personal Products,Consumer Defensive,13.1,11171640595,5129913,COTY
2014,2014-06-30,2014-08-28,-97400000.0,4551600000.0,25700000.0,-0.26,2685900000.0,0.5901001845504877,6592500000.0,843800000.0,2784800000.0,1597300000.0,5631900000.0,617400000.0,-426400000.0,8594021000.0,2.2106366256222163,1.7434420584736743,0.49958285930982177,3.903176108082484,0.009043000372749589,2.2106366256222163,-0.11543019672908272,1.4365324281571317,-67.13060574948665,7.748899028205736,-0.7895277207392197,3.021865889212828,0.01176106951403842,0.6904209328782708,1.191260251674701,-0.014774364808494502,21.437773770491802,0.5901001845504877,-1.619047619047619,-2.5832816784418764,0.31071260733557526,0.0,-0.036897590361445784,-1.5797619047619047,-0.9348377281947262,-2.5832816784418764,0.11722203080910269,-0.37858934656142273,Household & Personal Products,Consumer Defensive,13.1,11171640595,5129913,COTY
2013,2013-06-30,2013-09-17,168000000.0,4649100000.0,394400000.0,0.42,2788800000.0,0.599858037039427,6470000000.0,1494000000.0,2416900000.0,1463200000.0,4854500000.0,608200000.0,-329000000.0,8267406000.0,3.914068640293424,1.6517905959540733,0.4065224111282844,1.760508701472557,0.06058309325989676,3.914068640293424,0.11244979919678715,1.410510851562668,39.03336904761905,4.389294511378849,0.3416666666666667,3.058697796777376,0.008753194382218145,0.7185625965996909,1.054606342263532,0.025965996908809894,24.287429629629628,0.599858037039427,1.4958677685950412,1.7309170634315727,0.33878943289476754,0.0,0.0005381552039608223,1.5178791615289766,2.882577565632458,1.7309170634315727,0.33878943289476754,0.0,Household & Personal Products,Consumer Defensive,13.1,11171640595,5129913,COTY
