Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-03-16,2131400.0,26586926.0,2234420.0,0.15,7301080.0,0.2746116644,21679943.0,15705516.0,17817539.0,5379560.0,5974427.0,4875901.0,-24125092.0,31099389.89,1.0888173294923367,3.3120810995694816,0.02604056661957091,0.03594647893135125,0.09854371342927007,1.0888173294923367,0.13571028166155127,1.4594235110143987,18.20474096368584,2.4705705237573854,0.0,3.955339946401701,0.0,1.2263374493189396,2.3664381473577767,0.09831206659537804,12.469870228661726,0.274611664394748,-0.31818181818181823,2.135813221043036,0.6694918389206314,0.542365192389756,0.5243235614288775,-0.33722589514462153,50.21292688517075,4.057855670056545,0.13390937889187093,1.679862632223737,Electronic Components,Technology,2.78,40225766,30745,CPSH
2021,2021-12-25,2022-03-10,3215877.0,22449065.0,43630.0,0.22,4789718.0,0.2133593537,18800719.0,13166311.0,14057808.0,5104724.0,5634408.0,3911602.0,-26256492.0,59004919.18,0.9025051500734099,2.753882090393134,0.03939157858803166,0.056248861203415296,0.019023819626367684,0.9025051500734099,0.24425042063794483,2.8203687405243825,19.68814142456319,4.808836824528905,0.0,4.514607314343331,0.0,1.1940535359312587,1.9433632454957408,0.17105074545287338,42.420989031383606,0.21335935371918607,2.2640949554896146,7.416270307052376,0.3235264672140424,0.1083462880705796,0.14867871387414586,2.576928595501306,-0.8863257394168039,1.7855116845429306,-0.0583632659779206,1.0423926589485062,Electronic Components,Technology,2.78,40225766,30745,CPSH
2020,2020-12-26,2021-03-17,899061.0,20872611.0,383816.0,0.0674,4169763.0,0.1997719883,8311923.0,6348661.0,6890981.0,1808692.0,1963262.0,3709471.0,-29472369.0,30610753.78,0.4756056485999786,3.809925072925628,0.02859795500992971,0.03744159595228033,0.05802454240641577,0.4756056485999786,0.14161427110378078,1.464515042224473,34.000198851913275,4.8149133777973026,0.0,4.502757401257484,0.0,2.5111651058365196,1.7194768374051526,0.1081652224160402,22.729826612891234,0.19977198827688591,2.395445134575569,0.9726496126877046,-0.05168060779949298,-0.4297341728576246,0.6414832293471368,2.4087404928220217,1.6426936414829898,1.5177178853930995,0.41629918218982603,-0.32628037978915764,Electronic Components,Technology,2.78,40225766,30745,CPSH
2019,2019-12-28,2020-03-13,-638202.0,21468414.0,-597199.0,-0.0483,2540241.0,0.1183245767,9024271.0,5365990.0,7468520.0,3670281.0,3658281.0,3099824.0,-30380433.0,15154074.850000001,0.4062959483071867,2.0348632706869036,0.15741858816075005,0.26473921867167105,-0.08657444985879363,0.4062959483071867,-0.11893462343388639,0.6459467313235157,-21.72893825152538,2.5843230885633406,0.0,6.106208933152334,0.0,2.378963796632437,1.150023663038334,-0.07072061554889032,-7.918045927395251,0.11832457674796099,0.8278866403686005,-1.6334232994843065,-0.07653980475198167,-0.4787915868813917,-0.12791964713620876,0.8277906953839578,0.3368603862250614,-0.40652817411559733,0.39811014706852027,-0.5010370787050272,Electronic Components,Technology,2.78,40225766,30745,CPSH
2018,2018-12-29,2019-03-15,-3705967.0,21580904.0,-900563.0,-0.280629,2912852.0,0.13497358590724468,8491099.0,5835521.0,7031166.0,2655578.0,2655578.0,3192933.0,-29742231.0,13237428.8,0.4418862093531273,2.647697036200782,0.0,0.0,-0.6206089729155811,0.4418862093531273,-0.6350704590044316,0.6425232603787127,-3.7415964038535696,2.376177345604617,0.0,5.846678273549743,0.0,2.5415913770408283,1.3864759385715653,-0.43645316112790583,-19.141336226710454,0.13497358590724468,-1.157108267035628,-4.794151616440106,-0.00246325309306015,-0.34864366084701426,0.7567217773403341,-1.157514516487726,0.5384592124886609,-9.219176105884985,-0.008909232330959341,-0.47016481948574296,Electronic Components,Technology,2.78,40225766,30745,CPSH
2017,2017-12-30,2018-03-12,-1717702.0,14577183.0,-1951210.0,-0.130095,1658118.0,0.11374749154209013,11022708.0,9320834.0,6493544.0,1701874.0,1701874.0,2109513.0,-26036264.0,20578131.759999998,0.7059400295498839,3.815525708718742,0.0,0.0,-0.18537658728853773,0.7059400295498839,-0.18428629884407338,1.503562365924884,-12.759898841591847,2.351474531141741,0.0,6.124193119454585,0.0,1.322468398872582,2.516605224593595,-0.15583303122971234,-10.597539372629566,0.11374749154209013,-2.7866748166259168,-0.10002833204754005,0.011167539034543587,0.20618821625935238,-0.2307687311649174,-2.78667907066975,-0.652057144356982,-2.705312979272516,-0.3727910780911418,-0.09439933109938374,Electronic Components,Technology,2.78,40225766,30745,CPSH
2016,2016-12-31,2017-03-08,-453617.0,15351053.0,-1181079.0,-0.034356,2155552.0,0.14041720786189715,12037746.0,10751305.0,7426770.0,1286441.0,1286441.0,1970961.0,-24318562.0,21282665.32,0.814280843259285,5.7731135745829,0.0,0.0,-0.044108319198712415,0.814280843259285,-0.04219180834326624,1.608386429256677,-54.43011465619676,2.29650496567626,0.0,6.694957941836495,0.0,1.2752431393717727,4.172259746074635,-0.03768288515142287,-498.4037893376935,0.14041720786189715,-2.1452,-8.589607358098021,-0.25066447282644144,0.18096746386548196,-0.5379300838951243,-2.00665307055406,-2.9075597950116046,-1.4644988887649155,-0.2902920586078821,0.20027956944889083,Electronic Components,Technology,2.78,40225766,30745,CPSH
2015,2015-12-26,2016-03-09,450619.0,21761681.0,619157.0,0.03,4664991.0,0.21436721731193467,13561635.0,11007155.0,10189707.0,2554480.0,2554480.0,2632444.0,-23864945.0,29582146.0,0.8340069244255041,3.98895548213335,0.0,0.0,0.04056567766338262,0.8340069244255041,0.04093873485019517,1.5161877889856028,73.22104704861535,2.997577030576929,0.0,6.4946072926907465,0.0,1.6046502505044562,2.734461808274091,0.03322748326437041,30.535977055534268,0.21436721731193467,-0.606753355704698,-0.39219582526410857,-0.025770627287404157,0.24257670041036244,-0.1472942763503028,-0.5506248703588467,-0.49075489808222017,1.2887002021429492,0.5101618403778513,0.42500677453036023,Electronic Components,Technology,2.78,40225766,30745,CPSH
2014,2014-12-27,2015-03-24,1002768.0,23137590.0,1215833.0,0.076288,5470810.0,0.23644683824028345,12648516.0,10246482.0,9273476.0,2402034.0,2402034.0,2528954.0,-24315564.0,36470662.550000004,0.7795268420096056,3.860676410075794,0.0,0.0,0.09745717686284093,0.7795268420096056,0.09786461343512827,1.6758980753829593,38.66920618727362,3.7843469153608043,0.0,6.985805198512903,0.0,1.82927309417168,2.454074754978489,0.07927949808499274,49.68994283436961,0.23644683824028345,0.08982857142857124,0.7124970831411619,0.7120816721716895,0.30291882575732887,0.02123042099264207,0.03757339969269133,-0.16694610236870575,22.293900838273913,0.13448701903054694,0.13056305480345706,Electronic Components,Technology,2.78,40225766,30745,CPSH
2013,2013-12-28,2014-03-17,966455.0,21405999.0,1459489.0,0.07,5357077.0,0.25026054612073934,11139625.0,8864531.0,7480356.0,2275094.0,2275094.0,2183699.0,-25318332.0,29734589.990000002,0.678409317283608,3.287932718384383,0.006855886082341192,0.008615458618171678,0.10945250071877964,0.678409317283608,0.1090249444668872,1.4589028052369806,32.31321891862529,3.5229468981494905,0.0,7.3494204100473555,0.0,1.9216085819765027,1.9654181321738795,0.08675830649595476,17.642011897196024,0.25026054612073934,1.5833333333333335,-0.36723964757148825,0.3949030358070384,0.22577780103631284,19.931233076890017,1.634978462945491,1.5214062176239844,0.3166710387640202,-0.032065996685001694,0.010753731545557838,Electronic Components,Technology,2.78,40225766,30745,CPSH
2012,2012-12-29,2013-03-27,-1522028.0,14051710.0,-2799140.0,-0.12,255937.0,0.018213939798074397,10349234.0,7532140.0,6135866.0,2740722.0,2817094.0,2457315.0,-26284787.0,19568614.82,0.5852652347567736,2.2387772273145545,0.06761254021312109,0.09290029128507968,-0.1786894083632316,0.5852652347567736,-0.2020711245409671,1.364654609296662,-12.59880292609597,2.5458542751462403,0.0,5.614165461082523,0.0,1.3577536269834076,1.1613739007458619,-0.14706672976956556,-16.874043755565804,0.018213939798074397,-32.494979337487706,-2.563777239121081,0.10030725736668958,0.35792463716802997,-0.9134153045672829,-32.27928282496993,-7.334990918024,-3.654789352026198,0.061973271855630854,-0.021774426060768796,Electronic Components,Technology,2.78,40225766,30745,CPSH
2011,2011-12-31,2012-03-30,-45735.0,19807152.0,-335830.0,-0.003582626482342551,2955915.0,0.1492347309699042,11334312.0,8802042.0,7833506.0,2332532.0,2532270.0,3138617.0,-24762759.0,22882494.900000002,0.6895031981609576,3.358370217428957,0.03601824265998677,0.046380374008667534,-0.00433332217087825,0.6895031981609576,-0.005195953393542089,1.1923310277015091,-516.3809314529354,2.6830912531433047,0.0,5.369000741409353,0.0,1.7475389772224375,1.8243646818135828,-0.0040350927343450575,-42.66720486929752,0.1492347309699042,-1.0597104413723757,-1.0251315649803745,0.6252125009866739,0.9629488171324929,-0.2639565911146348,-1.0643983502983008,-1.3187494898375642,-1.030649480169732,0.3211354941601942,0.24582268037441832,Electronic Components,Technology,2.78,40225766,30745,CPSH
2010,2010-12-25,2011-03-25,710189.0,21397318.0,1053586.0,0.06,4015952.0,0.1876848304072501,10611101.0,8485550.0,7681295.0,1949990.0,2125551.0,1523758.0,-24717024.0,19485659.049999997,0.6711915040335718,3.9391458417735477,0.040403724363758296,0.05052447985104089,0.07842646850067041,0.6711915040335718,0.0836939267342718,0.9748956878614412,29.37267832928981,2.458314788080914,0.0,11.406907133547453,0.0,2.016503094259493,2.936519674459869,0.06692887005787618,21.73303882121529,0.1876848304072501,0.4999999999999999,1.408249618448079,1.9111116618853536,2.238229669564652,0.7869221188984846,0.26274903763235335,6.066399281009805,-0.25722325741350344,0.7055963198270162,0.557289627776757,Electronic Components,Technology,2.78,40225766,30745,CPSH
