Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2023,2023-03-31,2023-05-25,96435000.0,757904000.0,139066000.0,6.2,318214000.0,0.4198605628,1043453000.0,525675000.0,323056000.0,108039000.0,499314000.0,161569000.0,493319000.0,2389210370.0,33.89483525694758,2.9901794722276214,0.2518407633118118,0.4998982260902649,0.12492362379746548,33.89483525694758,0.1834498501926095,2.8429265052038253,22.343188365220097,4.0988545584248826,0.10945196246176181,2.721376006535907,0.004898672502449881,0.7263422502019736,1.3070095058265996,0.09241911231267724,20.04302589719261,0.41986056281534334,0.47619047619047616,9.200834573045853,1.3475446855798825,0.9986302308867818,0.2432079761839648,0.45266249905852224,0.42807558020127334,1.0382871713764898,0.9046150948187889,0.8419548510312339,Specialty Industrial Machinery,Industrials,160.35,2486804010,50014,CSWI
2022,2022-03-31,2022-05-18,66385000.0,626435000.0,97380000.0,4.2,255962000.0,0.408601052,995360000.0,469086000.0,300147000.0,117402000.0,510949000.0,150114000.0,407522000.0,2088786450.0,29.773786099650906,2.556574845402974,0.25395334351390453,0.5388670734151094,0.0902215987422722,29.773786099650906,0.14151989187483746,2.9574184871534954,27.907365368682683,3.9494473294875565,0.14248700760714017,2.4679443622846637,0.005105713338566793,0.6293552081658897,1.1875692066574675,0.06669446230509564,34.670081031514336,0.40860105198464325,0.5849056603773586,5.003147366435868,0.9173995013770472,0.7237754210124641,0.38507575757575757,0.6477611199364575,0.637464267697999,0.4251144995078609,0.7503005508087977,0.7404531865173692,Specialty Industrial Machinery,Industrials,160.35,2486804010,50014,CSWI
2021,2021-03-31,2021-05-20,40288000.0,419205000.0,59470000.0,2.65,184800000.0,0.4408344366,874957000.0,412013000.0,214553000.0,82748000.0,462944000.0,98086000.0,347234000.0,2259274000.0,27.44009324009324,2.5928481655145745,0.2769701825346846,0.58817804292583,0.06517742792030361,27.44009324009324,0.09778332237089607,4.835402726589616,50.313368745035746,4.919808355561596,0.20063046068308182,2.3897905919295312,0.003987617320950655,0.47911497365013367,1.2904601923913568,0.04604569138826251,35.30110935023772,0.4408344366121587,-0.11960132890365445,0.6459794246296542,0.36395671264086155,0.6617629428179406,0.0437729454956227,-0.12184489297702603,-0.0998531793482374,4.538812351874126,0.341172321556845,0.6180223173311054,Specialty Industrial Machinery,Industrials,160.35,2486804010,50014,CSWI
2020,2020-03-31,2020-05-20,45878000.0,385871000.0,66067000.0,3.01,177050000.0,0.4588320967,369245000.0,276741000.0,150045000.0,59146000.0,92504000.0,53753000.0,315078000.0,986074149.9999999,18.40155595451825,2.5368579447468975,0.07889883410743544,0.10527171615337085,0.1586011217028114,18.40155595451825,0.16577955561337135,2.5274745964324863,21.258100832643095,3.524158509219812,0.17720911983957452,3.884825033021413,0.008336074856106582,1.045027014583813,1.5760660061542624,0.12424812793673577,16.682845535408823,0.45883209673699243,0.027303754266211476,0.5906672545339364,0.5178208716732907,0.3930611296109657,0.09716799900848981,0.006670470004827313,0.09310059563203177,3.346232652718925,0.23730903528321654,0.06537172520212434,Specialty Industrial Machinery,Industrials,160.35,2486804010,50014,CSWI
2019,2019-03-31,2019-05-22,45574000.0,350155000.0,60440000.0,2.93,161370000.0,0.46085305079179223,352632000.0,263686000.0,151267000.0,49172000.0,88946000.0,51429000.0,277588000.0,893887520.0,17.106915790839498,3.07628325063044,0.08921198303046803,0.11930477916916332,0.15348970301550247,17.106915790839498,0.1728343560143504,2.5391027402150477,19.50848115153377,3.3717357766434315,0.0,3.6707888545373235,0.0,0.9929756800290388,1.8869885300577565,0.12923954717666009,17.033806303285754,0.46085305079179223,4.855263157894737,0.8629175161257944,0.5277266271460136,0.3587976143488928,0.09095702966548581,4.83554957077933,0.19178136214851915,0.8137433098557343,0.10979930267335865,0.035989144730309425,Specialty Industrial Machinery,Industrials,160.35,2486804010,50014,CSWI
2018,2018-03-31,2018-05-30,-11882000.0,326222000.0,50714000.0,-0.76,147916000.0,0.4534212897965189,340816000.0,265765000.0,127567000.0,44854000.0,75051000.0,42974000.0,233650000.0,718292550.0,16.95903260800204,2.844049583091809,0.07047791183512511,0.09038059940172709,0.11854692038401317,16.95903260800204,-0.04470867119447632,2.1641046587906394,-59.415801211917184,2.6564015201399735,0.0,4.1491599571834135,0.0,0.9571792404112482,1.674075890667499,-0.034863386695460304,18.765045717931,0.4534212897965189,-2.085714285714286,-1.5412482589223957,0.6195029484457963,0.48826320716908567,0.10519512541374956,-2.073254448559299,1.2558605044259596,-1.3953544764214154,0.23144175324009644,0.2838571466676292,Specialty Industrial Machinery,Industrials,160.35,2486804010,50014,CSWI
2017,2017-03-31,2017-06-14,11071000.0,327084000.0,22481000.0,0.7,133837000.0,0.4091823507111323,397664000.0,272438000.0,146283000.0,37736000.0,125226000.0,50401000.0,245026000.0,628930100.0,17.27242756609396,3.876483994064024,0.18409260078860545,0.26871067912699403,0.033423032949742804,17.27242756609396,0.040636768732702486,1.7697872717711658,52.286974979676636,2.1247737099817208,0.0,3.834189797821472,0.0,0.8225134787156997,2.3506465974136104,0.02784008610284059,19.51222233458051,0.4091823507111323,-0.5679012345679013,-0.3482397587196927,0.8917924367757025,0.684061687694161,-0.09486419953470757,-0.5653488280789918,-0.5265762540538264,-0.5577535246824594,0.3945871765683269,0.3719441691172773,Specialty Industrial Machinery,Industrials,160.35,2486804010,50014,CSWI
2016,2016-03-31,2016-06-08,25471000.0,319831000.0,47486000.0,1.62,147864000.0,0.4623191623075937,392260000.0,258010000.0,155521000.0,31563000.0,134250000.0,51634000.0,233955000.0,555882500.0,16.51264,4.927319963248107,0.22862897058073728,0.347591178636487,0.07865911290713254,16.51264,0.09872097980698423,1.5388986683592272,19.323446272231166,1.9076295492422772,0.011778100584978995,3.330499283417903,0.0006095238095238095,0.8153546117371131,2.911700408706397,0.06493397236526793,16.14947337336352,0.4623191623075937,-0.160621761658031,0.7908624225352113,1.2361293445378152,0.7346611717171717,0.16957880166106387,-0.14253492678000337,0.07839396829722488,0.1636694817955572,0.5924497522577273,0.4490894105382438,Specialty Industrial Machinery,Industrials,160.35,2486804010,50014,CSWI
2015,2015-03-31,2015-03-31,29705000.0,261834000.0,44034000.0,1.93,126425000.0,0.482844092058327,286521000.0,204601000.0,135009000.0,38618000.0,81920000.0,45315000.0,208784000.0,470926000.0,13.209438956678934,3.496012222279766,0.09320084740734536,0.13051744615128957,0.12586807431986144,13.209438956678934,0.1451850186460477,1.774674030110681,15.642821073893284,2.2711032692899837,0.2792122538293217,2.9881716870793333,0.017849226332666192,0.9138387762153559,2.1209021699725517,0.103674774274835,17.3410210479176,0.482844092058327,0.2160437120458896,1.106892760787074,0.846711491104286,0.3876582338329384,0.12792855485966134,0.20107552967814976,0.16144857964286657,0.7808260239985982,0.5421660873081404,0.2879202982761959,Specialty Industrial Machinery,Industrials,160.35,2486804010,50014,CSWI
2014,2014-03-31,2014-03-31,24732000.0,231713000.0,37913000.0,1.587114,112086000.0,0.48372771488867694,277820000.0,196186000.0,128952000.0,38068000.0,81634000.0,39111000.0,187373000.0,497176000.0,12.589745235192197,3.3874119995796996,0.16232452667194586,0.22986859408928262,0.10355912932200996,12.589745235192197,0.12606404126696094,2.0175389382555142,18.902231926249392,2.38289174558837,0.3497897460779557,3.0586535757203857,0.01850520866756508,0.8340400259160607,2.1327624251339707,0.08902166870635664,70.97161074844391,0.48372771488867694,0.13365285714285716,0.7435902070963935,0.6244102466758379,0.3225590954141297,0.18506692605358313,0.13982855562724675,0.17570626724966665,0.7435902070963935,0.6244102466758379,0.3225590954141297,Specialty Industrial Machinery,Industrials,160.35,2486804010,50014,CSWI
2013,2013-03-31,2013-03-31,21698000.0,199094000.0,32247000.0,1.4,94582000.0,0.475062031000432,236500000.0,176500000.0,0.0,9500000.0,0.0,0.0,0.0,487970000.0,11.39518367873975,0.0,0.0985200845665962,0.1320113314447592,0.10937739530620325,11.39518367873975,0.12293484419263456,2.3339226696937123,21.415337819153837,2.632691218130312,0.3201216702000184,0.0,0.014948242839004025,0.8418350951374207,0.0,0.09174630021141648,37.77190700699073,0.475062031000432,0.3000037142963264,0.5389785936225527,0.40420716029971954,0.19706980059488272,0.2064030612244898,0.29154761904761906,0.31085365853658536,0.5389785936225527,0.40420716029971954,0.19706980059488272,Specialty Industrial Machinery,Industrials,160.35,2486804010,50014,CSWI
