Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-03-31,2023-03-31,-6311000.0,167591000.0,-1422000.0,-0.42,34077000.0,0.2033343079,551163000.0,288708000.0,158623000.0,103216000.0,258986000.0,7379000.0,-940247000.0,313012700.0,454577700.0,19.04657606544399,1.5368063090993644,0.27928398676979405,0.5331719245743104,-0.0038871707312554916,19.04657606544399,-0.02185945661360267,1.867717836876682,-12.399488987482172,1.0841843662108428,0.0,18.093779644938337,0.0,0.30406794360289063,1.3111145558828088,-0.011450333204514817,-70.91361576801087,0.20333430792823004,0.5172413793103449,0.9174662542641563,0.19481543745545027,-0.5019314365284819,-0.012890330803545565,0.47717670449838456,0.7479617157036512,0.9599014309204686,0.11869119578868491,-0.09756727157452916,Specialty Business Services,Industrials,CVEO
2022Q4,2022,Q4,2022-12-31,2022-12-31,-12071000.0,162193000.0,-5642000.0,-0.87,34522000.0,0.2128451906,566184000.0,300139000.0,153549000.0,128257000.0,262483000.0,6907000.0,-930123000.0,430268500.0,566038500.0,21.694181423924828,1.197197813764551,0.2538468059853334,0.4788581290668657,-0.010104660563636781,21.694181423924828,-0.04021803231169558,2.65281793912191,-8.911202468726701,1.4335641152932475,0.0,18.484291298682496,0.0,0.2864669436084383,0.9957273287227988,-0.021319924264903284,20.062878858528396,0.21284519060625304,-3.7187499999999996,0.7994855711447947,0.2617534152647251,-0.5031274467193878,-0.31950878161282054,-3.1114220745146057,-1.5231339823829393,0.6130504987366983,0.10154548474957724,-0.3816294542275372,Specialty Business Services,Industrials,CVEO
2022Q3,2022,Q3,2022-10-28,2022-09-30,5717000.0,184227000.0,10785000.0,0.32,50731000.0,0.275372231,583329000.0,333308000.0,164721000.0,117724000.0,247132000.0,6984000.0,-911934000.0,350111160.0,478110160.0,23.92391616422624,1.3992134144269648,0.23376173651575696,0.4091110924430257,0.014066850563241431,23.92391616422624,0.017152303575071706,1.9004334869481672,15.310090956795522,1.0504133114116672,0.0,19.11454753722795,0.0,0.31582006037759136,1.109722741327172,0.009800644233357162,11.700794064567877,0.2753722309976279,-0.40740740740740744,1.2015419436947399,0.47946386954065146,-0.5036245095178001,-0.07595490063933262,-0.4024874581939799,-0.24273276225249263,0.14743201175927825,0.24679403665363944,-0.3388647504640083,Specialty Business Services,Industrials,CVEO
2022Q2,2022,Q2,2022-08-04,2022-06-30,9568000.0,184954000.0,14242000.0,0.54,54901000.0,0.29683597,637397000.0,360938000.0,169724000.0,119353000.0,273877000.0,7382000.0,-903492000.0,366008760.0,527562760.0,25.511591744416172,1.4220337988990641,0.2609613788580743,0.4608436906061429,0.022359264872947298,25.511591744416172,0.02650870786672503,1.9789177849627475,9.56335597826087,1.0140488394128633,0.05016722408026756,17.617583310755894,0.0013114440211758865,0.29017080406716694,1.1698658600956826,0.015011052766172418,22.018213318895505,0.2968359700249792,3.153846153846154,1.500463984296009,0.5473895153066453,-0.47769942913838354,0.3782101167315175,4.014675052410902,1.400471936625653,1.6358339210135209,0.4940988267560585,-0.3016984670114921,Specialty Business Services,Industrials,CVEO
2022Q1,2022,Q1,2022-04-29,2022-03-31,1908000.0,165678000.0,5933000.0,0.13,39835000.0,0.2404362679,673094000.0,370891000.0,161847000.0,119150000.0,300123000.0,7271000.0,-912037000.0,332736080.0,517129080.0,26.311790578887628,1.3583466219051616,0.28349086457463596,0.5144799954703673,0.005665800577509889,26.311790578887628,0.005144368561113642,2.00832989292483,43.59749475890985,0.8971263255242107,0.0,17.30752303672122,0.0,0.24614392640552435,1.0986739404112462,0.002834670937491643,-203.01164124466138,0.24043626794142856,-0.8289473684210527,1.0653269740198332,0.2945959622344048,-0.5080378308263354,-0.06433504016535914,-0.824793388429752,-0.6030641600321135,1.1094477986303573,0.4917902998456068,-0.3046280454304159,Specialty Business Services,Industrials,CVEO
2021Q4,2021,Q4,2022-02-28,2021-12-31,10890000.0,159794000.0,14947000.0,0.76,42574000.0,0.2664305293,672734000.0,361499000.0,157193000.0,136918000.0,309623000.0,6468000.0,-912951000.0,271543050.0,453868050.0,25.520578891634308,1.1480813333528097,0.2803589531672251,0.5217358830868135,0.024162270482535116,25.520578891634308,0.030124564659929902,1.6993319523887005,6.233770661157025,0.7511585094287953,0.0,18.123067408781694,0.0,0.23752924632915834,0.8847704465446472,0.016187675961078226,14.020914442092218,0.2664305293064821,9.674157303370785,1.4335611599060705,0.10764264784228898,-0.5208294426794072,-0.024270620860357986,9.655577299412915,1.4870216306156405,1.8000967177400164,0.3593686878043673,-0.34224009132185423,Specialty Business Services,Industrials,CVEO
2021Q3,2021,Q3,2021-10-28,2021-09-30,1022000.0,155063000.0,6010000.0,0.0712,43633000.0,0.2813888549,684042000.0,351755000.0,158023000.0,136948000.0,331257000.0,6089000.0,-918539000.0,321089730.0,525685730.0,24.637879106254815,1.1538905277915705,0.3063320673291991,0.5957100823016019,0.0038082186017645726,24.637879106254815,0.002905431337152279,2.07070500377266,78.54445450097846,0.912822077866697,0.0,18.300213499753653,0.0,0.22668637305896422,0.8251745187954552,0.0014940603062385059,10.433120938393554,0.2813888548525438,100.71428571428571,1.0152252619281112,-0.06991078112935836,-0.5719440761750305,-0.0550309698098497,101.2,-0.4462870831030035,1.0730648944331045,0.24583973056307043,-0.3953136115052582,Specialty Business Services,Industrials,CVEO
2021Q2,2021,Q2,2021-07-30,2021-06-30,10000.0,154176000.0,10854000.0,0.0007,46174000.0,0.2994888958,717687000.0,362810000.0,143277000.0,131240000.0,354282000.0,6958000.0,-918156000.0,254148400.0,492552400.0,25.410421627678947,1.0917174641877476,0.3383341205846003,0.6692704170226841,-0.00036109316013902654,25.410421627678947,2.7562636090515697e-05,1.6484303652968038,6353.71,0.700499986218682,0.0,15.52198907732107,0.0,0.2148234536782748,0.9036955196586407,1.3933650741897234e-05,19.00174953271028,0.29948889580738897,1.0010606060606062,1.0005501972298088,-0.10017459634583768,-0.5840006048638231,0.802263856362217,1.0010610079575597,3.17645879286144,-0.942204002137202,0.14313297510667986,-0.39135453806431414,Specialty Business Services,Industrials,CVEO
2021Q1,2021,Q1,2021-04-30,2021-03-31,-9425000.0,125430000.0,-4987000.0,-0.66,25620000.0,0.2042573547,710178000.0,363491000.0,108660000.0,110776000.0,346039000.0,6677000.0,-917689000.0,217570410.0,466859410.0,25.57814369150658,0.9808983895428612,0.35870443747905456,0.7008261552555635,-0.008835413040193163,25.57814369150658,-0.025929115163786723,1.7345962688352068,-5.771098408488064,0.5985579010209332,0.0,14.948330088363038,0.0,0.1766176930290716,0.8416805084133747,-0.013271320711145656,23.035511911064056,0.20425735469983258,-6.656612529002321,0.778683514358335,-0.1733268604687189,-0.5983459099097745,-0.27153824282058575,-6.725409836065574,-19.74812030075188,0.8685283850477274,-0.04617474263704661,-0.33113073757071715,Specialty Business Services,Industrials,CVEO
2020Q4,2020,Q4,2021-02-26,2020-12-31,-1220000.0,133378000.0,266000.0,-0.0862,35170000.0,0.263686665,740853000.0,374685000.0,119213000.0,116765000.0,365496000.0,6181000.0,-907727000.0,196837900.0,459101900.0,26.458936515782785,1.0209651864856764,0.3623107418070791,0.7163857640417951,0.00014629942422782338,26.458936515782785,-0.003256068430815218,1.4757898603967672,-40.33563524590164,0.5253423542442318,0.0,15.888691150299305,0.0,0.18003301599642574,0.8216246306684366,-0.00164675043497158,5.99256857551679,0.263686664967236,-1.2394444444444443,0.9267531482506076,-0.1394195280054163,-0.5824368825726853,-0.225722651520155,-1.1745600228931177,-0.9771320495185695,0.9802008087373306,0.013705548787124558,-0.39399790723663247,Specialty Business Services,Industrials,CVEO
