Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-30,2023-03-31,-111400000.0,858100000.0,3400000.0,-1.4,209300000.0,0.2439109661,3090700000.0,-1485200000.0,1809200000.0,1742900000.0,4564300000.0,639500000.0,-1517800000.0,95160000.0,2504160000.0,-18.72887767969735,1.038040048195536,0.8591581195198499,-1.7879073525451117,0.002138395565352865,-18.72887767969735,0.0750067330999192,0.1108961659480247,-0.21355475763016155,-0.06407217883113385,0.0,1.014542611415168,0.0,0.27763936972206943,0.5107005565436915,-0.03604361471511308,-0.8893457943925234,0.24391096608786855,0.29648241206030157,-0.5018791008062436,-0.22925508934240188,-4.325483551466524,-0.03770114942528736,0.2913486005089059,1.1878453038674033,-0.16864156194286214,-0.08270995898419943,-0.9863571326729433,Software—Application,Technology,DBD
2022Q4,2022,Q4,2023-03-16,2022-12-31,-157200000.0,968800000.0,-18100000.0,-1.99,217500000.0,0.2245045417,3065000000.0,-1380900000.0,1770900000.0,1604900000.0,4436100000.0,588100000.0,-1406700000.0,112322000.0,2403022000.0,-17.45764854614412,1.103433235715621,0.851484502446982,-1.889926859294663,-0.012342493658103228,-17.45764854614412,0.11383880078209863,0.1159393063583815,-0.1786291348600509,-0.08133970598884785,0.0,1.2775038258799525,0.0,0.3160848287112561,0.5956134338588074,-0.05128874388254486,1.4110804020100502,0.2245045417010735,-2.1587301587301586,-0.38546179141379305,-0.260174442273966,-3.8043669473061303,0.12229102167182662,-2.150300601202405,-7.619047619047619,-0.2449353761629093,-0.18319721388018825,-1.5282809887683733,Software—Application,Technology,DBD
2022Q3,2022,Q3,2022-11-09,2022-09-30,-49900000.0,810400000.0,-2100000.0,-0.63,193800000.0,0.2391411649,2907400000.0,-1329400000.0,1677300000.0,3900900000.0,4225100000.0,666200000.0,-1254500000.0,193004000.0,2500204000.0,-16.806573957016436,0.4299776974544336,0.8377244273233817,-1.8321047088912292,-0.0011239606662033104,-16.806573957016436,0.037535730404693844,0.2381589338598223,-0.9669539078156313,-0.14518128479013087,0.0,0.925547883518463,0.0,0.27873701589048633,0.17447255761490937,-0.017163101052486758,-1.0238938992042441,0.23914116485686082,0.748,-0.3454505846136263,-0.31102069385963066,-3.21757485801248,0.20522388059701493,0.7472137791286727,0.975609756097561,-0.3571162978465722,-0.27063783470607183,-1.8689595018867797,Software—Application,Technology,DBD
2022Q2,2022,Q2,2022-08-09,2022-06-30,-197400000.0,851700000.0,-86100000.0,-2.5,160800000.0,0.1887988728,3182100000.0,-1257700000.0,1848600000.0,1656300000.0,4429300000.0,642200000.0,-1204700000.0,179330000.0,2351930000.0,-15.920253164556962,1.1161021554066293,0.761289714339587,-1.9261350083485729,-0.06496214675117028,-15.920253164556962,0.15695316848214996,0.2105553598684983,-0.22711499493414386,-0.14258567225888527,0.0,1.0758330738087822,0.0,0.26765343640991796,0.5098110245728431,-0.062034505515225796,-1.9016967126193,0.1887988728425502,-0.0729613733905579,-5.165177463390419,-0.2821532271838764,-3.0469671558652087,-0.13221802482460873,-0.07751091703056769,-2.5726141078838176,-2.810197045574653,-0.2810783595148009,-2.713757353167637,Software—Application,Technology,DBD
2022Q1,2022,Q1,2022-05-10,2022-03-31,-183200000.0,829800000.0,-24100000.0,-2.33,185300000.0,0.2233068209,3316500000.0,-1016700000.0,1781500000.0,1662500000.0,4325100000.0,620800000.0,-1005500000.0,529651000.00000006,2655851000.0,-12.918678526048284,1.071578947368421,0.7088496909392432,-2.312284843119898,-0.014876976309623549,-12.918678526048284,0.18019081341595358,0.6382875391660642,-0.722777019650655,-0.5209511163568408,0.0,1.0381765463917525,0.0,0.2502035278154681,0.491187969924812,-0.055238956731494045,-2.2272960470984025,0.22330682092070378,-3.5686274509803924,-1.9810440059124035,-0.2800589835092284,-2.824754254382735,-0.2823392718822618,-3.56857855361596,-1.5227765726681128,-0.3402109831100524,-0.21646807306800875,-2.2746749813871565,Software—Application,Technology,DBD
2021Q4,2021,Q4,2022-03-11,2021-12-31,-40100000.0,1059600000.0,46100000.0,-0.51,258200000.0,0.2436768592,3499100000.0,-845100000.0,1887300000.0,1749400000.0,4344200000.0,544200000.0,-822400000.0,709520000.0,2770820000.0,-10.779336734693878,1.0788270264090545,0.7002372038524192,-2.8993018577683114,0.7057110135522046,-10.779336734693878,0.04745000591645959,0.669611174027935,-4.4234413965087285,-0.8395692817418058,0.0,1.4726203601617052,0.0,0.30282072532937043,0.5821424488396022,-0.011460089737361037,1.79036083774918,0.243676859192148,-16.0,0.5062709852578563,-0.18369029290982916,-2.3688335961709677,-0.007304882737408689,-18.095238095238095,0.19121447028423771,0.7324838698365944,-0.20257807728456556,-3.400791445870194,Software—Application,Technology,DBD
2021Q3,2021,Q3,2021-10-28,2021-09-30,-2100000.0,958200000.0,38700000.0,-0.03,260100000.0,0.2714464621164684,3586900000.0,-872300000.0,1921100000.0,1559500000.0,4450400000.0,624800000.0,-782800000.0,791613000.0,3071913000.0,-11.140485312899106,1.2318691888425777,0.6959212690624216,-2.861630173105583,0.008645803545896483,-11.140485312899106,0.0024074286369368337,0.8261458985597996,-94.23964285714285,-0.9075008597959418,0.0,1.1173175416133163,0.0,0.2671387549137138,0.5777492786149406,-0.0005854637709442694,-4.8505698529411765,0.2714464621164684,0.923076923076923,0.9814121938704808,-0.1176221442145127,-2.0728883573547225,0.03255260023818976,0.9306930693069307,2.0,0.9903998298749653,-0.1677592541233107,-113.56634220427323,Software—Application,Technology,DBD
2021Q2,2021,Q2,2021-07-29,2021-06-30,-30300000.0,943500000.0,12900000.0,-0.39,251900000.0,0.26698463169051406,3535100000.0,-851300000.0,1816400000.0,1591400000.0,4377700000.0,587500000.0,-780700000.0,1005372000.0,3132672000.0,-10.872286079182631,1.1413849440744,0.6652145625300557,-2.76236344414425,0.0037133059647428157,-10.872286079182631,0.03559262304710443,1.065577106518283,-8.295148514851485,-1.1809843768354282,0.0,1.1771914893617021,0.0,0.2668948544595627,0.5473168279502325,-0.008571186105060677,-11.489965714285715,0.26698463169051406,-2.9000000000000004,-0.19576546639792258,0.3545646716871451,-2.2257877440129823,-0.07796486090775988,-2.740740740740741,-0.643646408839779,0.7876537062395397,-0.17168465935869492,-4.6400605375237,Software—Application,Technology,DBD
2021Q1,2021,Q1,2021-05-10,2021-04-16,-8100000.0,943900000.0,36200000.0,-0.1,273200000.0,0.28943744040682273,3507000000.0,-837000000.0,1887000000.0,1749000000.0,4344000000.0,544000000.0,0.0,1088100000.0,2992100000.0,-10.73076923076923,1.0789022298456261,0.6535500427715997,-2.738351254480287,0.02157513835674755,-10.73076923076923,0.00967741935483871,1.1527704205954021,-33.58333333333333,-1.3,0.0,1.2329044117647059,0.0,0.26914741944682063,0.6009719839908519,-0.002309666381522669,-14.783967391304348,0.28943744040682273,0.8484848484848485,-1.0401925363578157,0.5459055367709215,-2.1728896523221573,-0.011934900542495479,0.841796875,5.350877192982456,0.8889768905283715,-0.13805940660855148,-2.905346234931618,Software—Application,Technology,DBD
2020Q4,2020,Q4,2021-03-01,2020-12-31,-51200000.0,1105900000.0,5700000.0,-0.66,276500000.0,0.25002260602224435,3657400000.0,-827100000.0,1857300000.0,1649500000.0,4469900000.0,498200000.0,-742300000.0,828282000.0,2998982000.0,-10.644787644787645,1.1259775689602909,0.6822332804724668,-3.0168057066860112,0.002460025742982335,-10.644787644787645,0.061903034699552655,0.7489664526629894,-4.044345703125,-1.0014290895901343,0.0,1.6647932557205942,0.0,0.3023732706294089,0.6114580175810852,-0.013999015694209001,4.249779374037968,0.25002260602224435,0.4961832061068702,-2.313846712619719,1.6470431191461232,-2.6777672088050357,-0.026751143963393172,0.49506903353057197,-0.7605042016806722,0.5406249145861334,-0.14026120802662934,-2.709960568471207,Software—Application,Technology,DBD
2020Q3,2020,Q3,2020-10-28,2020-09-30,-101400000.0,995200000.0,23800000.0,-1.31,284100000.0,0.2854702572347267,3627800000.0,-806600000.0,1841000000.0,1449600000.0,4419600000.0,542600000.0,-690200000.0,593628000.0,2766128000.0,-10.380952380952381,1.2700055187637969,0.674292959920613,-3.032729977684106,0.007616243961352657,-10.380952380952381,0.1257128688321349,0.5964911575562701,-1.4635798816568046,-0.7359633027522935,0.0,1.3105418356063399,0.0,0.2743260378190639,0.6543874172185431,-0.027950824190969732,-14.06701421800948,0.2854702572347267,-3.3666666666666667,-4.9090440012099,0.22269847633337123,-2.681021187747645,0.1474151857835218,-3.278481012658228,0.16097560975609757,-1.7833038849988003,-0.1386640429127291,-2.3697341921738984,Software—Application,Technology,DBD
2020Q2,2020,Q2,2020-07-31,2020-06-30,-23700000.0,890500000.0,20500000.0,-0.3,247600000.0,0.2780460415496912,3721100000.0,-703000000.0,1895400000.0,1527900000.0,4409500000.0,513400000.0,-588800000.0,470255999.99999994,2488356000.0,-9.059278350515465,1.2405262124484586,0.6623041573728199,-3.5056899004267423,0.00760838392334258,-9.059278350515465,0.033712660028449505,0.5280808534531162,-4.960506329113923,-0.668927453769559,0.0,1.2522399688352162,0.0,0.23931095643761252,0.6834216899011716,-0.00636908441052377,-4.9974070138150894,0.2780460415496912,0.75,-1.892849679576484,0.015490801211136392,-2.262773120593758,0.09171075837742504,0.7446120689655172,1.7884615384615385,0.24644986860723667,-0.2359102059037188,-2.1648084391415487,Software—Application,Technology,DBD
2020Q1,2020,Q1,2020-05-05,2020-03-31,-92800000.0,910700000.0,-26000000.0,-1.2,226800000.0,0.2490392006149116,3838800000.0,-727900000.0,2045400000.0,1645700000.0,4528800000.0,475500000.0,-565100000.0,271744000.0,2216444000.0,-9.428756476683938,1.2428753721820502,0.639991664061686,-3.3751888995741175,-0.014288878234797502,-9.428756476683938,0.12749003984063745,0.2983902492588119,-0.7320689655172413,-0.3733260063195494,0.0,1.4382754994742377,0.0,0.23723559445660103,0.6806222276235037,-0.02417422111076378,-3.185744431418523,0.2490392006149116,0.25000000000000006,-26.776461880088824,0.16436628290708746,-2.3571536018719708,-0.16124260355029585,0.24306688417618272,0.20245398773006135,-0.5393888125198267,-0.19451722981163347,-2.3318052198354917,Software—Application,Technology,DBD
