Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-22,2023-03-31,-10561878.0,5095234.0,-3584090.0,-0.0186,2438582.0,0.4786005903,33129832.0,-7863021.0,8902366.0,40140987.0,40992853.0,4926094.0,-109883665.0,748487784.0,760269881.0,-0.013866876576839363,0.22177745654335804,0.41507445615782174,-1.7488630642090361,-0.9688782739511033,-0.013866876576839363,1.3432341081118822,146.89958969499733,-17.716730490543444,-95.19086671649484,0.0,0.5393019296830308,0.0,0.15379595042920832,0.08001786303859444,-0.31880264288693044,-442.2327558906246,0.47860059027710994,0.9994367050272562,0.9999351087302265,-0.9999768372088965,0.0,2.7963564921195365,0.5852769496135123,-0.003583015008005502,0.9999351087302265,-0.9999768372088965,0.0,Apparel Retail,Consumer Cyclical,DBGI
2022Q4,2022,Q4,2023-04-17,2022-12-31,-25467304.0,3375245.0,-3571294.0,-33.02,642348.0,0.1903115181,33738056.0,-7453174.0,8829394.0,40893792.0,41191230.0,5225282.0,-103747316.0,3254873.34,16188917.34,-9.663169959172667,0.21591037583406303,0.42140323674843627,-1.9075532115579215,-0.8392867936556837,-9.663169959172667,3.4169742984666667,0.9643369118389924,-0.031951491017659345,-0.4367096944201222,0.0,0.5230142602829857,0.0,0.10004266398751606,0.06437522350580743,-0.7548539251935559,-1.7252515307896499,0.19031151812683228,-1.688925081433225,0.9169061320338622,-0.9619522511401178,0.9890429046367909,-0.6114855710608319,-2.9214898373079254,-0.08396731550625544,0.9169061320338622,-0.9619522511401178,0.9890429046367909,Apparel Retail,Consumer Cyclical,DBGI
2022Q3,2022,Q3,2022-11-14,2022-09-30,-6494293.0,3424522.0,-3294651.0,-12.28,1653344.0,0.4827955551,35005350.0,-12524298.0,4808321.0,45539941.0,47529648.0,2655352.0,-87965292.0,4970325.2,18408459.2,-23.686257229205044,0.10558469981329137,0.3894699810171874,-1.0885666406212946,-3.4650235731494523,-23.686257229205044,0.5185354899731706,1.4513923987055712,-0.1913343454014163,-0.396854594165677,0.0,0.6670219240236323,0.0,0.09782853192440584,0.022623722766790585,-0.18552287007557416,-2.389184288752245,0.4827955551168893,0.5587495508444125,0.9791650426601742,-0.9651680241792117,0.0,-0.23846898247369167,0.34851735700581093,0.3058586468940784,0.9791650426601742,-0.9651680241792117,0.0,Apparel Retail,Consumer Cyclical,DBGI
2022Q2,2022,Q2,2022-08-15,2022-06-30,-9968482.0,3739001.0,-4746369.0,-27.83,2171079.0,0.5806575072,36422979.0,-14880218.0,5620063.0,43973290.0,51303197.0,2883613.0,-83070820.0,6981746.779999999,24161250.78,-41.539095867925475,0.12780628877211597,0.49370558075439136,-1.2084653598488946,-1.5021711677311338,-41.539095867925475,0.6699150509757317,1.8672759862861763,-0.17509553560913285,-0.4691965386528611,0.0,0.5437352377035337,0.0,0.10265500249169625,0.03772098926416468,-0.2736866196474484,-1.169719089697018,0.5806575071790566,0.6347289670560441,0.9184902103757075,-0.8955945907481059,0.0,0.47341735555979336,0.011495470184811065,-0.08335996253043718,0.9184902103757075,-0.8955945907481059,0.0,Apparel Retail,Consumer Cyclical,DBGI
2022Q1,2022,Q1,2022-05-16,2022-03-31,-10084407.0,3432410.0,-4381156.0,-76.19,1473499.0,0.4292899158,36033584.0,-13582048.0,4620877.0,40849619.0,49615632.0,2492605.0,-73536896.0,25146500.0,44532006.0,-102.622198715527,0.11311921905562938,0.5536923276907454,-1.4689624863643538,-0.8520692249905819,-102.622198715527,0.7424805890834726,7.326193549138943,-0.6234005628689917,-1.8514512686157494,0.0,0.7858890598390038,0.0,0.0952558590896759,0.03141422200290289,-0.27986133713482403,-39.24651804498605,0.42928991583173337,0.40355409425395333,0.7345502438367745,-0.9331482539197857,0.0,-0.5050316497791704,0.38392986907449705,0.648127560742618,0.7345502438367745,-0.9331482539197857,0.0,Apparel Retail,Consumer Cyclical,DBGI
2021Q4,2021,Q4,2022-03-31,2021-12-31,-16368927.0,5508908.0,-12450978.0,-127.74,2976956.0,0.5403894928,36485224.0,-7089781.0,4776334.0,35047266.0,43575005.0,2755358.0,-65703954.0,29473580.0,34946941.0,-55.325808062678504,0.13628264184715577,0.16449823632712246,-0.8465360213524226,13.221372164832873,-55.325808062678504,2.308805730388569,5.350167401597558,-0.450145266088608,-4.157191879410662,0.0,0.9189194289816424,0.0,0.15099011040743507,0.017627280826983765,-0.4486453749057427,-4.643377712351618,0.540389492799662,-0.6807894736842105,0.6785430626620308,-0.6262288549493085,0.9372659119573975,1.4620379888896515,-0.8313762503150857,-0.5735308167917051,0.6785430626620308,-0.6262288549493085,0.9372659119573975,Apparel Retail,Consumer Cyclical,DBGI
2021Q3,2021,Q3,2021-11-12,2021-09-30,-8938047.0,2163280.0,-7912764.0,-76.0,1209143.0,0.5589396656928368,40664284.0,1462801.0,5474460.0,23669092.0,39201483.0,2327542.0,-56005477.0,35830960.0,51744275.0,12.410817460654139,0.23129150877439658,0.3975931802955144,11.052659931186811,-0.4488074541580815,12.410817460654139,-6.110227570257335,16.56325579675308,-1.002203277740652,24.4947603946128,0.0,0.4099333116223037,0.0,0.053198526746468716,0.06342292302552206,-0.21980091915549282,-7.337318819360173,0.5589396656928368,0.613870693876269,0.871360168753244,-0.9012895855215851,0.0,2.064341016511018,0.16447313194169327,0.2701696922215736,0.871360168753244,-0.9012895855215851,0.0,Apparel Retail,Consumer Cyclical,DBGI
2021Q2,2021,Q2,2021-08-16,2021-06-30,-10697498.0,1003529.0,-10841923.0,-196.8252572252224,394585.0,0.39319740635298034,34016332.0,4873493.0,6443756.0,21599735.0,29142839.0,1165152.0,-47067430.0,31523000.0,40822962.0,89.66868445262189,0.29832569705137585,0.3932194394151609,2.7446193110362525,-0.5386990174640915,89.66868445262189,-2.1950371119851817,31.412146534878413,-0.736690953342548,6.468255930602548,0.0,0.5226305237428249,0.0,0.02950138774515724,0.20494330138772535,-0.31448123213284723,-6.350788011046741,0.39319740635298034,0.5676995682264854,0.4234782940624956,-0.8153071632143998,0.0,2.9012754352235985,-2.5376084472715186,-3.6146583906977496,0.4234782940624956,-0.8153071632143998,0.0,Apparel Retail,Consumer Cyclical,DBGI
2021Q1,2021,Q1,2021-06-28,2021-03-31,-3023935.0,408405.0,-2349453.0,-455.2973875546361,-207537.0,-0.5081646894626657,16151291.0,-8844604.0,1713703.0,15418816.0,24995895.0,589783.0,-36369932.0,2258280.0,17719309.0,-1331.6175850647396,0.11114361829079483,1.0012965527028148,-1.8284857072176437,-0.3206294042219392,-1331.6175850647396,0.3418960306193471,5.529511147023175,-0.18670044164309088,-0.2553285596506073,0.0,1.044353601239778,0.0,0.025286213962710472,0.05869886507498371,-0.18722559082119195,-1.3748396574407167,-0.5081646894626657,-0.1457272158445851,-0.5860960794156073,-0.8414998340891494,0.0,-4.615026649711859,-0.1457272057333058,-0.030547269049934402,-0.5860960794156073,-0.8414998340891494,0.0,Apparel Retail,Consumer Cyclical,DBGI
2020Q4,2020,Q4,2020-12-31,2020-12-31,-2639315.0,763930.0,-2279811.0,-397.38725,-36961.0,-0.048382705221682615,16352169.0,-5857645.0,2008656.0,20278690.0,22209814.0,1163279.0,-33345997.0,2258280.0,15791335.0,-881.9098163203854,0.09905255221121285,0.8628238247782297,-2.408654160503069,-0.2762923000497596,-881.9098163203854,0.45057612743687947,2.956134724385742,-0.21390777531291263,-0.3855269481165212,0.0,0.6884771409094465,0.0,0.04671734985126438,0.04051302130463062,-0.16140458186311554,-3.4933452135657403,-0.048382705221682615,0.32588868453213854,0.0,0.0,0.0,0.9253168291224156,0.3258206687551215,0.328730535988326,0.0,0.0,0.0,Apparel Retail,Consumer Cyclical,DBGI
2020Q3,2020,Q3,2020-09-30,2020-09-30,-3914856.0,1234805.0,-3396268.0,-589.497967,-494904.0,-0.400795267268921,,,,,,,,2257940.0,,,0.0,0.0,0.0,0.0,,0.0,1.8285802211685245,-0.14419048874339183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0415619333963755,-0.400795267268921,-0.7266079301061389,0.0,0.0,0.0,-0.8442825467215711,-0.7264337534403159,-0.7928417625263349,0.0,0.0,0.0,Apparel Retail,Consumer Cyclical,DBGI
2020Q2,2020,Q2,2020-06-30,2020-06-30,-2267597.0,664017.0,-1894349.0,-341.4197031770624,-268345.0,-0.4041236896043324,,,,,,,,2258280.0,,,0.0,0.0,0.0,0.0,,0.0,3.4009370242026935,-0.24897281130641818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7132101866469625,-0.4041236896043324,-0.18938625049632127,0.0,0.0,0.0,-1.1982026631370892,-0.18938625049632132,-0.2008840783486385,0.0,0.0,0.0,Apparel Retail,Consumer Cyclical,DBGI
2020Q1,2020,Q1,2020-03-31,2020-03-31,-1906527.0,2576685.0,-1577462.0,-287.05536408764664,1353892.0,0.5254394697062311,,,,,,,,2258280.0,,,0.0,0.0,0.0,0.0,,0.0,0.8764284342090709,-0.29612483851526883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.68777582587086,0.5254394697062311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Apparel Retail,Consumer Cyclical,DBGI
