Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-03-31,-4533346.0,40505558.0,-3235151.0,-0.46,36939222.0,0.9119544039,75376832.0,34091092.0,23863826.0,25287651.0,41285740.0,1127960.0,-109214479.0,33489916.01,3.4790304051802727,0.9436948493159764,0.28952632288924,0.6401548240226509,-0.052602621820484,3.4790304051802727,-0.1329774358650641,0.43787146470121463,-3.9123923058156165,0.5202598969255664,0.0,3.1617575091315295,0.0,0.5373741098591143,0.8783755359483568,-0.06014243209372344,-4.326516038224874,0.9119544038869924,0.4588235294117647,-1.1283250878030093,-0.6463748613321759,0.09780950358931176,0.1598676705667803,0.29849374131791717,-0.8737531580099643,-0.28107761479680016,-0.45364311839422616,0.186600393495247,Entertainment,Communication Services,2.08,27215968,48844,DLPN
2021,2021-12-31,2022-05-26,-6462303.0,35727199.0,-1726562.0,-0.85,31847790.0,0.891415809,52745301.0,22934890.0,18241209.0,14983328.0,29810411.0,541883.0,-104434344.0,70104785.47999999,3.0118937213369694,1.2174337370175705,0.2448683343374986,0.5631443621486739,-0.040781023647925865,3.0118937213369694,-0.2817673422458098,1.8159238982042785,-10.039435551072117,2.828785072873687,0.0,7.159126601129764,0.0,0.6773532110471794,1.1543107112118216,-0.1225190278087521,-49.197723605595435,0.8914158090031071,-1.8333333333333335,0.9799685288629105,-0.5616497560921886,1.0829645530430074,0.48282566193670656,-2.3324719780197114,0.32464312787940475,0.19755928253149482,-0.4268865306813129,-0.23010443119580165,Entertainment,Communication Services,2.08,27215968,48844,DLPN
2020,2020-12-31,2021-04-15,-1939192.0,24054480.0,-2556518.0,-0.3,21477771.0,0.8928802867,49351951.0,19668797.0,13896367.0,16852510.0,29683154.0,714096.0,-97972041.0,28294383.599999998,3.4998052480360657,0.8245873760051173,0.34668880668972946,0.8698940255471649,-0.053615303886107184,3.4998052480360657,-0.09859230333202382,0.7943590798886526,-9.853534152368615,0.9714826280427826,0.0,3.6083509780197622,0.0,0.4874068707030447,0.7684541353187151,-0.03929311730756095,-12.065586053651362,0.8928802867490796,-0.07142857142857129,0.9652643015330072,-0.4156706121459729,1.0903862604430472,0.07615040291685064,-0.6249617681587629,0.37419314567011536,-1.0957110944115613,-0.6338380158521286,0.10436501396619859,Entertainment,Communication Services,2.08,27215968,48844,DLPN
2019,2019-12-31,2020-03-30,-1193377.0,25001867.0,-4085155.0,-0.28,19957964.0,0.798258946,42571726.0,9688815.0,6864365.0,22490861.0,32882911.0,714089.0,-96024243.0,29208384.5,2.9319309383780414,0.3052068571318813,0.46600379791977425,2.047576096767252,-0.08061772594223615,2.9319309383780414,-0.12317058381236508,0.46260735248291657,-9.69186392900148,1.1937525383651149,0.0,7.063409462966101,0.0,0.5872880747188873,0.2568778491850534,-0.02803214978880584,-3.8442009838136073,0.798258946021911,0.7565217391304347,0.9212739022103278,0.49643208237948006,1.1018496652065846,-0.02043778431245804,0.5903722933380839,0.015287651645371414,0.9914760030992017,-0.2931377068448245,1.0807619266683566,Entertainment,Communication Services,2.08,27215968,48844,DLPN
2018,2018-12-31,2019-04-15,-2913321.0,22551339.0,-4148577.0,-1.15,20374371.0,0.9034661312128739,37989594.0,10776527.0,10068717.0,21936919.0,27213067.0,0.0,-94529174.0,13377490.15,3.912080863142312,0.4589850106115631,0.21885593196915976,0.7715146076282275,-0.15811639970711266,3.912080863142312,-0.270339507338496,0.4702831237648461,-3.6403520758611907,0.9841309867269854,0.0,0.0,0.0,0.5936188473085551,0.3972927556508733,-0.07668734232853344,-14.846009549699875,0.9034661312128739,-0.1499999999999999,0.8240847137492809,0.46131278229703776,1.1616581786846543,0.14628041759539345,-1.421455462577779,-2.7546197663915954,0.8935350912033128,0.11762732478556659,1.1010337246532977,Entertainment,Communication Services,2.08,27215968,48844,DLPN
2017,2017-12-31,2018-04-09,6912524.0,22413044.0,-1104926.0,-1.0,17774334.0,0.7930352521504888,33597143.0,6076357.0,9419609.0,20125584.0,27520786.0,0.0,-92899680.0,37437367.0,3.169065665587252,0.4680415236646052,0.24469622312825826,1.3529642843565644,-0.07366987029237293,3.169065665587252,1.1376099198911453,1.5398687478595054,4.992842845825924,5.679907549869108,0.0,0.0,0.0,0.6671116052933429,0.44706732485377815,0.20574737560274098,4.243849714768222,0.7930352521504888,0.979296066252588,1.4359682025659521,0.23871538302170422,1.1742414681539515,15.044018090795312,1.185872107151019,-1.0624172139789578,1.7859277036573962,1.31201313668959,1.1100872714404046,Entertainment,Communication Services,2.08,27215968,48844,DLPN
2016,2016-12-31,2017-04-17,-37189679.0,9395625.0,17702264.0,-48.3,-1265616.0,-0.1347026940730393,14197241.0,-31867797.0,8246973.0,39671102.0,46065038.0,0.0,-99812204.0,71733989.0,-36.303380309608244,0.20788363781777477,1.3895231474904173,-0.6190385548144417,-1.458128322274666,-36.303380309608244,1.1669987417078125,5.605709040111754,-1.4162300244645833,-1.6527386565189932,0.0,0.0,0.0,0.6617923158450293,0.10917750658905316,-2.619500436739786,-3.529525056351359,-0.1347026940730393,-3.8299999999999996,-10.03835051351227,6.2654744183478295,-1.6795654278601597,-2.7859938981194805,-8.143217107674788,4.521733665010879,-6.046990585296326,0.9105682044473353,-0.5001577283946138,Entertainment,Communication Services,2.08,27215968,48844,DLPN
2015,2015-12-31,2016-03-31,-4067461.0,2999279.0,3205925.0,-10.0,708634.0,0.2362681164373171,2928777.0,-15854553.0,2829634.0,8059255.0,15805522.0,0.0,-42628155.0,24710203.0,-38.72054481379179,0.3511036690115898,3.616276350162542,-0.6680268437716282,-0.609110924240104,-38.72054481379179,0.25654845015182703,5.460792410442643,-4.026698719422264,-1.0330433156961285,0.0,0.0,0.0,1.0240721639100554,0.349860626075239,-1.388791635552997,-9.18348877971321,0.2362681164373171,-1.5,0.44886313099692593,0.0,-2.736984132951993,-0.6291146229957789,-1.1655531330942817,1.5587525191052936,-0.2012711889435328,-0.2237760210769592,-1.1289317698078485,Entertainment,Communication Services,2.08,27215968,48844,DLPN
2014,2014-12-31,2015-04-15,-1878255.0,2070194.0,1252925.0,-4.0,1910655.0,0.9229352418179165,1493240.0,-11787092.0,680733.0,10285083.0,10285083.0,0.0,-38560694.0,9823985.0,-28.786849052779143,0.0661864371925827,4.518206718277035,-0.5723860473813219,-0.24858020068150366,-28.786849052779143,0.15934846355657528,1.5823096772573004,-1.7440060055743232,-0.27790467742170843,0.0,0.0,0.0,1.3863772735795987,0.06595902045710278,-1.2578386595590796,-2.292191252456153,0.9229352418179165,0.3333333333333333,0.7485956344650256,0.0,-3.058503806092447,0.18611749836111166,0.23699347998293827,-0.3564588840955703,-0.19516739948778916,2.43195656434159,-1.1247675792449745,Entertainment,Communication Services,2.08,27215968,48844,DLPN
2013,2013-12-31,2013-12-31,-2461650.0,2293880.0,1946923.0,-6.0,1610848.0,0.7022372573979458,1619867.0,-9908837.0,795049.0,8528704.0,8528704.0,0.0,-36682439.0,5641891.0,-24.199708885583732,0.09322037674188247,0.8858751983959177,-0.14482022461364538,-0.22975695661835366,-24.199708885583732,0.24842976022312205,2.142017891084102,-1.996031929803181,-0.49587373371869975,0.0,0.0,0.0,1.4160915680114479,0.08285444072159147,-1.5196617993946417,-2.755714136690607,0.7022372573979458,0.25,0.682036606261643,0.08794729438515814,-5.603246452314792,2.597329105160901,0.27298400101123343,-0.42585664132019857,0.6664489042227038,0.0,-1.3355541241060298,Entertainment,Communication Services,2.08,27215968,48844,DLPN
