Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2023,2023-03-31,2023-05-25,61530000.0,578844000.0,68143000.0,1.11,390396000.0,0.674440782,595601000.0,411017000.0,303325000.0,107976000.0,184584000.0,81323000.0,-421999000.0,4278179685.8499994,7.832653270537744,2.8091890790546046,0.1303842673199004,0.18893865703851664,0.130907615001887,7.832653270537744,0.14970183715028818,7.465397733845387,70.23079287908337,10.513678718520158,0.0,2.317278014829753,0.0,0.9718653931071305,1.747666148032896,0.10330741553489668,43.14397649610623,0.6744407819723449,1.7073170731707323,2.536856451232581,0.9315476188473275,0.5994075716324934,0.5508397819903708,1.8263665594855305,1.2889821968424588,2.1798195878834137,0.8914028708171535,0.5686204634809636,Household & Personal Products,Consumer Defensive,113.055,6089944991,1049591,ELF
2022,2022-03-31,2022-05-26,21770000.0,392155000.0,29770000.0,0.41,251732000.0,0.6419196491,494632000.0,312429000.0,193029000.0,65017000.0,182203000.0,84498000.0,-483529000.0,1385058070.6399999,6.1331771572999,2.9689004414230125,0.22766420288214267,0.36043389057993974,0.057816126162131394,6.1331771572999,0.06967983125766174,3.355308667848172,60.44102299678456,4.211520283456401,0.0,1.6618499846150205,0.0,0.7928217341377024,1.3676423089345864,0.04401251839751573,89.54073294589996,0.6419196491183333,2.4166666666666665,-0.42093110317646326,0.2937983021189121,0.43498976956347496,0.22082658415697534,2.493260590500642,2.1670212765957446,0.1589349178468795,0.3199738222438966,0.22827180813458023,Household & Personal Products,Consumer Defensive,113.055,6089944991,1049591,ELF
2021,2021-03-31,2021-05-27,6232000.0,318110000.0,9400000.0,0.12,206198000.0,0.6481971645,487393000.0,269646000.0,170144000.0,73331000.0,217747000.0,56810000.0,-505299000.0,1413647910.3,5.460918262014958,2.320219279704354,0.3008250015900926,0.5437499536429244,0.03638261843830768,5.460918262014958,0.023111783597754093,4.164584295683883,212.57957482349164,4.913093130623113,0.0,1.9699348706213695,0.0,0.6526765874766359,1.3357652288936466,0.012786396193626088,57.597317955741055,0.6481971645028449,-0.6571428571428571,-0.7005289468561798,-0.6462185285593448,-0.5112718516227147,0.13844183234597485,-0.6515320957280251,-0.6861435726210351,-0.6193020482576997,0.12809008464765897,0.1151054074085471,Household & Personal Products,Consumer Defensive,113.055,6089944991,1049591,ELF
2020,2020-03-31,2020-05-28,17884000.0,282851000.0,29950000.0,0.35,181123000.0,0.6403477449,453104000.0,242171000.0,132360000.0,51123000.0,210933000.0,46209000.0,-511531000.0,580956319.9200001,4.993338702949287,2.589049938383898,0.3308180903280483,0.6189634597040934,0.055178492953539784,4.993338702949287,0.07384864413988462,1.6872074693743349,26.684652198613286,1.9706253842119823,0.0,2.2014759029626263,0.0,0.6242518273950352,1.4844199284079573,0.03946996715985734,13.677691092831964,0.6403477449257736,0.0937499999999999,2.4955538876616536,0.2584187743060842,0.5064929530133148,0.11295248277938565,0.15194847020933977,0.1447901536579772,-0.5003439037807605,-0.01983033275651427,0.16829985029359631,Household & Personal Products,Consumer Defensive,113.055,6089944991,1049591,ELF
2019,2018-12-31,2019-02-28,15525000.0,267435000.0,26162000.0,0.32,162741000.0,0.6085254360872735,435856000.0,229331000.0,141743000.0,43015000.0,206525000.0,46341000.0,-511501000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Household & Personal Products,Consumer Defensive,113.055,6089944991,1049591,ELF
2018,2017-12-31,2018-03-01,33475000.0,269888000.0,33279000.0,0.68,164725000.0,0.610345773061418,417244000.0,193863000.0,123644000.0,51361000.0,223381000.0,62679000.0,-526972000.0,504716390.68,4.897221577201277,3.29519934906428,0.34503138651297677,0.6557508579302406,0.059571042435136785,4.897221577201277,0.06769690970693015,1.5163960987903602,26.12157105829308,1.7683496373364262,0.0,2.2592089078785524,0.0,0.6135856796740208,2.0441473904451937,0.03561956242428692,8.682025062727467,0.6085254360872735,-0.5294117647058824,0.0,0.0,0.0,-0.012044316284716952,-0.5362210604929052,-0.21385858950088643,2.1426864153943623,0.23226414880370805,0.47749436485069996,Household & Personal Products,Consumer Defensive,113.055,6089944991,1049591,ELF
2017,2016-12-31,2017-03-15,5313000.0,229567000.0,23079000.0,0.42,132235000.0,0.57601920136605,414729000.0,140862000.0,124904000.0,80270000.0,273867000.0,69397000.0,-560447000.0,1158236064.12,4.274021520840262,2.407351881778003,0.37471599351937956,0.8064870552916235,0.1415719865486066,4.274021520840262,0.17267348591531131,3.749507440567939,30.229934701120236,5.219908203834666,0.0,1.6778027728585332,0.0,0.6468349454995159,0.9108662214520745,0.08022883492632608,209.3394836822507,0.610345773061418,0.6190476190476192,0.0,0.0,0.0,0.24569894505993117,5.300583474496518,0.4419602235798778,0.0,0.0,0.0,Household & Personal Products,Consumer Defensive,113.055,6089944991,1049591,ELF
2016,2015-12-31,2015-12-31,4357000.0,191413000.0,25571000.0,0.1,100329000.0,0.524149352447326,361072000.0,136897000.0,70718000.0,45854000.0,224175000.0,31261000.0,-67183000.0,514364949.26,11.17373386441264,1.556048336863087,0.39743302252796403,1.1701310502477602,0.040880806245134946,11.17373386441264,0.0377177663244878,1.5892220975140154,68.66797463956334,2.5900026214309038,12.79879540749106,1.4025390146548122,0.18638667405980228,0.553534958973209,0.7465927494705369,0.012810775229125526,-51.363219662114595,0.57601920136605,3.1999999999999993,0.0,0.0,0.0,0.318013734812467,0.21941703006655955,-0.09745414727621134,0.0,0.0,0.0,Household & Personal Products,Consumer Defensive,113.055,6089944991,1049591,ELF
2015,,,,,,,,,354178000.0,131522000.0,63439000.0,35553000.0,222656000.0,29114000.0,-19573000.0,1225415297.0,3.3145450119507824,1.5422427705325599,0.4013576239641955,1.0585988005580838,0.04555646109685097,3.3145450119507824,0.03182684792216046,5.718003986145142,251.20502570576085,7.995064150419659,0.0,2.9136623908384247,0.0,0.5301241857579652,1.1303048807083351,0.012066845393716488,76.6617844785319,0.524149352447326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Household & Personal Products,Consumer Defensive,113.055,6089944991,1049591,ELF
TTM,,,,,,,,,,,,,,,,6046823991.0,7.727416304967412,2.8091890790546046,0.1303842673199004,0.18893865703851664,0.130907615001887,7.727416304967412,0.16554451716182494,10.520874347838104,97.73009801048269,14.630375217046984,0.0,2.317278014829753,0.0,0.9718653931071305,1.747666148032896,0.10330741553489668,60.8021664436901,0.6744407819723449,,,,,,,,,,,Household & Personal Products,Consumer Defensive,113.055,6089944991,1049591,ELF
