Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2022-12-31,-228000.0,0.0,-2796000.0,-0.0074,0.0,0.0,45811000.0,23486000.0,42634000.0,11678000.0,22325000.0,1268000.0,-228000.0,-15632920.175323926,0.7572207849915655,3.6507963692413083,0.2961515793150117,0.5776632887677765,0.05371104380510857,0.7572207849915655,-0.009707911095972068,0.0,-42.05736765208804,0.40828918609708226,0.0,0.0,0.0,0.0,3.542130501798253,-0.004976970596581607,-0.30107946323828294,0.0,0.9967400881057268,0.9960674151118383,0.0,-0.9251312286031721,0.0,0.9957618454560663,0.9505264089179863,0.9978956032672834,0.0,-0.841247860148977,Biotechnology,Healthcare,0.78,47383908,148586,ERYP
2021,2021-12-31,2021-12-31,-53797000.0,0.0,-56515000.0,-2.27,0.0,0.0,66768000.0,22845000.0,40048000.0,20005000.0,43923000.0,0.0,-53797000.0,40839032.89785,0.9642309364537414,2.0018995251187204,0.3800473280613468,1.1107463339899322,-0.9711008973459996,0.9642309364537414,-2.354869774567739,0.0,-0.9138619792525606,2.152025953068505,0.0,0.0,0.0,0.0,1.9202699325168708,-0.8057302899592619,-0.8614816166301605,0.0,0.431077694235589,0.17273019657052546,0.0,-0.7839925191657382,1.0,0.26607094133697134,0.17894293351929336,-0.0655486382409027,0.0,-0.8812121034439455,Biotechnology,Healthcare,0.78,47383908,148586,ERYP
2020,2020-12-31,2020-12-31,-73300000.0,0.0,-68832000.0,-3.99,-57580000.0,0.0,80402000.0,26539000.0,49632000.0,29347000.0,53863000.0,0.0,-73300000.0,122451226.30481702,1.4433891401378625,1.6912120489317477,0.34138454267306784,1.0342514789554995,-1.0624132557047268,1.4433891401378625,-2.7619729454764688,0.0,-1.9024451064777217,5.254501914345567,0.0,0.0,0.0,0.0,1.6624527208914028,-0.911668863958608,-2.63803610042975,0.0,-0.14326647564469913,-0.8475584923783478,0.0,-0.786926032749793,-0.10321307455022705,-0.16982396782585105,-0.07425788931547898,-1.1327141123537379,0.0,-0.8572876316768704,Biotechnology,Healthcare,0.78,47383908,148586,ERYP
2019,2019-12-31,2019-12-31,-62659000.0,0.0,-64074000.0,-3.49,-52193000.0,0.0,118546000.0,85559000.0,81583000.0,19881000.0,32987000.0,358000.0,-62659000.0,59048322.30835,4.769830414268181,4.103566219003068,0.11914362357228418,0.1650790682453044,-0.5701152940203366,4.769830414268181,-0.7323484379200318,0.0,-1.8847623215874814,1.3803027420651246,0.0,145.7905027932961,0.0,0.0,3.974146169709773,-0.5285627520118772,-1.8614712782868086,0.0,-0.6384976525821598,-1.316209583339136,0.0,-0.21779996393062484,-0.5594896617664635,-0.6392580577647551,-0.46887966804979253,-0.27268203445179456,0.0,0.06853971682554721,Biotechnology,Healthcare,0.78,47383908,148586,ERYP
2018,2018-12-31,2018-12-31,-38224000.0,0.0,-43621000.0,-2.13,-33468000.0,0.0,167840000.0,145603000.0,149907000.0,20648000.0,22237000.0,1396000.0,-38224000.0,-26215598.941786066,8.117249016180143,7.260122045718714,0.012035271687321259,0.013873340521829907,-0.2954265993109699,8.117249016180143,-0.26252206341902296,0.0,-2.7766691360981044,0.7289369110403902,0.0,23.974212034383953,0.0,0.0,6.976511042231693,-0.22774070543374642,-1.9840246949848386,0.0,-0.1394871344947899,-0.22606826714556494,-1.0,1.7997106330723225,-0.3143777245414916,-0.13999403519236506,-0.4121855676778141,0.012425149961737686,0.0,0.19827314958885334,Biotechnology,Healthcare,0.78,47383908,148586,ERYP
2017,2017-12-31,2017-12-31,-33530000.0,0.0,-30889000.0,-1.869262,-25463000.0,0.0,195261000.0,181420000.0,191568000.0,11606000.0,13841000.0,176000.0,-33530000.0,145991009.27316976,10.113973701772911,16.50594520075823,0.014570241881379281,0.015681843236688347,-0.16751130279422066,10.113973701772911,-0.18481975526402822,0.0,-9.802296727502828,1.811658082202457,0.0,144.67045454545453,0.0,0.0,16.376357056694815,-0.17171887883397094,-12.453905091628576,0.0,0.31778759124087597,-3.767705195766224,0.0,14.91384506125895,0.0,-0.5301419248847716,-0.37958910227780257,-0.2394453058442013,0.0,0.6585811039877953,Biotechnology,Healthcare,0.78,47383908,148586,ERYP
2016,2016-12-31,2016-12-31,-21913000.0,0.0,-22390000.0,-2.74,0.0,0.0,44967000.0,35638000.0,42533000.0,6347000.0,9329000.0,145000.0,-21913000.0,149423697.75488,4.463877513545823,6.701276193477233,0.06373562834967865,0.08041977664290925,-0.5786974995014524,4.463877513545823,-0.614877378079578,0.0,-8.406137806547711,5.168743974265672,0.0,135.99310344827586,0.0,0.0,6.624862139593509,-0.48731291836235463,-9.512197147166539,0.0,-0.26851851851851855,-6.000675819431708,0.0,7.1409789986923755,0.0,-0.4596016785452608,-0.43682217801450296,-0.5792131745066346,-1.0,0.5396306451231491,Biotechnology,Healthcare,0.78,47383908,148586,ERYP
2015,2015-12-31,2015-12-31,-15013000.0,0.0,-15583000.0,-2.16,0.0,0.0,53005000.0,47132000.0,51929000.0,5621000.0,5872000.0,166000.0,-15013000.0,111296765.67867202,6.774122426898492,9.23839174524106,0.013357230449957552,0.015021641347704319,-0.32468920308500987,6.774122426898492,-0.31853093439701263,0.0,-10.405832656942119,3.3145795993947216,0.0,64.91566265060241,0.0,0.0,9.169898594556129,-0.2832374304310914,-10.522177253227724,0.0,-0.4304635761589405,-4.503561698587135,0.0,10.31919467591091,0.0,-0.6944626410095851,-0.741435057368568,-4.503561698587135,0.0,10.31919467591091,Biotechnology,Healthcare,0.78,47383908,148586,ERYP
2014,2014-12-31,2014-12-31,-8860036.0,0.0,-8948367.0,-1.51,0.0,0.0,40606639.0,35824303.0,39526400.0,4257706.0,4782336.0,198356.0,-8860036.0,82704391.44776799,6.097967520222837,9.283496793813383,0.018951014389543542,0.021480864540476895,-0.24397697119515188,6.097967520222837,-0.24731914532991753,0.0,-13.422438740403312,3.3196260775197213,0.0,33.33840670309948,0.0,0.0,9.185994758679909,-0.21819180848727718,-15.525292517134593,0.0,0.132183908045977,-2.846644279731958,0.0,9.389004931869366,1.0,-0.08782559893702928,-0.26297495465868753,-2.846644279731958,0.0,9.389004931869366,Biotechnology,Healthcare,0.78,47383908,148586,ERYP
2013,2013-12-31,2013-12-31,-8144721.0,1802262.0,-7085150.0,-1.74,-3525726.0,-1.9562782769652802,17948960.0,13586635.0,17038828.0,3514636.0,4362325.0,138238.0,-8144721.0,69080924.8088,2.899317136668694,4.847963772066296,0.056375745447089974,0.07447657201360013,-0.48296044977927605,2.899317136668694,-0.5994656513551737,46.153978616205634,-10.212941831745987,6.122307827420108,0.0,38.54213747305372,0.0,0.10041038589422452,4.779875355513345,-0.4537711934284772,-12.054194718512738,-1.9562782769652802,-3.4380169715890396,-3.4330150814622,0.0,4.988605330859197,0.0,-2.7498111218281474,-5.596482571130642,-3.4330150814622,0.0,4.988605330859197,Biotechnology,Healthcare,0.78,47383908,148586,ERYP
