Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2019Q4,2019,Q4,2019-12-31,2019-12-31,106947000.0,452554000.0,118723000.0,0.93,452554000.0,1.0,1297788049.0,1268145957.0,544114000.0,123848000.0,29642092.0,0.0,868206499.0,1635231000.0,2251660397.0,11.593947312122875,4.393401589044635,0.0,0.0,0.08873406839746709,11.593947312122875,0.08433335248964564,3.6133389606544193,3.822526578585655,1.2894659254116123,0.023750081816226728,0.0,0.0015532973628802293,0.3487117949257676,0.07925686325172793,0.08240713888712964,92.4329319993217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,ETV
2018Q2,2018,Q2,2018-06-30,2018-06-30,0.0,0.0,0.0,0.0,0.0,0.0,1077627739.0,1070812624.0,7550635.0,1234622.0,6815115.0,0.0,-43749514.0,0.0,-4048586.0,0.0,6.115746357994593,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.115746357994593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,ETV
2022Q4,2022,Q4,2022-12-31,2022-12-31,,,,,,,1332728223.0,1321452108.0,4304468.0,0.0,0.0,0.0,909207143.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,Asset Management,Financial Services,ETV
2022Q2,2022,Q2,2022-06-30,2022-06-30,,,,,,,1396917082.0,1385507737.0,2058455.0,0.0,0.0,0.0,888247460.0,0.0,-20073.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,ETV
2021Q4,2021,Q4,2021-12-31,2021-12-31,,,,,,,1724459202.0,1694816733.0,9121923.0,0.0,0.0,0.0,1252081102.0,0.0,-5352204.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,ETV
2021Q2,2021,Q2,2021-06-30,2021-06-30,,,,,,,1568909204.0,1532564273.0,9915592.0,1254046.0,36344931.0,0.0,1071130703.0,0.0,-4992566.0,0.0,7.90688060884529,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,7.90688060884529,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,ETV
2020Q4,2020,Q4,2020-12-31,2020-12-31,,,,,,,1355059821.0,1327347563.0,6098126.0,1109281.0,27712258.0,0.0,967257351.0,0.0,-2858445.0,0.0,5.497368115022253,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,5.497368115022253,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,ETV
2020Q2,2020,Q2,2020-06-30,2020-06-30,,,,,,,1222941928.0,1192778367.0,5405624.0,970538.0,30163561.0,0.0,730107612.0,0.0,-4074138.0,0.0,5.569719063035142,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,5.569719063035142,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,ETV
2019Q2,2019,Q2,2019-06-30,2019-06-30,,,,,,,1189244086.0,1161481424.0,6194234.0,942021.0,27762662.0,0.0,724168658.0,0.0,-3857915.0,0.0,6.575473370551188,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,6.575473370551188,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,ETV
2018Q4,2018,Q4,2018-12-31,2018-12-31,,,,,,,1049101384.0,1039071032.0,7569082.0,912755.0,10030352.0,0.0,666111347.0,0.0,-5520980.0,0.0,8.292567008671549,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,8.292567008671549,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Management,Financial Services,ETV
