Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-02-24,736500000.0,5802300000.0,1059400000.0,5.81,2326800000.0,0.4010133912,11171300000.0,3400900000.0,5438600000.0,3799600000.0,7770400000.0,1651600000.0,5555900000.0,18423680000.0,26.99662631474499,1.4313611959153596,0.293072426664757,0.9626863477314829,0.13230649974739075,26.99662631474499,0.21656032226763502,2.7095600020681454,21.346476578411405,4.622799847099297,0.36320434487440595,2.1043230806490674,0.017014721073065984,0.5193934457046181,0.9062532898199811,0.06592786873506216,35.72297205180641,0.4010133912414043,0.01396160558464209,10.425825499876474,1.148871788309368,0.3519453031807935,0.07141870424091726,0.0,0.10124740124740125,0.6018200058812315,0.30689733704593425,0.37860495118632187,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2021,2021-12-31,2022-02-25,736500000.0,5045200000.0,962000000.0,5.73,2171700000.0,0.4304487434,10581300000.0,3051900000.0,4937600000.0,3520300000.0,7529400000.0,1405700000.0,4991300000.0,16765905670.0,23.768136258498632,1.402607732295543,0.29982138300586886,1.0395163668534355,0.135163450648827,23.768136258498632,0.2413250761820505,2.796758437722984,19.158459837067213,4.6234167797109995,0.33564154786150713,2.0441772782243723,0.01751923435996238,0.476803417349475,0.8807487998181973,0.06960392390349011,19.597507875,0.43044874336002537,0.35460992907801414,2.6730270328608396,0.6028478146949858,0.625659419223051,0.058333333333333334,0.3354487760652765,0.13109935332157555,0.5353472938017234,0.11697483509932396,0.023497328871941402,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2020,2020-12-31,2021-02-25,551500000.0,4642100000.0,850500000.0,4.23,2052000000.0,0.4420413175,10186400000.0,2984200000.0,4375600000.0,2829000000.0,7202200000.0,1095600000.0,4506400000.0,17605435930.0,23.008303713926647,1.5466949452103216,0.3208002827299144,1.0950338449165606,0.10494236538946941,23.008303713926647,0.18480664834796595,3.2111621744469097,27.0290769356301,4.9951531164131096,0.414324569356301,2.3640927345746623,0.015328846425019148,0.4557154637555957,1.0248144220572641,0.05414081520458651,25.674364330003446,0.4420413175071627,0.16850828729281778,4.19563854911005,0.46046919900887495,0.6488236085930175,-0.015166058744480706,0.15521575198994553,0.01929530201342282,7.855406367140498,0.6698053910763968,0.15221686508328305,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2019,2019-12-31,2020-02-28,477400000.0,4609800000.0,834400000.0,3.62,2083600000.0,0.4519935789,9872700000.0,2561400000.0,4074800000.0,2723900000.0,7311300000.0,1017000000.0,4188800000.0,15976156000.0,19.58256880733945,1.495943316568156,0.3300819431361228,1.272272975716405,0.11510763537723559,19.58256880733945,0.1863824470992426,2.832325914356371,27.349090909090908,5.097390489576013,0.4405111018014244,2.4839724680432647,0.01610697420494505,0.4669239417788447,0.9436102646940049,0.04835556635975974,33.087825646224026,0.4519935788971322,-0.018970189701896976,0.1823198486925954,0.1635108596887183,0.7055579366340077,-0.0015812928266807226,-0.049193387771360286,0.15026192445547285,1.3372287230697455,0.4376839110787139,0.3393808874203158,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2018,2018-12-31,2019-02-28,502100000.0,4727800000.0,725400000.0,3.69,2086900000.0,0.4414103811,9974300000.0,3121100000.0,4030200000.0,2993400000.0,6763900000.0,1097300000.0,4334300000.0,12522524000.0,23.222470238095237,1.3463619963920626,0.2751070250543898,0.8791772131620262,0.1085925939458156,23.222470238095237,0.16087276921598154,2.1025051821143026,19.797299342760404,3.1848463682675976,0.17765385381398127,2.4067255991980314,0.008973640835458034,0.4739981753105481,0.9014832631789937,0.050339372186519356,46.93212464589235,0.4414103811497948,6.951612903225806,0.0808660185666392,0.22740313478545138,1.0658494382092882,0.894942340869881,7.0276110444177675,-0.17558813501534265,3.8076722643807384,0.43542684012411625,0.6641712337639133,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2017,2017-12-31,2018-02-28,-83300000.0,2878600000.0,879900000.0,-0.62,1101300000.0,0.3825818106,9206300000.0,2681800000.0,3652700000.0,2209400000.0,6499200000.0,992500000.0,3952400000.0,15637938000.0,19.96872673119881,1.6532542771793246,0.3484678969835873,1.1962487881273771,-0.06856714783628587,19.96872673119881,-0.031061227533745992,4.416326686583756,-152.61510204081634,4.740412409575658,-1.0660264105642256,1.7907304785894207,0.006985065018526942,0.3126771884470417,1.1120666244229203,-0.009048151809087256,50.89206565252202,0.38258181060237617,-1.4,-1.205211102257313,-0.21258278436435493,0.8575246037195678,-0.08209701616936156,-1.3983739837398375,1.2777633963241004,-1.2009228355660826,-0.29237786431756346,0.7391906391824904,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2016,2016-12-31,2017-02-28,209100000.0,3282400000.0,386300000.0,1.55,1199800000.0,0.3655252254,6139300000.0,1957700000.0,2849200000.0,1438200000.0,4146300000.0,703500000.0,3505500000.0,9430184000.0,14.620612397311426,1.9810874704491725,0.31290212239180365,0.9812535117740205,0.07151635052950477,14.620612397311426,0.10680901057363232,2.307270290031684,36.21895743663319,3.8685110078152936,0.42372070779531323,2.9603411513859275,0.01169886539491461,0.5346537878911276,1.4058545403977194,0.034059257570081276,20.63592370572207,0.3655252254447965,2.1654135338345863,-0.39396264971983314,0.030510646222367013,0.6734861844415787,0.11567788729774968,2.175379426644182,-0.37471673680802847,-0.5481915320193053,-0.1446608957455743,0.3006361337784609,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2015,2015-12-31,2016-02-26,-177900000.0,3276500000.0,617800000.0,-1.33,1075400000.0,0.3282160842,6325900000.0,1865700000.0,2971900000.0,1453300000.0,4417600000.0,800200000.0,3385000000.0,7336281000.0,13.954375467464473,2.044932223216129,0.3451208523688329,1.1701774133033178,0.2062588954347278,13.954375467464473,-0.09535295063515034,1.5967285212879596,-29.407987633501968,2.804138393096425,-0.4856661045531197,2.750687328167958,0.016514768388974786,0.5179500150176259,1.4133351682378037,-0.028122480595646468,-11.221966966966967,0.32821608423622767,-1.4346405228758172,-2.113839549933336,0.13555114251839276,0.7808323619106229,-0.21789090909090908,-1.4323207776427704,0.40186067619695937,-1.4402267263343922,-0.09971842433441432,0.2980595162263447,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2014,2014-12-31,2015-02-27,411500000.0,4037700000.0,440700000.0,3.06,1375000000.0,0.3405404067,5340500000.0,1530500000.0,2934400000.0,1910400000.0,3776500000.0,636500000.0,2984500000.0,9204799000.0,11.481620405101275,1.5360134003350083,0.3206066847673439,1.118719372754002,0.11412676041712883,11.481620405101275,0.26886638353479253,1.882779552715655,18.474116646415553,4.96706893172166,0.18979343863912515,4.183346425765907,0.01027347841694774,0.7560528040445651,1.0208333333333333,0.07705271042037262,51.02079865771812,0.340540406667162,-0.10787172011661811,0.9508356301329164,0.5476337770310528,0.5402694040288221,0.025813190092509698,-0.11940937299379413,-0.09115281501340483,0.19802429426706233,0.27334314409888183,0.31419482308913516,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2013,2013-12-31,2014-02-18,467300000.0,3874800000.0,484900000.0,3.43,1340400000.0,0.3459275317,5235200000.0,1519800000.0,2945000000.0,1986700000.0,3663100000.0,688400000.0,2757300000.0,11963292000.0,11.24112426035503,1.4823576785624402,0.3599289425427873,1.2398341887090407,0.1070585637547614,11.24112426035503,0.30747466771943677,2.6329596366264063,21.83221057136743,6.712851691011975,0.15750053498823025,3.6815804764671705,0.007214135942550386,0.7401436430317848,0.8499018472844415,0.08926115525672372,95.52614232209739,0.3459275317435739,0.1433333333333334,0.6748485743258207,0.3578727779311004,0.8376231485528877,-0.0005964807634953773,0.12277751081210957,-0.20286043070853196,1.8933247577394732,0.3280075161201447,0.4345721106453965,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2012,2012-12-31,2013-02-19,416200000.0,3748300000.0,608300000.0,3.0,1341200000.0,0.357815543,4373900000.0,1480300000.0,2181800000.0,1135400000.0,2819100000.0,675700000.0,2536500000.0,8978004000.0,10.750181554103122,1.9216135282719746,0.22792016278378563,0.6734445720462069,0.1843880931682183,10.750181554103122,0.28115922448152403,2.1498289891417444,19.36137433925997,5.443628994122814,0.11484863046612205,3.5623797543288442,0.0059318428771473145,0.8569697523948878,1.1108860313545887,0.09515535334598413,52.633598954931415,0.35781554304618096,0.1764705882352942,2.4346735223360914,0.5555047792219635,0.5196971477872575,0.14887784820969677,0.1374692538945067,0.12253183244140986,0.9100693004327106,0.3908000699132977,0.4421462434155433,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2011,2011-12-31,2012-02-21,365900000.0,3377900000.0,541900000.0,2.55,1167400000.0,0.3455993369,3743500000.0,1240600000.0,1869400000.0,919900000.0,2439400000.0,470300000.0,2176200000.0,6775540000.0,8.736619718309859,2.0321774105881074,0.22054227327367437,0.665484443011446,0.1972376464369954,8.736619718309859,0.2949379332581009,1.8084727197371149,16.695381251708117,4.924101241334839,0.1478546050833561,4.700191367212418,0.008856018491235651,0.9023373848003206,1.1851288183498205,0.09774275410711901,31.850052137643377,0.3455993368661002,1.1610169491525424,1.9875484741890739,0.5511728017673146,0.3115082566488681,0.11106881126867803,1.1211594202898552,0.5752906976744186,0.24862068008840968,0.12705452372050155,0.4282036442823514,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2010,2010-12-31,2011-02-22,172500000.0,3116300000.0,344000000.0,1.18,1050700000.0,0.3371626608,3319900000.0,1131500000.0,1646200000.0,963400000.0,2130700000.0,347800000.0,1853000000.0,6244458000.0,7.835872576177286,1.7087398795931077,0.19214434169703906,0.5637649138311975,0.12119810756549726,7.835872576177286,0.1524524966858153,1.8509315534447903,33.43801739130434,5.09770923552806,0.2747826086956522,5.93904542840713,0.008217670488056812,0.9386728515919154,1.0529375129748806,0.05195939636736046,27.182177191328936,0.3371626608478003,-0.24358974358974367,0.5414172112497209,0.5100455822826891,0.22893742139928905,0.19046000453206435,-0.24507658643326038,0.11435050210560414,0.357498107205773,0.23322696896552667,0.10771647385768238,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2009,2009-12-31,2010-02-22,228500000.0,2826200000.0,308700000.0,1.56,882600000.0,0.3122921237,3136200000.0,1076400000.0,1487700000.0,709200000.0,2003100000.0,350500000.0,1716900000.0,4593172000.0,7.454293628808864,2.0977157360406093,0.20531216121420828,0.598197696023783,0.14876606293350936,7.454293628808864,0.21228167967298403,1.4244823437831717,17.618695842450766,3.7401263470828687,0.1588621444201313,5.545221112696148,0.009016680113028929,0.9011542631209745,1.1649746192893402,0.072858873796314,28.694739843193158,0.3122921236996674,-0.22388059701492527,0.4288126173870266,0.38021412693967926,0.23061448954848462,-0.10021408910184525,-0.24983585029546948,-0.33311730395333766,0.8346782256253671,0.2762549394807068,0.11901032171275093,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
2008,2008-12-31,2009-02-23,304600000.0,3115300000.0,462900000.0,2.01,980900000.0,0.314865342,2993900000.0,902900000.0,1432800000.0,759100000.0,2027500000.0,380800000.0,1524700000.0,3872274000.0,6.117208672086721,1.887498353313134,0.20829019005310798,0.6906634178757337,0.21964931552537398,6.117208672086721,0.33735740392069996,1.0596327801495844,10.837406434668416,3.656079300033226,0.15397242284963886,5.605042016806722,0.014207497317539685,1.0405491165369585,0.9749703596364115,0.10174020508367013,24.857484939759036,0.31486534202163513,1.3372093023255813,10.006323370608989,0.5525311838410087,0.46959967751575793,0.22184853014449427,1.3006042296072509,1.8680297397769516,1.6628201783016543,0.4768334085103699,-0.04060886920354919,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
TTM,,,,,,,,,,,,,,,,15274437990.0,27.88906624102155,1.2899342373026583,0.3590661518398241,1.2054943482615539,0.08809606899212168,27.88906624102155,0.2192903533112057,1.9938986835294523,15.957562405185492,3.3111542423808844,0.3770514411805268,1.8108744570621174,0.02458173155016514,0.4940121546867142,0.7918300023563182,0.06180479198097527,61.33884283439491,0.40294696159287763,,,,,,,,,,,Agricultural Inputs,Basic Materials,92.345,11556237990,1102311,FMC
