Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-03-01,558000000.0,2573000000.0,231000000.0,2.15,823000000.0,0.3198600855,11016000000.0,6910000000.0,2023000000.0,833000000.0,4081000000.0,0.0,545000000.0,15142740000.0,29.65665236051502,2.4285714285714284,0.2675199709513435,0.4264833574529667,0.05247226575083454,29.65665236051502,0.08075253256150507,5.413424018655266,24.961899641577062,2.0157366136034733,0.44623655913978494,0.0,0.01787670672293402,0.23356935366739287,3.0672268907563027,0.05065359477124183,57.31991769547325,0.3198600855033035,5.3,0.9440545316839183,0.282043813893255,0.08289416804138457,0.27202472952086554,5.65,2.0,2.778811255399307,0.26157970479234854,0.3076325053023421,Entertainment,Communication Services,73.94,17137370225,832827,FWONK
2021,2021-12-31,2022-02-25,-120000000.0,2136000000.0,77000000.0,-0.5,647000000.0,0.3029026217,11664000000.0,6340000000.0,2369000000.0,1296000000.0,4724000000.0,0.0,0.0,16228680394.4,27.32758620689655,1.8279320987654322,0.3112997256515775,0.5727129337539432,0.005902467474146363,27.32758620689655,-0.01892744479495268,6.868764229588015,-122.26400328666666,2.3141451726182964,0.0,0.0,0.0,0.1831275720164609,1.6512345679012346,-0.0102880658436214,31.62000085,0.30290262172284643,0.8,-1.1317429656220523,0.0,0.7806984335952163,2.783625730994152,0.797979797979798,1.1734234234234233,0.2034482758620689,0.16409036860879914,0.1374184529356943,Entertainment,Communication Services,73.94,17137370225,832827,FWONK
2020,2020-12-31,2021-02-26,-594000000.0,1145000000.0,-444000000.0,-2.5,171000000.0,0.1493449782,11191000000.0,6550000000.0,2264000000.0,692000000.0,4636000000.0,0.0,0.0,11958199652.0,28.232758620689655,3.2716763005780347,0.3358949155571441,0.5738931297709924,-0.036236661109396696,28.232758620689655,-0.09068702290076336,8.631615416593887,-16.63838325252525,1.508885443053435,0.0,0.0,0.0,0.10231435975337325,2.6083815028901736,-0.053078366544544724,-61.769997825,0.14934497816593886,-0.8796992481203006,-5.774168391625615,0.0,12.298276969253166,-0.7277070063694268,-0.909967845659164,-21.181818181818183,-3.078397565922921,-0.4270239039201655,0.03090157602447666,Entertainment,Communication Services,73.94,17137370225,832827,FWONK
2019,2019-12-31,2020-02-26,-311000000.0,2022000000.0,22000000.0,-1.33,628000000.0,0.3105835806,11505000000.0,5239000000.0,748000000.0,426000000.0,6264000000.0,0.0,0.0,15707915046.199999,22.67965367965368,1.755868544600939,0.49621903520208605,1.0897117770566902,0.0015584895998950379,22.67965367965368,-0.05936247375453331,5.251194384866468,-34.1412059363344,2.026706441343768,0.0,0.0,0.0,0.1757496740547588,1.539906103286385,-0.027031725336810083,42.471660184799994,0.3105835806132542,-1.0461538461538462,-4.683501426528528,-0.04205274798190572,-0.03096335305123022,0.13357400722021662,-1.0733333333333333,1.2,-1.3429119211963314,0.0,0.47783355163835634,Entertainment,Communication Services,73.94,17137370225,832827,FWONK
2018,2018-12-31,2018-12-31,-150000000.0,1827000000.0,-110000000.0,-0.65,554000000.0,0.3032293377120963,10957000000.0,5550000000.0,310000000.0,360000000.0,5404000000.0,0.0,0.0,11970700184.8,24.025974025974026,0.8611111111111112,0.45988865565391984,0.907927927927928,-0.007791103975823968,24.025974025974026,-0.02702702702702703,3.881609296551724,-47.278001232,1.2777838170810811,0.0,0.0,0.0,0.16674272154786896,0.75,-0.013689878616409601,27.920079467716537,0.3032293377120963,-1.537190082644628,-1.0124271946276957,-0.6679237470355731,-0.7132946206410591,-0.01773049645390071,-1.588235294117647,-1.75,-0.7180539888682745,0.0,10.316784921589093,Entertainment,Communication Services,73.94,17137370225,832827,FWONK
2017,2017-12-31,2018-03-01,255000000.0,1783000000.0,-40000000.0,1.21,564000000.0,0.31632080762759396,11802000000.0,5669000000.0,479000000.0,305000000.0,6131000000.0,0.0,0.0,12585119958.6,27.386473429951693,1.5704918032786885,0.49110320284697506,1.0224025401305346,0.002949480111093259,27.386473429951693,0.04498147821485271,3.965855276836792,27.72988219058824,1.2473310916563767,0.0,0.0,0.0,0.15107608879850873,1.2,0.021606507371631927,-83.18964657176471,0.31632080762759396,-0.6918092579480101,-0.8497276544082979,-0.25676381846478796,-0.2664851948585231,0.0,-0.22492401215805471,-1.090293453724605,2.3704063800683928,-0.05734359597459691,0.17014557449438125,Entertainment,Communication Services,73.94,17137370225,832827,FWONK
2016,2016-12-31,2017-02-28,329000000.0,0.0,443000000.0,3.92614,0.0,0.0,2995000000.0,1286000000.0,175000000.0,31000000.0,1709000000.0,0.0,0.0,4040369682.590269,15.346554863712868,5.645161290322581,0.5285475792988313,1.2309486780715397,0.10160125479261065,15.346554863712868,0.2558320373250389,0.0,7.979847059544891,2.0415005307855902,0.0,0.0,0.0,0.0,5.483870967741935,0.10984974958263773,6.982366177101779,0.0,11.387795437047073,-0.18993813398929899,-1.0,-0.49665429713448783,0.0,2.88,6.469135802469136,-0.9248619972979283,-1.0,-0.8168673690691205,Entertainment,Communication Services,73.94,17137370225,832827,FWONK
2015,2015-12-31,2016-02-26,-175000000.0,0.0,-81000000.0,-0.377957,0.0,0.0,1952000000.0,983000000.0,97000000.0,-124000000.0,969000000.0,0.0,0.0,13865048301.385235,2.1230388482633034,-0.782258064516129,0.5292008196721312,1.0508646998982707,-0.025383574007220217,2.1230388482633034,-0.1780264496439471,0.0,-73.76027600791562,13.131280062446832,0.0,0.0,0.0,0.0,-0.6370967741935484,-0.08965163934426229,-189.82423972625347,0.0,-2.035010898973634,-1.0651930218110386,-1.0,0.0,-1.0,-1.9831460674157304,-1.0963139120095124,-1.046105390248259,-1.0,-0.9431368762730693,Entertainment,Communication Services,73.94,17137370225,832827,FWONK
2014,2014-12-31,2015-02-26,178000000.0,4450000000.0,841000000.0,0.365172,2377000000.0,0.5341573033707865,31207000000.0,11398000000.0,2344000000.0,2650000000.0,11031000000.0,0.0,11416000000.0,17660373043.08503,23.404330219157014,0.8845283018867924,0.18752203031371167,0.5134234076153711,0.041773711842560284,23.404330219157014,0.015616774872784699,2.806600683839333,70.16501709598332,1.0957512759330612,0.0,0.0,0.0,0.14259621238824624,0.4207547169811321,0.005703848495529849,13.415008639189077,0.5341573033707865,-0.9928932548080273,-0.9369556448969353,-0.23116640118213758,0.0,0.09186954524575103,-0.9797266514806379,0.033169533169533166,-0.92458809198198,0.11860104867041722,-0.2323704473820891,Entertainment,Communication Services,73.94,17137370225,832827,FWONK
2013,2013-12-31,2014-02-28,8780000000.0,4002000000.0,814000000.0,51.38386,2177000000.0,0.5439780109945027,34542000000.0,14081000000.0,2494000000.0,3172000000.0,10660000000.0,0.0,11859000000.0,8604676861.917923,83.8002205598476,0.7862547288776797,0.1608187134502924,0.39450323130459486,0.04208639929646393,83.8002205598476,0.6235352602798097,1.033902264347307,0.47126160158518476,0.29384822540429817,0.0,0.0,0.0,0.11585895431648428,0.40794451450189156,0.2541833130681489,4.021065949385736,0.5439780109945027,5.268100861756429,8.012905528912523,1.0039806615205242,0.0,0.0,5.209335219236209,1.4969325153374233,8.012905528912523,1.0039806615205242,0.0,Entertainment,Communication Services,73.94,17137370225,832827,FWONK
