Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-10,2023-03-31,25000000.0,2323000000.0,76000000.0,0.21,334000000.0,0.1437795954,9090000000.0,2685000000.0,2311000000.0,2421000000.0,6371000000.0,0.0,348000000.0,5993689260.0,9716689260.0,22.604625318864127,0.9545642296571665,0.45643564356435645,1.5452513966480448,0.007404687136979218,22.604625318864127,0.00931098696461825,2.5801503486870425,59.9368926,2.232286502793296,0.0,0.0,0.0,0.25555555555555554,0.838909541511772,0.0027502750275027505,-115.263255,0.14377959535083942,-0.46153846153846156,3.010037748040512,0.5564392295660361,0.0,-0.03188405797101449,-0.45652173913043476,0.02702702702702703,3.010037748040512,0.5564392295660361,0.0,Integrated Freight & Logistics,Industrials,GXO
2022Q4,2022,Q4,2023-02-16,2022-12-31,46000000.0,2467000000.0,74000000.0,0.39,345000000.0,0.1398459668,9219000000.0,2645000000.0,2428000000.0,2532000000.0,6541000000.0,0.0,323000000.0,5065510020.0,8789510020.0,22.290953833706958,0.9589257503949447,0.4576418266623278,1.5950850661625708,0.0062191349848267,22.290953833706958,0.017391304347826087,2.053307669233887,27.529945760869563,1.9151266616257085,0.0,0.0,0.0,0.26759952272480747,0.8459715639810427,0.004989695194706584,41.18300829268293,0.13984596676124847,-0.2641509433962264,0.5867013981358189,0.34919230116733746,-0.0950799677652608,0.10223642172523961,-0.2698412698412698,-0.2815533980582524,0.5867013981358189,0.34919230116733746,-0.0950799677652608,Integrated Freight & Logistics,Industrials,GXO
2022Q3,2022,Q3,2022-11-09,2022-09-30,63000000.0,2287000000.0,103000000.0,0.53,313000000.0,0.136860516,8806000000.0,2569000000.0,2242000000.0,2275000000.0,6207000000.0,0.0,277000000.0,4158852260.0000005,7805852260.0,21.65721078055319,0.9854945054945055,0.46343402225755165,1.5885558583106267,0.008976230418963376,21.65721078055319,0.02452316076294278,1.8184749715784874,16.503381984126985,1.6188603581159986,0.0,0.0,0.0,0.25970928912105384,0.8531868131868132,0.007154213036565978,134.15652451612905,0.13686051595977264,0.2045454545454546,2.381418243818548,0.3948960179677164,0.0,0.029605263157894735,0.23529411764705882,-0.037383177570093455,2.381418243818548,0.3948960179677164,0.0,Integrated Freight & Logistics,Industrials,GXO
2022Q2,2022,Q2,2022-08-03,2022-06-30,51000000.0,2156000000.0,107000000.0,0.44,304000000.0,0.1410018553,8706000000.0,2530000000.0,2256000000.0,2364000000.0,6145000000.0,0.0,214000000.0,5024988370.0,8585988370.0,21.785741963816726,0.9543147208121827,0.4531357684355617,1.5592885375494072,0.008930190753625281,21.785741963816726,0.02015810276679842,2.330699615027829,24.63229593137255,1.9861614110671937,0.0,0.0,0.0,0.2476453020905123,0.8223350253807107,0.00585802894555479,77.30751338461539,0.14100185528756956,0.33333333333333326,1.7742854205098622,0.5143166398751244,0.0,0.17374517374517376,0.34210526315789475,0.25882352941176473,1.7742854205098622,0.5143166398751244,0.0,Integrated Freight & Logistics,Industrials,GXO
2022Q1,2022,Q1,2022-05-05,2022-03-31,38000000.0,2083000000.0,85000000.0,0.33,259000000.0,0.1243398944,7126000000.0,2341000000.0,2030000000.0,2122000000.0,4751000000.0,0.0,163000000.0,8184909540.0,10654909540.0,20.40424994116673,0.9566446748350612,0.39040134717934327,1.1883810337462624,0.009462872142827846,20.40424994116673,0.016232379325074753,3.929385280844935,53.848089078947375,3.496330431439556,0.0,0.0,0.0,0.29230985124894754,0.8501413760603205,0.005332584900364861,-430.78471263157894,0.1243398943831013,-0.32653061224489793,4.163107847922531,0.44490211561899856,0.0,-0.26,-0.3333333333333333,0.14864864864864866,4.163107847922531,0.44490211561899856,0.0,Integrated Freight & Logistics,Industrials,GXO
2021Q4,2021,Q4,2022-02-17,2021-12-31,57000000.0,2262000000.0,74000000.0,0.49,350000000.0,0.1547303271,7271000000.0,2351000000.0,2099000000.0,2329000000.0,4881000000.0,0.0,126000000.0,10413387010.0,12885387010.0,20.506424066918456,0.901245169600687,0.3857791225416036,1.1931093151850276,0.008608163265306123,20.506424066918456,0.024245002126754574,4.603619367816092,45.67275004385965,4.429343687792429,0.0,0.0,0.0,0.3110988859854215,0.7900386431945041,0.007839361848439004,77.71184335820895,0.15473032714412024,-0.21736116546103013,1.0349163323069945,0.2803586340723987,-0.16752445561145693,0.08359133126934984,-0.20833333333333334,1.0555555555555556,1.0349163323069945,0.2803586340723987,-0.16752445561145693,Integrated Freight & Logistics,Industrials,GXO
2021Q3,2021,Q3,2021-11-02,2021-09-30,72000000.0,1974000000.0,36000000.0,0.626087,323000000.0,0.1636271529888551,7133000000.0,2296000000.0,1958000000.0,2245000000.0,4796000000.0,0.0,70000000.0,9020600000.0,11533600000.0,19.965217391304346,0.8721603563474387,0.3908593859526146,1.2142857142857142,0.008847769877181642,19.965217391304346,0.0313588850174216,4.569706180344478,31.321527777777774,3.9288327526132405,0.0,0.0,0.0,0.27674190382728164,0.7420935412026726,0.010093929622879574,205.01363636363635,0.1636271529888551,5.522826721120187,2.986158643478261,0.24189980464426883,0.0,-0.01524390243902439,5.545454545454546,0.6363636363636364,2.986158643478261,0.24189980464426883,0.0,Integrated Freight & Logistics,Industrials,GXO
2021Q2,2021,Q2,2021-08-09,2021-06-30,11000000.0,1882000000.0,22000000.0,0.095984,328000000.0,0.1742826780021254,7068000000.0,2874000000.0,1963000000.0,2009000000.0,4154000000.0,0.0,0.0,6245812324.5,8291812324.5,25.078083019815846,0.9771030363364858,0.3355970571590266,0.825330549756437,0.0029333333333333334,25.078083019815846,0.003827418232428671,3.318710055526036,141.95028010227273,2.173212360647182,0.0,0.0,0.0,0.26627051499717036,0.8078646092583375,0.00155631013016412,132.8896239255319,0.1742826780021254,-0.21324590163934426,1.1692307692307693,0.3395017793594306,0.0,0.47085201793721976,-0.21428571428571427,-0.26666666666666666,1.1692307692307693,0.3395017793594306,0.0,Integrated Freight & Logistics,Industrials,GXO
2021Q1,2021,Q1,2021-03-31,2021-03-31,14000000.0,1822000000.0,30000000.0,0.122,223000000.0,0.12239297475301866,7120000000.0,2919000000.0,2034000000.0,1894000000.0,4077000000.0,0.0,0.0,6245812324.5,8195812324.5,25.470746115115677,1.0739176346356916,0.33202247191011236,0.8098663926002055,0.002790636593453495,25.470746115115677,0.004796163069544364,3.427997982711306,111.5323629375,2.1397096007194247,0.0,0.0,0.0,0.2558988764044944,0.9012671594508975,0.001966292134831461,-312.290616225,0.12239297475301866,-0.5006624485,2.1666666666666665,0.2652777777777777,0.0,-0.20921985815602837,-0.5,-0.4,2.1666666666666665,0.2652777777777777,0.0,Integrated Freight & Logistics,Industrials,GXO
2020Q4,2020,Q4,2020-12-31,2020-12-31,28000000.0,1766000000.0,50000000.0,0.24432370374211682,282000000.0,0.159682899207248,6548000000.0,2823000000.0,1836000000.0,1738000000.0,3600000000.0,0.0,0.0,6245812324.5,8021812324.5,24.633064845142705,1.0563866513233602,0.3213194868662187,0.7453064116188453,0.005361891961451572,24.633064845142705,0.00991852639036486,3.536700070498301,55.76618146875,2.2124733703506907,0.0,0.0,0.0,0.2697006719609041,0.8929804372842347,0.004276114844227245,-83.27749766,0.159682899207248,0.5555579138707974,0.0,0.0,0.0,-0.017421602787456445,0.5555555555555556,0.02040816326530612,0.0,0.0,0.0,Integrated Freight & Logistics,Industrials,GXO
