Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2022-12-31,-1813000000.0,13862000000.0,-197000000.0,-5.83,1602000000.0,0.1155677391,61507000000.0,8729000000.0,9178000000.0,13146000000.0,52704000000.0,70000000.0,-1200000000.0,131329833605.54584,28.056727598289218,0.6981591358588164,0.7135285414668249,5.027723679688395,-0.0025686261987631852,28.056727598289218,-0.20769847634322375,6.566572904742882,-50.207299286015356,10.427979563013615,-0.22945394373965802,175.14285714285714,0.0045701311761967185,0.22537272180402232,0.5169633348547087,-0.029476319768481637,178.1327467818901,0.11556773914298081,-3.3185185185185184,-2.315397790600274,0.5229769718681643,0.2169325015235113,0.06728847435043304,-3.316666666666667,-1.4804878048780488,-1.9365418776550192,0.1297960081846017,0.08099631544383046,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2021,2021-12-31,2021-12-31,-420000000.0,12787000000.0,410000000.0,-1.35,1501000000.0,0.117384844,63269000000.0,10935000000.0,9553000000.0,15279000000.0,52225000000.0,88000000.0,1037000000.0,113141670334.27473,35.114205976573366,0.6252372537469729,0.6980037617158482,4.038591678097851,0.004717744109559497,35.114205976573366,-0.038408779149519894,5.794609395032043,-176.41826270065414,6.7760100900114075,0.0,128.25,0.0,0.20210529643269215,0.5624059166175797,-0.006638322085065356,-222.50952052334756,0.11738484398216939,0.8085106382978723,-1.461187348714742,0.7278182443114645,0.789259855950148,2.2141327623126337,0.7965116279069767,1.3363412633305989,-1.530657291065633,0.14952669210002598,0.602249076043443,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2020,2020-12-31,2020-12-31,-2064000000.0,10196000000.0,-1219000000.0,-7.05,467000000.0,0.0458022754,65798000000.0,11330000000.0,12882000000.0,10529000000.0,54366000000.0,89000000.0,1502000000.0,123930129827.3881,38.70330721399825,1.2234780131066578,0.6836074044803794,3.969991173874669,-0.012363929579357613,38.70330721399825,-0.182171226831421,8.432339135679493,-41.65510166055625,7.588360973291094,-0.32848837209302323,109.31460674157303,0.007885909744497708,0.15495911729839812,1.122138854592079,-0.031368734611994284,-73.6727762017036,0.04580227540211848,-2.194915254237288,-5.045843391287831,0.5110861379529461,1.8268651714113526,-0.8838886126305321,-2.166760881854155,-1.5782732447817838,-2.5915293139268663,0.1905370467511612,0.6787172452726016,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2019,2019-12-31,2019-12-31,1769000000.0,11212000000.0,2108000000.0,5.9,4022000000.0,0.358722797,52983000000.0,7379000000.0,18256000000.0,17287000000.0,45483000000.0,57000000.0,3701000000.0,114281568496.99164,25.954508075052797,1.0560536819575403,0.7202498914746239,5.171567963138637,0.023570834805094656,25.954508075052797,0.2397343813524868,7.077646137798041,44.85843329394666,10.754108754166099,0.3719615602035048,126.14035087719299,0.008291898153600886,0.2116150463356171,0.3895991207265575,0.033388067870826495,45.139117461314925,0.35872279700321086,1.3694779116465863,4.04009612667141,0.9775569858793529,1.0085964348214635,0.12127125731809311,1.4706703910614525,-0.10068259385665529,1.127684130559892,0.6594482216617379,0.3225234086343342,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2018,2018-12-31,2019-04-19,716000000.0,10063000000.0,2344000000.0,2.49,3587000000.0,0.3564543376726622,23993000000.0,6174000000.0,6974000000.0,5969000000.0,17674000000.0,41000000.0,2610000000.0,60971388319.87379,21.915572617013815,1.1683699112079076,0.4067853123827783,1.5808228053126012,0.08701795841082081,21.915572617013815,0.11597019760285067,5.512609392812659,77.47679932943267,8.984999727870713,0.0,157.9512195121951,0.0,0.41941399574876004,0.8068353157982912,0.029842037260867753,29.920921423880145,0.3564543376726622,-0.41273584905660377,1.2266857684020807,1.100960389156047,0.9083397951623476,0.4370734501982136,-0.4212747797045268,0.6305939494112401,0.45841266524424246,0.5497259219226182,0.6006996146356638,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2017,2017-12-31,2018-04-20,1237202000.0,8170196000.0,1437513000.0,4.24,2496045000.0,0.3055061347365473,17427442000.0,6438696000.0,5761124000.0,3676501000.0,10953162000.0,24006000.0,2753715000.0,67300638622.511,23.05528660230886,1.5670127656704025,0.28992143540055965,0.7847224034183319,0.09709940240254042,23.05528660230886,0.19215101939895904,8.044209541914418,53.122100208786435,10.207465707731968,0.24760952536449182,236.36386736649172,0.004661139608398559,0.46881211826727065,1.1605211041694263,0.070991600488471,40.43933071328295,0.3055061347365473,0.4929577464788734,5.162674615767901,1.2072555116489707,1.2752747743706907,0.5537567742200543,0.537632283763042,0.6506081646666261,2.5884666401032725,0.4670188912071556,0.7842282481052352,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2016,2016-12-31,2017-04-21,804615000.0,6538631000.0,870899000.0,2.84,1606458000.0,0.24568720883622275,9993364000.0,5399600000.0,4174681000.0,2966081000.0,4577207000.0,21606000.0,1812174000.0,21828844741.232,19.624989550736174,1.4074737001450737,0.029848907735173062,0.05524316616045633,0.1121151403161993,19.624989550736174,0.14901381583821025,3.7875758306642475,30.779392307168024,4.586554696872361,0.3433455752129901,228.27793205591038,0.011155047240261153,0.6542972916827606,1.1791717758213616,0.0805149297073538,16.176459353512787,0.24568720883622275,0.6705882352941176,5.161113031606688,1.5557365602065052,1.1138182427051144,0.27246516174156044,0.8429111314704535,0.4487119772969988,1.5620976837452336,0.39778015096845765,0.7088829570549512,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2015,2015-12-31,2016-04-20,436600000.0,5774624000.0,601154000.0,1.7,1262477000.0,0.21862497021451094,7693521000.0,3430109000.0,2961978000.0,2790938000.0,4252773000.0,24529000.0,1007559000.0,11836591260.7005,13.691246262967354,1.0612840557547318,0.04220174351899475,0.09465588411330368,0.1106230217163636,13.691246262967354,0.12728458483389304,2.207892541696308,29.202357445489003,3.7170099436200132,0.0,183.95152676423825,0.0,0.7505827305859046,0.6740264384232111,0.056749048972505566,11.584015071963588,0.21862497021451094,0.4049586776859504,0.6034769394953285,1.631984651811846,0.28439212724331503,0.16175194464714765,0.42053958379426576,0.543938319926855,1.4242355312882242,0.7390269106853634,0.35115853422993115,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2014,2014-12-31,2015-04-17,307348000.0,4964728000.0,389364000.0,1.21,1086701000.0,0.21888429738749032,6182906000.0,3216964000.0,1596664000.0,1720761000.0,2964193000.0,29882000.0,847220000.0,9378642747.304,12.921713702712907,0.9278824892009988,0.0,0.0,0.08808695712794172,12.921713702712907,0.09553976979537228,2.051977016123341,33.14649110228145,3.166808129436326,0.0,129.7780269058296,0.0,0.8029764644650913,0.546860371661143,0.049709311446753356,19.87147238438762,0.21888429738749032,0.08035714285714272,0.6703203395269841,-0.08909695877322019,-0.16510025443213255,0.10105546003244296,0.09822838725353572,0.02317734611503532,1.6009230963998897,1.1446221373917538,0.3918047742747758,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2013,2013-12-31,2014-04-17,279858000.0,4168629000.0,380544000.0,1.12,986963000.0,0.23675961569139398,5185052000.0,2815753000.0,1042388000.0,1402809000.0,2357261000.0,34013000.0,539872000.0,10905982376.27,11.484103969623186,0.7430719363790794,0.0,0.0,0.09868569727677233,11.484103969623186,0.09939010985693703,2.711543141946669,40.38983118678044,4.014349758757249,0.0,93.54264545908917,0.0,0.8039705291287339,0.336994558774573,0.05397400064647375,-1670.1266808909575,0.23675961569139398,0.5774647887323946,1.4532610085504518,0.2028919976614669,18.564589281805603,0.2807305758313058,0.6002218575422987,0.7318472873896956,0.0502294981052693,0.9414239611884183,0.0773374785408966,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2012,2012-12-31,2013-04-23,174887000.0,3224527000.0,219733000.0,0.71,770625000.0,0.23898854002462996,4330187000.0,2465189000.0,996906000.0,1154642000.0,1839622000.0,37971000.0,260014000.0,6015009243.31,10.132968053797208,0.8633896913502194,0.0,0.0,0.06847162902241398,10.132968053797208,0.07094263360740292,2.0048997087976006,36.96588793512383,2.622457443753806,0.0,64.62568802507177,0.0,0.7446622974943115,0.4404404135654168,0.04038786315694911,-22.615294244460614,0.23898854002462996,0.5106382978723404,1.2914012022992456,1.5487242326142117,3.459189778655277,0.410729323032988,0.522981398913195,1.0507811770854723,-0.02738840026658061,-0.3945821122723485,-0.34528711557922515,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2011,2011-12-31,2012-04-12,114832000.0,2249597000.0,107146000.0,0.47,546260000.0,0.24282571500584327,3524950000.0,2246094000.0,1173817000.0,793343000.0,1269066000.0,31232000.0,85127000.0,4636848319.6,9.284142389471247,1.4795832319690223,0.0,0.0,0.03942224359446348,9.284142389471247,0.05112519778780407,2.408631110194404,47.18588302563745,2.4123876024779016,0.027440086387069806,54.53819800204918,0.0005815316918443767,0.6381925984765742,1.032361790549611,0.032576915984623894,-16.68806960362192,0.24282571500584327,-0.48913043478260876,1.1924084552117917,0.7880883231161315,3.085649202377215,-0.02155085557851148,-0.46775798897543586,-0.5819621273512158,1.1884885042981104,-0.34211585643469516,15.19981466000385,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2010,2010-12-31,2011-04-07,215751477.0,1738493710.0,256306921.0,0.92,558291663.0,0.32113527922974194,3044079406.0,2116133443.0,1414818095.0,574342336.0,918770162.0,18290222.0,-29705435.0,6087442236.806001,10.659708956915528,2.463370722161077,0.0,0.0,0.09626681435429572,10.659708956915528,0.1019555159499457,4.111322841545398,33.12843554626512,3.3776267387339813,0.010654323353716832,64.52639268129168,0.0003216065950001673,0.5711065573957633,2.0630019932920285,0.07087577169463627,111.25448848154414,0.32113527922974194,3.0,1.4405583461002416,0.6840143901982263,3.6909913237420255,1.1832234848152896,4.071191925260427,2.3541721870077823,1.4405583461002416,0.6840143901982263,3.6909913237420255,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2009,2009-12-31,2009-12-31,42544530.0,1260191124.0,76414360.0,0.23,255718971.0,0.20292078410163442,1581131515.0,890891839.0,416625706.0,365550819.0,678874774.0,8883092.0,-245456912.0,1234579802.896,15.476964475446142,1.1397203462427477,0.08664680875708179,0.15377848803035224,0.055080906933189906,15.476964475446142,0.04775498903183914,1.0856822214024735,32.15847252034515,1.5357275024897832,0.05171052541889639,113.07686028693612,0.0016079907211445311,0.7970185351722624,0.7943557418209477,0.026907647843576125,43.35243825609752,0.20292078410163442,1.0912698412698412,1.2996069575759892,3.209859477691483,5.81090884991568,2.3260120670003452,1.3124541655080324,1.4973166284223516,1.2996069575759892,3.209859477691483,5.81090884991568,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
2008,2008-12-31,2008-12-31,-136162467.0,764248607.0,-153653338.0,-2.52,76884559.0,0.10060150361517113,1432940294.0,-35352864.0,329924427.0,468344212.0,1462181573.0,22650516.0,-288001442.0,1208296014.0523398,-0.6538213780790805,0.704448605420152,0.07641630321828329,-3.097344531973421,-1.7560003375208686,-0.6538213780790805,3.8515257773740763,1.6775195339706257,-9.415531278912123,-36.26416142840195,-0.007405366707993033,30.34650724954787,0.0007865054545120318,0.5333429523896129,0.42958038307090257,-0.09502312662302732,-2.6483708141397595,0.10060150361517113,0.11578947368421055,-0.020796763857182394,1.71793801477849,-1.2877255302412594,10.073002012695463,-0.21984104494191584,-0.11901912111969978,-0.020796763857182394,1.71793801477849,-1.2877255302412594,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
TTM,,,,,,,,,,,,,,,,130292487856.8456,37.01370422554042,0.9360577638826857,0.6709351720741242,3.71027321474168,-0.009565100851035315,37.01370422554042,-0.021495885147589502,6.1083894934452205,-460.3007745113619,8.109818735539358,-4.019323671497585,201.53968253968253,0.0,0.24104229514252293,0.76812565133244,-0.003185987810133596,27.513226303378083,0.18925994508652066,,,,,,,,,,,Lodging,Consumer Cyclical,41.64,13270376187,1509240,HTHT
