Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-02-14,2023-03-31,40505000.0,106074000.0,40997000.0,0.47,87820000.0,0.8279125893,669612000.0,602979000.0,654933000.0,59671000.0,66633000.0,40811000.0,0.0,2657601840.0,2568169840.0,7.251352911465474,10.975733605939233,0.005270216184895133,0.00585260846563479,0.06146644305282466,7.251352911465474,0.06717481039969883,25.054224786469824,16.40292457721269,4.40745339389929,0.0,0.44728137021881353,0.0,0.15841113958531208,10.29180003686883,0.06049025405757364,127.94154823801271,0.8279125893244339,0.06818181818181812,3.8930540138211547,2.900965881008717,0.0,-0.21985626593467117,0.07417524132810013,-0.3155531069484791,4.052269882863965,1.1425943522773263,1.5775285608500638,Medical Devices,Healthcare,INMD
2022Q4,2022,Q4,2022-12-31,2022-12-31,37708000.0,133571000.0,59898000.0,0.44,112569000.0,0.8427652709,644409000.0,554618000.0,629371000.0,82020000.0,89791000.0,39897000.0,495507000.0,2943429300.0,2850851300.0,6.726800810197819,7.673384540356011,0.007700078676741014,0.008946698448301354,0.062811600858507,6.726800810197819,0.06798913847008212,22.036439796063515,19.514620902726215,5.307129050986445,0.0,0.5264054941474297,0.0,0.2072767450485639,7.18695440136552,0.05851563215287186,51.79905145713079,0.8427652709046125,-0.24137931034482754,138.30604418893296,2.599248894792435,8.942900401475548,0.09858783803566026,-0.22712086740863718,0.1144850683784538,0.5749942652378826,1.2597616816425836,1.5048704163108684,Medical Devices,Healthcare,INMD
2022Q3,2022,Q3,2022-09-30,2022-09-30,48789000.0,121232000.0,53745000.0,0.58,102467000.0,0.8452141349,578984000.0,508303000.0,563983000.0,57927000.0,70681000.0,35810000.0,0.0,2395927660.0,2322536660.0,6.1757709037008235,9.736098883076977,0.006316236718113108,0.007194527673454612,0.09429097476634726,6.1757709037008235,0.09598408823083869,19.763162036426028,12.276986923281887,4.713581584212566,0.0,0.524015638089919,0.0,0.20938747875588962,9.117907020905623,0.08426657731474445,53.00138612985289,0.8452141348818794,0.11538461538461527,3.388320856869165,2.705659845457481,8.120410874805817,0.08314922675235992,0.10763258263712314,0.09231144442412048,1.2191185683929724,1.2307291643543565,1.3536401508160538,Medical Devices,Healthcare,INMD
2022Q2,2022,Q2,2022-06-30,2022-06-30,44048000.0,113547000.0,49203000.0,0.52,94601000.0,0.8331439844,523205000.0,452814000.0,509208000.0,57989000.0,70391000.0,29760000.0,0.0,1842460560.0,1757734560.0,5.507614089714897,8.781113659487144,0.007029749333435269,0.008122540380818614,0.09754100803258799,5.507614089714897,0.09727614428882499,16.226413379481624,10.45711814384308,4.068912533623077,0.0,0.6366263440860215,0.0,0.21702200858172227,8.267912880028971,0.08418879788992842,39.69109349418354,0.8331439844293552,0.44444444444444453,3.5198268498732856,2.5255976126796718,0.0,0.3296181253425909,0.4220500403551251,0.405478747714808,1.168784422487783,1.2763672499839103,4.019470844731457,Medical Devices,Healthcare,INMD
2022Q1,2022,Q1,2022-03-31,2022-03-31,30975000.0,85921000.0,35008000.0,0.36,71149000.0,0.8280746267,464466000.0,403318000.0,454848000.0,49818000.0,61148000.0,25100000.0,0.0,3062533429.9999995,3020942429.9999995,4.860834247285261,9.130193905817174,0.006629118170113636,0.007634174522337213,0.07483528502786205,4.860834247285261,0.07680044034731899,35.6435962104724,24.717783938660208,7.593346763595971,0.0,0.5885258964143426,0.0,0.1849887828172568,8.626359950218797,0.06668948857397528,97.0569002345186,0.8280746266919612,-0.4098360655737705,2.7499807705748682,2.1667142830850463,0.0,-0.24061562763493538,-0.4120717471766157,-0.3563286018974774,1.3579985762030433,1.1674247962029134,4.7687297955066015,Medical Devices,Healthcare,INMD
2021Q4,2021,Q4,2021-12-31,2021-12-31,52685000.0,110540000.0,54388000.0,0.61,93693000.0,0.8475936313,478541000.0,415802000.0,470114000.0,51850000.0,62739000.0,21026000.0,333987000.0,5874655720.0,5811035720.0,4.995578729845977,9.066808100289297,0.00943701793576726,0.010860938619823858,0.12428278742501046,4.995578729845977,0.12670694224655005,53.145067125022614,27.876320204991934,14.128493177040994,0.0,0.8012460762865025,0.0,0.230993791545552,8.499209257473481,0.11009505977544244,111.45028020716738,0.8475936312647006,0.17307692307692302,191.0324500404482,1.950555507536209,6.3839768948246265,0.16776139493724526,0.1781609195402299,0.208138966635568,191.0324500404482,1.950555507536209,6.3839768948246265,Medical Devices,Healthcare,INMD
2021Q3,2021,Q3,2021-09-30,2021-09-30,44718000.0,94176000.0,45018000.0,0.52,80233000.0,0.8519474176010873,447658000.0,382514000.0,439988000.0,53871000.0,63632000.0,19178000.0,0.0,6593656125.0,6528274125.0,4.625040807689983,8.16743702548681,0.00792122557845498,0.009270248932065232,0.11494345621128528,4.625040807689983,0.11690552502653498,70.01418753185526,36.862427462095795,17.23768574483548,0.0,0.7270309729898843,0.0,0.21037488439835766,7.811438436264409,0.09989322205791028,131.2980370975129,0.8519474176010873,0.09473684210526324,3.0027508531138865,1.8647600515934841,5.83028453234862,0.07548055011929974,0.09268173488087966,0.0838308936825886,3.0027508531138865,1.8647600515934841,5.83028453234862,Medical Devices,Healthcare,INMD
2021Q2,2021,Q2,2021-06-30,2021-06-30,40925000.0,87325000.0,41536000.0,0.475,74602000.0,0.8543028914972802,383031000.0,329664000.0,375344000.0,42171000.0,51855000.0,17394000.0,0.0,3867678000.0000005,3809670000.0000005,4.035055079559363,8.900524056816296,0.00982688085298579,0.011417685886235682,0.12013214129604019,4.035055079559363,0.12414155018443021,44.290615516747785,23.626621869273063,11.732181857891673,0.0,0.7314591238358055,0.0,0.22798415794021895,8.488060515520145,0.10684513786090422,83.32819131746204,0.8543028914972802,0.5079365079365079,3.225893800602629,1.728537710283228,0.0,0.3455135720082965,0.5360507450362196,0.5515296402823952,3.225893800602629,1.728537710283228,0.0,Medical Devices,Healthcare,INMD
2021Q1,2021,Q1,2021-03-31,2021-03-31,26643000.0,65524000.0,26771000.0,0.315,55445000.0,0.8461784994811061,337292000.0,292235000.0,332026000.0,36676000.0,43545000.0,15700000.0,0.0,2824528730.0,2761603730.0,3.7438186989161903,9.052950158141565,0.005858425340654389,0.006761681523431485,0.09015288726450711,3.7438186989161903,0.09116977774736086,43.10678117941518,26.50347868107946,9.665265043543725,0.0,0.6419745222929937,0.0,0.19426490992967518,8.624877303958993,0.07899090402381319,114.81357383846185,0.8461784994811061,-0.2588235294117647,2.4286268649796137,1.5670204759585369,0.0,-0.14187766978270291,-0.2622528659245722,-0.24461060948081265,2.4286268649796137,1.5670204759585369,0.0,Medical Devices,Healthcare,INMD
2020Q4,2020,Q4,2020-12-31,2020-12-31,36114000.0,75187000.0,35440000.0,0.425,64612000.0,0.8593506856238445,295761000.0,253963000.0,289591000.0,35030000.0,40286000.0,14983000.0,169016000.0,1784915640.0,1716335640.0,3.3777963982656347,8.266942620610905,0.001210436805393544,0.001409654162220481,0.1368861462287342,3.3777963982656347,0.14220181680008506,23.739684253926875,12.356119787340088,7.028250729436964,0.0,0.7057999065607689,0.0,0.25421539689140893,7.839223522694833,0.12210534857536998,42.956190797073546,0.8593506856238445,0.4912280701754387,145.20494815524165,1.2217279129798422,3.9927289527442364,0.2840477751942606,0.5113622096672944,0.5214871420598463,145.20494815524165,1.2217279129798422,3.9927289527442364,Medical Devices,Healthcare,INMD
