Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-11,2023-04-02,10900000.0,1268300000.0,10700000.0,0.29,254100000.0,0.2003469211,2588600000.0,1247800000.0,1632500000.0,1050900000.0,1340800000.0,0.0,1224400000.0,612892000.0,568892000.0,33.63342318059299,1.5534303929964792,0.02615313296762729,0.054255489661804775,0.006639289015998506,33.63342318059299,0.008735374258695304,0.48323898131356935,14.057155963302751,0.49117807340920017,0.25688073394495414,0.0,0.004568504728402394,0.4899559607509851,1.4751165667523076,0.004210770300548559,-34.239776536312846,0.20034692107545535,13.236286919831223,-0.6102851955798854,-0.0367333559082854,0.08977598822369633,0.015587529976019185,13.11111111111111,0.028846153846153848,1.0759194537381376,0.06263624299241609,0.19846394753135652,Staffing & Employment Services,Industrials,KELYA
2022Q4,2022,Q4,2023-02-16,2023-01-01,-900000.0,1233800000.0,10400000.0,-0.0237,250200000.0,0.2027881342,2663800000.0,1254200000.0,1715200000.0,1128800000.0,1409600000.0,0.0,1216300000.0,640510000.0,557210000.0,33.09234828496042,1.5194897236002836,0.026428410541331934,0.05613139850103652,-0.0015611734820673534,33.09234828496042,-0.00071758890129166,0.5191360025936133,-177.91944444444445,0.5106920746292457,-3.2222222222222223,0.0,0.004527642035253158,0.46317291087919515,1.4575655563430192,-0.0003378632029431639,22.08655172413793,0.20278813421948452,0.9448837209302325,-1.051518268413756,-0.1210876433559155,0.10355725066650472,0.0399002493765586,0.9444444444444444,0.0297029702970297,-1.0546174142480211,-0.048538714567412884,0.023258851674142017,Staffing & Employment Services,Industrials,KELYA
2022Q3,2022,Q3,2022-11-10,2022-10-02,-16200000.0,1167900000.0,10100000.0,-0.43,240600000.0,0.2060107886,2681900000.0,1252700000.0,1730100000.0,1143000000.0,1429200000.0,0.0,1220100000.0,529463000.0,477163000.0,33.05277044854881,1.5136482939632545,0.026138185614676162,0.055959128282908915,0.005541301355759539,33.05277044854881,-0.012932066735850564,0.4533461768987071,-8.170725308641977,0.4226574598866449,-0.17901234567901234,0.0,0.005477247701916847,0.43547484991983293,1.436832895888014,-0.006040493679853835,-81.45584615384615,0.20601078859491395,-8.166666666666666,-1.7117815762303543,-0.11181056489160766,0.12326628942273253,-0.08307926829268293,-8.363636363636363,-0.5144230769230769,-0.7409300791556727,-0.049555601391421414,0.03571351541774205,Staffing & Employment Services,Industrials,KELYA
2022Q2,2022,Q2,2022-08-11,2022-07-03,2200000.0,1267300000.0,20800000.0,0.06,262400000.0,0.2070543676,2735200000.0,1276900000.0,1737000000.0,1161000000.0,1458300000.0,0.0,1239200000.0,740566000.0,679666000.0,33.69129287598945,1.496124031007752,0.026689090377303305,0.0571697078862871,0.004529531535972459,33.69129287598945,0.001722922703422351,0.5843651858281386,84.15522727272727,0.5799718067193985,1.3181818181818181,0.0,0.003915923766416498,0.4633299210295408,1.4055124892334194,0.0008043287510968119,-246.85533333333333,0.20705436755306558,1.048,-0.8811112835635574,-0.03968566445022345,0.20213947936500448,0.014694508894044857,1.0454545454545454,-0.1111111111111111,-0.9729157876839566,-0.04393009603835742,0.038739592691363754,Staffing & Employment Services,Industrials,KELYA
2022Q1,2022,Q1,2022-05-12,2022-04-03,-48400000.0,1296400000.0,23400000.0,-1.25,258600000.0,0.1994754705,2785600000.0,1273500000.0,1826300000.0,1196300000.0,1512100000.0,0.0,1239900000.0,827584000.0,672284000.0,32.99222797927461,1.526623756582797,0.026924181504882252,0.05889281507656066,0.01295974327679561,32.99222797927461,-0.03800549666274048,0.6383708731872879,-4.274710743801653,0.6498500196309385,-0.03925619834710744,0.0,0.0022958394555718815,0.465393452039058,1.466271002256959,-0.017375071797817346,-7.677031539888683,0.19947547053378586,-1.722543352601156,-4.936379852204197,-0.0026173898335999117,0.20377472764239074,0.05121951219512195,-1.7055393586005831,9.173913043478262,-3.2127400182871075,-0.052629685454078035,0.09245788010843081,Staffing & Employment Services,Industrials,KELYA
2021Q4,2021,Q4,2022-02-17,2022-01-02,68600000.0,1250300000.0,2300000.0,1.73,246000000.0,0.1967527793,2894200000.0,1336200000.0,1588700000.0,1095200000.0,1558000000.0,0.0,1315000000.0,702108000.0,668308000.0,33.91370558375635,1.4506026296566836,0.027261419390505148,0.05904804669959587,0.0012468607211214002,33.91370558375635,0.05133961981739261,0.5615516276093737,2.5587026239067057,0.5254512797485407,0.029154518950437316,0.0,0.0028485646082938806,0.43200193490429134,1.402392257121987,0.023702577568930964,13.958409542743539,0.1967527793329601,0.9885057471264368,2.0791972175220903,-0.07066866225520191,0.2778689616290121,0.07470511140235911,0.9712643678160919,-0.9484304932735426,3.698384128460776,-0.12742401305508988,0.13776899284874675,Staffing & Employment Services,Industrials,KELYA
2021Q3,2021,Q3,2021-11-10,2021-10-03,34800000.0,1195400000.0,44600000.0,0.87,228900000.0,0.1914840221,2803500000.0,1274100000.0,1538400000.0,1078000000.0,1529400000.0,0.0,1245300000.0,760814000.0,799814000.0,32.33756345177665,1.42708719851577,0.029427501337613696,0.06475158935719331,0.023208635613447444,32.33756345177665,0.027313397692488816,0.6364513970219173,5.465617816091954,0.5971383721842869,0.05747126436781609,0.0,0.002628763403407403,0.42639557695737473,1.3612244897959183,0.012413055109684323,-39.625729166666666,0.19148402208465787,0.45000000000000007,-0.5840324270735946,-0.07360324729900254,0.21206214216693595,-0.00909090909090909,0.45,1.23,0.035348965601852585,-0.12306619555550169,0.05810209304177276,Staffing & Employment Services,Industrials,KELYA
2021Q2,2021,Q2,2021-08-12,2021-07-04,24000000.0,1258100000.0,20000000.0,0.6,231000000.0,0.1836102059,2746900000.0,1243800000.0,1509300000.0,1053900000.0,1503100000.0,0.0,1212500000.0,918414000.0,940814000.0,31.568527918781726,1.4321093082835183,0.03159925734464305,0.06978613925068339,0.015973748612593975,31.568527918781726,0.01929570670525808,0.7300007948493761,9.5668125,0.7383936324167872,0.0,0.0,0.0,0.4580072081255233,1.3539235221558024,0.008737121846445083,26.315587392550142,0.1836102058659884,-0.06250000000000006,1.6008099013289228,-0.11785100757085099,0.2842351578136234,0.0829817158931083,-0.0625,-0.47368421052631576,2.4864476582702806,-0.10668316623313209,0.05509422280018168,Staffing & Employment Services,Industrials,KELYA
2021Q1,2021,Q1,2021-05-13,2021-04-04,25600000.0,1205900000.0,38000000.0,0.64,213300000.0,0.1768803383,2610100000.0,1215700000.0,1595600000.0,962900000.0,1394400000.0,0.0,1188500000.0,928659000.0,773059000.0,30.93384223918575,1.6570775781493405,0.03210604957664457,0.06893147980587316,0.01973245083807488,30.93384223918575,0.021057826766471992,0.7700961937142383,9.068935546874998,0.7638882948095747,0.0,0.0,0.0,0.46201294969541395,1.5776300758126494,0.009808053331289989,119.05884615384615,0.17688033833651215,0.08474576271186449,1.2101054162122868,-0.13571256532721934,0.29060826206528156,-0.04819277108433735,0.09401709401709402,10.515151515151516,-0.13594431765518564,-0.13539611275279287,0.0023053054919583006,Staffing & Employment Services,Industrials,KELYA
2020Q4,2020,Q4,2021-02-18,2021-01-03,23400000.0,1241400000.0,3300000.0,0.59,224100000.0,0.1805219913,2561900000.0,1203000000.0,1549600000.0,925600000.0,1358900000.0,0.0,1162900000.0,788358000.0,652758000.0,30.610687022900763,1.6741573033707866,0.0341153050470354,0.07265170407315046,0.0021471334653703944,30.610687022900763,0.01945137157107232,0.6350555824069599,8.422628205128206,0.6553266832917706,0.0,0.0,0.0,0.48456223896326944,1.6078219533275713,0.009133845973691402,-23.39341246290801,0.18052199130014498,0.40476190476190477,-0.3384223918575064,-0.1787521361093354,0.2990910284456432,0.17329842931937173,0.40119760479041916,-0.7708333333333334,0.29175831284771636,-0.1471764097824564,0.02079928934380307,Staffing & Employment Services,Industrials,KELYA
