Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-11-27,2023-01-25,569100000.0,6168600000.0,646500000.0,1.41,3548800000.0,0.5753007165,6037800000.0,1903700000.0,2827900000.0,1981600000.0,4134100000.0,1416800000.0,1699400000.0,8034972071.59,4.791097177536893,1.427079127977392,0.34438040345821325,1.0922414245942114,0.11154125004583848,4.791097177536893,0.29894416136996377,1.0351249994472003,11.219947410982254,3.3541377693911856,0.3062730627306273,1.8490965556182948,0.027297192358570473,1.0216635198251018,0.604158255954784,0.09425618602802345,-163.72492491256412,0.5753007165321142,0.044444444444444314,0.9192277011475243,0.19371357332331846,1.1926379579047945,0.06038435945021844,0.028108125685360252,-0.057869955451020166,0.4122000299761095,0.04811600391955076,0.19225714051357315,Apparel Manufacturing,Consumer Cyclical,13.79,5470038275,2330714,LEVI
2021,2021-11-28,2022-01-26,553541000.0,5763936000.0,686211000.0,1.35,3346711000.0,0.5806294518,5900069000.0,1665661000.0,2709901000.0,1869618000.0,4234408000.0,897950000.0,1474874000.0,12078484487.6,4.14720329485426,1.4494410088050071,0.3798960656222834,1.3456597711058853,0.12781051660087464,4.14720329485426,0.33232512498041317,1.847233815156865,19.234957279767894,6.392259581991774,0.18865991859681577,2.6919371902667186,0.009808179755889341,0.9769268800076745,0.860839486996809,0.09381941126451233,18.669058576939264,0.5806294518190348,5.21875,0.8254077453679125,0.21514213184306918,1.7147197865454993,0.4223625582466752,5.353756852628185,40.94708347886832,0.8354576876559411,-0.029403139628569327,0.8414011338827483,Apparel Manufacturing,Consumer Cyclical,13.79,5470038275,2330714,LEVI
2020,2020-11-29,2021-01-27,-127141000.0,4452609000.0,-17178000.0,-0.32,2352924000.0,0.5284371477,5641241000.0,1299475000.0,3126241000.0,1548882000.0,4341766000.0,817692000.0,1114280000.0,8469236001.63,3.2706407191649847,2.0183855193617073,0.4714859726787067,2.046800438638681,-0.002276709349082706,3.2706407191649847,-0.0978402816522057,1.640976111226025,-57.4686765215784,5.622751497050732,-0.5005387719146459,2.567818934268649,0.008709766819263762,0.7892960077401409,1.377711794700952,-0.02253777138753689,21.540567157808155,0.528437147748657,-1.329896907216495,-1.5761417798262727,-0.05978119496883616,2.090541693923069,-0.24132827621830719,-1.3221924320598462,-1.0303136718577668,-1.4287972402557727,-0.13829914627746356,0.496803492346813,Apparel Manufacturing,Consumer Cyclical,13.79,5470038275,2330714,LEVI
2019,2019-11-24,2020-01-30,394612000.0,5763087000.0,566675000.0,0.97,3101373000.0,0.5381444007,4232418000.0,1563531000.0,2870186000.0,1167204000.0,2660861000.0,884192000.0,1310464000.0,6713981822.85,4.018509946162364,2.4590268710525325,0.2396658364084077,0.648766158138214,0.18179997912365808,4.018509946162364,0.2523851461851412,1.1510936452720566,16.811077267923935,4.242866193794686,0.288673431117148,3.0103348593970543,0.017171620028654914,1.3616535512324162,1.5402825898471904,0.09323559251472799,28.01079593488211,0.538144400735231,0.3472222222222222,2.605235901291189,0.17485819739452954,5.562529757573278,0.03448928026417832,0.3936893855379986,0.05514281458310059,0.34329137532553133,0.2541600090909342,1.6304783459283554,Apparel Manufacturing,Consumer Cyclical,13.79,5470038275,2330714,LEVI
2018,2018-11-25,2019-02-05,283142000.0,5575440000.0,537060000.0,0.72,2997975000.0,0.5377109251,3542660000.0,849253000.0,2288059000.0,1162199000.0,2686061000.0,883773000.0,974321000.0,8789332057.51,2.2521998159681456,1.9687325492450087,0.2969954779741776,1.238917024726436,0.1611295240191003,2.2521998159681456,0.33340123614517697,1.5156289113522878,29.844735353674128,9.95027165934062,0.3178617089658193,2.9164332922594376,0.010650511897626457,1.5738004776072216,1.0732103538206452,0.07992356026262752,32.38183177948176,0.5377109250570359,0.0,0.2411812925483181,0.190900741183758,3.0402140818268313,0.16983691993964248,0.006179749327476964,0.1496053890562088,0.3519261254034646,0.24050476883599545,1.1281816108717933,Apparel Manufacturing,Consumer Cyclical,13.79,5470038275,2330714,LEVI
2017,2017-11-26,2018-02-07,281403000.0,4904030000.0,467169000.0,0.72,2562729000.0,0.5225761262,3354692000.0,823945000.0,1994392000.0,877626000.0,2525269000.0,759396000.0,1100916000.0,8910511057.51,2.185083570346968,2.2724850904599454,0.3260612300622531,1.3275582714865677,0.1970444538603567,2.185083570346968,0.34153129153038125,1.723133434646607,30.02916833690472,10.255900645686303,0.24875356694846892,3.083109471211331,0.008283731475931689,1.4618421005564743,1.2751525137131305,0.08388340867060225,20.754091254632666,0.522576126165623,-0.05263157894736847,-0.8025504998097991,-0.8947766770589226,1.8232688603428475,0.10035027728496032,-0.03315215150557289,0.010735449701107945,1.652793227624955,0.031560423324229495,2.5684062364660027,Apparel Manufacturing,Consumer Cyclical,13.79,5470038275,2330714,LEVI
2016,2016-11-27,2017-02-09,291052000.0,4552739000.0,462207000.0,0.76,2329012000.0,0.5115628197,2987096000.0,588901000.0,1686147000.0,761743000.0,2395975000.0,716181000.0,-427314000.0,9323783198.67,1.527672695873929,2.213537899265238,0.35503981124141976,1.8008765480106164,0.19852159151280424,1.527672695873929,0.4942290809490899,1.8974969131043973,29.68132223338098,14.66937260875767,0.20614872943666424,3.104979048592465,0.006945402493047292,1.5241354814174033,1.12187575074533,0.09743643994033001,42.43029567126719,0.5115628196564749,0.43396226415094336,-0.7915219590388638,-0.9074820882468767,1.3592824183864916,0.026457251074380968,0.3896942263985179,0.07228910072451496,0.24801472490924914,-0.04876599196361074,1.7404871870300795,Apparel Manufacturing,Consumer Cyclical,13.79,5470038275,2330714,LEVI
2015,2015-11-29,2016-02-11,209436000.0,4494493000.0,431047000.0,0.53,2268981000.0,0.5048358068,2884395000.0,399051000.0,1528149000.0,846167000.0,2483749000.0,606859000.0,-379066000.0,9296588057.51,1.0582742583916742,1.8059661981618287,0.40384933408912443,2.9190780125848574,0.18491808579129912,1.0582742583916742,0.5248351714442515,1.8801448923182216,40.347877430384465,21.175985168587474,0.2387364158979354,3.6672637301251196,0.0059169510542369215,1.5582099539071452,0.9652550855800333,0.07261002740609382,74.28637537040781,0.5048358068418396,0.9629629629629629,-0.867662638401266,-0.8991997298611563,1.1874341397816213,-0.033834800974263765,0.9743584909217745,-0.03372622687696708,-0.8530469343900565,-0.9035639079705036,1.3987235337172672,Apparel Manufacturing,Consumer Cyclical,13.79,5470038275,2330714,LEVI
2014,2014-11-30,2015-02-12,106078000.0,4753992000.0,446092000.0,0.27,2348440000.0,0.4939932587,2924100000.0,230900000.0,1658500000.0,881000000.0,2693200000.0,600900000.0,528200000.0,9387643057.51,0.6123415960933253,1.8825198637911464,0.4225573680790671,5.351234300563014,0.20623166955750857,0.6123415960933253,0.4594110004330879,1.7775162552881874,79.66117439535059,36.59721982464271,0.28283904296838175,4.00324846064237,0.003550525649605407,1.625796655381143,1.2241259931895574,0.03627714510447659,52.97560736435275,0.49399325871814675,-0.5499999999999999,-0.9309150608380081,-0.8854647107488525,1.0689623838595441,-0.0008764092746224208,-0.5349964712019393,-0.014599039984448897,-0.9223222107969244,-0.9012372171359107,1.144012241704168,Apparel Manufacturing,Consumer Cyclical,13.79,5470038275,2330714,LEVI
2013,2013-11-24,2014-02-11,228123000.0,4681700000.0,452701000.0,0.6,2350500000.0,0.5020612171,3127400000.0,210200000.0,1839700000.0,785500000.0,2917200000.0,603900000.0,476000000.0,9517198057.51,0.5574456626193893,2.3420751113940166,0.4976018417855087,7.403425309229306,0.18122875585532122,0.5574456626193893,1.085266412940057,1.804963593888972,37.04272720203574,40.2012276760704,0.11002836189248782,3.860241761881106,0.002970309429226934,1.496994308371171,1.1915977084659453,0.07294333951525228,26.446106793154925,0.5020612170792661,-0.8412698412698413,-0.9015958583807424,-0.8947697162725087,1.0595950794373838,0.06874914745600873,0.6181460937167501,0.3573591671763873,-0.8558547912489353,-0.8950011436865014,1.098730879466777,Apparel Manufacturing,Consumer Cyclical,13.79,5470038275,2330714,LEVI
