Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-02-03,2717000000.0,31496000000.0,3534000000.0,1.96,11312000000.0,0.3591567183,71161000000.0,26883000000.0,10091000000.0,16731000000.0,44241000000.0,3381000000.0,31481000000.0,113367700000.00002,19.508708272859216,0.6031319108242185,0.32949227807366394,0.8721868839043262,0.05088116314090275,19.508708272859216,0.10106758918275491,2.9160433070866145,33.80334928229666,3.416423018264331,0.7305852042694148,5.9698314108252,0.021612805233238642,0.4426019870434648,0.34845496383957925,0.03818102612385998,30.594170552964695,0.35915671831343665,-0.12888888888888891,0.02093745560678264,0.3354032407401181,0.13043068503067642,0.005153723120668207,-0.1453287197231834,-0.3017190278601067,-0.2637974745258643,0.2767656179199835,0.03355026413497963,Confectioners,Consumer Defensive,70.79,96405360367,6039837,MDLZ
2021,2021-12-31,2022-02-04,3179000000.0,28720000000.0,5061000000.0,2.25,11254000000.0,0.3918523677,67092000000.0,28269000000.0,10342000000.0,14008000000.0,38769000000.0,2708000000.0,30806000000.0,109457930000.0,20.14896650035638,0.7382924043403769,0.2976658916115185,0.7064629099013053,0.07561792869930854,20.14896650035638,0.11245533977148113,3.239308147632312,29.26484114501416,3.2909876543209875,0.5743944636678201,6.449778434268833,0.019627458793354136,0.428068920288559,0.48072529982866935,0.047382698384308114,29.29248425692695,0.3918523676880223,0.5,1.660887854866257,0.22871482238546867,0.24604713145560708,0.07735018188780395,0.47244094488188976,0.31352193096288605,0.6120561925060811,0.16171096523993553,0.1568935011321368,Confectioners,Consumer Defensive,70.79,96405360367,6039837,MDLZ
2020,2020-12-31,2021-02-05,2159000000.0,26581000000.0,3853000000.0,1.5,10446000000.0,0.3929874723,67810000000.0,27578000000.0,9979000000.0,15159000000.0,40156000000.0,2647000000.0,28402000000.0,100567570000.0,19.27183787561146,0.6582888053301669,0.30255124612888956,0.7439263180796287,0.050633179901649755,19.27183787561146,0.07828704039451737,3.1477585493397537,38.75431681333951,3.0339607658278336,0.777211672070403,6.095579901775595,0.02005484126617041,0.3919923315145259,0.4336037997229369,0.0318389618050435,26.98180264430829,0.39298747225461794,-0.43396226415094336,-0.6640796101423231,0.01412295413089942,0.11315984873409055,0.01054464544838928,-0.4421188630490956,0.0026021337496747333,-0.2187829287063463,0.08527031309671305,0.11670524705297143,Confectioners,Consumer Defensive,70.79,96405360367,6039837,MDLZ
2019,2019-12-31,2020-02-07,3870000000.0,25868000000.0,3843000000.0,2.65,10337000000.0,0.3996056904,64549000000.0,27275000000.0,7630000000.0,15322000000.0,37198000000.0,2546000000.0,26653000000.0,97128600000.0,18.875432525951556,0.49797676543532177,0.29170087840245396,0.690339138405133,0.08258477723755446,18.875432525951556,0.14188817598533457,3.0767975877532088,20.566046511627906,2.9180788267644364,0.3984496124031008,6.100157109190888,0.019374147198287235,0.40074981796774545,0.27529043205847803,0.059954453206091496,26.18111842105263,0.39960569042832844,0.9064748201438849,1.0736434845431388,-0.11599621523372455,0.15021104149131817,-0.0014489953632148378,0.8704688255195747,0.16032608695652173,2.1451171900502715,0.07453196163725234,0.16728957554869137,Confectioners,Consumer Defensive,70.79,96405360367,6039837,MDLZ
2018,2018-12-31,2019-02-08,2069000000.0,25938000000.0,3312000000.0,1.39,10352000000.0,0.3991055594,62729000000.0,25637000000.0,7604000000.0,16737000000.0,37016000000.0,2592000000.0,24491000000.0,76196160000.0,17.416440217391305,0.45432275796140287,0.29287889174066223,0.7166205094199789,0.054787974483307744,17.416440217391305,0.08070367047626477,2.2717310509676922,28.479536007733206,2.2984030892850176,0.6568390526824552,6.013117283950617,0.023063544732754782,0.41349296178800876,0.24532472964091534,0.032983149739355004,20.65340343498072,0.3991055594109029,-0.27225130890052357,0.06924628514430616,-0.1144361307193085,-0.04560081099520676,0.02851465474416294,-0.2919233401779603,-0.05533371363377068,-0.6870492204186884,-0.03797223338829995,0.005990299576579055,Confectioners,Consumer Defensive,70.79,96405360367,6039837,MDLZ
2017,2017-12-31,2018-02-09,2922000000.0,25896000000.0,3506000000.0,1.91,10065000000.0,0.3886700649,63109000000.0,26111000000.0,7520000000.0,15793000000.0,36918000000.0,2557000000.0,22749000000.0,81647400000.0,17.25776602775942,0.4761603241942633,0.27970653947931357,0.6760369193060396,0.062469939424328505,17.25776602775942,0.11190685917812417,2.500633302440531,22.16167008898015,2.480042893799548,0.40999315537303216,6.191239734063355,0.018500101920427944,0.410337669745995,0.27144937630595833,0.046300844570505,41.01101963267891,0.38867006487488415,1.2738095238095237,1.1900786672914718,-0.13138553876305875,-0.04805059036695671,-0.006220379146919431,1.2052830188679244,0.364733359283768,0.4953135100193924,-0.15481286545689418,0.051635400105988355,Confectioners,Consumer Defensive,70.79,96405360367,6039837,MDLZ
2016,2016-12-31,2017-02-24,1325000000.0,25923000000.0,2569000000.0,0.84,10128000000.0,0.3906955214,61538000000.0,25161000000.0,8480000000.0,14417000000.0,36323000000.0,2469000000.0,21149000000.0,84435480000.0,16.170308483290487,0.5881944926128876,0.2794858461438461,0.6835578872063909,0.05526620257620215,16.170308483290487,0.05266086403561067,2.660860239941365,52.05847547169812,2.7414442987162673,0.8256603773584905,6.397326852976914,0.015860248881229062,0.42125190938932044,0.36144829021294306,0.02153141148558614,42.73697645600991,0.3906955213516954,-0.8108108108108109,-0.5738666387755712,-0.4591199232456425,-0.18957905349667173,-0.1202223766504517,-0.8176689142699877,-0.7112509834775768,-0.35221430240710444,-0.16272739726017413,-0.11388727490942077,Confectioners,Consumer Defensive,70.79,96405360367,6039837,MDLZ
2015,2015-12-31,2016-02-19,7267000000.0,29636000000.0,8897000000.0,4.44,11512000000.0,0.388446484,62843000000.0,28012000000.0,8958000000.0,10922000000.0,34743000000.0,2609000000.0,20700000000.0,86079120000.0,17.312731767614338,0.820179454312397,0.2450233120633961,0.5496929887191204,0.18953712440149503,17.312731767614338,0.25942453234328144,2.448073964097719,9.983641117379937,2.590001427959446,0.1387092335213981,6.946722882330395,0.01389365181405883,0.4715879254650478,0.5233473722761399,0.11563738204732428,32.76925022583559,0.38844648400593873,2.46875,2.0872387543938307,-0.3616214220579176,-0.1714200206100745,-0.08613161863935857,2.3273809523809526,1.7442936458975942,4.093250942847023,-0.07044655239578579,-0.04501864500851533,Confectioners,Consumer Defensive,70.79,96405360367,6039837,MDLZ
2014,2014-12-31,2015-02-20,2184000000.0,34244000000.0,3242000000.0,1.28,12597000000.0,0.3678600631,66815000000.0,27750000000.0,11750000000.0,14007000000.0,38962000000.0,3480000000.0,14529000000.0,76494575000.0,16.410408042578357,0.8388662811451417,0.24994387487839556,0.6018018018018018,0.06285508164259421,16.410408042578357,0.0787027027027027,1.7937616808784023,28.12526327838828,2.2135342342342343,0.4413919413919414,6.2204022988505745,0.015693788784231975,0.5125196437925615,0.45562932819304636,0.032687270822420116,31.99248697916667,0.36786006307674335,-0.015384615384615398,-0.3681227269550756,-0.25888692743060226,-0.06266103389508383,-0.0391304347826087,-0.0634648370497427,-0.18358096197431378,-0.35367898598242803,-0.3425447493541775,-0.1775457820044069,Confectioners,Consumer Defensive,70.79,96405360367,6039837,MDLZ
2013,2013-12-31,2014-03-03,2332000000.0,35299000000.0,3971000000.0,1.3,13110000000.0,0.3713986232,72557000000.0,32373000000.0,13216000000.0,14396000000.0,40025000000.0,3743000000.0,13419000000.0,77079200000.0,18.24859075535513,0.9180327868852459,0.23596620587951542,0.5288666481327032,0.07821944026727742,18.24859075535513,0.07203533809038397,1.7740502563812004,26.853430531732418,1.9343959472399836,0.40437392795883365,5.928132514026182,0.015058557508359655,0.4865002687542208,0.5603639899972215,0.03214024835646457,13.078989139515453,0.37139862319045863,0.4772727272727273,0.06002391371550969,-0.29698646251563526,0.2256148115420946,0.0026001835423676966,0.4881940012763242,0.09183392906241408,-0.0964160564646769,-0.30650070661846834,-0.12663020747239906,Confectioners,Consumer Defensive,70.79,96405360367,6039837,MDLZ
