Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2023,2023-04-29,2023-06-27,77100000.0,1179600000.0,90400000.0,2.1,264100000.0,0.2238894541,1579100000.0,941800000.0,664400000.0,228000000.0,637300000.0,159700000.0,772700000.0,1655189236.63,26.14075254780048,2.914035087719298,0.2123994680514217,0.35612656614992566,0.05924085982644834,26.14075254780048,0.08186451475897218,1.251940688903018,19.15420540376135,1.5680497309726058,0.25680933852140075,5.732623669380088,0.013407464998311578,0.7470077892470395,2.123684210526316,0.048825280222911785,16.26419864129956,0.2238894540522211,-0.22222222222222224,0.394802256093214,0.34387768203749697,0.5469362927121505,-0.003020007550018875,-0.2455968688845401,-0.19068934646374217,-0.3483809011734078,0.2015222220020582,0.25380415710494625,Electronic Components,Technology,32.45,1211663530,238236,MEI
2022,2022-04-30,2022-06-23,102200000.0,1163600000.0,111700000.0,2.7,264900000.0,0.2276555517,1389100000.0,913800000.0,629000000.0,188600000.0,475300000.0,158500000.0,763900000.0,1720312576.46,24.542028505815882,3.335100742311771,0.166510690375063,0.2531188443860801,0.08262746260381595,24.542028505815882,0.11184066535346902,1.4274772915606737,16.252569241291585,1.817698157649376,0.19960861056751467,5.670031545741325,0.012281664985028045,0.8376646749694047,2.4050901378579,0.07357281693182637,27.319285797039473,0.22765555173599175,-0.15360501567398113,0.1015556780520073,0.42698298631052795,0.691004998737886,-0.03356439255746078,-0.1643499591169256,-0.1266614542611415,0.12085089682581486,0.16859995509039136,0.331016224133011,Electronic Components,Technology,32.45,1211663530,238236,MEI
2021,2021-05-01,2021-06-24,122300000.0,1088000000.0,127900000.0,3.19,274100000.0,0.2519301471,1467000000.0,918000000.0,674000000.0,222700000.0,549000000.0,124200000.0,746000000.0,1739574971.95,24.133370786502084,3.0264930399640773,0.17975460122699385,0.2872549019607843,0.0962032835333098,24.133370786502084,0.1332244008714597,1.5708409668658088,13.974447849141455,1.861737442211329,0.14227309893704007,6.553140096618358,0.010180946000366009,0.7416496250852079,2.3673102828917827,0.08336741649625085,11.033408469657845,0.25193014705882355,-0.021472392638036762,0.4568327329164984,0.3551279131881442,0.9679135990437037,-0.031106398020501944,-0.008914100486223663,-0.13052345343303876,1.095562530633379,0.1740045428817267,0.42814507986536454,Electronic Components,Technology,32.45,1211663530,238236,MEI
2020,2020-05-02,2020-06-30,123400000.0,1023900000.0,147100000.0,3.26,282900000.0,0.2762965133,1370600000.0,783400000.0,565600000.0,143800000.0,587200000.0,131000000.0,651900000.0,1232705363.63,20.84915128065925,3.933240611961057,0.27579162410623087,0.4825121266275211,0.10281498017207556,20.84915128065925,0.15751850906305848,1.0469824823029592,8.68723957560778,1.3684010258233343,0.13209076175040518,5.656488549618321,0.015205147803370418,0.7470450897417189,2.911682892906815,0.0900335619436743,11.225187053717278,0.27629651333138,0.3415637860082303,0.25669726978984136,0.19646227376540223,0.7580322004942228,0.06433408577878104,0.3471615720524017,0.37734082397003743,0.31800248228614003,0.24428004553398883,0.4365568447890256,Electronic Components,Technology,32.45,1211663530,238236,MEI
2019,2019-04-27,2019-06-20,91600000.0,1000300000.0,106800000.0,2.43,265800000.0,0.26572028391482555,1231700000.0,689700000.0,453500000.0,180900000.0,542000000.0,116700000.0,545200000.0,1306497390.34,18.438564504953284,2.5069098949695965,0.23755784687829828,0.42424242424242425,0.096130859848665,18.438564504953284,0.13281136726112802,1.0967683598320503,11.977045746069868,1.5906878212846163,0.1779475982532751,6.293916023993145,0.0148573865397205,0.8121295770073882,1.7512437810945274,0.07436875862628888,21.017191385823754,0.26572028391482555,0.5986842105263159,-0.03234209741848471,0.3140531060338495,0.786630420071577,0.10934891485809682,0.6013986013986014,-0.09721048182586645,0.10960980117297142,0.266990157752335,0.5035405603777806,Electronic Components,Technology,32.45,1211663530,238236,MEI
2018,2018-04-28,2018-06-21,57200000.0,908300000.0,118300000.0,1.52,239600000.0,0.26378949686227016,915900000.0,630000000.0,550000000.0,157000000.0,285900000.0,84100000.0,472000000.0,1323470096.5,16.89840277906304,3.5031847133757963,0.06310732612730648,0.09174603174603174,0.07946903827191755,16.89840277906304,0.09079365079365079,1.6643951299130244,26.42954714160839,2.3996350738095233,0.256993006993007,7.951248513674197,0.009723700736000106,0.9917021508898352,2.8579617834394906,0.06245223277650398,21.783430785302592,0.26378949686227016,-0.3870967741935484,0.40879299668116886,0.753128786812838,1.184421303921626,0.09757214841960604,-0.38428417653390745,0.06768953068592058,-0.41290033131150217,0.06972236307748253,0.42489906771756725,Electronic Components,Technology,32.45,1211663530,238236,MEI
2017,2017-04-29,2017-06-22,92900000.0,816500000.0,110800000.0,2.48,218300000.0,0.267360685854256,704000000.0,541100000.0,530300000.0,124400000.0,162900000.0,57900000.0,427000000.0,1393961926.8,14.513279691150112,4.262861736334405,0.03835227272727273,0.04989835520236555,0.15633177148173702,14.513279691150112,0.17168730364073184,2.0342460830373543,17.879030428417654,3.0696025259656254,0.147470398277718,10.33160621761658,0.008248232412162718,1.1598011363636365,3.692122186495177,0.13196022727272727,13.525748589576548,0.267360685854256,0.12727272727272718,10.326117397425271,0.7942350217776385,1.1683392633781449,0.025364020666979802,0.09810874704491726,0.010027347310847767,-0.01539227699585095,0.07611822665654477,0.40628447427401876,Electronic Components,Technology,32.45,1211663530,238236,MEI
2016,2016-04-30,2016-06-23,84600000.0,809100000.0,109700000.0,2.2,212900000.0,0.2631318749227537,655900000.0,470100000.0,496200000.0,117900000.0,185800000.0,66200000.0,358600000.0,968854479.3199999,12.263430060257502,4.208651399491094,0.08690349138588199,0.12125079770261646,0.15876414476064568,12.263430060257502,0.1799617102744097,1.4085458896551724,13.471093136170213,2.4242809600510533,0.1595744680851064,9.006042296072508,0.011845695555073036,1.2335721908827566,3.4206955046649705,0.1289830766885196,13.024622620799999,0.2631318749227537,-0.14396887159533062,3.2020464703511307,0.8300604028571474,0.7577627431090247,-0.02696526508226691,-0.1632047477744807,-0.022281639928698752,1.0264603825544223,0.5188095086410095,0.5852680417802592,Electronic Components,Technology,32.45,1211663530,238236,MEI
2015,2015-05-02,2015-06-25,101100000.0,881100000.0,112200000.0,2.57,218800000.0,0.24832595619112474,605800000.0,458800000.0,438300000.0,130600000.0,146800000.0,70900000.0,356500000.0,1523253906.8500001,11.859368261171825,3.3560490045941807,0.008253549026081214,0.010897994768962511,0.2022630501272243,11.859368261171825,0.22035745422842198,1.9139188592100784,16.680058425816025,3.6755752110941593,0.13649851632047477,9.341325811001411,0.008183335623645873,1.4544404093760317,2.591883614088821,0.16688676130736216,16.796353653884463,0.24832595619112474,0.023904382470119546,6.025959494540319,1.2140453018832325,0.8389599652134285,0.39629865985960433,0.05202913631633715,0.5244565217391305,10.878637125524385,0.8659433594760412,0.7718347876421072,Electronic Components,Technology,32.45,1211663530,238236,MEI
2014,2014-05-03,2014-06-26,96100000.0,772800000.0,73600000.0,2.51,156700000.0,0.20276915113871635,575500000.0,391900000.0,381700000.0,119100000.0,183300000.0,71600000.0,269200000.0,1040431952.3999999,10.320301444444558,3.2048698572628043,0.08340573414422242,0.12248022454707834,0.21205921455978288,10.320301444444558,0.24521561622862975,1.4348239549689439,11.538313760665973,2.829374719060985,0.11758584807492195,8.604748603351956,0.0101909040189019,1.342832319721981,2.429890848026868,0.16698523023457862,25.549123327188937,0.20276915113871635,1.3240740740740737,1.8297222807980886,0.7500965367717659,0.6421130616184196,0.71002662708979,1.3589768766262458,0.8786053397314819,3.8184714205784367,0.7645165997214658,0.47924693887135744,Electronic Components,Technology,32.45,1211663530,238236,MEI
