Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-09-30,2022-11-18,-28635000.0,219164000.0,-12955000.0,-0.78,122044000.0,0.5568615284,392247000.0,134621000.0,261536000.0,106928000.0,257626000.0,6375000.0,-284445000.0,1216433120.0,3.663754626605704,2.445907526559928,0.3880463075562082,1.1306556926482496,-0.04498510533258968,3.663754626605704,-0.21270826988359914,5.738839955467139,-43.923419591409115,9.342874588660015,0.0,15.234509803921569,0.0,0.5587397736630235,2.2692372437528054,-0.07300247038218266,51.77192393183502,0.5568615283531967,0.07142857142857137,0.43544445342194016,0.3027498913673356,1.543876937001692,0.14276618257067147,0.03705821031038773,0.10122103510475926,-0.301961809129745,0.3612180707756299,1.23986455606303,Software—Application,Technology,35.12,1338317840,271495,MODN
2021,2021-09-30,2021-11-19,-29737000.0,193445000.0,-14414000.0,-0.84,106797000.0,0.5520794024,363790000.0,123518000.0,222330000.0,96459000.0,240272000.0,5236000.0,-255810000.0,1168535500.0,3.4832069033586195,2.3049171150436973,0.40149261936831687,1.1824916206544795,-0.05078909757705919,3.4832069033586195,-0.2407503359834194,6.1409883946341335,-39.948330362847635,9.617573956832203,0.0,16.548510313216195,0.0,0.5317490860111603,2.163115935267834,-0.08174221391462107,64.0919072025897,0.5520794024141229,-1.0999999999999999,0.3065878313344225,0.39623350814427355,0.44054140066849395,0.11759104227710339,-1.1763026932084308,-1.1819557977596125,0.09711161185360208,0.07140075789895745,1.64237881937856,Software—Application,Technology,35.12,1338317840,271495,MODN
2020,2020-09-30,2020-11-23,-13664000.0,161056000.0,-6606000.0,-0.4,95560000.0,0.5933339956,320290000.0,124671000.0,246398000.0,77666000.0,195619000.0,2797000.0,-226073000.0,1117276240.0,3.6659315455187014,3.172533669816908,0.3683068469199788,0.946210425840813,-0.028531389969327674,3.6659315455187014,-0.10960046843291543,7.449596662030598,-87.80754098360656,9.623747623745698,0.0,23.41651769753307,0.0,0.5028442973555216,3.04234800298715,-0.042661338162290424,86.77241917986548,0.5933339956288496,0.33333333333333326,0.4677677072331783,0.31390811229750054,0.1481689479746336,0.272352040476666,0.29176385217436374,0.5599227233362201,0.7089331908516978,0.034365618662884706,1.5453884502936253,Software—Application,Technology,35.12,1338317840,271495,MODN
2019,2019-09-30,2019-11-15,-19293000.0,141235000.0,-15011000.0,-0.6,75105000.0,0.5317732857,169593000.0,52722000.0,94548000.0,76348000.0,116871000.0,2776000.0,-212409000.0,878262320.0,1.6357036485480267,1.2383821449153873,0.26110747495474457,0.8399150259853572,-0.16347360017892054,1.6357036485480267,-0.36593831796972803,6.335259107161822,-46.377459182086774,16.97128940480255,0.0,23.822046109510087,0.0,0.8327879098783558,1.14911981977262,-0.11376059153384868,87.98036578171092,0.531773285658654,0.35483870967741943,0.3005877355291659,0.3076980373413403,-0.5513968198268591,-0.1589397298931667,0.3160208458893183,0.27755318124939843,0.5050540277515512,0.12151892359262516,-0.3235260234797072,Software—Application,Technology,35.12,1338317840,271495,MODN
2018,2018-09-30,2018-11-16,-28207000.0,154632000.0,-20778000.0,-0.93,89298000.0,0.5774871954058668,166153000.0,40034000.0,89063000.0,72608000.0,126119000.0,0.0,-203500000.0,486260700.0,1.3182087586433981,1.226627919788453,0.32322016454713426,1.341459759204676,-0.22144840008105016,1.3182087586433981,-0.7045761103062397,3.16403267111594,-17.345364625802105,12.221129539891091,0.0,0.0,0.0,0.9306602950292803,1.1703531291317761,-0.16976521639693534,215.43844121532365,0.5774871954058668,0.326086956521739,-15.026943897830288,-0.20161393837753272,-0.7750041898527755,0.274356742254506,0.2867474144688598,0.4618631996063298,-0.23031570187622513,0.41261482075981437,-0.5871373088041704,Software—Application,Technology,35.12,1338317840,271495,MODN
2017,2017-09-30,2017-11-15,-39547000.0,131169000.0,-38611000.0,-1.38,70073000.0,0.5342192133812105,171936000.0,41261000.0,87088000.0,76916000.0,130675000.0,0.0,-175293000.0,427949550.0,1.4402247896959754,1.1322481668313484,0.3327110087474409,1.386418167276605,-0.3620511605157976,1.4402247896959754,-0.9584595622985386,3.265272663510433,-10.830215945583735,10.38032403480284,0.0,0.0,0.0,0.7628943327749861,1.0705444900930885,-0.23001000372231528,-33.74320885527456,0.5342192133812105,-0.140495867768595,-2.652910275545509,-0.1813717901873059,1.4151567072531042,0.3152333045534742,-0.19437649119627917,-0.17932193036041538,-0.6129645040199265,0.36638829244387466,-0.6050082657727608,Software—Application,Technology,35.12,1338317840,271495,MODN
2016,2016-09-30,2016-11-18,-33111000.0,106971000.0,-32740000.0,-1.21,53278000.0,0.49806022192930793,112967000.0,66202000.0,92832000.0,44244000.0,46765000.0,0.0,-135746000.0,238031690.0,2.4179845867270537,2.0981828044480606,0.0,0.0,-0.4996017045986508,2.4179845867270537,-0.5001510528382829,2.8435808770601376,-9.186695962066986,4.594735657533005,0.0,0.0,0.0,0.9469225526038577,1.9454389295723713,-0.29310329565271276,-19.627093173312687,0.49806022192930793,-0.5921052631578947,-6.97660904150511,-0.5609212444514947,1.3563028210206414,0.020670894078430622,-0.6859819746422934,-0.7106431892993365,-19.868600518898113,-0.38735789785250796,-0.5872911650397189,Software—Application,Technology,35.12,1338317840,271495,MODN
2015,2015-09-30,2015-11-23,-19639000.0,93768000.0,-19139000.0,-0.76,52199000.0,0.5566824503028752,121970000.0,83062000.0,110961000.0,36147000.0,38908000.0,0.0,-102635000.0,169391150.0,3.192850278685374,3.069715329072952,0.0,0.0,-0.23678425255704103,3.192850278685374,-0.23643784161228962,2.7771750490572478,-13.259847751922196,3.1351297825720543,0.0,0.0,0.0,0.7687792080019678,2.9635931059285694,-0.16101500368943183,-19.465551651965914,0.5566824503028752,0.11627906976744183,-19.225819401405502,0.07652283668042097,0.0,0.18601744978642187,0.0594799099659978,0.061491688324425045,-0.9977009145401428,-0.3555402643666226,1.9203654998404724,Software—Application,Technology,35.12,1338317840,271495,MODN
2014,2014-09-30,2014-11-19,-20881000.0,81756000.0,-20393000.0,-0.86,44012000.0,0.5383335779636969,129131000.0,88964000.0,118874000.0,36504000.0,40167000.0,0.0,-82996000.0,139568140.0,3.6462150088118364,3.2564650449265833,0.0,0.0,-0.2335220046008481,3.6462150088118364,-0.23471291758464097,2.9425869660942316,-11.521198218476126,2.7041740479294996,0.0,0.0,0.0,0.633124501475246,3.1834593469208854,-0.1617040060094013,-29.104057585289137,0.5383335779636969,-13.333333333333334,-21.66192539167221,0.0007832600564826242,0.0,-0.21015038943325795,-21.549676025917925,-39.62310606060606,-5.2294062072741525,-0.6234336068162104,1.5372890715759187,Software—Application,Technology,35.12,1338317840,271495,MODN
2013,2013-09-30,2013-12-09,-926000.0,101904000.0,528000.0,-0.06,55722000.0,0.5468087611869995,134472000.0,93618000.0,123548000.0,36706000.0,40854000.0,0.0,-62115000.0,55160100.0,5.8588146942862505,3.365880237563341,0.0,0.0,0.010687690898464837,5.8588146942862505,-0.009891260227733983,1.5523639896373056,-170.83380129589634,1.6897615843107097,0.0,0.0,0.0,0.7578083169730502,3.2553261047240234,-0.006886191920994705,-28.51849648458626,0.5468087611869995,0.8421052631578947,-2.399113388806783,0.9047327941707715,0.0,0.2744613695622341,0.8373441067978219,1.1258041458184418,-2.399113388806783,0.9047327941707715,0.0,Software—Application,Technology,35.12,1338317840,271495,MODN
