Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2020Q2,2020,Q2,2020-06-30,2020-06-30,-221485500.0,678138500.0,-217153500.0,-46.75155672823219,43528500.0,0.06418821523921736,4097971000.0,157087000.0,749996000.0,2019160000.0,3940884000.0,5880000.0,-1148280000.0,7692877427.875,9853260427.875,33.15820580474934,0.3714396085500901,0.5821034360662874,15.18548956947424,-0.05414618444866878,33.15820580474934,-1.4099543565030843,11.344109540860753,-8.68327433158717,48.972081890130944,0.0,107.92687074829932,0.0,0.16548152732169163,0.3236365617385447,-0.054047600629677464,0.0,0.06418821523921736,0.0,-14.360609259538531,-0.2098900858836021,0.0,0.0,0.0,0.0,-14.360609259538531,-0.2098900858836021,0.0,Personal Services,Consumer Cyclical,MRM
2019Q2,2019,Q2,2019-06-30,2019-06-30,4333750.0,977066000.0,19724000.0,0.91475,237689500.0,0.2432686225904903,,,,,,,,7760881871.625,,,0.0,0.0,0.0,0.0,,0.0,7.943047728224092,447.70013681136425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2675.2436648138573,0.2432686225904903,0.0,-0.7385763836525411,0.13839508204600157,0.0,0.0,0.0,0.0,-0.7385763836525411,0.13839508204600157,0.0,Personal Services,Consumer Cyclical,MRM
2019Q1,2019,Q1,2019-03-31,2019-03-31,4333750.0,977066000.0,19724000.0,0.91475,237689500.0,0.2432686225904903,,,,,,,,7971266145.499999,,,0.0,0.0,0.0,0.0,,0.0,8.158370207846756,459.83652411306593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2747.7649588073077,0.2432686225904903,0.0,-0.7385763836525411,0.13839508204600157,0.0,0.0,0.0,0.0,-0.7385763836525411,0.13839508204600157,0.0,Personal Services,Consumer Cyclical,MRM
2018Q2,2018,Q2,2018-06-30,2018-06-30,16577500.0,858283750.0,28511500.0,3.4992085,239217000.0,0.27871551803235234,,,,,,,,7908988391.75,,,0.0,0.0,0.0,0.0,,0.0,9.214887724193776,119.27293608430101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.7797287073466,0.27871551803235234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Personal Services,Consumer Cyclical,MRM
2018Q1,2018,Q1,2018-03-31,2018-03-31,16577500.0,858283750.0,28511500.0,3.4992085,239217000.0,0.27871551803235234,,,,,,,,7622152520.040499,,,0.0,0.0,0.0,0.0,,0.0,8.880690704024746,114.94725561816468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.27557657902935,0.27871551803235234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Personal Services,Consumer Cyclical,MRM
2023Q1,2023,Q1,2023-02-22,2023-02-22,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Personal Services,Consumer Cyclical,MRM
2022Q4,2022,Q4,2022-12-09,2022-12-31,,,,,,,6747346000.0,-59378000.0,2363211000.0,3641967000.0,6806724000.0,114109000.0,-2545068000.0,0.0,2625881000.0,0.0,0.6488831447401913,0.4789045944879661,-54.419734581831655,,0.0,,0.0,0.0,0.0,0.0,,,,0.537198442490006,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Personal Services,Consumer Cyclical,MRM
2022Q2,2022,Q2,2022-06-30,2022-06-30,,,,,,,5489667000.0,-389884000.0,1235893000.0,3162311000.0,5879551000.0,29301000.0,-2875574000.0,0.0,2664692000.0,0.0,0.3908195620228371,0.5037482237082869,-7.09290455622698,,0.0,,0.0,0.0,0.0,0.0,,,,0.28247253353639157,,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,Personal Services,Consumer Cyclical,MRM
2021Q4,2021,Q4,2021-12-31,2021-12-31,,,,,,,5753061000.0,-208343000.0,1382302000.0,3196473000.0,5961404000.0,18703000.0,-2694033000.0,0.0,2422179000.0,0.0,0.43244601158839757,0.4854452264629212,-13.404798817334875,,0.0,,0.0,0.0,0.0,0.0,,,,0.39181716848539,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Personal Services,Consumer Cyclical,MRM
2021Q2,2021,Q2,2021-06-30,2021-06-30,,,,,,,5200016000.0,206069000.0,872178000.0,2447434000.0,4993947000.0,10904000.0,-2225072000.0,0.0,2162424000.0,0.0,0.35636425742226346,0.4841088950495537,12.216170311885824,,0.0,,0.0,0.0,0.0,0.0,,,,0.30653206582894577,,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,Personal Services,Consumer Cyclical,MRM
