Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-04,2023-03-31,21772000.0,75465000.0,60693000.0,0.97,95539000.0,1.2660041079,7930174000.0,775643000.0,968935000.0,31173000.0,7154531000.0,0.0,295200000.0,502694009.8,948427009.8,34.470004181856076,31.08250729798223,0.07337153005722195,0.7501505202780145,0.033957253364083104,34.470004181856076,0.028069614500485403,6.661286819055191,5.772253465460224,0.6480997182982378,0.41231857431563473,0.0,0.017857781920997143,0.009516184638571613,47.44374939851795,0.002745463088199578,38.02526549167928,1.266004107864573,-0.2971014492753623,0.0,0.0,0.0,0.02948180554507936,-0.3376733998539791,-0.1399237603979197,0.0,0.0,0.0,Banks—Regional,Financial Services,MSBIP
2022Q4,2022,Q4,2023-02-24,2022-12-31,32872000.0,92803000.0,70567000.0,1.38,92803000.0,1.0,7855501000.0,758574000.0,1423326000.0,80217000.0,7096927000.0,0.0,282405000.0,581479674.86,998216674.86,33.87937297162298,17.743445902988146,0.07664476142260054,0.7937037124921233,0.03883245228904722,33.87937297162298,0.04333393973429092,6.265742215876642,4.42230222423339,0.7665431122870016,0.29471890971039183,0.0,0.016660943484108078,0.0118137595552467,17.743445902988146,0.0041845835166974075,19.845045386164294,1.0,0.3142857142857141,0.0,0.0,0.0,0.16221665623043205,0.39755962756685514,0.5712281795511222,0.0,0.0,0.0,Banks—Regional,Financial Services,MSBIP
2022Q3,2022,Q3,2022-11-03,2022-09-30,23521000.0,79850000.0,44912000.0,1.05,79850000.0,1.0,7821877000.0,739279000.0,1466568000.0,229634000.0,7082598000.0,0.0,259221000.0,572075690.9,761914690.9,33.01762118275668,6.386545546391214,0.06384273237740762,0.6754824633189905,0.029028067840185842,33.01762118275668,0.031816134368756584,7.164379347526612,6.080477986692744,0.7738292186035313,0.2750733387185919,0.0,0.01130969223639144,0.010208547130055867,6.386545546391214,0.0030070787357049976,11.34283118667592,1.0,0.0714285714285715,0.0,0.0,0.0,9.534300791556728,0.07485262532559521,0.13917564996829423,0.0,0.0,0.0,Banks—Regional,Financial Services,MSBIP
2022Q2,2022,Q2,2022-08-04,2022-06-30,21883000.0,7580000.0,39425000.0,0.98,7580000.0,1.0,7435812000.0,636188000.0,1041265000.0,67689000.0,6799624000.0,0.0,242170000.0,549381252.0009083,709485252.0009083,28.451015143944414,15.38307553664554,0.05705859696291407,0.6669050657981603,0.02789269392765663,28.451015143944414,0.03439706501851654,72.47773773099054,6.276347530056531,0.8635517362806406,0.2956633002787552,0.0,0.011776885316773249,0.0010193910227961653,21.871603953374994,0.0029429200200327818,4.781968664597151,1.0,0.0,0.0,0.0,0.0,-0.895927726062004,0.054653236300544604,0.18357850495346742,0.0,0.0,0.0,Banks—Regional,Financial Services,MSBIP
2022Q1,2022,Q1,2022-03-31,2022-03-31,20749000.0,72834000.0,33310000.0,0.0,72834000.0,1.0,7338715000.0,644986000.0,1623991000.0,0.0,459442000.0,0.0,226757000.0,0.0,133356000.0,0.0,0.0,0.06260523811048664,0.7123286396914041,0.0226382619436562,0.0,0.032169690504910184,0.0,0.0,0.0,0.31153308593185214,0.0,,0.00992462576895274,0.0,0.002827334213142219,0.0,1.0,0.0,0.0,0.0,0.0,-0.07683532751977287,-0.10204699874496906,-0.09301312421717585,0.0,0.0,0.0,Banks—Regional,Financial Services,MSBIP
2021Q4,2021,Q4,2021-12-31,2021-12-31,23107000.0,78896000.0,36726000.0,0.0,78896000.0,1.0,7443805000.0,663837000.0,2022650000.0,0.0,6779968000.0,0.0,212472000.0,0.0,-213492000.0,0.0,0.0,0.061770156526131464,0.692647442067857,0.02444817216492329,0.0,0.0348082435899174,0.0,0.0,0.0,0.2702644220366123,0.0,,0.010598880545634928,0.0,0.0031041920093285626,0.0,1.0,0.0,0.0,0.0,0.0,0.13395423709325055,0.1820646613464293,0.1291621829362029,0.0,0.0,0.0,Banks—Regional,Financial Services,MSBIP
2021Q3,2021,Q3,2021-09-30,2021-09-30,19548000.0,69576000.0,32525000.0,0.0,69576000.0,1.0,7093959000.0,657844000.0,1975837000.0,0.0,6436115000.0,0.0,195610000.0,0.0,-68388000.0,0.0,0.0,0.0831390483085679,0.8965423413453646,0.01986698510942886,0.0,0.029715251640206494,0.0,0.0,0.0,0.32223245344792306,0.0,,0.009807781522278321,0.0,0.0027555840116922016,0.0,1.0,0.0,0.0,0.0,0.0,0.013119767018565707,-0.028622540250447227,0.19017125292740047,0.0,0.0,0.0,Banks—Regional,Financial Services,MSBIP
2021Q2,2021,Q2,2021-06-30,2021-06-30,20124000.0,68675000.0,27328000.0,0.0,68675000.0,1.0,6630010000.0,648186000.0,1590502000.0,0.0,5981824000.0,0.0,182361000.0,0.0,171430000.0,0.0,0.0,0.08902128352747582,0.9105596233179982,0.02311134628184602,0.0,0.031046644018846443,0.0,0.0,0.0,0.31440071556350624,0.0,,0.010358204587926715,0.0,0.003035289539533123,0.0,1.0,0.0,0.0,0.0,0.0,0.010535764210774142,0.08555399719495091,-0.16364192807957154,0.0,0.0,0.0,Banks—Regional,Financial Services,MSBIP
2021Q1,2021,Q1,2021-03-31,2021-03-31,18538000.0,67959000.0,32675000.0,0.0,67959000.0,1.0,6884786000.0,635467000.0,1730646000.0,0.0,0.0,0.0,168564000.0,0.0,81659000.0,0.0,0.0,0.10314176795037638,1.117460072670965,0.018570736852983022,0.0,0.02917224655253538,0.0,0.0,0.0,0.3398964289567375,0.0,,0.00987089504307033,0.0,0.002692603662626551,0.0,1.0,0.0,0.0,0.0,0.0,-0.05696325488454707,1.2246489859594383,0.6385016547989169,0.0,0.0,0.0,Banks—Regional,Financial Services,MSBIP
2020Q4,2020,Q4,2020-12-31,2020-12-31,8333000.0,72064000.0,19942000.0,0.0,72064000.0,1.0,6868540000.0,621391000.0,1447400000.0,0.0,6247149000.0,0.0,156327000.0,0.0,623673000.0,0.0,0.0,0.13987732472985526,1.5461327891778285,0.009700791064418741,0.0,0.013410236067146128,0.0,0.0,0.0,0.7238689547581904,0.0,,0.010491894929635702,0.0,0.001213212706048156,0.0,1.0,0.0,0.0,0.0,0.0,0.03397612488521579,95.8953488372093,0.46589238459276683,0.0,0.0,0.0,Banks—Regional,Financial Services,MSBIP
