Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2022-12-31,9302000000.0,79844000000.0,10272000000.0,8.4,12535000000.0,0.1569936376,94547000000.0,53152000000.0,37118000000.0,22398000000.0,38957000000.0,20087000000.0,45442000000.0,31209100000.0,48.10135746606335,1.6572015358514154,0.12321913968713973,0.21918272125225768,0.13217773080131925,48.10135746606335,0.17500752558699578,0.36287134913080504,3.1147172651042783,0.5450989614689946,0.03569124919372178,3.350873699407577,0.01145890498427852,0.8444900419896982,0.5917046164836146,0.0983849302463325,4.301870824053452,0.15699363759330695,-0.5457003785830178,0.8796982352148728,0.07313958919253119,0.26487882171194443,-0.3482894873661225,-0.5459116426653648,-0.39491046182846373,4.566513944637792,0.036555331744405936,0.26493795885678384,Steel,Basic Materials,26.75,22415991536,2227596,MT
2021,2021-12-31,2021-12-31,20485000000.0,76571000000.0,16976000000.0,18.49,19234000000.0,0.2511917044,90512000000.0,49106000000.0,34939000000.0,24167000000.0,39168000000.0,19858000000.0,36702000000.0,39202150000.0,44.439819004524885,1.4457317830098895,0.09281642213187202,0.1710788905632713,0.33043032706323894,44.439819004524885,0.4171587993320572,0.4593403507855454,1.7169709543568463,0.7162495418075184,0.01523065657798389,2.8873501863228928,0.008870654765204856,0.8459762241470744,0.3936773285885712,0.22632358140357078,5.0996302740321875,0.2511917044311815,37.254901960784316,8.934410151770658,0.16323341446190218,0.4058708617339619,3.654888673765731,36.44117647058823,13.880121396054628,2.6544063821205017,-0.07494840445857841,0.0717677206100071,Steel,Basic Materials,26.75,22415991536,2227596,MT
2020,2020-12-31,2020-12-31,-578000000.0,53270000000.0,-1318000000.0,-0.51,4132000000.0,0.0775671109,82052000000.0,38280000000.0,27973000000.0,22667000000.0,41815000000.0,12328000000.0,22097000000.0,32465000000.0,33.578947368421055,1.234084792870693,0.15017306098571637,0.32189132706374085,0.01361782095415913,33.578947368421055,-0.01509926854754441,0.4900694574807584,-45.166089965397916,0.681974921630094,-0.31314878892733566,3.985885788449059,0.006933272044740673,0.6492224443036123,0.3985970794547139,-0.00704431336225808,15.889227023737066,0.07756711094424629,0.7838983050847458,0.9519472740727984,-0.44650387294236726,0.0006243514936440506,-0.9388286847871143,0.7582601421999163,0.005283018867924529,-1.1132131993732142,-0.3060086550627212,-0.1170041425200579,Steel,Basic Materials,26.75,22415991536,2227596,MT
2019,2019-12-31,2019-12-31,-2391000000.0,70615000000.0,-1325000000.0,-2.36,67548000000.0,0.9565673016,87908000000.0,38521000000.0,28616000000.0,21287000000.0,47425000000.0,17296000000.0,22883000000.0,27113020000.0,38.02665350444225,1.3442946399210787,0.16312508531646722,0.37226447911528776,-0.030373237991235227,38.02665350444225,-0.06207003971859505,0.2516182114281668,-7.431208699289001,0.4612554191220373,-0.13885403596821413,0.17732423681776133,0.018685255869815547,0.8032829776584611,0.40231126978907317,-0.027198889748373298,7.267083844580777,0.9565673015648234,-1.4682539682539684,-0.6331085087181555,-0.3393253294267433,-0.3210696977918903,6.49866785079929,-1.4643620120411731,-1.202630371616455,-2.2648485487315817,0.17017912449386852,0.20298789078564042,Steel,Basic Materials,26.75,22415991536,2227596,MT
2018,2018-12-31,2019-02-25,5149000000.0,76033000000.0,6539000000.0,5.04,9008000000.0,0.11847487275262057,91249000000.0,42086000000.0,32475000000.0,23455000000.0,47141000000.0,20744000000.0,25611000000.0,31291050000.0,41.464039408866995,1.384566190577702,0.13680149919451173,0.29660694767856294,0.1272373433025458,41.464039408866995,0.12234472271064012,0.27593347625373194,4.074587298504564,0.49850425319583713,0.04272674305690426,3.231054762822985,0.010486152320895326,0.8332474876437002,0.3554465998720955,0.05642801564948657,23.546632996632997,0.11847487275262057,0.13004484304932737,2.4885664129673755,-0.2958000310623998,-0.3781259018555934,0.15442778418556966,0.1271891418563923,0.20334928229665072,1.4807860872569647,-0.1126952115383346,0.23559345349887814,Steel,Basic Materials,26.75,22415991536,2227596,MT
2017,2017-12-31,2018-02-15,4568000000.0,68679000000.0,5434000000.0,4.46,7803000000.0,0.11361551565980868,85297000000.0,38789000000.0,26745000000.0,21410000000.0,44442000000.0,17986000000.0,20635000000.0,43310200000.0,38.02843137254902,1.249182624941616,0.15156453333645967,0.33329036582536287,0.09510887420191945,38.02843137254902,0.11776534584547166,0.47985847202201554,7.2145796847635735,0.849627471705896,0.03086690017513135,3.384632491938174,0.004278405884173539,0.8051748596081926,0.36987389070527793,0.053554052311335684,18.89690366972477,0.11361551565980868,1.3978468840356089,1.781112595926873,-0.4803927279331611,-0.5221899576276795,0.2263083451202263,1.567734682405846,0.3059360730593607,4.098637941097028,-0.3618483007914415,-0.3210379556210765,Steel,Basic Materials,26.75,22415991536,2227596,MT
2016,2016-12-31,2017-02-23,1779000000.0,56791000000.0,4161000000.0,1.860002,6363000000.0,0.11204240108467892,75142000000.0,30135000000.0,22247000000.0,18115000000.0,42817000000.0,14734000000.0,16049000000.0,32050979122.0,31.61017147031133,1.2280982611095776,0.18197545979611934,0.4537580886012942,0.05982763092606793,31.61017147031133,0.059034345445495275,0.36762830592875634,11.73579489713322,0.6928149700348432,0.034288926363125354,3.4225600651554227,0.0029217387201868478,0.7557823853504032,0.3454595638973227,0.02367517500199622,79.08325425,0.11204240108467892,1.1761525168521427,-0.46410757496852134,-0.5880327916378741,-0.6376310622349995,4.932632880098888,1.2238862320664485,2.0,1.5475741907825935,-0.43999089370443656,-0.5259133660024888,Steel,Basic Materials,26.75,22415991536,2227596,MT
2015,2015-12-31,2016-02-22,-7946000000.0,63578000000.0,-4161000000.0,-10.559043,-1618000000.0,-0.025449054704457515,76846000000.0,25272000000.0,22326000000.0,18041000000.0,49276000000.0,13424000000.0,13902000000.0,25318047440.559998,33.55799538387943,1.237514550191231,0.25747599094292484,0.7829218106995884,-0.10206163756397002,33.55799538387943,-0.31441911997467553,0.1499582786586555,-1.199854950989177,0.3772573377872745,-0.05235338535112006,4.856674612634088,0.04363309524035318,0.827342997683679,0.42381242724904383,-0.10340160841162845,-17.14756733913669,-0.025449054704457515,-6.26229509324229,-3.29534715819223,-0.31362663371177585,-0.6590163020913591,-1.2699366032699366,-6.316758747697974,-2.371456822676335,-0.8403171588968771,-0.34849959746275094,-0.5783589641334503,Steel,Basic Materials,26.75,22415991536,2227596,MT
2014,2014-12-31,2015-02-24,-1086000000.0,79282000000.0,3034000000.0,-1.453954,5994000000.0,0.0756035417875432,99179000000.0,42086000000.0,28057000000.0,21123000000.0,54019000000.0,17304000000.0,22182000000.0,40768028974.06,56.00965722220202,1.3282677649955026,0.1996087881507174,0.47039395523451977,0.09079880144141665,56.00965722220202,-0.02580430546975241,0.31361505731515354,-22.895054303922652,0.5907909750049898,-0.42173112338858193,4.235321312991216,0.01842018445513475,0.799382933887214,0.4164654641859584,-0.010949898668064811,121.28794621492683,0.0756035417875432,0.5821918438049217,-8.425403852036505,-0.0175755486286465,-0.44376307715840785,0.429525399475316,0.5732809430255402,1.5346700083542189,-1.4150506549067852,-0.27032857672129845,-0.3579231289126811,Steel,Basic Materials,26.75,22415991536,2227596,MT
2013,2013-12-31,2013-12-31,-2545000000.0,79440000000.0,1197000000.0,-3.479956,4193000000.0,0.052781973816717016,112308000000.0,49793000000.0,34025000000.0,25235000000.0,59135000000.0,19240000000.0,24037000000.0,56207261438.16,66.67593896029828,1.3483257380622151,0.19865904476974036,0.44807503062679493,0.017925702093270008,66.67593896029828,-0.051111602032414195,0.5031251439848943,-15.704621390239687,0.8026883585676703,-0.16306483300589392,3.910966735966736,0.010383238726610601,0.7073405278341703,0.5024767188428769,-0.02266089681946077,47.35575999781991,0.052781973816717016,0.39419077313028017,-1.2103818716264856,-0.5059694388910437,-0.29911441458291865,42.677083333333336,0.31696188942565756,1.3710477371357719,-1.7413649599171912,-0.13515705560325014,-0.32250398248952167,Steel,Basic Materials,26.75,22415991536,2227596,MT
