Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-09,2023-03-31,-29581000.0,46973000.0,-31299000.0,-0.0961,4858000.0,0.1034211143,1003981000.0,603677000.0,497036000.0,277753000.0,398152000.0,87669000.0,-820746000.0,381566402.84,359742402.84,1.9618065805282365,1.7894892224386416,0.17777328455418978,0.2956564520430628,-0.03923590396824872,1.9618065805282365,-0.049001369937897256,8.123100565005428,-3.224759159933741,0.6320704662261442,0.0,0.48038645359248994,0.0,0.04678674198017692,1.2087394195562244,-0.029463704990433087,-8.103262037886509,0.10342111425712644,0.12636363636363632,-13.040618544910727,0.0,-0.7487777070606869,1.1823899371069182,0.12217342275505964,0.09608386761393173,-1.4550861622174935,0.0,-0.9418315580988503,Electrical Equipment & Parts,Industrials,MVST
2022Q4,2022,Q4,2023-03-16,2022-12-31,-33698000.0,64797000.0,-34626000.0,-0.11,2226000.0,0.0343534423,984957000.0,612977000.0,545067000.0,252409000.0,371980000.0,84252000.0,-791165000.0,470671621.83,412322621.83,1.992588391782711,2.1594594487518273,0.17571426975999968,0.2823450145764034,-0.043303546395131814,1.992588391782711,-0.054974330195097044,7.2637872406129915,-3.4918364727135143,0.7678454849529428,0.0,0.7426648625551916,0.0,0.06578662824874588,1.4975298028200261,-0.03421266106033055,-7.654317246914182,0.03435344228899486,0.0833333333333333,0.0,0.0,0.0,0.11690918213748118,0.09700412669489254,0.06643300080884336,-1.9928135196185148,0.0,-0.94054648948703,Electrical Equipment & Parts,Industrials,MVST
2022Q3,2022,Q3,2022-11-10,2022-09-30,-37318000.0,38616000.0,-37090000.0,-0.12,1993000.0,0.0516107313,972928000.0,615856000.0,567529000.0,231835000.0,357072000.0,82262000.0,-757467000.0,553819043.32,464378043.32000005,2.012750145458469,2.4479867146893266,0.21211744342849626,0.3351026863422618,-0.04521575412942136,2.012750145458469,-0.06059533397417578,14.34169886368345,-3.710133469907283,0.8992671067911979,0.0,0.4451994845736792,0.0,0.03969050124983555,1.6521577846313111,-0.03835638402841731,-46.66883317771973,0.051610731303086806,0.2,-2.125551243736135,0.0,-0.9403678501086808,-0.5883082007849618,0.17212769261485902,0.1752646090901005,-2.125551243736135,0.0,-0.9403678501086808,Electrical Equipment & Parts,Industrials,MVST
2022Q2,2022,Q2,2022-08-11,2022-06-30,-45077000.0,64414000.0,-44972000.0,-0.15,4841000.0,0.0751544695,971644000.0,654004000.0,611363000.0,226261000.0,317640000.0,64460000.0,-720923000.0,667255443.3000001,508989443.3000001,2.1759116311131037,2.702025536879975,0.1807256567220093,0.26850141589348075,-0.05419378220609527,2.1759116311131037,-0.0689246548950771,10.35885744248145,-3.700642474543559,1.0202620217919156,0.0,0.9241855414210363,0.0,0.06629382778054514,2.0741842385563576,-0.04639250589722162,-10.190995697594502,0.07515446952525849,0.0,-1.9847970841831288,0.0,-0.9350839423017474,371.38461538461536,-0.011329982948936551,-0.03962272874381617,-1.9847970841831288,0.0,-0.9350839423017474,Electrical Equipment & Parts,Industrials,MVST
2022Q1,2022,Q1,2022-05-16,2022-03-31,-44572000.0,36668000.0,-43258000.0,-0.15,13000.0,0.0003545326,998715000.0,657375000.0,653163000.0,181390000.0,341340000.0,58081000.0,-676741000.0,2002248207.2,1761565207.2,2.199733521629296,3.6008765643089475,0.17570778450308647,0.26694352538505417,-0.05174531938908614,2.199733521629296,-0.06780300437345503,54.60478365877604,-11.230414874809298,3.045823475489637,0.0,0.631101392882354,0.0,0.03671517900502145,2.871288384144661,-0.04462934871309633,-30.34858972641152,0.00035453256245227444,0.06250000000000006,-19.681141075847286,0.0,-0.7183095904335366,-0.9887250650477016,0.04431913205686228,0.0633147113594041,-19.681141075847286,0.0,-0.7183095904335366,Electrical Equipment & Parts,Industrials,MVST
2021Q4,2021,Q4,2022-03-29,2021-12-31,-46639000.0,66772000.0,-46182000.0,-0.16,1153000.0,0.017267717,995291000.0,686698000.0,706606000.0,175594000.0,308593000.0,53424000.0,-632099000.0,1691451470.56,1357921470.56,2.2978552726157737,4.0240896613779515,0.14809839534367336,0.21465185569202183,-0.0549855450691512,2.2978552726157737,-0.06791777462581805,25.331747896723176,-9.066722434872103,2.463166443705967,0.0,1.2282681940700808,0.0,0.06708791700115846,3.3326081756779846,-0.04685966214905992,-25.0474081232045,0.017267717007128737,0.673469387755102,0.0,0.0,0.0,1.032130416608611,0.6047274391484169,0.5923774890552181,0.0,0.0,0.0,Electrical Equipment & Parts,Industrials,MVST
2021Q3,2021,Q3,2021-11-15,2021-09-30,-117992000.0,36894000.0,-113296000.0,-0.49,-35885000.0,-0.9726513796281239,990356000.0,716784000.0,750924000.0,153612000.0,273572000.0,47820000.0,-585460000.0,2004543831.6000001,1571063831.6000001,2.939304387920075,4.888446215139442,0.14048382601811873,0.19410170985959507,-0.13248916645880335,2.939304387920075,-0.16461304939842408,54.332515628557495,-4.247202843413113,2.79658004587156,0.0,1.5219364282726893,0.0,0.03725327054109835,4.282067807202562,-0.11914099576313972,-97.83989806716127,-0.9726513796281239,-4.439911185123508,-5.4652424536904025,0.0,-0.9129166428172152,-4.297460879834662,-2.793345121363125,-4.071441360787825,-5.4652424536904025,0.0,-0.9129166428172152,Electrical Equipment & Parts,Industrials,MVST
2021Q2,2021,Q2,2021-08-17,2021-06-30,-31105000.0,33372000.0,-22340000.0,-0.090075,-6774000.0,-0.20298453793599425,281777993.0,275106695.0,105999.0,801468.0,6671298.0,0.0,-6475370.0,4096036432.98,4097655957.98,0.9154469971650052,0.13225606012966207,0.005983433915650042,0.006128531332180048,-0.0810365360856695,0.9154469971650052,-0.11306522365804293,122.73871607874865,-32.921045113165086,14.888901315106127,,0.0,,0.11843366348343605,0.08294155225161828,-0.11038832262532298,0.0,-0.20298453793599425,0.04394204744467432,-1.6796622528874092,0.0,-0.9726885921110431,-4.476151980598222,-0.5345337937839171,-1.0618366405168436,-1.6796622528874092,0.0,-0.9726885921110431,Electrical Equipment & Parts,Industrials,MVST
2021Q1,2021,Q1,2021-06-02,2021-03-31,-20270000.0,14938000.0,-10835000.0,-0.094215,-1237000.0,-0.0828089436336859,282354091.0,277293001.0,62897.0,941070.0,5061090.0,0.0,-4472021.0,3696349825.8,3697361729.8,0.9227221645780841,0.06683562327988354,0.003739984769691189,0.003808246137449391,-0.03918802349006176,0.9227221645780841,-0.07309957311183632,247.44609892890617,-45.588922370498274,13.330123055648276,0.0,0.0,0.0,0.05290520122125661,0.04685730073214532,-0.0717892909864019,-133.91116276491687,-0.0828089436336859,-5.266442035564189,-9.448316639955873,0.0,-0.8818393310369997,-1.1423475258918296,-1.369651624970774,-1.9228486646884273,-9.448316639955873,0.0,-0.8818393310369997,Electrical Equipment & Parts,Industrials,MVST
2020Q4,2020,Q4,2022-03-29,2020-12-31,-8554000.0,48118000.0,-3707000.0,-0.015034847440588747,8690000.0,0.18059769732740347,404510000.0,-384602000.0,189323000.0,183626000.0,698292000.0,44968000.0,-397996000.0,143432183.70000002,272964183.70000005,-45.852290820278434,1.0310250182436038,0.37336036191935923,-0.392686465488999,0.015856836275356084,-45.852290820278434,0.02224117399285495,2.9808425890519143,-4.191962348024317,-0.3729366558156224,0.0,0.87680128091087,0.0,0.11895379595065635,0.6621284567544901,-0.02114657239623248,22.11071122244489,0.18059769732740347,0.794102416557035,0.0,0.0,0.0,1.3626971179989125,0.3929458519622454,0.5924582233948988,0.0,0.0,0.0,Electrical Equipment & Parts,Industrials,MVST
