Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-03-31,-7421114.0,11710142.0,-7201783.0,-0.77,2488848.0,0.2125378155,28642048.0,25777119.0,21181780.0,2058768.0,2864929.0,1286612.0,-31146804.0,-5682638.859999999,2.6768659596998376,10.28857064030527,0.03754309049408757,0.041715716950369824,-0.2629720033497338,2.6768659596998376,-0.28789540056823265,1.0361345011870906,-1.6349677609048991,0.4706996984418623,0.0,7.167113317767905,0.0,0.4088444373810141,9.641440414850047,-0.25909858121877316,-2.8105213716730217,0.2125378155106915,0.6130653266331658,0.9975571352931389,-0.9974712682321287,-0.9820248244812113,0.3382896270035914,0.08748197217434545,-0.08749937522018297,0.986459165755905,-0.9949773215801233,-0.8985550282065702,Software—Application,Technology,2.7309,50493249,121731,NXPL
2021,2021-12-31,2022-03-31,-8132567.0,7739910.0,-6622333.0,-1.99,1859723.0,0.2402770833,20565325.0,17530819.0,19374956.0,2780749.0,3034506.0,1019696.0,-21986215.0,-3716168.079999998,4.295892284736964,6.967531409702925,0.01604209999112584,0.018818915419753064,-0.37150404005377174,4.295892284736964,-0.4639011446071059,1.7082755380876524,-1.625796494513971,0.7542088547032515,0.0,5.766607890979272,0.0,0.3763572907308783,6.548470573935296,-0.3954504487529373,-3.0596353262613922,0.2402770833252583,0.3496732026143791,0.9960803172686202,-0.9979437588687441,-0.9905260152277788,0.5177447523912121,-2.2575078277678773,-2.2560096957539284,0.9791723096066255,-0.9958646174259724,-0.9610952872296118,Software—Application,Technology,2.7309,50493249,121731,NXPL
2020,2020-12-31,2021-03-22,-2496561.0,5689796.0,-2033880.0,-3.06,1225320.0,0.2153539424,2634237.0,565189.0,1372467.0,1516525.0,2069048.0,361422.0,-13878553.0,2139172.8000000003,0.692631031993755,0.9050078304017408,0.28331809172826894,1.320491021587469,-1.3469294943010097,0.692631031993755,-4.417214418539639,0.37287941430589083,-0.8498121215544103,3.753802356379901,0.0,12.352529729789554,0.0,2.1599408101852644,0.6471037404592737,-0.9477359098668798,-2.4333629626910955,0.2153539423909047,0.9462308908803373,0.9974640169412331,-0.9969801054355324,-0.9995887657069833,0.001587407980199088,-0.8094221007192576,-0.8301347576952979,0.9903018590903941,-0.9855004910394783,-0.995348977290128,Software—Application,Technology,2.7309,50493249,121731,NXPL
2019,2019-12-31,2020-03-30,-1379756.0,5869558.0,-1111328.0,-56.91,1223378.0,0.2084276193,2427312.0,639709.0,877446.0,1444468.0,1787603.0,366298.0,-11115178.0,393009.85,26.387369549973187,0.6074527092327417,0.16349566928355316,0.6203680110800379,-0.9950860051702339,26.387369549973187,-2.156849442480878,0.012184367204481156,-0.05183296901771038,0.11179591032797727,0.0,12.684153339630575,0.0,2.418130837733262,0.2739873780519887,-0.5684296044348646,-0.09804927906201973,0.20842761925173922,0.4052275140100744,0.8311555668331807,34.12229383006375,-0.9826759956997697,0.18220876206968528,-0.15489166372312518,0.01620699057041383,0.8880593000863701,-0.7375140929889911,-0.941806376713953,Software—Application,Technology,2.7309,50493249,121731,NXPL
2018,2018-12-31,2019-03-29,-1194706.0,5726572.0,-1129636.0,-95.683646,1034824.0,0.18070566475022054,2435002.0,1378715.0,715157.0,1056287.0,1056287.0,269024.0,-9735421.0,-140890.24,110.42087137594105,0.6770479992653512,0.0,0.0,-0.8252345464223267,110.42087137594105,-0.8665358685442605,0.0003488579205849503,-0.0016721770879195386,0.0014490014252401694,0.0,17.439886404186986,0.0,2.351773017024216,0.3791526355999837,-0.4906386113851241,-0.0032195140818286716,0.18070566475022054,0.6966976475931624,-1.0205435647129937,0.0,1.019320682296347,-0.10073092160776684,0.6967219377814738,0.2839555630493292,0.9206889616594933,-0.8013638746903778,-0.934440059891819,Software—Application,Technology,2.7309,50493249,121731,NXPL
2017,2017-12-31,2018-04-02,-3939309.0,6004955.0,-1577606.0,-315.472812,1150739.0,0.19163157758884122,3063098.0,1859566.0,1080898.0,1203532.0,1203532.0,332895.0,-8540715.0,-233101.234,148.92015696324177,0.8981049112113346,0.0,0.0,-0.8534556407997255,148.92015696324177,-2.1184023583997558,3.743008898484668e-05,-5.7057214856717256e-05,0.00012087013851619141,0.0,14.581823097373045,0.0,1.9604188308699233,0.5129369223252892,-1.2860538578915857,-0.0006450674151498976,0.19163157758884122,0.37951108844141607,0.9902297348809361,0.0,1.0129927160485106,0.0703334133242553,-0.5210139452022319,0.03245459741776263,0.06409287582370228,68.76144702976231,-0.9022299879214455,Software—Application,Technology,2.7309,50493249,121731,NXPL
2016,2016-12-31,2017-04-07,-2589923.0,4698638.0,-1630524.0,-508.426188,1075122.0,0.22881566956211566,3030445.0,2309828.0,802107.0,720617.0,720617.0,335267.0,-4601406.0,-114452.83,453.4409108755398,1.1130836491506584,0.0,0.0,-0.7059071065031682,453.4409108755398,-1.1212622758058175,5.9627917707216436e-05,-0.00010817696124556599,0.00012129474575596106,0.0,10.80785165256348,0.0,1.55047790011038,0.3688991516991689,-0.8546345503713151,-0.00026172273476296703,0.22881566956211566,0.5785715667707627,0.9922473562559092,0.0,1.0952343702717655,-0.03323322063160924,-0.2546793908180898,0.181186395992618,-1.1091606221067447,0.0,1.0793399623642292,Software—Application,Technology,2.7309,50493249,121731,NXPL
2015,2015-12-31,2016-03-30,-2064211.0,3950601.0,-1991325.0,-1206.435418,1112080.0,0.2814964102930162,4316010.0,2881792.0,1632349.0,1127200.0,1434218.0,251518.0,-2011483.0,3042897.0,1684.2735242548217,1.4481449609652235,0.0005759949583063988,0.0008626576796659856,-0.690406749973477,1684.2735242548217,-0.7162942363640401,1.0134508648177833,-1.9395982290570102,1.3893230323354357,0.0,11.28555809126981,0.0,0.9153363870797334,1.0165090489709014,-0.4782683543365284,-4.78463559000993,0.2814964102930162,-1.7030846365107546,0.9894770096837168,0.0,1.0235919509306723,134.48732943469787,-4.019553344324643,-3.761201702371844,0.9626364192294862,0.0,1.146946444960226,Software—Application,Technology,2.7309,50493249,121731,NXPL
2014,2014-12-31,2015-03-26,-411234.0,8410.0,-418240.0,-446.318033,8208.0,0.9759809750297265,2555224.0,1858265.0,317769.0,696959.0,696959.0,0.0,-49513552.0,3628613.0,1523.1680327868853,0.4559364324156801,0.0,0.0,-0.22507015953052983,1523.1680327868853,-0.22129997605293109,440.63614744351963,-9.011292840572521,1.994198889824648,0.0,0.0,0.0,0.003291296575173057,0.12274323166785994,-0.160938532199134,-8.057624818984749,0.9759809750297265,-1.095825815664733,0.9943037634023509,0.0,1.2387282699983158,0.0,-1.6589042456714915,0.2710960224331771,0.9948601422586606,0.0,1.3199048540645644,Software—Application,Technology,2.7309,50493249,121731,NXPL
2013,2013-12-31,2014-03-31,624118.0,0.0,-573793.0,4657.597015,0.0,0.0,0.0,-765832.0,0.0,765832.0,765832.0,0.0,-41947270.0,904500.0,-5715.164179104478,0.0,0.0,0.0,0.7492413479718789,-5715.164179104478,-0.8149541936090422,0.0,1.4492451747906645,-1.1810684327633214,0.0,0.0,0.0,0.0,0.0,0.0,-45225.0,0.0,1.1442468446168184,15.807469226221324,-1.0,-129.89554936006073,0.0,1.1297253501922233,0.8771374080044949,1.0406253393747023,0.0,0.9199465698816208,Software—Application,Technology,2.7309,50493249,121731,NXPL
