Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-02-24,-340649000.0,8456000.0,-311303000.0,-3.61,8456000.0,1.0,6240745000.0,1767216000.0,409903000.0,97384000.0,4376634000.0,0.0,-1052768000.0,3360944720.0,18.736039142615567,4.209141132013473,0.43860019917493825,1.5488723506351232,-0.06909229731248065,18.736039142615567,-0.19276025115209458,114.22122989593188,-2.8353370184559474,0.5465402757783995,-0.5670264700615589,0.0,0.1999855630461691,0.0013549664342959054,4.303109340343383,-0.05458466897782236,-8.213818639498593,1.0,-3.375,-5.391202739390724,-0.9236160083335955,1.1560233916784273,-0.9682713594236614,-2.763193581780538,-2.116157415043061,-2.1504926327049856,-0.9776405810170008,-0.5298859443332178,REIT—Mortgage,Real Estate,9.965,908609657,604559,NYMT
2021,2021-12-31,2022-02-25,193200000.0,266510000.0,278906000.0,1.52,266510000.0,1.0,5641698000.0,2341031000.0,490446000.0,0.0,2511179000.0,0.0,-559338000.0,3632320040.0,24.692336089781453,0.0,0.4451104968752315,1.0726807974776926,0.05674022503564888,24.692336089781453,0.08252774098249874,5.293396270308806,7.301982608695653,0.6026161293891452,1.0085300207039338,0.0,0.13811728605090265,0.04723932404747649,0.0,0.03424500921531071,-4.054698213423467,1.0,1.4887459807073955,2.3061087322852556,1.9329783589825833,2.1909110413860904,2.284527923577071,1.6702677948814022,5.326740199500473,1.5202275443517568,1.442128815990206,1.6640293584831312,REIT—Mortgage,Real Estate,9.965,908609657,604559,NYMT
2020,2020-12-31,2021-02-26,-288243000.0,-207477000.0,-64461000.0,-3.11,-207477000.0,1.0,4655587000.0,2301202000.0,1017909000.0,0.0,1803985000.0,0.0,-551268000.0,2879806760.0,24.81053573546377,0.0,0.3874881942921483,0.7839316148690988,-0.015755953230775464,24.81053573546377,-0.1252575827763056,-6.598344683989069,-4.7494813750897675,0.5949085564848283,-0.508449467983611,0.0,0.1070536818294189,-0.044565164392803745,0.0,-0.061913352709336116,12.383691937511873,1.0,-2.21484375,-5.318157366278941,-2.965138439795672,2.0543530380574078,-1.9349727588584407,-2.659086199751347,-1.0871015732359368,-4.778577974515485,-2.9059020822270965,1.8550375561537111,REIT—Mortgage,Real Estate,9.965,908609657,604559,NYMT
2019,2019-12-31,2020-02-28,173736000.0,221907000.0,740067000.0,2.56,221907000.0,1.0,23483369000.0,2205733000.0,2294117000.0,0.0,17995664000.0,0.0,-148863000.0,19256098400.0,39.854241575571415,0.0,0.7663152591095426,8.158586737379366,0.03672344302381442,39.854241575571415,0.07876565295980974,6.215204567679253,7.938466408804163,0.6252784901889757,1.0821879172998112,0.0,0.13632203773005952,0.009449538522347454,0.0,0.007398257038843107,39.43606210505247,1.0,3.19672131147541,1.0252974530458787,0.870170969308101,3.2813999837647283,0.0,0.6886262465252804,0.0,4.092914933671359,3.1834342218127443,4.150235240082745,REIT—Mortgage,Real Estate,9.965,908609657,604559,NYMT
2018,2018-12-31,2019-02-25,102886000.0,146465000.0,0.0,0.61,0.0,0.0,14737638000.0,1179389000.0,1657876000.0,2233637000.0,13557345000.0,0.0,-103178000.0,15730985080.0,9.268792782314154,0.7422316159698286,0.7684143144240617,9.602100748777545,0.0,9.268792782314154,0.08723669628934982,20.467996313112348,29.137541356452772,2.5418628459312407,1.1825807204089964,0.0,0.04058615330449298,0.009938159696960937,0.7748783710155231,0.006981172966794272,126.38469983136594,0.0,-0.07575757575757582,-0.3069592076270957,-0.2513699289497743,0.13967742885981346,0.0,0.11856925418569254,0.0,0.1235196690914331,0.011210913099297023,0.14105417535662995,REIT—Mortgage,Real Estate,9.965,908609657,604559,NYMT
2017,2017-12-31,2018-02-27,91980000.0,131260000.0,0.0,0.66,0.0,0.0,12056285000.0,971865000.0,1541881000.0,1512243000.0,11080284000.0,0.0,-75717000.0,13650179480.0,8.690090847312135,1.0195987020604493,0.7939574255253588,9.849286680763274,0.0,8.690090847312135,0.09464277445941566,21.02782629894865,30.00774603174603,2.840016339717965,1.160817569036747,0.0,0.03868393073604015,0.010887267512339,1.0752861808584997,0.007629215799062481,95.05828902052625,0.0,0.32000000000000006,-0.24187855125406965,-0.24772204955104524,-0.2965205675767364,0.0,0.3616378736066083,0.0,-0.46937321343337635,-0.4525562835832636,-0.06645432602081203,REIT—Mortgage,Real Estate,9.965,908609657,604559,NYMT
2016,2016-12-31,2017-02-28,67551000.0,105038000.0,0.0,0.5,0.0,0.0,8951631000.0,848075000.0,0.0,0.0,8100469000.0,0.0,-62537000.0,9730153600.0,7.738334215376754,0.0,0.7730910713366089,8.160158004893436,0.0,7.738334215376754,0.07965215340624356,27.54509415640054,42.83106985832926,3.4115869469091766,1.7469467513434294,0.0,0.04078690439257624,0.011733951053165619,0.0,0.007546222582231104,53.734521952306665,0.0,-0.1935483870967742,0.3544504726581976,-0.3525966493010335,-0.047658040873624734,0.0,-0.13410585415251305,0.0,-0.4716990166593047,-0.3766571569035542,-0.04850555521464622,REIT—Mortgage,Real Estate,9.965,908609657,604559,NYMT
2015,2015-12-31,2016-02-25,78013000.0,123391000.0,0.0,0.62,0.0,0.0,9059564000.0,880526000.0,830879000.0,1078564000.0,8179038000.0,0.0,-11583000.0,10112700680.0,8.123008514838698,0.7703566964964527,0.7834967554730007,8.061248617303749,0.0,8.123008514838698,0.08859817881584417,18.729621123096496,29.62412264622563,2.6246433154727966,1.5707125735454348,0.0,0.05302140395187559,0.013619971115607771,0.9703114511517166,0.008611120800073823,63.60267173051519,0.0,-0.581081081081081,-0.003547333520778569,-0.3146901623976054,0.11751115141282603,0.0,-0.4271794758831347,0.0,-0.33661032582801514,-0.2703984191957115,-0.34242696422954744,REIT—Mortgage,Real Estate,9.965,908609657,604559,NYMT
2014,2014-12-31,2015-02-27,136191000.0,188381000.0,0.0,1.48,0.0,0.0,10540005000.0,817927000.0,922045000.0,1011657000.0,9722078000.0,0.0,32593000.0,11960933280.0,9.308693821343622,0.9114205704107222,0.8037445902539895,10.3572470403838,0.0,9.308693821343622,0.16650752451013354,14.384774897680764,19.89719056325308,3.3130319453936594,0.679318016609027,0.0,0.03414140375494109,0.01787295167317283,1.1400405473396615,0.012921341118908388,72.1636781976512,0.0,0.3333333333333332,0.24409136056091776,-0.002967700424214463,0.38432589303389125,0.0,0.975070698281488,0.0,2.4059693447720463,0.44819344171099923,0.14560310578345312,REIT—Mortgage,Real Estate,9.965,908609657,604559,NYMT
2013,2013-12-31,2014-03-10,68955000.0,90873000.0,0.0,1.11,0.0,0.0,9898675000.0,480666000.0,974441000.0,247000000.0,9418009000.0,0.0,0.0,11005108920.0,8.13282122432405,3.945105263157895,0.8465167307745733,17.432882708575185,0.0,8.13282122432405,0.1434572031306562,18.184630418276054,23.964787470089192,3.4379213840795892,0.9196867522297151,0.0,0.038376587039529966,0.009180319588227718,4.745364372469636,0.006966083844554953,31.001855805489374,0.0,0.0277777777777778,1.400341805165595,2.0499186361423267,0.7140923656647102,0.0,1.4383818381130875,0.0,0.6153943352668101,-0.07431879450731359,0.11886112073212736,REIT—Mortgage,Real Estate,9.965,908609657,604559,NYMT
