Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-15,2023-03-31,-9656763.0,0.0,-9422414.0,-0.32,0.0,0.0,68448626.0,41010953.0,67973367.0,4129540.0,27437673.0,0.0,-111218335.0,187132525.95000002,145440367.95000002,1.3478007613566336,16.46027572078246,0.34342867598248067,0.573193727051405,-0.14517518176837899,1.3478007613566336,-0.23546790048990082,0.0,-4.844597665646345,4.562988964192078,0.0,0.0,0.0,0.0,15.788533105382198,-0.14108045061415841,-14.188921883203086,0.0,0.5733333333333334,0.976421797239792,0.0,-0.952871924054635,0.0,0.5515884869689308,0.49937634660889396,0.17862063118722668,0.0,-0.30095756737623053,Biotechnology,Healthcare,PDSB
2022Q4,2022,Q4,2023-03-28,2022-12-31,-21535493.0,0.0,-18821352.0,-0.75,0.0,0.0,77007923.0,44002030.0,76480390.0,9821036.0,33005893.0,0.0,-101558417.0,377509717.2,327162455.2,1.5385744248068856,7.7874055242237175,0.3048114672564276,0.533450343086444,-0.3117984553996296,1.5385744248068856,-0.48942044264775963,0.0,-4.382413223602542,8.579370479043806,0.0,0.0,0.0,0.0,7.516534915461057,-0.27965295207351587,-50.14119759068117,0.0,-1.8846153846153846,0.9164218204932812,0.0,-0.961932602705733,0.0,-1.9006179582325964,-1.585636105965549,-0.8591210513343354,0.0,0.3566784902883526,Biotechnology,Healthcare,PDSB
2022Q3,2022,Q3,2022-11-14,2022-09-30,-7424450.0,0.0,-7279196.0,-0.26,0.0,0.0,74886759.0,47058836.0,74411343.0,4841142.0,27827923.0,0.0,-82420734.0,84522303.36,36241896.36,1.653584170851446,15.370617717885573,0.3119647626892225,0.49644300594260343,-0.10270725014365083,1.653584170851446,-0.15776952069107703,0.0,-2.8460796207126458,1.7960984704339056,0.0,0.0,0.0,0.0,14.798664653918435,-0.09914235973278,-14.343059834994822,0.0,-0.3,0.964326662845219,0.0,-0.9658308892477782,0.0,-0.27585406928787465,-0.02630102252302806,0.7620109953752054,0.0,-0.4432203193367369,Biotechnology,Healthcare,PDSB
2022Q2,2022,Q2,2022-08-08,2022-06-30,-5819200.0,0.0,-7092652.0,-0.2,0.0,0.0,56000770.0,51425196.0,55742582.0,4515924.0,4575574.0,0.0,-74996284.0,103848263.35,51258253.349999994,1.8074636912067341,12.343560697655674,0.007047438812002049,0.0076744870354990965,-0.11263173755960755,1.8074636912067341,-0.11315853808316063,0.0,-4.461449312190679,2.019404327598479,0.0,0.0,0.0,0.0,11.732852900093093,-0.10391285691250317,-17.545320963942707,0.0,0.375,0.9769765110225592,0.0,-0.9673940295552906,0.0,0.3127866882416754,0.1635256159114598,0.7275723117330044,0.0,-0.5459908646694414,Biotechnology,Healthcare,PDSB
2022Q1,2022,Q1,2022-05-11,2022-03-31,-8467822.0,0.0,-8479222.0,-0.32,0.0,0.0,61038834.0,55873366.0,60730507.0,5018488.0,5165468.0,0.0,-69177084.0,161937555.64000002,103514745.64000002,2.1357376562411843,12.101355428168803,0.007508187328742223,0.008202315929919097,-0.14920806347107413,2.1357376562411843,-0.1515538190414374,0.0,-4.780968342272665,2.8982960439505296,0.0,0.0,0.0,0.0,11.732836862417525,-0.1387284363918223,-25.425863841611783,0.0,-1.8648648648648647,0.9614376584849442,0.0,-0.9606255793400612,0.0,-1.7989630622780644,-0.34129017062048744,-1.1779827756591597,0.0,-0.6725476080543786,Biotechnology,Healthcare,PDSB
2021Q4,2021,Q4,2022-03-31,2021-12-31,10598515.0,0.0,-6321691.0,0.37,0.0,0.0,67197888.0,63210427.0,66840191.0,3756031.0,3987461.0,0.0,-60703562.0,230249385.0,165497117.0,2.223695228111033,17.79543113462056,0.007297163863245226,0.007757485960346384,-0.06956576265489209,2.223695228111033,0.16767035919564346,0.0,5.431170899885503,3.6425855025469134,0.0,0.0,0.0,0.0,17.370096785676157,0.1577209539680771,-51.1506732912797,0.0,2.5416666666666665,1.056656093450115,0.0,-0.9639860562296143,0.0,2.522563822320063,0.09201424696696103,1.4530014087448582,0.0,-0.7206650921864518,Biotechnology,Healthcare,PDSB
2021Q3,2021,Q3,2021-11-10,2021-09-30,-6960966.0,0.0,-6962324.0,-0.24,0.0,0.0,71748022.0,67856898.0,71340814.0,3577148.0,3891124.0,0.0,-54383600.0,423545165.0,354322854.0,2.3871545793705375,19.943489617986174,0.007271183029965621,0.00768813511044964,-0.10104927869382947,2.3871545793705375,-0.10258302700485955,0.0,-15.211436350931754,6.241740743881338,0.0,0.0,0.0,0.0,19.497097687878725,-0.09701962236673228,-82.58325737198767,0.0,-7.0,0.9671151829654242,0.0,-0.9646278466091682,0.0,-10.819663084469997,-0.36355124134771816,0.9100659931937679,0.0,-0.8793198873986711,Biotechnology,Healthcare,PDSB
2021Q2,2021,Q2,2021-08-12,2021-06-30,-588931.0,0.0,-5106023.0,-0.03,0.0,0.0,77390726.0,72992594.0,76934390.0,4002818.0,4398132.0,0.0,-47422634.0,290662656.05,216466432.05,3.1516159218693,19.22005696986473,0.007145261823748752,0.007575795977328878,-0.007948882802329131,3.1516159218693,-0.008068366497565493,0.0,-123.38570055320572,3.982084210488533,0.0,0.0,0.0,0.0,18.67414431532985,-0.007609839452856405,307.181332188433,0.0,0.7857142857142857,0.9960908127319228,0.0,-0.957446849827597,0.0,0.8068203362966433,-0.6745050377581804,0.9968611310745231,0.0,-0.8520812749056829,Biotechnology,Healthcare,PDSB
2021Q1,2021,Q1,2021-05-13,2021-03-31,-3048618.0,0.0,-3049273.0,-0.14,0.0,0.0,27761665.0,24374327.0,27256888.0,2929047.0,3387338.0,0.0,-46833703.0,101300462.89999999,76845033.89999999,1.0947944824248181,9.30571889082012,0.020962179321737367,0.02387532587053583,-0.1194003872705757,1.0947944824248181,-0.12507496104405263,0.0,-8.307080691972558,4.156031175753078,0.0,0.0,0.0,0.0,8.547959114346748,-0.10981394667790999,-26.6426549586804,0.0,0.4660761258426653,0.9784884750011525,0.0,-0.9862520096923847,0.0,0.24291907780012248,0.24290006132730158,0.9898268308529057,0.0,-0.9617187057674981,Biotechnology,Healthcare,PDSB
2020Q4,2020,Q4,2021-03-18,2020-12-31,-4026806.0,0.0,-4027570.0,-0.2622096646660631,0.0,0.0,30890379.0,27129576.0,30337230.0,3270450.0,3760803.0,0.0,-43785085.0,32864405.860000003,4635097.860000003,1.7665705836070758,9.276163830665505,0.6765860658427014,0.7703769494960039,-0.08280394383755388,1.7665705836070758,-0.14842863743981843,0.0,-2.0403519476726717,1.2113866379629377,0.0,0.0,0.0,0.0,8.818225320674525,-0.13035793442353039,-5.587825726056419,0.0,-0.2486174507907767,0.9550534737851902,0.0,-0.980321653517443,0.0,-0.030975297901440466,-0.030852343302289285,0.9708967836550062,0.0,-0.956291523393172,Biotechnology,Healthcare,PDSB
2020Q3,2020,Q3,2020-11-13,2020-09-30,-3905822.0,0.0,-3907029.0,-0.21,0.0,0.0,34445255.0,31024959.0,33842330.0,2898604.0,3420296.0,0.0,-39758279.0,44180572.27,11349569.270000003,1.6361977845879088,11.675389256345468,0.0,0.0,-0.12339457568798756,1.6361977845879088,-0.12589289803735115,0.0,-2.82786646895327,1.4240332201567134,0.0,0.0,0.0,0.0,11.546570349036985,-0.1133921638844015,-35.2863059837388,0.0,-0.1052631578947368,0.972044241265785,0.0,1.0444176554597429,0.0,-0.33334357453409363,-0.33074962508016964,0.9718335990393698,0.0,-0.9661901557237712,Biotechnology,Healthcare,PDSB
2020Q2,2020,Q2,2020-08-13,2020-06-30,-2929344.0,0.0,-2935961.0,-0.19,0.0,0.0,20093219.0,17014489.0,19441141.0,2526404.0,3078730.0,0.0,-35852457.0,30867969.99,14598457.989999998,1.107916163618118,7.69518295569513,0.0,0.0,-0.1660661019740861,1.107916163618118,-0.17216761549524057,0.0,-2.634375647755948,1.8142166943714853,0.0,0.0,0.0,0.0,6.703003557625779,-0.14578769086227547,-7.522698130850915,0.0,0.5128205128205129,0.9553482180226296,0.0,-0.9725377243784179,0.0,0.26498265673175747,0.27180382491609884,0.9785279954604986,0.0,-0.9800136058821575,Biotechnology,Healthcare,PDSB
2020Q1,2020,Q1,2020-05-13,2020-03-31,-3985408.0,0.0,-4031827.0,-0.39,0.0,0.0,23934333.0,19887552.0,23917184.0,4046781.0,4046781.0,0.0,-32923113.0,7514303.3885,-13523502.611499999,1.9280671651044556,5.91017502553264,0.0,0.0,-0.2027311858191496,1.9280671651044556,-0.200397112726594,0.0,-0.47136349581397946,0.37783953442334184,0.0,0.0,0.0,0.0,5.198651965599325,-0.16651427052510717,-2.3746421553384316,0.0,0.03712111967826456,0.9346861066840836,0.0,0.0,0.0,0.04606085006066528,0.32583059161572836,0.9539677476367052,0.0,-0.964454188744769,Biotechnology,Healthcare,PDSB
2019Q4,2019,Q4,2020-03-27,2019-12-31,-4177843.0,0.0,-5980436.0,-0.4050353663065969,0.0,0.0,14491252.0,11697707.0,14470201.0,2793545.0,2793545.0,0.0,-28937705.0,27334116.65,15172377.649999999,1.1340744589234788,5.179870379750461,0.0,0.0,-0.5112485720492059,1.1340744589234788,-0.3571505937018255,0.0,-1.6356596364439735,2.3367072410003087,0.0,0.0,0.0,0.0,4.353514620312184,-0.28830103844719557,-4.9519493484448,0.0,0.6317860306303665,0.9032733187984147,0.0,1.0307767049659413,0.0,0.2736219945371818,-0.02275183299509166,0.9384528407024978,0.0,-0.9816330523721115,Biotechnology,Healthcare,PDSB
2019Q3,2019,Q3,2019-11-07,2019-09-30,-5751610.0,0.0,-5847397.0,-1.1,0.0,0.0,19383496.0,15582597.0,18133567.0,3643899.0,3800899.0,0.0,-23833937.0,17716442.8014,309834.80139999837,2.9699075384389313,4.9764186658302,0.0,0.0,-0.37525176323304776,2.9699075384389313,-0.36910471341843726,0.0,-0.7700645037389531,1.1369377518651096,0.0,0.0,0.0,0.0,4.7769183503714014,-0.29672717449937824,-4.093879299990942,0.0,-0.4666666666666668,0.764640070927325,0.0,0.0,0.0,-0.480141292051267,-0.3691233195017638,0.852791835654352,0.0,-0.9559927849188758,Biotechnology,Healthcare,PDSB
2019Q2,2019,Q2,2019-08-01,2019-06-30,-3885852.0,0.0,-4270906.0,-0.75,0.0,0.0,25804346.0,20605615.0,22832995.0,4267453.0,5198731.0,0.0,-18082327.0,31262055.48,10794267.48,3.9811174501824538,5.350497123225493,0.0,0.0,-0.19526838426463375,3.9811174501824538,-0.1885821898545615,0.0,-2.011274199326171,1.5171619716276363,0.0,0.0,0.0,0.0,5.093003250416583,-0.1505890519372202,-6.434252067376968,0.0,-1.510204081632653,0.8242537377273482,0.0,-0.9013187565187603,0.0,-1.5700490178675952,0.13472248109759558,0.8845820816560662,0.0,-0.9462469117711818,Biotechnology,Healthcare,PDSB
