Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2022-12-31,128845000.0,254402000.0,226221000.0,8.7,254402000.0,1.0,6425358000.0,630426000.0,1199414000.0,2608000.0,5794932000.0,0.0,475072000.0,509312829.84000015,43.241668982762484,459.8980061349693,0.026293320932467886,0.2679838712235853,0.19828368538630473,43.241668982762484,0.20437767477864174,4.276282536458047,8.443438471341535,1.7256503219093122,0.19512592650083432,0.0,0.023109770641797756,0.039593435883261294,459.8980061349693,0.020052579171464066,7.586435354532776,1.0,0.3572542901716067,1.9406426425641798,0.8668255136346781,0.7586059412394984,0.3139241813862204,0.3528454430911382,0.4228988715987571,0.6983187789106078,0.5379021059807592,0.3855730517426866,Banks—Regional,Financial Services,58.33,841824393,103962,PFBC
2021,2021-12-31,2021-12-31,95240000.0,193620000.0,158986000.0,6.41,193620000.0,1.0,6046303000.0,586718000.0,1497167000.0,715000.0,5459585000.0,0.0,372952000.0,207239140.00000012,39.46710614825777,2093.9398601398602,0.02821873134707275,0.2908023956994672,0.1450195153002042,39.46710614825777,0.16232670550417747,5.511982956306167,11.205692356152879,1.8189831230676408,0.2249580008399832,0.0,0.020075332580093735,0.032022874143092066,2093.9398601398602,0.015751774266026693,8.965984827481918,1.0,0.3784946236559139,1.4456413527047274,0.6617824726768045,0.8383287196014905,0.07440722264456665,0.37099095986641334,0.16076135127439456,0.35876966804789107,0.202997245917985,0.42626087646188104,Banks—Regional,Financial Services,58.33,841824393,103962,PFBC
2020,2020-12-31,2020-12-31,69468000.0,180211000.0,136967000.0,4.65,180211000.0,1.0,5143641000.0,525447000.0,1002839000.0,1245000.0,4618194000.0,0.0,300969000.0,129808558.10000002,35.299891234465306,805.493172690763,0.022944058498639387,0.22460114911684717,0.14835686729567932,35.299891234465306,0.13220743481264524,4.168766379965707,10.814440578395809,1.4297494478034891,0.25788852421258707,0.0,0.02384668188272035,0.03503568775503578,805.493172690763,0.013505608186885516,7.346040835264553,1.0,-0.09883720930232553,1.1157783834258177,0.8505219470828418,0.8020078297224511,0.05458705664109361,-0.11360069413430988,-0.21051933829039138,0.5528717703728013,0.29521129062168405,0.4356198525728806,Banks—Regional,Financial Services,58.33,841824393,103962,PFBC
2019,2019-12-31,2019-12-31,78371000.0,170883000.0,173490000.0,5.16,170883000.0,1.0,4628481000.0,470015000.0,757614000.0,3324000.0,4158466000.0,0.0,255050000.0,526047002.84000003,31.20850894752596,227.92238267148014,0.025863344799298086,0.2546897439443422,0.20000222008214083,31.20850894752596,0.16674148697382,5.295927639613069,11.547434674050352,1.9254364282842038,0.23335162241135113,0.0,0.020208092013349426,0.036919887971885376,227.92238267148014,0.01693233698053422,11.21848545091671,1.0,0.11206896551724149,1.812265063385903,0.9913017995434333,0.764779793333199,0.04826549704014968,0.10392573915738171,0.24246243751521834,0.9864800180474806,0.4476989125667023,0.45365353311341416,Banks—Regional,Financial Services,58.33,841824393,103962,PFBC
2018,2018-12-31,2018-12-31,70993000.0,163015000.0,139634000.0,4.64,163015000.0,1.0,4216435000.0,416651000.0,723438000.0,6839000.0,3799784000.0,0.0,194855000.0,226352438.64999998,27.671730185969654,105.78125456938149,0.023810161902175653,0.24095465989521206,0.19425401905453554,27.671730185969654,0.17038960664921002,4.004032994816428,9.194109822799431,1.5665807561964329,0.22009212175848322,0.0,0.023938382943034,0.038661807901698944,105.78125456938149,0.01683720963325653,6.781761721526089,1.0,0.5675675675675674,2.221260314861445,1.203674568590486,0.7541521345028928,0.20783166006001555,0.6360095865787897,0.28842179080239166,1.1375699937437977,0.6548550033950682,0.4126013625899979,Banks—Regional,Financial Services,58.33,841824393,103962,PFBC
2017,2017-12-31,2017-12-31,43394000.0,134965000.0,108376000.0,2.96,134965000.0,1.0,3769859000.0,355034000.0,649029000.0,3833000.0,3414825000.0,0.0,139684000.0,500766770.12,24.588606218562497,169.32663709887817,0.027949055919598054,0.2967715768067284,0.1269233149532641,24.588606218562497,0.12222491367024003,6.240319861593747,19.40878393602802,2.3722369410253665,0.25432087385352814,0.0,0.013103390438668283,0.03580107372716062,169.32663709887817,0.011510775336690312,16.252890199150908,1.0,0.15624999999999997,0.6429863664204202,1.5067750344594908,0.7083606947641945,0.24033893009107368,0.1931590090461657,0.38174771145166636,0.6241764637738605,0.640446420297003,0.39043731546765015,Banks—Regional,Financial Services,58.33,841824393,103962,PFBC
2016,2016-12-31,2016-12-31,36369000.0,108813000.0,78434000.0,2.56,108813000.0,1.0,3221598000.0,298065000.0,515713000.0,3199000.0,2923533000.0,0.0,108261000.0,546797912.74,21.46901461497777,161.21069084088776,0.03891081382593359,0.42056262895677116,0.11284700176523826,21.46901461497777,0.12201700971264658,6.688290119195317,20.010803506832744,2.4416584058510726,0.2320107784101845,0.0,0.011594275978521492,0.03377609496901848,161.21069084088776,0.01128911800913708,13.99967130403001,1.0,0.19626168224299062,1.7826452427365986,1.200951867886555,0.7652935573642753,0.23345575732843638,0.2227751067478062,0.28403509920764847,0.7896944717096376,0.5952836670876639,0.36095276874417104,Banks—Regional,Financial Services,58.33,841824393,103962,PFBC
2015,2015-12-31,2015-12-31,29743000.0,88218000.0,61084000.0,2.14,88218000.0,1.0,2598846000.0,264145000.0,474104000.0,1919000.0,2334701000.0,0.0,81046000.0,175708812.32000005,19.589199698373267,247.0578426263679,0.01024877965066033,0.1008347687822976,0.12439468416893305,19.589199698373267,0.11260103352325428,5.047142446212792,14.969868954712034,1.6856227160082533,0.21188178731130014,0.0,0.014153883908556632,0.03394506638715799,247.0578426263679,0.011444695068503482,17.029979434691146,1.0,0.202247191011236,1.8961797910663012,0.11502200904029265,-0.053384017909564256,0.16493238960490175,0.2094583604424203,0.2171279414987945,0.20586691286191036,0.7545338129054597,0.36101324772624566,Banks—Regional,Financial Services,58.33,841824393,103962,PFBC
2014,2014-12-31,2014-12-31,24592000.0,75728000.0,50187000.0,1.78,75728000.0,1.0,2054154000.0,235026000.0,372230000.0,1419000.0,1819128000.0,0.0,58552000.0,175471295.62,17.684081076529893,262.3185341789993,0.009736368354076666,0.08509696799503033,0.11847874943767342,17.684081076529893,0.1046352318466893,4.894692790249313,15.072596601333768,1.5771246399121799,0.0548145738451529,0.0,0.0036367040991664556,0.03686578513587589,262.3185341789993,0.011971838528172669,8.741899851890286,1.0,0.2535211267605635,1.07993920893823,-0.5802674855103149,-0.35091153555601257,0.17513422922938457,0.2809000468774415,0.2796929981131113,0.9655576723468401,0.600116881570427,0.4540767218317925,Banks—Regional,Financial Services,58.33,841824393,103962,PFBC
2013,2013-12-31,2013-12-31,19199000.0,64442000.0,39218000.0,1.42,64442000.0,1.0,1768959000.0,206916000.0,376447000.0,983000.0,1562043000.0,0.0,36680000.0,56375095.650000006,15.774988749086758,382.95727365208546,0.011306084538985923,0.09665758085406638,0.10537560049595075,15.774988749086758,0.09278644474086102,4.081035592470749,13.698114258555133,1.2709993217054263,0.0,0.0,0.0,0.036429334993066546,382.95727365208546,0.010853275853199538,8.059763887526817,1.0,-0.202247191011236,1.5718645096104589,-0.8290187187615746,-0.7753298361799101,0.32425045722622936,-0.19575234584450402,2.5420881502890174,1.594688675592276,-0.16267139583310813,-0.23769951314435808,Banks—Regional,Financial Services,58.33,841824393,103962,PFBC
