Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-03-31,2023-03-31,-6068000.0,0.0,5788000.0,-0.28,0.0,0.0,31695000.0,11407000.0,20585000.0,7497000.0,20288000.0,504000.0,-220512000.0,9888459.46,16363459.46,0.5306407960942381,2.745764972655729,0.4051427669979492,1.125712281932147,0.2225179011600928,0.5306407960942381,-0.5319540632944683,0.0,-0.4074019223796968,0.8668764320154292,,0.0,,0.0,2.618780845671602,-0.1914497554819372,0.0,0.0,0.15151515151515146,-3.1607806667305205,0.0,0.0,0.0,0.07146136189747514,1.8753781004234724,0.4859934239782369,0.0,-0.7321829818231912,Biotechnology,Healthcare,PYPD
2022Q4,2022,Q4,2022-12-31,2022-12-31,-6535000.0,0.0,-6612000.0,-0.33,0.0,0.0,25971000.0,5861000.0,14194000.0,8641000.0,20110000.0,213000.0,-214412000.0,13711488.48,18889488.48,0.2981476085519783,1.6426339544034256,0.5286665896576951,2.342603651254052,-0.3054528929753346,0.2981476085519783,-1.1149974407097765,0.0,-0.5245404927314461,2.33944522777683,0.0,0.0,0.0,0.0,1.4919569494271496,-0.251626814523892,-0.4364492131398014,0.0,0.29787234042553185,-0.12997337971646183,0.0,1.1773142483969183,0.0,0.2951137957070435,0.2452054794520548,-0.33459843142433326,0.0,-0.8718504907748971,Biotechnology,Healthcare,PYPD
2022Q3,2022,Q3,2022-09-30,2022-09-30,-9271000.0,0.0,-8760000.0,-0.47,0.0,0.0,29381000.0,11503000.0,19802000.0,6885000.0,17878000.0,0.0,-207877000.0,22928738.04,18306738.04,0.5869712487674267,2.8761074800290487,0.39093291582995815,0.9985221246631314,-0.3841177890917598,0.5869712487674267,-0.8059636616534817,0.0,-0.6182919329090713,1.9932833208728158,,0.0,,0.0,2.6305010893246186,-0.31554405908580374,0.0,0.0,0.7417582417582418,0.2938991215763601,0.0,2.162077299717842,0.0,0.7391022935134375,-1.7575233483223798,-7.065816545121295,0.0,0.0,Biotechnology,Healthcare,PYPD
2022Q2,2022,Q2,2022-06-30,2022-06-30,-35535000.0,0.0,11564000.0,-1.82,0.0,0.0,34817000.0,19110000.0,25016000.0,8704000.0,15707000.0,0.0,-198606000.0,90504341.44,87951341.44,0.9797364257800184,2.874080882352941,0.2609931929804406,0.47551020408163264,1.2303436535801682,0.9797364257800184,-1.859497645211931,0.0,-0.6367267584072042,4.7359676316064885,,0.0,,0.0,2.7319623161764706,-1.0206221098888475,0.0,0.0,-1.9354838709677422,-5.580882779705403,0.0,0.0,0.0,-2.0124618514750763,1.9675368139223561,-5.580882779705403,0.0,0.0,Biotechnology,Healthcare,PYPD
2022Q1,2022,Q1,2022-03-31,2022-03-31,-11796000.0,0.0,-11952000.0,-0.62,0.0,0.0,35481000.0,28845000.0,25492000.0,6441000.0,6636000.0,0.0,-186761000.0,103393055.22,91959055.22,1.5232522113297118,3.957770532526005,0.0,0.0,-0.41163070272179253,1.5232522113297118,-0.408944357774311,0.0,-2.1912736355544253,3.584435958398336,,0.0,,0.0,3.6672876882471668,-0.33245962627885345,0.0,0.0,0.8825757575757576,-5.768392067777223,0.0,0.0,0.0,0.8809687184661957,-1.1645465058648603,-5.768392067777223,0.0,0.0,Biotechnology,Healthcare,PYPD
2021Q4,2021,Q4,2021-12-31,2021-12-31,-99100000.0,0.0,72636000.0,-5.28,0.0,0.0,44235000.0,36230000.0,34811000.0,7806000.0,8005000.0,-118000.0,-174617000.0,107662711.8,97843711.8,1.931589837587576,4.459518319241609,0.0,0.0,15.015221674235644,1.931589837587576,-2.735302235716257,0.0,-0.27160119021190715,2.9716453712393047,,0.0,,0.0,4.1405329233922625,-2.2403074488527186,0.0,0.0,-9.153846153846153,-16.95904521635878,0.0,2.1487544774428615,0.0,-9.106057515806649,8.217408585055644,-20.211219667533488,0.0,-0.16976597292448153,Biotechnology,Healthcare,PYPD
2021Q3,2021,Q3,2021-09-30,2021-09-30,-9806000.0,0.0,-10064000.0,-0.52,0.0,0.0,53459000.0,48123000.0,45317000.0,5144000.0,5336000.0,0.0,-161385000.0,145926114.6,136709114.6,2.565660992388267,8.809681181959565,0.0,0.0,-0.20641533180769658,2.565660992388267,-0.20376950730419965,0.0,-3.7203272129308584,3.03235697275731,,0.0,,0.0,8.085536547433904,-0.1834302923735947,0.0,0.0,0.6904761904761905,0.21967965869267086,0.0,12.821491938214168,0.0,0.6895263424518744,-1.9467544684854186,-7.703404827032183,0.0,0.0,Biotechnology,Healthcare,PYPD
2021Q2,2021,Q2,2021-06-30,2021-06-30,-31584000.0,0.0,10630000.0,-1.68,0.0,0.0,61396000.0,56885000.0,49172000.0,4321000.0,4511000.0,0.0,-151450000.0,169762841.185,162314841.185,3.0341956543874864,11.379773200647998,0.0,0.0,0.5633336437163106,3.0341956543874864,-0.5552254548650787,0.0,-1.343740827515514,2.984316448712314,,0.0,,0.0,11.073131219625086,-0.5144309075509805,0.0,0.0,-2.652173913043478,-5.2360125835019975,0.0,0.0,0.0,-2.682406435816719,2.208366488575651,-5.2360125835019975,0.0,0.0,Biotechnology,Healthcare,PYPD
2021Q1,2021,Q1,2021-03-31,2021-03-31,-8577000.0,0.0,-8797000.0,-0.46,0.0,0.0,69839000.0,66147000.0,50943000.0,3506000.0,3692000.0,0.0,-140973000.0,170588090.64000002,164595090.64000002,3.5518688187833276,14.530233884768968,0.0,0.0,-0.13130764984169363,3.5518688187833276,-0.12966574447820764,0.0,-4.97225401189227,2.5789240727470633,,0.0,,0.0,14.053622361665717,-0.12281103681324189,0.0,0.0,-0.1794871794871795,-4.5254786948564725,0.0,0.0,0.0,-0.18959778085991677,-0.11523833671399594,-4.5254786948564725,0.0,0.0,Biotechnology,Healthcare,PYPD
2020Q4,2020,Q4,2020-12-31,2020-12-31,-7210000.0,0.0,-7888000.0,-0.39,0.0,0.0,75847000.0,72777000.0,47200000.0,2877000.0,3070000.0,0.0,-132286000.0,183098252.70000002,178779252.70000002,3.9350036899614826,16.40597844977407,0.0,0.0,-0.10351864818775373,3.9350036899614826,-0.09906976105088146,0.0,-6.348760495839112,2.5158807411682265,0.0,0.0,0.0,0.0,15.507473062217588,-0.09505979142220523,0.0,0.0,-0.14705882352941171,-0.32510188280908986,0.0,3.3402241095050735,0.0,-0.15544871794871795,-0.18154583582983821,-0.32510188280908986,0.0,3.3402241095050735,Biotechnology,Healthcare,PYPD
