Year,Date,FillingDate,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Price,MarketCap,AvgVolume,Symbol
2022,2022-12-31,2023-02-10,2419000000.0,27518000000.0,3837000000.0,2.09,13773000000.0,0.5005087579,78717000000.0,20274000000.0,57517000000.0,45101000000.0,58443000000.0,17000000.0,18954000000.0,84828880000.0,17.5684575389948,1.2752932307487639,0.1323348196704651,0.5138107921475782,0.08984677991207976,17.5684575389948,0.11931537930354148,2.9866952540155536,33.97597354278628,4.053856170464635,0.0,808.5294117647059,0.0,0.3495814118932378,1.2328329748786058,0.030730337792344728,16.093181907186214,0.5005087579039175,-0.40625000000000006,0.4048541345833553,1.190808151907326,0.32142393518886725,-0.015933123749642755,-0.41976493163828255,-0.0997184420459878,0.0007823275725361893,0.5752259215614226,0.22152023398163434,Credit Services,Financial Services,70.43,78579451919,17569837,PYPL
2021,2021-12-31,2022-02-03,4169000000.0,25371000000.0,4262000000.0,3.52,13996000000.0,0.5516534626,75803000000.0,21727000000.0,52574000000.0,43029000000.0,54076000000.0,0.0,16535000000.0,225243920000.0,18.50681431005111,1.2218271398359246,0.11936203052649631,0.41644037372854054,0.14085405705142165,18.50681431005111,0.19188106963685736,8.726219699657088,53.10456224514272,10.189760206195057,0.0652434636603502,0.0,0.001228584906870554,0.334696515969025,1.1919170791791582,0.054997823305146236,40.75716494845361,0.5516534626147964,-0.005649717514124299,2.0669806307735894,1.4118231296236765,0.5221074847173627,0.18821631717463283,-0.007853403141361256,0.29583460018242624,1.0440014940465885,0.6560162659622877,0.42415625523856193,Credit Services,Financial Services,70.43,78579451919,17569837,PYPL
2020,2020-12-31,2021-02-05,4202000000.0,21454000000.0,3289000000.0,3.54,11779000000.0,0.549035145,70379000000.0,20019000000.0,50995000000.0,38447000000.0,50316000000.0,0.0,12366000000.0,278861600000.0,17.066496163682864,1.3263713683772467,0.12701231901561547,0.44652580048953494,0.09422625012894395,17.066496163682864,0.20990059443528647,12.804912836767036,65.37758210376012,13.722793346320994,1.657782008567349,0.0,0.02535704067391632,0.30483524915102517,1.2965120815668323,0.05970530982253229,55.075501202886926,0.5490351449613126,0.710144927536232,2.564764753090019,1.41676069404744,0.5157539292114587,0.22672359925015623,0.70882472549817,0.2096358955498345,1.4008178443958421,0.6803647206486876,0.283668556015411,Credit Services,Financial Services,70.43,78579451919,17569837,PYPL
2019,2019-12-31,2020-02-06,2459000000.0,17772000000.0,2719000000.0,2.07,9602000000.0,0.5402880936,51333000000.0,16885000000.0,38495000000.0,26919000000.0,34404000000.0,0.0,8342000000.0,124607580000.0,14.382453151618398,1.430030833240462,0.09672140728186547,0.29404797157240153,0.10206683937270156,14.382453151618398,0.14563221794492154,7.145598694575737,51.643586823912166,7.520970091797454,2.224888165921106,0.0,0.043081596433401335,0.3462100403249372,1.4003120472528696,0.04790290846044455,32.92496240601504,0.5402880936304298,0.21052631578947362,5.253652120527092,1.3598286869716123,1.181431728015836,0.3497329210008434,0.19543023821098687,0.23928896991795806,0.8089962511566939,0.6894454558224735,0.18289616051238855,Credit Services,Financial Services,70.43,78579451919,17569837,PYPL
2018,2018-12-31,2019-02-07,2057000000.0,15451000000.0,2194000000.0,1.71,7114000000.0,0.4604232735745259,43332000000.0,15386000000.0,32963000000.0,25904000000.0,27946000000.0,0.0,5880000000.0,93985560000.0,12.994932432432432,1.2725061766522545,0.04610911104957076,0.12985831275185233,0.10926341378193656,12.994932432432432,0.13369296763291305,6.443761568830497,48.4018279047156,6.470984011438971,0.0,0.0,0.0,0.35657250992338224,1.2359481161210624,0.047470691405889415,21.365356223175965,0.4604232735745259,0.16326530612244897,1.2121409367482667,1.3589407751738658,1.1382730497750793,-0.07176409185803757,0.14596100278551533,0.03149976492712741,0.7288424927370367,0.7243613301341998,0.15413964913383474,Credit Services,Financial Services,70.43,78579451919,17569837,PYPL
2017,2017-12-31,2018-02-07,1795000000.0,13094000000.0,2127000000.0,1.47,7664000000.0,0.5853062471360929,40774000000.0,15994000000.0,32645000000.0,22863000000.0,24780000000.0,0.0,3823000000.0,86681860000.0,13.295095594347465,1.4278528627039322,0.024525432873890224,0.06252344629235963,0.10212066825724588,13.295095594347465,0.11222958609478555,6.76377424774706,49.33975487465181,5.5373802676003505,0.0,0.0,0.0,0.3211360180507186,1.396667104054586,0.04402315200863295,47.51333690987124,0.5853062471360929,0.27826086956521745,1.33213025704804,1.337601187188628,0.0,0.19600499375780275,0.28122769450392576,0.341109709962169,3.4549425957778586,0.6967543757428857,1.0165088007430503,Credit Services,Financial Services,70.43,78579451919,17569837,PYPL
2016,2016-12-31,2017-02-08,1401000000.0,10842000000.0,1586000000.0,1.15,6408000000.0,0.5910348644161594,33103000000.0,14712000000.0,25733000000.0,16878000000.0,18391000000.0,0.0,2069000000.0,46168700000.0,12.158677685950414,1.5246474700793933,0.0,0.0,0.09260099239550192,12.158677685950414,0.0952283849918434,4.404971407489393,34.08900785153462,3.2462411636759105,0.0,0.0,0.0,0.3275231852097997,1.4752932811944544,0.04232244811648491,19.187906789875452,0.5910348644161594,0.1499999999999999,0.8097006522339543,0.9243662987409172,0.0,0.09933093154915079,0.14087947882736157,0.08555783709787816,0.47429016485656167,0.619705958595373,1.0006701036692425,Credit Services,Financial Services,70.43,78579451919,17569837,PYPL
2015,2015-12-31,2016-02-11,1228000000.0,9248000000.0,1461000000.0,1.0,5829000000.0,0.6302984429065744,28881000000.0,13759000000.0,20648000000.0,13617000000.0,15122000000.0,0.0,668000000.0,42843400000.0,11.259410801963993,1.5163398692810457,0.0,0.0,0.08763120444330864,11.259410801963993,0.08925067228723017,4.783347750865052,36.02312703583062,3.2150883058361805,0.0,0.0,0.0,0.3202105190263495,1.4682382316222369,0.042519303348222015,24.252412280701755,0.6302984429065744,2.225806451612903,0.5706562212059123,0.6253254099891257,0.0,0.11902476483010174,1.9307875894988067,0.15220820189274448,0.5706562212059123,0.6253254099891257,0.0,Credit Services,Financial Services,70.43,78579451919,17569837,PYPL
2014,2014-12-31,2014-12-31,419000000.0,8025000000.0,1268000000.0,0.31,5209000000.0,0.6490965732087227,21917000000.0,8248000000.0,17565000000.0,13283000000.0,13669000000.0,0.0,0.0,45202208749.00001,6.59312549960032,1.3223669351803056,0.017611899438791805,0.0467992240543162,0.048798463261542586,6.59312549960032,0.05080019398642095,5.722642834766356,109.60431682338903,5.567920556377304,0.0,0.0,0.0,0.3661541269334307,1.293909508394188,0.019117579960761053,26.57650969270834,0.6490965732087227,-0.6010578401786232,-0.47650722609573004,0.3776897944731463,0.0,0.18656036446469249,-0.5612565445026177,0.1622364802933089,-0.47650722609573004,0.3776897944731463,0.0,Credit Services,Financial Services,70.43,78579451919,17569837,PYPL
2013,2013-12-31,2013-12-31,955000000.0,6727000000.0,1091000000.0,0.777055,4390000000.0,0.6525940240820574,19160000000.0,7390000000.0,14620000000.0,11261000000.0,11770000000.0,0.0,0.0,44647358784.00001,6.077302631578948,1.2982861202379896,0.026565762004175365,0.06887686062246279,0.12168210838963689,6.077302631578948,0.12922868741542626,6.635849380704625,46.74278406701571,6.0405086311231395,0.0,0.0,0.0,0.3510960334029228,1.2745759701625077,0.04984342379958246,27.86476827965044,0.6525940240820574,0.22750716785011893,0.22750642673521856,0.18809607912398438,0.0,0.16168298491664462,0.2275064267352185,0.23977272727272728,0.22750642673521856,0.18809607912398438,0.0,Credit Services,Financial Services,70.43,78579451919,17569837,PYPL
