Quarters,Year,Quarter,FillingDate,Date,NetIncome,Revenue,OperatingIncome,EPSDiluted,GrossProfit,GrossProfitRatio,TotalAssets,CommonStockEquity,CurrentAssets,CurrentLiability,TotalLiability,Inventory,RetainedEarnings,MarketCap,EnterpriseValue,bookValuePerShare,currentRatio,debtToAssets,debtToEquity,roic,shareholdersEquityPerShare,roe,priceToSalesRatio,peRatio,pbRatio,payoutRatio,inventoryTurnover,dividendYield,assetTurnover,quickRatio,returnOnAssets,priceToFreeCashFlowsRatio,grossProfitMargin,epsdilutedGrowth,fiveYNetIncomeGrowthPerShare,fiveYRevenueGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,grossProfitGrowth,netIncomeGrowth,operatingIncomeGrowth,threeYNetIncomeGrowthPerShare,threeYRevenueGrowthPerShare,threeYShareholdersEquityGrowthPerShare,Industry,Sector,Symbol
2023Q1,2023,Q1,2023-05-11,2023-03-31,-18001000.0,254000.0,-29221000.0,-0.13,124000.0,0.4881889764,365025000.0,339003000.0,330017000.0,10096000.0,26022000.0,1708000.0,-423285000.0,246893384.32,181936384.32,2.4166110470853464,32.68789619651347,0.04575850969111705,0.04927095040456869,-0.05982148048873814,2.4166110470853464,-0.053099825075294316,972.0211981102362,-3.4288842886506306,0.7282926237230939,0.0,0.07611241217798595,0.0,0.0006958427504965413,31.91105388272583,-0.04931443051845764,-7.67727181566591,0.4881889763779528,0.5185185185185185,0.5883375517067194,0.0,-0.2418886522940054,0.0,0.5223425144616037,0.24771516103287594,0.5883375517067194,0.0,-0.2418886522940054,Biotechnology,Healthcare,QSI
2022Q4,2022,Q4,2023-03-17,2022-12-31,-37686000.0,0.0,-38843000.0,-0.27,0.0,0.0,391485000.0,358706000.0,358182000.0,15706000.0,32779000.0,0.0,-399674000.0,255924433.11,189051433.11,2.564944550323009,22.805424678466828,0.04456364867108574,0.048635930260436125,-0.11222443343921024,2.564944550323009,-0.1050609691502233,0.0,-1.697742086650215,0.713465715962376,0.0,0.0,0.0,0.0,22.36782121482236,-0.09626422468293805,-11.08713915478924,0.0,-0.03846153846153849,-138.6852776486107,0.0,68.97196992791638,0.0,-0.05362335048087676,-0.40440378913876635,-138.6852776486107,0.0,68.97196992791638,Biotechnology,Healthcare,QSI
2022Q3,2022,Q3,2022-11-08,2022-09-30,-35768000.0,0.0,-27658000.0,-0.26,0.0,0.0,417983000.0,387450000.0,378873000.0,12641000.0,30533000.0,0.0,-366534000.0,383742315.0,322533315.0,2.7765702617393133,29.971758563404794,0.040800702420911855,0.04401600206478255,-0.07399813363447032,2.7765702617393133,-0.09231642792618402,0.0,-2.6821622330015655,0.9904305458768873,0.0,0.0,0.0,0.0,29.433905545447352,-0.0855728582262915,-16.272678950046647,0.0,-0.040000000000000036,-3.085851698231926,0.0,0.0,0.0,-0.03292133533556659,0.08417218543046358,-3.085851698231926,0.0,0.0,Biotechnology,Healthcare,QSI
2022Q2,2022,Q2,2022-08-08,2022-06-30,-34628000.0,0.0,-30200000.0,-0.25,0.0,0.0,443252000.0,413495000.0,405106000.0,11432000.0,29757000.0,0.0,-334821000.0,322480605.52,258428605.51999998,2.974778586926538,35.436144156752974,0.038849232490772746,0.041645001753346476,-0.07202557367472326,2.974778586926538,-0.08374466438530091,0.0,-2.328178103846598,0.7798899757433584,0.0,0.0,0.0,0.0,35.04811056682995,-0.07812260294369794,-11.155796364894316,0.0,0.1935483870967742,-3.1454657350514563,0.0,0.0,0.0,0.19861143253876418,-0.11274871039056743,-3.1454657350514563,0.0,0.0,Biotechnology,Healthcare,QSI
2022Q1,2022,Q1,2022-05-10,2022-03-31,-43210000.0,0.0,-27140000.0,-0.31,0.0,0.0,476138000.0,441875000.0,439779000.0,14045000.0,34263000.0,0.0,-302407000.0,648741267.7199999,630116267.7199999,3.187672964397493,31.312139551441796,0.034357686217021115,0.03702178217821782,-0.07024876202944286,3.187672964397493,-0.09778783592644978,0.0,-3.7534208963202964,1.4681556270891087,0.0,0.0,0.0,0.0,30.957208971164114,-0.09075100076028378,-25.21439883866454,0.0,-0.4761904761904762,0.0,0.0,0.0,0.0,-0.46862891713683635,0.0775610087689484,0.0,0.0,0.0,Biotechnology,Healthcare,QSI
2021Q4,2021,Q4,2022-03-01,2021-12-31,-29422000.0,0.0,-29422000.0,-0.21,0.0,0.0,503226000.0,477034000.0,477172000.0,11528000.0,26192000.0,0.0,-267232000.0,1081058418.25,1053351418.25,3.4727610614025206,41.392435808466345,0.016052429723424466,0.01693380346054998,-0.05965652182728766,3.4727610614025206,-0.061676945458814254,0.0,-9.185799896760928,2.2662083169124214,0.0,0.0,0.0,0.0,40.883414295628036,-0.058466772384574726,-51.222858007581145,0.0,-0.6153846153846153,-110.02710409725887,0.0,93.73730436967736,0.0,-0.6263335360123818,-0.16869910625620654,-110.02710409725887,0.0,93.73730436967736,Biotechnology,Healthcare,QSI
2021Q3,2021,Q3,2021-11-15,2021-09-30,-18091000.0,0.0,-25175000.0,-0.13,0.0,0.0,509526000.0,493915000.0,505202000.0,7196000.0,15611000.0,0.0,-237810000.0,1138050112.32,1075947112.32,3.6195691695883228,70.20594774874931,0.0,0.0,-0.05097030865634775,3.6195691695883228,-0.03662775983721896,0.0,-15.726744131336021,2.304141628255874,0.0,0.0,0.0,0.0,69.5115341856587,-0.03550554829390453,-55.87715973486522,0.0,0.5030581039755352,-1.1133049877064427,0.0,0.0,0.0,0.49320671204863153,0.21729262529536128,-1.1133049877064427,0.0,0.0,Biotechnology,Healthcare,QSI
2021Q2,2021,Q2,2021-08-16,2021-06-30,-35697000.0,0.0,-32164000.0,-0.2616,0.0,0.0,526950000.0,503936000.0,524093000.0,7864000.0,23014000.0,0.0,-219719000.0,1672960956.48,1151024956.48,3.693006304820994,66.64458290946084,0.0,0.0,-0.0638255651511303,3.693006304820994,-0.0708363760477521,0.0,-11.71639743171695,3.319788537592075,0.0,0.0,0.0,0.0,66.38936927772126,-0.06774267008255053,-53.78603898148148,0.0,0.0,-3.353092749186976,0.0,0.0,0.0,0.0,0.0,-3.353092749186976,0.0,0.0,Biotechnology,Healthcare,QSI
2020Q4,2020,Q4,2021-05-10,2020-12-31,-263139.0,0.0,-9535000.0,-0.002,0.0,0.0,116186042.0,5000004.0,1183890.0,146558.0,4171558.0,0.0,0.0,1384466699.0,1383432536.0,0.0366567434497751,8.077962308437614,0.0,0.0,-1.9069984744012205,0.0366567434497751,-0.052627757897793684,0.0,-1315.337805304421,276.89311828550535,0.0,0.0,0.0,0.0,7.0563394696980035,-0.0022648073337415177,-166.84341998071824,0.0,0.9681193611119967,0.0,0.0,0.0,0.0,0.9692486852868997,-0.11494387277829747,0.0,0.0,0.0,Biotechnology,Healthcare,QSI
2020Q3,2020,Q3,2020-09-30,2020-09-30,-8557000.0,0.0,-8552000.0,-0.062734,0.0,0.0,,,,,,,,1347638520.8000002,,,0.0,0.0,0.0,0.0,,0.0,0.0,-39.37240039733552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-186.86058247365506,0.0,-0.04391380314502031,0.0,0.0,0.0,0.0,-0.04391850677076979,-0.04279965857822217,0.0,0.0,0.0,Biotechnology,Healthcare,QSI
